,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-8.21,141.13,70.93,48.62,47.23,-10.04,26.69,-26.27,35.92,295.1,-39.23,-21.48,-36.17,-68.68,-34.75,-38.0,50.56,-8.26,59.54,157.72,282.65,807.52,400.2,198.68,130.38,26.17,16.26,-36.4,8.04,13.62,8.35,12.91,18.63,2.2,28.36,4.57,-2.96,0.21,-12.29,25.91,1.85,6.98,0.1,47.04,-15.1,-16.95,14.86,-30.46,18.9,-3.9,-15.05,12.48,-0.15,18.47,-3.71,13.44,12.75,-8.7,5.43,-33.19,-12.86,1.73,32.46,45.25,48.84,41.49,5.92,2.7,-29.31,-29.04,4.48,132.16
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,15.17,182.32,106.72,47.76,59.93,-13.81,30.81,-34.04,18.72,312.1,-47.98,-10.21,-32.55,-65.11,-16.31,-36.56,78.08,2.59,3.39,182.89,291.15,754.82,618.76,153.5,120.88,23.87,22.75,-26.7,5.8,12.26,7.3,30.52,25.27,-7.3,25.56,1.15,0.44,13.9,3.02,25.09,-1.05,1.97,-7.05,18.65,-18.07,-13.86,-4.75,-19.43,13.7,1.97,-1.65,11.17,7.91,3.49,-13.82,-0.12,-3.86,-26.89,-6.14,-30.85,-9.98,13.52,35.62,48.96,55.3,45.49,13.5,0.07,-18.45,-20.46,-7.73,93.72
Koszty sprzedaży,,,,,-78.84,136.0,44.23,-83.96,62.5,109.26,154.67,176.52,32.31,206.19,89.53,105.03,343.02,7.23,-9.67,-37.27,-53.02,65.5,67.58,89.24,304.47,158.47,161.13,219.38,220.17,55.83,28.09,-20.11,-5.13,10.88,27.5,31.8,8.09,8.83,23.62,-1.5,-228.31,201.51,-21.15,14.94,167.87,-63.77,23.49,24.6,36.04,20.09,28.01,-2.45,13.39,-2.25,-12.86,1.42,-9.77,4.6,1.21,94.55,48.94,4.42,22.89,-30.53,-10.56,16.15,29.82,24.26,18.08,45.5,17.21,43.96,-27.67,-33.61,0.83,-13.03
Koszty ogólnego zarządu,,,,,-36.73,14.08,-18.35,-52.0,-5.62,-68.71,15.73,12.67,40.68,305.36,-4.36,10.77,-14.89,-26.85,-45.81,-9.73,-27.26,39.04,64.71,6.4,207.97,405.89,697.04,304.49,148.58,-5.63,-35.49,-9.54,-9.97,-10.14,1.57,-5.24,1.65,5.26,14.11,23.8,3.99,11.78,10.74,-19.39,9.69,-7.85,-7.45,75.12,0.57,9.29,9.49,-13.81,-0.74,-11.74,-12.67,-34.73,-5.14,5.06,2.5,25.66,3.23,-20.61,-1.69,-4.09,-3.39,67.65,19.23,31.24,42.33,1.13,16.96,5.68,5.64,16.06,11.33,35.71
Zysk ze sprzedaży,,,,,302.22,261.01,101.63,400.56,300.0,105.75,-3.23,-17.78,186.54,256.48,-38.44,-67.18,-107.57,-98.46,-189.37,-79.25,563.29,-1853.85,386.84,507.59,319.67,212.81,-387.56,503.75,177.28,222.86,54.57,-91.93,63.0,66.84,11.96,-513.04,-7.42,71.29,104.45,8.15,44.83,-113.98,-12406.9,82.37,-41.12,607.72,40.39,2200.5,-22.39,-71.59,159.81,-103.82,107.55,-107.86,-215.76,1011.43,-40.39,4754.26,109.06,97.49,180.07,103.68,1288.01,-72.61,-27.96,-45.33,31.14,69.04,34.16,55.44,-82.65,-30.11,-107.88,-87.81,609.85,1657.12
Pozostałe przychody operacyjne,,,,,-75.61,2241.82,-98.78,-48.75,55.71,-95.46,1923.08,177.08,-64.22,156.07,-77.95,-61.4,-69.23,101.09,727.59,1866.88,50.0,-63.52,-99.79,-91.09,5477.78,-528.36,51600.0,1333.7,-3.29,300.81,38.68,-29.55,-78.17,4.63,-44.21,-78.36,302.36,-46.32,66.0,596.78,1.52,603.81,48.34,-83.58,-51.15,-77.88,45.48,49.19,-5.91,-59.33,-73.9,195.63,52.51,197.4,-84.22,39.87,90.44,-45.71,1811.86,-78.99,126.12,-41.69,8.95,92.34,-50.27,3.45,20.26,-42.31,-33.46,103.51,132.07,-321.63,533.64,-18.7,-87.9,160.97
Pozostałe koszty operacyjne,,,,,-82.93,83.33,,-2.8,357.14,-15.15,-57.89,125.48,206.25,900.0,425.0,48.19,-66.33,17.5,766.67,61.87,-9.09,-29.79,-96.98,318.31,950.0,-55.84,1281.82,7.18,-76.19,1050.0,-92.11,-61.52,1654.67,-35.21,-2241.67,-27.25,-88.75,-49.47,770.82,73.23,616.89,-128.91,-24.83,-69.87,-75.4,834.23,-47.76,687.52,219.54,171.41,-48.6,-29.29,-64.03,-49.32,32.76,-58.16,97.67,-60.3,15.37,55.56,79.09,64.94,-53.47,-65.89,-70.24,65.4,-75.4,73.66,99.37,-25.78,985.25,233.82,45.87,219.53,227.04,-5.04
Zysk operacyjny (EBIT),,,,,-23.38,9245.16,-48.57,365.77,186.36,-56.51,32.2,-18.1,123.13,233.65,-52.93,-79.01,-110.16,-93.17,-160.92,140.15,454.0,-507.67,502.51,-217.58,528.53,127.61,-357.61,483.12,131.69,1357.59,73.21,-83.07,13.25,69.41,16.65,-368.98,22.17,56.12,-55.11,61.61,27.78,-57.55,-643.41,61.91,-38.08,72.53,53.03,1279.15,-32.34,-91.27,173.48,-120.6,139.29,-34.67,-230.26,524.81,-36.23,1688.08,125.74,0.45,179.64,90.01,443.74,-54.2,-28.78,-48.33,33.92,8.08,24.8,69.4,-42.47,-236.36,-76.24,-100.27,17.25,1082.6
Przychody finansowe,,,,,1853.97,14.48,-76.03,-94.51,91.39,577.71,289.22,23370.0,-86.25,-2.84,-114.01,-14.27,125.0,-63.13,212.86,-97.07,-81.07,75.19,-180.38,-150.85,127.54,10185.84,148.56,-110690.0,-14.97,-100.01,21.62,99.78,-42.32,1637.5,32.0,591.67,135.06,-134.96,98.32,5.08,150.55,674.42,-87.1,-145.43,-85.56,-80.16,189.47,233.73,532.06,1726.53,-144.09,300.0,-99.4,-88.49,270.1,-100.0,2080.0,5597.09,-26.06,,-91.74,-99.81,236.07,63.79,811.11,3972.73,-71.95,-4.74,-70.73,-98.44,-64.35,-108.29,333.33,22700.0,5107.32,-273.33
Koszty finansowe,,,,,-65.52,1190.0,2375.0,48.13,2650.0,-106.2,1658.24,366.56,188.73,21437.5,-105.81,11.63,-45.47,-77.15,886.02,-84.01,-24.48,-166.15,-95.08,1175.0,39.45,1665.89,6491.67,-77.87,169.96,-64.95,-49.05,70.6,-22.91,-6.21,-29.78,-42.09,-7.59,-10.17,10.84,65.35,0.11,-23.13,-19.13,-23.99,-2.51,128.24,-62.68,73.08,-15.77,-56.47,219.01,-32.54,77.95,71.35,-30.68,-11.48,-40.61,-30.75,32.96,-19.46,61.81,-14.89,-18.56,43.38,-66.26,-60.0,-39.41,-46.47,57.21,178.26,169.9,111.84,44.8,-12.6,-38.67,-46.17
Pozostałe przychody (koszty),,,,,,,,,8.92,-109.23,-123.99,-137.36,-100.0,100.0,-2760.24,483.52,,,100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,547.62,,111.32,382.46,72.79,135.29,-218.6,-2.48,-91.49,-2458.33,78.43,-119.75,-125.0,7.07,-681.82,216.13,-1940.0,95.82,62.79,-91.67,101.96,154.55,112.5,-233.33,-200.0,-16.67,-75.0,-250.0,-700.0,-320.0,-400.0,57.14,62.5,45.45,-300.0
Zysk z działalności gospodarczej,,,,,1167.66,2515.66,-62.11,500.09,43.3,-47.88,29.87,-30.89,-87.96,58.64,-198.08,-21.05,-61.87,-91.64,76.1,-45.21,-15.82,-168.67,231.72,-399.25,1162.42,33547.09,-819.69,-301.27,101.2,-95.23,65.38,101.41,20.33,106.18,31.89,-1543.82,31.21,65.96,-13.02,39.64,37.3,-57.71,-503.25,42.19,-44.09,53.85,56.53,472.45,-19.63,-89.06,136.19,-128.13,91.74,-217.88,-417.12,422.51,-33.45,1582.82,103.39,6.69,189.33,19.86,3105.07,-63.84,-25.25,-45.07,35.32,33.81,22.83,56.75,-57.74,-297.52,-81.27,-95.47,124.63,858.59
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,1167.66,2515.66,-62.11,500.09,43.3,-47.88,29.87,-30.89,-87.96,58.64,-198.08,-21.05,-61.87,-91.64,76.1,-45.21,-15.82,-168.67,231.72,-399.25,1162.42,33547.09,-819.69,-301.27,101.2,-95.23,65.38,101.41,20.33,106.18,31.89,-1543.82,31.21,65.96,-13.02,39.64,37.3,-57.71,-503.25,42.19,-44.09,53.85,56.53,472.45,-19.63,-89.06,136.19,-128.13,91.74,-217.88,-417.12,422.51,-33.45,1582.82,103.39,6.69,189.33,19.86,3105.07,-63.84,-25.25,-45.07,35.32,33.81,22.83,56.75,-57.74,-297.52,-81.27,-95.47,124.63,858.59
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,2025.41,12713.64,-64.94,2162.95,45.12,-33.91,27.32,-31.38,-89.26,54.48,-231.89,9.93,-75.74,-96.73,76.59,-58.43,91.84,-853.19,209.01,-450.59,806.38,9872.6,-993.16,-402.95,66.31,-96.93,73.85,108.5,20.36,124.03,5.65,-284.16,43.1,96.93,21.21,41.85,-50.13,-25.38,-539.38,108.38,69.15,-18.92,55.51,2221.03,-23.12,-92.36,124.08,-144.72,98.04,-386.37,-524.33,333.05,-37.64,1043.95,104.91,-4.22,213.87,15.63,2160.26,-60.34,-25.76,-42.2,42.48,18.58,24.41,54.07,-59.2,-337.6,-81.03,-87.02,91.46,846.96
Zysk netto akcjonariuszy jednostki dominującej,,,,,2278.9,1629.45,-49.85,2153.78,45.12,-33.91,27.32,-31.38,-89.26,54.48,-231.89,9.93,-75.74,-96.73,76.59,-58.43,91.84,-853.19,209.01,-450.59,806.38,9872.6,-993.16,-402.95,66.31,-96.93,73.85,108.5,20.36,124.03,5.65,-284.16,43.1,96.93,21.21,47.62,-48.29,-24.72,-512.64,110.79,65.53,-18.63,53.81,2247.35,-21.33,-88.6,128.12,-135.72,93.92,-280.73,-522.09,348.28,-39.24,1090.86,105.48,2.42,218.02,15.71,1648.76,-60.07,-26.05,-41.91,42.99,16.01,24.78,53.9,-57.94,-323.34,-80.52,-86.56,88.74,857.77
Aktywa trwałe,,,,,-23.55,28.19,242.71,240.02,147.37,54.2,31.64,-6.77,-20.94,-46.17,-31.65,-31.9,-24.67,27.3,24.88,38.68,31.8,7.44,11.04,-9.53,297.03,509.4,490.92,461.66,29.93,-17.17,-16.18,1.16,-1.61,1.46,0.93,-0.1,4.94,0.46,1.4,-2.0,-4.24,-0.1,2.78,12.03,10.47,10.04,5.2,1.7,1.43,1.38,2.34,4.03,4.95,6.48,5.48,2.02,1.24,-1.38,-1.63,2.59,1.04,1.33,0.29,-3.17,-2.06,-3.34,-3.11,-3.36,-2.41,0.38,2.15,3.69,3.13,2.74,4.03,3.71
Wartości niematerialne i prawne,,,,,199.0,-38.87,-40.04,-59.01,-81.33,-21.87,-21.82,-7.08,-11.25,-11.76,-12.43,48.58,1.18,73.33,81.81,26.95,84.43,12.82,16.68,-1.39,3499.3,7498.23,7202.13,3676.94,8.52,-47.88,-47.79,2.4,2.49,0.61,1.12,0.11,1.3,-15.86,-15.52,-14.07,-14.88,2.37,1.31,1.18,0.81,0.36,0.29,-1.08,-0.77,0.35,0.72,0.99,1.61,1.17,0.99,1.49,1.03,1.2,3.99,3.94,4.03,3.33,1.27,0.59,0.78,0.72,0.65,0.73,0.88,0.27,0.58,2.93,3.68,5.88,5.04,2.75
