,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,144918.0,159985.0,168382.0,212566.0,152640.0,172102.0,203278.0,287115.0,266268.0,297198.0,324048.0,386818.0,339656.0,358133.0,397917.0,527293.0,463100.0,490848.0,504952.0,544195.0,424515.0,481558.0,543445.0,629840.0,500522.0,580480.0,622232.0,789276.0,657914.0,760140.0,843592.0,962109.0,750826.0,990983.0,1107493.0,1267000.0,945033.0,1185075.0,1234242.0,1404938.0,1002577.0,1291250.0,1261499.0,1575027.0,1174831.0,1502412.0,1488400.0,1853403.0,1362315.0,1705433.0,1812772.0,2148905.0,1580352.0,2049736.0,2043944.0,2372724.0,1827680.0,2214142.0,2348161.0,3509260.0,1178647.0,2129297.0,2445717.0,2094418.0,2350339.0,3643141.0,3913420.0,4122774.0,3034230.0,4340566.0,4366750.0,4184958.0,3639400.0,4575400.0,4350500.0,4840900.0
Techniczny koszt wytworzenia produkcji sprzedanej,71374.0,63455.0,79565.0,97230.0,79416.0,76106.0,98384.0,114572.0,129987.0,111822.0,143010.0,136543.0,153643.0,130339.0,177639.0,196348.0,244467.0,232684.0,279509.0,188563.0,201826.0,213516.0,271844.0,258958.0,250958.0,230116.0,273708.0,313992.0,315438.0,320152.0,377406.0,383694.0,332043.0,404131.0,471137.0,499840.0,407460.0,458864.0,534627.0,575837.0,459135.0,617864.0,598275.0,712250.0,633060.0,752695.0,787768.0,911713.0,741705.0,741068.0,924108.0,902578.0,867519.0,825282.0,1000577.0,952119.0,1034723.0,901320.0,1183816.0,1633669.0,610830.0,1115961.0,1061541.0,975808.0,1045037.0,1623248.0,1631106.0,1623040.0,1416721.0,2154364.0,2131481.0,2210876.0,1833000.0,2381500.0,1924100.0,2301100.0
Koszty sprzedaży,58336.0,64940.0,69278.0,81383.0,75148.0,80512.0,84408.0,102006.0,105708.0,116511.0,124815.0,150576.0,133539.0,158929.0,149069.0,195900.0,194169.0,193983.0,183109.0,201386.0,190523.0,203901.0,212084.0,230750.0,212050.0,231465.0,238980.0,285415.0,269878.0,291402.0,318843.0,348348.0,348038.0,378597.0,420221.0,457940.0,438193.0,483654.0,518219.0,502871.0,458130.0,492069.0,504889.0,557332.0,547057.0,602060.0,616432.0,639458.0,660125.0,661670.0,695322.0,734731.0,701993.0,757166.0,776885.0,787565.0,758426.0,833830.0,882061.0,1201818.0,706998.0,830267.0,918329.0,912728.0,1059936.0,1226160.0,1289271.0,1640741.0,1256237.0,1586497.0,1666721.0,1330668.0,1309700.0,1391800.0,1399900.0,1544500.0
Koszty ogólnego zarządu,9497.0,9510.0,10080.0,10462.0,11428.0,11293.0,12464.0,14240.0,13932.0,14806.0,15935.0,25194.0,24099.0,19725.0,19774.0,29650.0,24300.0,22742.0,21391.0,21463.0,22512.0,22218.0,22933.0,23451.0,25260.0,26065.0,26219.0,24803.0,30485.0,30785.0,32096.0,38919.0,38248.0,40145.0,38726.0,37290.0,42461.0,49503.0,40137.0,73310.0,54336.0,31432.0,41892.0,51587.0,48232.0,49636.0,45793.0,60138.0,59095.0,82152.0,79697.0,127147.0,118462.0,134483.0,121867.0,133752.0,115620.0,114729.0,121949.0,184669.0,108786.0,136591.0,117537.0,116336.0,140784.0,146149.0,168357.0,289534.0,162309.0,221321.0,144571.0,334174.0,238100.0,188000.0,200300.0,292500.0
Zysk ze sprzedaży,5711.0,22080.0,9459.0,23491.0,-13352.0,4191.0,8022.0,56297.0,16641.0,54059.0,40288.0,74505.0,28375.0,49140.0,51435.0,105395.0,164.0,41439.0,20943.0,132783.0,9654.0,41923.0,36584.0,116681.0,12254.0,92834.0,83325.0,165066.0,42113.0,117801.0,115247.0,191148.0,32497.0,168110.0,177409.0,271930.0,56919.0,193054.0,141259.0,252920.0,30976.0,149885.0,116443.0,253858.0,-53518.0,98021.0,38407.0,242094.0,-98610.0,220543.0,113645.0,384449.0,-107622.0,332805.0,144615.0,499288.0,-81089.0,364263.0,160335.0,489104.0,-247967.0,46478.0,348310.0,89546.0,104582.0,647584.0,824686.0,569459.0,198963.0,378384.0,423977.0,309240.0,258600.0,614100.0,826200.0,702800.0
Pozostałe przychody operacyjne,1366.0,820.0,1047.0,2796.0,998.0,1210.0,920.0,1686.0,950.0,1252.0,1723.0,1567.0,1524.0,1494.0,3428.0,2201.0,6513.0,8974.0,6090.0,6607.0,5501.0,8026.0,5511.0,3608.0,3476.0,5661.0,3479.0,7974.0,4818.0,7115.0,6326.0,9424.0,5482.0,7719.0,10916.0,9680.0,9843.0,9704.0,7462.0,18880.0,6102.0,4359.0,6022.0,7748.0,6449.0,7242.0,7401.0,18332.0,7859.0,20240.0,4785.0,2886.0,6154.0,7718.0,7012.0,14743.0,5630.0,12265.0,9626.0,-6003.0,9076.0,56943.0,23723.0,37182.0,18436.0,27166.0,14140.0,20263.0,11450.0,17734.0,114988.0,-48243.0,14000.0,14300.0,12200.0,26400.0
Pozostałe koszty operacyjne,1541.0,1969.0,1799.0,2672.0,2140.0,2390.0,2126.0,3900.0,2590.0,4413.0,3271.0,5436.0,4560.0,3819.0,4091.0,15748.0,9424.0,10594.0,5884.0,16333.0,6689.0,10197.0,5278.0,6308.0,4890.0,10779.0,9651.0,5643.0,4831.0,10947.0,8308.0,15489.0,12122.0,14898.0,20929.0,20167.0,18342.0,24699.0,14347.0,23550.0,13375.0,17428.0,15655.0,26246.0,16840.0,18798.0,41006.0,61363.0,18214.0,33192.0,15344.0,10613.0,16264.0,28768.0,22415.0,80706.0,24765.0,23993.0,29447.0,70254.0,21631.0,71120.0,70849.0,46667.0,35826.0,79740.0,21495.0,610284.0,23775.0,70395.0,27135.0,100790.0,41900.0,21400.0,35800.0,86000.0
Zysk operacyjny (EBIT),5536.0,20931.0,8707.0,23615.0,-14494.0,3011.0,6816.0,54083.0,15001.0,50898.0,38740.0,70636.0,25339.0,46815.0,50772.0,91848.0,-2747.0,39819.0,21149.0,123057.0,8466.0,39752.0,36817.0,113981.0,10840.0,87716.0,77153.0,167397.0,42100.0,113969.0,113265.0,185083.0,25857.0,160931.0,167396.0,261443.0,48420.0,178059.0,134374.0,248250.0,23703.0,136816.0,106810.0,235360.0,-63909.0,86465.0,4802.0,199063.0,-108965.0,207591.0,103086.0,376722.0,-117732.0,311755.0,129212.0,433325.0,-100224.0,352535.0,140514.0,412847.0,-260522.0,32301.0,301184.0,80061.0,87192.0,595010.0,817331.0,-20562.0,186638.0,325723.0,511830.0,160207.0,230700.0,607000.0,802600.0,643200.0
Przychody finansowe,307.0,222.0,118.0,44.0,2421.0,3864.0,9.0,212.0,764.0,463.0,561.0,-256.0,252.0,1375.0,280.0,16469.0,4489.0,3753.0,-5711.0,445.0,2076.0,13545.0,-9978.0,5047.0,14792.0,-1167.0,3909.0,-3993.0,2771.0,-2102.0,1109.0,436.0,3325.0,-2308.0,599.0,732.0,611.0,967.0,394.0,1030.0,696.0,575.0,663.0,47.0,2206.0,9091.0,-1941.0,-8049.0,1668.0,6990.0,13484.0,-17388.0,17087.0,-10318.0,-1471.0,3122.0,12327.0,24152.0,-29389.0,3824.0,3396.0,65977.0,57501.0,-55366.0,10963.0,7756.0,7487.0,139.0,2761.0,236047.0,10170.0,-122042.0,14700.0,18500.0,19800.0,45000.0
