,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Period,2006/Q1,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,1347.0,2051.0,2892.0,3251.0,4395.0,3559.0,4386.0,3562.0,3864.0,4204.0,4474.0,4348.0,5551.0,4124.0,5002.0,4606.0,6808.0,4943.0,6077.0,5522.0,6252.0,5876.0,6457.0,7092.0,5994.0,6000.0,8052.0,7307.0,8235.0,5702.0,8028.0,6208.0,5932.0,6220.0,8077.0,5771.0,8676.0,7233.0,8442.0,7586.0,9823.0,9724.0,12699.0,11432.0,13713.0,11205.0,11297.0,11730.0,13435.0,10579.0,11323.0,13286.0,16423.0,11362.0,9516.0,11272.0,10925.0,6484.0,16341.0,10499.0,20723.0,10731.0,14699.0,14521.0,17415.0,12922.0,12660.0,14129.0,17217.0
Techniczny koszt wytworzenia produkcji sprzedanej,971.0,1157.0,1678.0,1983.0,2474.0,2059.0,2566.0,2034.0,4284.0,2298.0,3858.0,2949.0,4309.0,3043.0,3648.0,3575.0,4690.0,3857.0,4653.0,4297.0,5322.0,4479.0,5222.0,5991.0,5146.0,4846.0,6067.0,6261.0,6571.0,4047.0,5969.0,4921.0,5130.0,3976.0,5225.0,4570.0,5547.0,5210.0,6429.0,5332.0,6869.0,6379.0,9566.0,8059.0,10247.0,8053.0,8359.0,8682.0,11238.0,8755.0,9340.0,9962.0,13541.0,11713.0,7714.0,10329.0,10634.0,10182.0,7809.0,8018.0,11448.0,7364.0,10525.0,12695.0,12967.0,8503.0,9189.0,8615.0,10505.0
Koszty sprzedaży,41.0,54.0,67.0,113.0,281.0,111.0,187.0,149.0,314.0,167.0,113.0,127.0,83.0,281.0,129.0,146.0,275.0,198.0,281.0,212.0,275.0,225.0,237.0,317.0,409.0,370.0,300.0,298.0,347.0,390.0,247.0,299.0,337.0,342.0,329.0,312.0,450.0,379.0,409.0,598.0,745.0,536.0,1586.0,1312.0,1225.0,811.0,460.0,389.0,624.0,304.0,400.0,277.0,549.0,360.0,193.0,188.0,236.0,554.0,1258.0,4179.0,3848.0,2756.0,3321.0,1211.0,4253.0,2861.0,2713.0,2683.0,3334.0
Koszty ogólnego zarządu,286.0,465.0,739.0,748.0,862.0,827.0,973.0,1098.0,2365.0,1339.0,382.0,1184.0,758.0,539.0,676.0,714.0,750.0,601.0,683.0,652.0,715.0,607.0,581.0,648.0,773.0,582.0,573.0,565.0,741.0,628.0,910.0,782.0,682.0,749.0,632.0,652.0,867.0,731.0,740.0,907.0,971.0,1569.0,245.0,1014.0,1003.0,733.0,980.0,1168.0,1110.0,829.0,947.0,1058.0,1145.0,787.0,687.0,807.0,745.0,1034.0,2846.0,-1091.0,950.0,1082.0,1093.0,1221.0,1226.0,1070.0,1186.0,1160.0,1605.0
Zysk ze sprzedaży,49.0,375.0,408.0,407.0,778.0,562.0,660.0,281.0,-3099.0,400.0,121.0,88.0,401.0,261.0,549.0,171.0,1093.0,287.0,460.0,361.0,-60.0,565.0,417.0,136.0,-334.0,202.0,1112.0,183.0,576.0,637.0,902.0,206.0,-217.0,1153.0,1891.0,237.0,1812.0,913.0,864.0,749.0,1238.0,1240.0,1302.0,1047.0,1238.0,1608.0,1498.0,1491.0,463.0,691.0,636.0,1989.0,1188.0,-1498.0,922.0,-52.0,-690.0,-5286.0,4428.0,-607.0,4477.0,-471.0,-240.0,-606.0,-1031.0,488.0,-428.0,1671.0,1773.0
Pozostałe przychody operacyjne,8.0,7.0,49.0,14.0,41.0,9.0,38.0,103.0,108.0,49.0,200.0,107.0,79.0,114.0,75.0,139.0,47.0,184.0,158.0,93.0,246.0,323.0,110.0,143.0,343.0,223.0,489.0,475.0,314.0,209.0,279.0,433.0,305.0,129.0,130.0,211.0,286.0,192.0,606.0,1020.0,551.0,251.0,426.0,447.0,274.0,331.0,451.0,277.0,940.0,1073.0,523.0,281.0,471.0,335.0,2345.0,1508.0,142.0,165.0,3221.0,71.0,186.0,124.0,183.0,189.0,3734.0,125.0,134.0,161.0,217.0
Pozostałe koszty operacyjne,43.0,18.0,32.0,11.0,66.0,12.0,15.0,17.0,139.0,40.0,79.0,7.0,86.0,70.0,154.0,-26.0,346.0,38.0,169.0,31.0,106.0,189.0,77.0,26.0,73.0,39.0,662.0,111.0,254.0,160.0,146.0,207.0,1402.0,603.0,372.0,102.0,393.0,74.0,-10.0,244.0,228.0,21.0,63.0,35.0,379.0,96.0,33.0,1.0,287.0,278.0,56.0,78.0,27.0,55.0,867.0,209.0,218.0,91.0,285.0,26.0,332.0,79.0,86.0,59.0,58.0,61.0,87.0,7.0,173.0
Zysk operacyjny (EBIT),14.0,364.0,425.0,410.0,753.0,559.0,683.0,367.0,-3130.0,409.0,242.0,188.0,394.0,305.0,470.0,336.0,794.0,433.0,449.0,423.0,80.0,699.0,450.0,253.0,-64.0,386.0,939.0,547.0,636.0,686.0,1035.0,432.0,-1314.0,679.0,1649.0,346.0,1705.0,1031.0,1480.0,1525.0,1561.0,1470.0,1665.0,1459.0,1133.0,1843.0,1916.0,1767.0,1116.0,1486.0,1103.0,2192.0,1632.0,-1218.0,2400.0,1247.0,-766.0,-5212.0,7364.0,-562.0,4331.0,-426.0,-143.0,-476.0,2645.0,552.0,-381.0,1825.0,1817.0
Przychody finansowe,0.0,54.0,29.0,41.0,13.0,20.0,22.0,268.0,-20.0,77.0,421.0,395.0,-225.0,106.0,48.0,136.0,-251.0,14.0,-8.0,18.0,196.0,57.0,-11.0,50.0,426.0,3.0,111.0,24.0,139.0,2.0,2.0,71.0,138.0,130.0,37.0,62.0,100.0,46.0,-30.0,22.0,25.0,6.0,45.0,41.0,159.0,21.0,152.0,-91.0,120.0,403.0,52.0,5.0,68.0,276.0,-109.0,387.0,-4.0,2.0,3.0,19.0,114.0,3.0,109.0,9.0,-24.0,14.0,13.0,56.0,33.0
