,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Period,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,2.79,-99.62,-92.16,104.04,42.17,-5414.29,-100.0,-143.32,-22.88,156.99,,347.87,-51.37,1102.83,-100.0,-97.42,-100.0,-100.0,,-100.0,,,,,,,,,,,,,,,,,,,,,,2661.82,,-22.31,2.34,-17.95,-23.14,8.33
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-70.18,-80.06,-89.73,111.92,62.9,69.14,97.03,-422.7,62.63,42.77,12.98,164.35,20.68,73.82,16.82,-164.84,-100.0,-100.0,-100.0,5136.33,,,,-71.74,-18.05,69.09,-11.24,-20.85,3.93,-33.55,9.81,6.07,26.81,-29.7,-32.67,-9.14,-49.2,-41.97,54.29,-92.44,266.64,587.51,215.62,1704.02,-58.35,-74.15,-78.54,-0.12
Koszty sprzedaży,,,,,,,,-28.44,-100.0,100.0,,14.91,,,-100.0,64.32,,-100.0,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,-75.61,-29.74,8.52,-27.87,1552.76,-30.38,8.53,60.8,-91.46,148.04,363.52,250.18,612.1,396.05,93.55,169.53,195.05,62.35,61.93,63.16,40.06,40.34,22.1,1.51,-36.86,-0.03,9.48,28.23,27.2,-4.57,-28.34,-24.01,-5.04,43.13,-60.26,59.89,330.11,24.55,356.85,106.86,-56.65,28.67,26.32,-13.98,-2.27
Zysk ze sprzedaży,,,,,44.84,-258.66,-326.51,15.87,16.74,-110.28,-193.79,-84.15,-96.87,19.33,-18.94,-16.53,-89.92,42.7,-72.19,34.53,-75.28,-357.21,-25.4,-4387.29,-494.5,-431.76,-413.63,58.57,2.1,-54.78,7.19,27.23,-2.38,23.21,-16.21,-13.37,-14.82,29.23,29.35,7.55,19.86,60.77,-56.6,273.24,151.56,152.38,65.24,-33.73,152.91,559.15,291.39,21.23
Pozostałe przychody operacyjne,,,,,,,,-62.92,50.0,-49.58,0.0,-4.55,0.0,5.0,5.0,-7.94,-100.0,47.62,-50.79,1962.07,,441.94,1522.58,-13.88,-14.6,11.9,6.56,-41.75,7.55,17.02,73.32,-111.33,8.32,-23.18,-36.06,788.24,90.44,-118.74,-53.37,-1.28,-70.43,493.68,18.77,-26.62,198.18,116.84,-54.1,1564.31,-83.33,-81.87,23.84,-316.78
Pozostałe koszty operacyjne,,,,,,,,7820.0,,-100.0,,-96.97,,,,75.0,,-33.33,33.33,333.33,,-50.0,-25.0,-198.9,-100.0,-100.0,-100.0,100.0,,,,,,,,-106.52,345.0,-330.73,-95.52,220.41,4.01,60.24,3100.0,4594.92,50.77,269.5,210.07,-122.64,-92.53,-113.86,-74.8,278.31
Zysk operacyjny (EBIT),,,,,49.64,-192.74,-768.18,-25.14,23.1,-146.18,-233.33,-25.6,-114.86,20.23,-20.1,-18.12,-106.34,48.2,-78.67,99.28,-40.15,-340.9,-3.23,-408258.33,-618.44,-521.57,-507.23,58.85,2.44,-56.24,10.46,21.0,-3.14,22.25,-22.03,-4.29,-14.95,30.38,29.28,7.1,15.59,64.12,-60.32,262.01,150.45,169.81,60.61,-2.22,153.94,464.87,268.72,-64.44
Przychody finansowe,,,,,,,,-100.0,-100.0,52.63,,,,-82.76,-73.53,440.0,1933.33,-650.0,-102.78,-82.22,-86.89,129.09,42700.0,-1791.67,21725.0,15331.25,-0.7,541.87,-55.61,-114.7,-41.84,-85.67,-72.77,260.88,-107.32,-150.58,128.91,-105.48,1494.44,-16.92,-74.53,-131.25,113.55,338.82,680.49,3559.46,200.93,-1434.99,-77.19,-91.72,-87.72,104.64
