,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Period,2007/Q1,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,52.9,,,,29.89,3.69,-13.47,-20.12,-13.75,-33.25,-7.87,71.13,-7.46,41.08,3.33,-52.22,6.21,7.68,0.89,-11.66,-50.91,-43.12,73.63,-216.47,5.05,-5.55,-71.9,151.2,8.95,5.6,19.63,14.43,18.78,19.87,4.24,23.92,25.66,20.71,28.0,-0.47,8.17,5.34,21.23,33.89,5.78,12.12,0.09,9.81,5.5,0.64,-6.36,-8.62,13.83,20.4,32.78,47.44,28.77,32.9,30.07,16.19,12.74,-10.98,-13.08,-11.28
Techniczny koszt wytworzenia produkcji sprzedanej,,50.17,,,,32.32,12.42,-10.95,-18.16,-8.61,-33.42,-0.95,78.37,-7.62,34.19,-1.7,-53.77,-1.42,7.53,0.08,-13.38,-50.43,-45.52,75.58,-221.16,0.15,-5.21,-72.82,152.02,15.72,13.39,23.59,12.54,16.56,24.68,7.91,32.96,38.65,19.58,30.14,-0.6,1.99,7.36,20.2,29.24,7.38,6.9,0.36,4.45,1.3,-0.78,-9.41,-1.74,20.91,27.34,42.98,47.91,24.18,32.63,24.93,17.09,16.03,-12.1,-16.95,-13.89
Koszty sprzedaży,,35.58,,,,26.85,7.82,27.62,3.31,-4.58,-0.27,-30.82,60.64,-3.63,-3.17,4.21,-51.43,14.44,13.26,5.55,31.17,-57.93,-48.54,83.6,-171.67,10.05,-2.2,-69.64,160.74,22.59,6.09,4.35,8.11,6.72,35.14,28.17,41.97,13.63,0.39,-5.46,-10.07,13.49,0.42,14.4,17.79,-1.85,15.31,0.9,2.64,-2.58,-11.26,-3.46,-25.51,-2.07,18.0,15.85,40.27,21.36,17.43,20.63,14.47,15.93,-17.09,17.22,9.5
Koszty ogólnego zarządu,,16.68,,,,55.57,15.48,-10.4,16.7,-23.03,-19.84,-10.79,23.45,-5.73,-5.09,-53.14,-54.03,-1.85,4.5,88.48,16.74,-30.47,-27.59,311.66,-322.21,36.28,9.42,-78.06,138.89,2.13,-2.2,19.17,24.76,5.32,-22.54,-39.27,-33.84,-7.94,39.77,47.23,12.35,-4.86,16.19,-3.79,39.37,17.06,14.78,19.84,8.34,5.28,-8.49,5.9,-9.04,7.59,15.66,10.46,20.19,28.26,22.65,34.13,1.85,18.48,12.63,0.71,3.02
Zysk ze sprzedaży,,141.45,,,,6.7,-47.83,-48.48,-60.66,-51.61,-98.45,-20.81,75.12,-15.53,10293.91,87.29,-36.32,103.33,4.88,-14.84,-71.75,-57.23,-31.13,-42.6,-118.28,5.63,-17.82,-45.15,175.48,-51.5,-31.85,11.57,167.8,136.79,-1.86,-8.27,-85.55,-28.26,58.08,56.49,350.36,119.53,-13.98,57.99,639.55,-4.52,61.87,-11.84,111.46,53.5,29.5,5.89,-40.68,-10.44,-13.88,-3.4,85.53,72.02,56.84,86.64,20.45,-10.93,-10.84,-16.99,-17.48
Pozostałe przychody operacyjne,,9.76,,,,898.64,110.31,277.35,-19.24,-77.78,339.31,-6.62,187.06,-65.24,-73.48,-71.72,-41.96,-32.0,-15.36,0.44,7.81,-41.52,-90.31,165.23,-163.39,87.57,284.62,-44.9,199.88,32.02,59.6,-64.12,-37.05,-42.65,20.05,-72.42,33.46,10.21,-36.81,322.9,93.19,-45.18,-67.51,134.48,-76.2,135.17,480.68,-61.89,146.22,74.63,27.79,121.01,-341.1,9.66,-64.09,-60.6,121.25,-103.98,-50.64,138.75,121.92,930.77,231.7,-62.49,-88.13
Pozostałe koszty operacyjne,,-21.81,,,,9.75,157.1,285.13,20.63,38.77,-51.03,-28.18,165.67,76.54,70.08,-53.86,-50.62,-28.07,-20.16,20.43,8.26,-73.35,40.71,542.38,-376.02,-70.46,-90.48,-89.82,152.52,142.26,70.97,-67.26,-78.01,93.96,72.28,237.92,131.2,-72.31,-15.16,0.23,-0.18,213.5,28.8,-16.56,61.74,-21.33,12.34,-43.29,-11.77,128.03,90.39,45.06,-143.73,-89.37,-80.35,-35.08,138.81,39.78,1.83,-24.1,27.52,-24.62,59.46,41.95,111.99
Zysk operacyjny (EBIT),,199.67,,,,103.84,-63.22,-52.84,-65.4,-73.23,38.47,-12.89,65.88,-77.72,53.93,81.69,-30.03,462.5,9.26,-17.22,-80.46,-48.8,-60.19,-106.44,395.63,30.95,61.99,638.12,-140.93,-50.06,-28.2,9.96,126.35,82.39,-6.51,-32.58,-231.62,-12.11,48.19,87.6,161.97,88.04,-26.37,79.4,22.75,3.67,96.33,-14.48,765.5,47.56,20.93,9.17,-53.15,4.8,-8.12,-6.54,210.46,51.93,52.26,95.15,27.87,-7.89,-7.79,-20.64,-34.78
Przychody finansowe,,36.73,,,,79.1,209.43,-133.76,-44.49,-70.0,-51.95,151.89,-52.09,-63.89,91.37,115.62,-4.94,103.85,-71.49,-69.08,84.0,-10.38,-2.79,41592.19,-5781.3,639.47,200.0,-97.92,101.19,-22.92,-111.0,-58.92,157.88,40.63,530.43,28.07,-28.93,3.22,-7.74,112.67,-30.35,-84.92,2.55,-50.89,-54.66,115.19,92.17,-12.79,308.33,62.35,-104.63,-40.23,-150.75,-85.75,2628.0,-21.38,257.91,721.19,-54.75,190.4,100.85,153.15,1232.52,939.39,-73.8
