,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Period,2007/Q1,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,54032.0,82617.0,101734.0,131729.0,142316.0,107308.0,105485.0,113986.0,113688.0,92558.0,70406.0,105015.0,194549.0,85650.0,99329.0,108510.0,92961.0,90971.0,106957.0,109476.0,82125.0,44662.0,60834.0,190083.0,-95651.0,46918.0,57460.0,53410.0,48972.0,51119.0,60676.0,63893.0,56037.0,60717.0,72735.0,66604.0,69442.0,76299.0,87795.0,85256.0,69117.0,82535.0,92484.0,103356.0,92544.0,87305.0,103694.0,103444.0,101623.0,92106.0,104356.0,96862.0,92862.0,104847.0,125647.0,128616.0,136919.0,135010.0,166980.0,167286.0,159082.0,152206.0,148653.0,145412.0,141130.0
Techniczny koszt wytworzenia produkcji sprzedanej,38247.0,57435.0,69509.0,88404.0,98722.0,75999.0,78139.0,78728.0,80791.0,69459.0,52023.0,77984.0,144106.0,64168.0,69812.0,76656.0,66616.0,63256.0,75067.0,76714.0,57706.0,31359.0,40894.0,134692.0,-69915.0,31407.0,38765.0,36607.0,36368.0,36345.0,43957.0,45243.0,40928.0,42365.0,54806.0,48822.0,54416.0,58739.0,65538.0,63538.0,54090.0,59908.0,70363.0,76374.0,69904.0,64331.0,75215.0,76650.0,73014.0,65166.0,74627.0,69437.0,71743.0,78790.0,95032.0,99282.0,106114.0,97842.0,126040.0,124032.0,124250.0,113524.0,110790.0,103014.0,106997.0
Koszty sprzedaży,6978.0,9461.0,10956.0,12826.0,14636.0,12001.0,11813.0,16368.0,15120.0,11451.0,11781.0,11323.0,24289.0,11035.0,11407.0,11800.0,11796.0,12628.0,12920.0,12455.0,15473.0,5313.0,6648.0,22868.0,-11090.0,5847.0,6502.0,6943.0,6736.0,7168.0,6898.0,7245.0,7282.0,7650.0,9322.0,9286.0,10338.0,8693.0,9358.0,8779.0,9297.0,9866.0,9397.0,10043.0,10951.0,9683.0,10836.0,10133.0,11240.0,9433.0,9616.0,9782.0,8373.0,9238.0,11347.0,11332.0,11745.0,11211.0,13325.0,13670.0,13444.0,12997.0,11048.0,16024.0,14721.0
Koszty ogólnego zarządu,4443.0,5184.0,7008.0,8344.0,8253.0,8065.0,8093.0,7476.0,9631.0,6208.0,6487.0,6669.0,11889.0,5852.0,6157.0,3125.0,5465.0,5744.0,6434.0,5890.0,6380.0,3994.0,4659.0,24247.0,-14177.0,5443.0,5098.0,5321.0,5514.0,5559.0,4986.0,6341.0,6879.0,5855.0,3862.0,3851.0,4551.0,5390.0,5398.0,5670.0,5113.0,5128.0,6272.0,5455.0,7126.0,6003.0,7199.0,6537.0,7720.0,6320.0,6588.0,6923.0,7022.0,6800.0,7620.0,7647.0,8440.0,8722.0,9346.0,10257.0,8596.0,10334.0,10526.0,10330.0,8856.0
Zysk ze sprzedaży,4364.0,10537.0,14261.0,22155.0,20705.0,11243.0,7440.0,11414.0,8146.0,5440.0,115.0,9039.0,14265.0,4595.0,11953.0,16929.0,9084.0,9343.0,12536.0,14417.0,2566.0,3996.0,8633.0,8276.0,-469.0,4221.0,7095.0,4539.0,354.0,2047.0,4835.0,5064.0,948.0,4847.0,4745.0,4645.0,137.0,3477.0,7501.0,7269.0,617.0,7633.0,6452.0,11484.0,4563.0,7288.0,10444.0,10124.0,9649.0,11187.0,13525.0,10720.0,5724.0,10019.0,11648.0,10355.0,10620.0,17235.0,18269.0,19327.0,12792.0,15351.0,16289.0,16044.0,10556.0
Pozostałe przychody operacyjne,1004.0,1102.0,970.0,905.0,1866.0,11005.0,2040.0,3415.0,1507.0,2445.0,8962.0,3189.0,4326.0,850.0,2377.0,902.0,2511.0,578.0,2012.0,906.0,2707.0,338.0,195.0,2403.0,-1716.0,634.0,750.0,1324.0,1714.0,837.0,1197.0,475.0,1079.0,480.0,1437.0,131.0,1440.0,529.0,908.0,554.0,2782.0,290.0,295.0,1299.0,662.0,682.0,1713.0,495.0,1630.0,1191.0,2189.0,1094.0,-3930.0,1306.0,786.0,431.0,835.0,-52.0,388.0,1029.0,1853.0,432.0,1287.0,386.0,220.0
Pozostałe koszty operacyjne,2008.0,1570.0,1760.0,1170.0,2142.0,1723.0,4525.0,4506.0,2584.0,2391.0,2216.0,3236.0,6865.0,4221.0,3769.0,1493.0,3390.0,3036.0,3009.0,1798.0,3670.0,809.0,4234.0,11550.0,-10130.0,239.0,403.0,1176.0,5320.0,579.0,689.0,385.0,1170.0,1123.0,1187.0,1301.0,2705.0,311.0,1007.0,1304.0,2700.0,975.0,1297.0,1088.0,4367.0,767.0,1457.0,617.0,3853.0,1749.0,2774.0,895.0,-1685.0,186.0,545.0,581.0,654.0,260.0,555.0,441.0,834.0,196.0,885.0,626.0,1768.0
Zysk operacyjny (EBIT),3360.0,10069.0,13471.0,21890.0,20429.0,20525.0,4955.0,10323.0,7069.0,5494.0,6861.0,8992.0,11726.0,1224.0,10561.0,16338.0,8205.0,6885.0,11539.0,13525.0,1603.0,3525.0,4594.0,-871.0,7945.0,4616.0,7442.0,4687.0,-3252.0,2305.0,5343.0,5154.0,857.0,4204.0,4995.0,3475.0,-1128.0,3695.0,7402.0,6519.0,699.0,6948.0,5450.0,11695.0,858.0,7203.0,10700.0,10002.0,7426.0,10629.0,12940.0,10919.0,3479.0,11139.0,11889.0,10205.0,10801.0,16923.0,18102.0,19915.0,13811.0,15587.0,16691.0,15804.0,9008.0
Przychody finansowe,392.0,536.0,265.0,548.0,989.0,960.0,820.0,-185.0,549.0,288.0,394.0,96.0,263.0,104.0,754.0,207.0,250.0,212.0,215.0,64.0,460.0,190.0,209.0,26683.0,-26134.0,1405.0,627.0,555.0,311.0,1083.0,-69.0,228.0,802.0,1523.0,297.0,292.0,570.0,1572.0,274.0,621.0,397.0,237.0,281.0,305.0,180.0,510.0,540.0,266.0,735.0,828.0,-25.0,159.0,-373.0,118.0,632.0,125.0,589.0,969.0,286.0,363.0,1183.0,2453.0,3811.0,3773.0,310.0
