,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-80.39,-58.88,-97.23,-90.85,-82.47,-95.79,-300.0,-112.1,-98.32,-97.58,99.06,153.33,250.0,3666.67,18300.0,10187.5,2257.14,56.64,-79.12,-83.48,183.03,1213.56,12578.95,5541.91,926.55,348.39,-52.95,-61.2,25.22,37.22,82.64,175.85,-40.51,-18.36,-100.77,-96.13,-99.8,792.72,88743.75,14925.79,774428.56,-67.39,-31.61,-25.49,-34.2,63.63,14.31,8.33,-37.55,-43.77,-12.09,15.82,54.02,55.18,1.76,27.59,51.4,55.32,62.33,18.13,18.81,-17.58,7.21,-10.95,-24.87,-15.45,-27.64,-16.81,-36.42,-16.18,-3.27,1.41
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-15.13,-10.4,-17.55,12.69,95.3,-15.75,-354.19,-100.0,-100.0,-100.0,100.0,,,,,,,,,,,,,,,418.3,-22.84,-10.79,75.56,-11.63,29.61,65.9,-18.54,-5.17,-93.34,-94.62,-94.59,610.87,8091.15,8574.07,13539.0,-65.97,-33.22,-22.47,-31.32,59.98,14.02,8.04,-38.72,-42.1,-14.84,14.05,62.11,51.68,6.34,26.09,48.06,59.41,64.87,15.6,17.45,-18.65,3.66,-0.52,-24.07,-13.58,-26.26,-11.9,-34.47,-17.08,-4.89,-9.09
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.16,224.87,151.15,-38.35,167.02,-6.99,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,-5.72,16.5,4.86,56.86,6.06,1.28,6.33,5.19,44.38,33.32,68.83,33.98,-7.02,20.45,64.57,-16.45,-35.19,-31.68,-52.17,17.83,94.68,24.73,-21.55,-33.68,-77.61,-83.04,-85.36,-32.1,48.47,487.05,495.75,-48.09,32.41,-68.3,-27.22,30.56,-8.31,-4.03,-2.49,30.73,10.36,-39.08,6.03,-7.16,-7.04,91.55,21.53,35.81,43.4,40.14,30.69,20.98,15.5,9.89,-4.83,-19.57,1.17,5.08,21.71,16.32,-5.62,-21.08
Zysk ze sprzedaży,,,,,-105.14,-65.05,-127.03,-172.88,-1031.01,-121.88,166.98,-255.9,-4.18,-157.41,-374.65,-15.2,-4.54,-48.2,20.33,34.79,3.59,-2.05,-85.07,-98.57,-56.53,-85.94,-23.13,17.68,-108.97,-111.2,-87.89,-126.41,10.4,60.13,0.27,17.09,-13.21,-32.01,72.47,83.98,87.98,309.72,128.41,169.34,707.2,-86.71,66.94,-24.7,-75.15,190.92,72.08,66.67,-37.42,-90.57,76.6,202.7,-143.67,632.11,-81.09,41.48,528.97,-20.24,-157.63,58.86,65.12,-3.61,1033.33,-168.11,-71.37,-76.59,-100.84,-98.87,-403.91,-10.91,5143.75,102.96
Pozostałe przychody operacyjne,,,,,-159900.0,-100.0,,-100.0,88.42,,-67.97,,378.38,-91.06,-61.49,-92.25,-44.85,54.42,-59.8,-421.67,54.23,-20.26,32.03,323.32,100.23,3490.61,69.54,203.25,23.03,-79.83,1106.52,48.05,84.62,126.32,-79.87,-134.94,-39.96,130.77,155.69,132.1,-80.94,-99.2,-100.0,188.48,74.12,4816.36,,-514.54,67.25,-99.08,-77.59,160.12,-35.54,2628.0,-4084.62,-91.92,54.91,-97.51,102.51,-85.71,-97.13,9688.24,915.38,3750.0,131.58,-98.2,-84.09,-68.69,43.18,646.67,57.14,226.73,630.16,-7.59,318.18,-92.24
Pozostałe koszty operacyjne,,,,,,,,,,,,,,,-75.11,-97.74,27.08,-88.31,301.69,23933.33,196.72,-10.34,12.24,-92.79,50.55,-11.54,-90.98,459.62,-63.3,143.48,28266.67,1910.31,-5.0,133.93,-91.66,13.73,-53.16,706.11,97.18,-110.97,-87.64,1.33,-82.77,111.78,900.0,114.49,-90.67,1810.47,173.64,-80.04,-77.78,-88.01,-86.38,-97.6,350.0,-18.78,-75.61,4600.0,-77.78,-95.0,-90.0,201.93,1425.0,4387.5,200.0,-95.2,-91.8,145.96,28866.67,-76.0,-100.0,321.29,-56.62,-1900.0,,-42.47
Zysk operacyjny (EBIT),,,,,-168.75,-84.55,76.06,-139.08,4.81,-47.86,-57.59,-139.56,33.03,-216.75,-135.86,-66.82,-29.61,-22.49,-42.03,-8.4,-2.03,-4.89,-82.85,-6.66,-41.9,270.29,1.39,45.33,-100.0,-308.76,-106.48,-572.92,34.95,97.96,4.86,-26.5,-47.92,1592.86,139.6,101.88,90.09,281.98,-88.17,367.26,1114.47,-79.14,272.73,-470.44,-67.85,82.66,62.96,151.63,-24.98,-64.57,24.98,-6.02,-58.4,74.12,-72.83,44.58,174.06,9.47,-136.64,70.61,66.15,-11.41,1543.61,-177.6,-116.16,-63.37,-99.11,-145.91,-398.31,47.0,2647.06,78.3
Przychody finansowe,,,,,,,,,,,,,,,-94.09,101.42,20.0,-85.71,-72.73,2400.0,16.67,500.0,1766.67,-10.0,71.43,50.0,-78.57,77.78,6491.67,-2311.11,3766.67,-273.75,-99.75,100.5,-99.78,100.72,-50.0,3800.0,0.0,0.0,0.0,2048.72,16900.0,39000.0,11600.0,-95.11,1.18,109.97,203.42,246.34,33.72,-44.46,-89.58,97.18,-70.87,-110.31,143.24,164.29,-156.72,636.17,-83.33,-96.76,726.32,59.13,1113.33,279.17,-57.14,-142.14,214.84,-38.46,-129.41,-133.73,-97.21,166.07,460.0,52.66
