,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Period,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,15.29,38.19,9.09,14.9,1.55,7.29,9.38,6.46,8.68,19.09,35.52,12.33,19.76,58.76,36.8,32.28,45.63,14.45,6.96,18.63,17.7,10.68,2.73,2.36,-6.29,-0.57,-19.31,-7.26,19.06,49.08,169.2,212.56,114.21,67.28,26.46,-42.2,-43.42,-48.6,-51.21,-28.38,0.6
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,14.42,35.91,8.54,14.86,-3.33,7.11,9.22,6.57,5.96,15.14,26.14,9.67,23.36,52.41,45.8,33.98,46.23,12.56,3.4,19.81,19.69,14.7,4.9,0.12,-7.15,0.97,-16.64,-5.68,14.38,28.14,109.03,133.92,106.82,83.89,38.64,-18.99,-32.47,-47.82,-44.77,-33.28,-9.91
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.85,19.4,0.75,4.36,-6.44,-16.21,-7.81,9.47
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,0.87,-79.91,-64.32,-22.93,-47.1,55.22,107.98
Zysk ze sprzedaży,,,,,40.11,211.21,23.52,15.58,114.83,13.24,12.91,4.57,37.03,142.66,242.79,59.87,-9.4,152.98,-36.39,11.43,38.93,31.29,73.48,1.22,-5.38,-20.08,-21.46,41.54,6.43,-17.51,-59.03,-26.87,78.82,186.24,1445.16,1163.63,68.92,-8.71,-18.59,-111.55,-169.21,-82.61,-108.34,90.89,85.29
Pozostałe przychody operacyjne,,,,,353.61,27.59,157.65,-0.93,-40.63,54.73,-63.95,120.75,28.03,-5.68,18.39,142.74,-37.08,0.0,38.51,-23.24,42.01,88.43,-17.06,-40.83,-7.73,-37.35,-5.92,142.64,29.19,2.75,3.59,-35.62,-1.85,52.29,0.58,-4.47,41.89,27.82,60.63,522.34,-239.49,-33.33,27.19,-78.84,219.83
Pozostałe koszty operacyjne,,,,,10.78,-20.79,382.61,30.0,-30.41,-13.75,-94.14,31.62,-31.47,259.42,1461.54,-11.04,-67.86,-39.92,-68.97,-9.49,-104.76,-87.25,-86.51,159.68,500.0,-26.32,123.53,-75.78,383.33,335.71,247.37,-48.72,234.48,22.95,266.67,172.5,-4.64,54.67,-66.74,-28.44,51.35,267.24,-295.03,-66.67,36.79
Zysk operacyjny (EBIT),,,,,190.29,215.93,26.07,14.45,94.94,19.05,9.38,7.5,40.75,117.94,206.95,68.9,-9.82,156.98,-31.69,8.46,40.76,34.44,69.96,-4.96,-5.71,-20.62,-21.12,52.47,7.12,-17.49,-57.72,-27.29,72.06,183.24,1330.14,1097.03,68.91,-8.3,-17.4,-108.52,-173.35,-83.32,-105.34,94.98,91.74
Przychody finansowe,,,,,127.45,666.67,-110.87,-105.71,-87.07,-100.0,320.0,500.0,-46.67,,-9.09,-350.0,725.0,,-100.0,100.0,-74.24,,,,1076.47,-100.0,-99.93,170.09,-396.0,,-56700.0,32.21,176.52,-100.0,100.0,-100.0,-100.0,,,,,,-100.0,-92.65,92.41
Koszty finansowe,,,,,-78.33,-31.01,-43.54,110.26,353.85,66.39,61.19,-50.0,505.08,24.75,-129.32,299.19,-136.69,77.94,191.58,-167.62,1609.16,-69.06,241.38,185.54,-78.6,23.9,206.73,-171.83,189.83,22.85,-64.87,171.57,-87.03,-32.85,102.81,506.16,366.04,248.56,9.55,38.76,91.36,61.09,718.14,-312.54,488.86
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,207.44,1002.73,33.87,8.62,84.36,7.5,5.98,12.78,34.02,146.24,253.97,59.12,-0.87,169.14,-33.8,25.65,1.31,47.87,94.49,-27.29,22.58,-23.12,-38.92,105.99,-15.31,4.17,-65.85,-26.69,129.45,129.32,1900.71,977.19,59.87,-11.34,-16.39,-106.38,-195.33,-90.04,-121.86,151.04,52.35
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,207.44,1002.73,33.87,8.62,84.36,7.5,5.98,12.78,34.02,146.24,253.97,59.12,-0.87,169.14,-33.8,25.65,1.31,47.87,94.49,-27.29,22.58,-23.12,-38.92,105.99,-15.31,4.17,-65.85,-26.69,129.45,129.32,1900.71,977.19,59.87,-11.34,-16.39,-106.38,-195.33,-90.04,-121.86,151.04,52.35
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,44.34,7515.38,0.59,9.37,58.92,10.61,3.84,9.04,41.05,130.23,268.28,64.51,-3.75,170.21,-37.56,23.86,2.01,51.57,112.38,-27.73,12.68,-23.03,-43.35,109.59,-10.41,4.01,-66.16,-27.91,142.38,129.54,1974.57,983.3,58.34,-11.39,-16.46,-106.47,-192.96,-91.43,-129.2,128.95,45.65
Zysk netto akcjonariuszy jednostki dominującej,,,,,44.34,7515.38,0.59,9.37,58.92,10.61,3.84,9.04,41.05,130.23,268.28,64.51,-3.75,170.21,-37.56,23.86,2.01,51.57,112.38,-27.73,12.68,-23.03,-43.35,109.59,-10.41,4.01,-66.16,-27.91,142.38,129.54,1974.57,983.3,58.34,-11.39,-16.46,-106.47,-192.96,-91.43,-129.2,128.95,45.65
Aktywa trwałe,,,,,3.46,21.24,34.82,55.72,57.24,34.27,21.79,4.13,14.52,14.04,14.98,23.94,21.65,27.18,33.09,29.24,26.72,31.06,32.36,30.97,33.53,26.62,20.51,17.17,9.55,7.82,6.71,8.58,9.97,8.8,12.09,-1.74,5.41,6.83,5.21,20.77,22.44,21.54,16.21,13.52,0.95
Wartości niematerialne i prawne,,,,,-46.15,-26.09,108.0,103.85,457.14,323.53,65.38,86.79,48.72,-19.44,-5.81,11.11,31.03,43.1,22.22,20.91,-10.53,-18.07,-31.31,-37.59,48.53,61.76,202.94,34540.96,28036.63,25497.27,13441.26,-2.76,-2.54,-2.29,-1.21,-2.56,-0.95,-1.58,-2.92,-2.91,69.42,70.1,70.34,70.44,-3.84
Rzeczowe składniki majątku trwałego,,,,,3.44,21.24,35.01,55.99,57.23,34.19,21.73,4.02,14.5,13.99,14.56,17.09,7.0,8.74,11.28,13.59,19.6,27.36,26.27,24.53,27.05,21.56,21.22,17.96,10.07,5.43,2.71,2.85,0.2,1.04,4.28,5.89,20.45,22.75,23.65,26.75,14.02,14.27,7.89,4.85,3.38
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,20.24,34.52,-19.11,-18.0,32.67,19.47,26.77,16.26,16.42,52.59,173.91,2792.31,6054.49,5817.48,3279.59,284.62,78.02,52.77,62.62,62.59,64.7,50.83,17.26,-96.53,-92.94,-82.72,-74.93,1090.65,754.83,256.75,189.98,-82.18,-86.43,-86.57,-90.74,-25.35,-29.4,-98.11,-97.07,-97.75,-98.52
Aktywa obrotowe,,,,,4.24,19.35,7.33,9.88,4.82,9.53,16.44,24.63,23.8,5.78,28.27,21.27,41.35,99.22,34.04,49.41,41.88,13.87,31.59,14.49,19.42,9.87,19.17,8.47,12.09,16.41,-13.51,7.38,7.63,36.07,88.39,148.67,156.43,101.52,83.54,-16.24,-34.46,-35.1,-34.2,-5.72,13.54
