,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Period,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,41110.0,33521.0,44229.0,50614.0,47395.0,46324.0,48251.0,58156.0,48129.0,49701.0,52775.0,61914.0,52305.0,59188.0,71519.0,69546.0,62639.0,93966.0,97841.0,91996.0,91219.0,107540.0,104655.0,109138.0,107364.0,119029.0,107510.0,111713.0,100614.0,118349.0,86750.0,103600.0,119786.0,176438.0,233535.0,323810.0,256593.0,295143.0,295323.0,187161.0,145176.0,151699.0,144098.0,134049.0,146054.0
Techniczny koszt wytworzenia produkcji sprzedanej,39714.0,33084.0,42592.0,47905.0,45439.0,44964.0,46229.0,55025.0,43927.0,48161.0,50492.0,58640.0,46547.0,55451.0,63693.0,64312.0,57422.0,84512.0,92863.0,86164.0,83971.0,95128.0,96019.0,103235.0,100506.0,109109.0,100727.0,103358.0,93315.0,110166.0,83971.0,97490.0,106734.0,141168.0,175528.0,228045.0,220745.0,259595.0,243352.0,184732.0,149069.0,135453.0,134400.0,123246.0,134302.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7759.0,9792.0,9445.0,9378.0,9765.0,11692.0,9516.0,9787.0,9136.0,9797.0,8773.0,10714.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4088.0,5275.0,9112.0,4423.0,4400.0,5321.0,1831.0,1578.0,3391.0,2815.0,2842.0,3282.0
Zysk ze sprzedaży,1396.0,437.0,1637.0,2709.0,1956.0,1360.0,2022.0,3131.0,4202.0,1540.0,2283.0,3274.0,5758.0,3737.0,7826.0,5234.0,5217.0,9454.0,4978.0,5832.0,7248.0,12412.0,8636.0,5903.0,6858.0,9920.0,6783.0,8355.0,7299.0,8183.0,2779.0,6110.0,13052.0,23423.0,42940.0,77208.0,22047.0,21383.0,34958.0,-8918.0,-15258.0,3719.0,-2914.0,-812.0,-2244.0
Pozostałe przychody operacyjne,-263.0,116.0,281.0,107.0,667.0,148.0,724.0,106.0,396.0,229.0,261.0,234.0,507.0,216.0,309.0,568.0,319.0,216.0,428.0,436.0,453.0,407.0,355.0,258.0,418.0,255.0,334.0,626.0,540.0,262.0,346.0,403.0,530.0,399.0,348.0,385.0,752.0,510.0,559.0,2396.0,-1049.0,340.0,711.0,507.0,1257.0
Pozostałe koszty operacyjne,371.0,101.0,92.0,90.0,411.0,80.0,444.0,117.0,286.0,69.0,26.0,154.0,196.0,248.0,406.0,137.0,63.0,149.0,126.0,124.0,-3.0,19.0,17.0,322.0,12.0,14.0,38.0,78.0,58.0,61.0,132.0,40.0,194.0,75.0,484.0,109.0,185.0,116.0,161.0,78.0,280.0,426.0,-314.0,26.0,383.0
Zysk operacyjny (EBIT),762.0,452.0,1826.0,2726.0,2212.0,1428.0,2302.0,3120.0,4312.0,1700.0,2518.0,3354.0,6069.0,3705.0,7729.0,5665.0,5473.0,9521.0,5280.0,6144.0,7704.0,12800.0,8974.0,5839.0,7264.0,10161.0,7079.0,8903.0,7781.0,8384.0,2993.0,6473.0,13388.0,23747.0,42804.0,77484.0,22614.0,21777.0,35356.0,-6600.0,-16587.0,3633.0,-1889.0,-331.0,-1370.0
Przychody finansowe,51.0,3.0,92.0,35.0,116.0,23.0,-10.0,-2.0,15.0,0.0,22.0,8.0,8.0,0.0,20.0,-20.0,66.0,0.0,0.0,0.0,17.0,251.0,1423.0,-846.0,200.0,0.0,1.0,593.0,-592.0,2264.0,-566.0,784.0,453.0,0.0,0.0,0.0,0.0,0.0,599.0,2940.0,-2847.0,0.0,0.0,216.0,-216.0
Koszty finansowe,60.0,345.0,356.0,117.0,13.0,238.0,201.0,246.0,59.0,396.0,324.0,123.0,357.0,494.0,-95.0,491.0,-131.0,879.0,87.0,-332.0,1977.0,272.0,297.0,284.0,423.0,337.0,911.0,-204.0,1226.0,414.0,320.0,146.0,159.0,278.0,649.0,885.0,741.0,969.0,711.0,1228.0,1418.0,1561.0,5817.0,-2610.0,8350.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,753.0,110.0,1562.0,2644.0,2315.0,1213.0,2091.0,2872.0,4268.0,1304.0,2216.0,3239.0,5720.0,3211.0,7844.0,5154.0,5670.0,8642.0,5193.0,6476.0,5744.0,12779.0,10100.0,4709.0,7041.0,9824.0,6169.0,9700.0,5963.0,10234.0,2107.0,7111.0,13682.0,23469.0,42155.0,76599.0,21873.0,20808.0,35244.0,-4888.0,-20852.0,2072.0,-7706.0,2495.0,-9936.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,753.0,110.0,1562.0,2644.0,2315.0,1213.0,2091.0,2872.0,4268.0,1304.0,2216.0,3239.0,5720.0,3211.0,7844.0,5154.0,5670.0,8642.0,5193.0,6476.0,5744.0,12779.0,10100.0,4709.0,7041.0,9824.0,6169.0,9700.0,5963.0,10234.0,2107.0,7111.0,13682.0,23469.0,42155.0,76599.0,21873.0,20808.0,35244.0,-4888.0,-20852.0,2072.0,-7706.0,2495.0,-9936.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1457.0,13.0,1681.0,2155.0,2103.0,990.0,1691.0,2357.0,3342.0,1095.0,1756.0,2570.0,4714.0,2521.0,6467.0,4228.0,4537.0,6812.0,4038.0,5237.0,4628.0,10325.0,8576.0,3785.0,5215.0,7947.0,4858.0,7933.0,4672.0,8266.0,1644.0,5719.0,11324.0,18974.0,34106.0,61954.0,17930.0,16813.0,28493.0,-4007.0,-16667.0,1441.0,-8320.0,1160.0,-9058.0
Zysk netto akcjonariuszy jednostki dominującej,1457.0,13.0,1681.0,2155.0,2103.0,990.0,1691.0,2357.0,3342.0,1095.0,1756.0,2570.0,4714.0,2521.0,6467.0,4228.0,4537.0,6812.0,4038.0,5237.0,4628.0,10325.0,8576.0,3785.0,5215.0,7947.0,4858.0,7933.0,4672.0,8266.0,1644.0,5719.0,11324.0,18974.0,34106.0,61954.0,17930.0,16813.0,28493.0,-4007.0,-16667.0,1441.0,-8320.0,1160.0,-9058.0
Aktywa trwałe,34626.0,35020.0,35030.0,35669.0,35825.0,42459.0,47227.0,55543.0,56331.0,57010.0,57520.0,57836.0,64513.0,65012.0,66134.0,71682.0,78479.0,82683.0,88019.0,92642.0,99448.0,108366.0,116503.0,121336.0,132796.0,137211.0,140392.0,142174.0,145472.0,147940.0,149819.0,154377.0,159972.0,160957.0,167930.0,151690.0,168619.0,171949.0,176683.0,183191.0,206455.0,208986.0,205327.0,207961.0,208421.0
