,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Period,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,17786.0,23262.0,19427.0,22992.0,20757.0,25056.0,22989.0,24300.0,24340.0,27827.0,16755.0,14757.0,12138.0,10832.0,3836.0,-14976.0,3976.0,12529.0,9132.0,11013.0,9994.0,9243.0,11929.0,7644.0,11105.0,13949.0,15501.0,10257.0,8240.0,10522.0,8064.0,8828.0,8885.0,8412.0,5587.0,11888.0,7236.0,6901.0,8778.0,8050.0,8485.0,9338.0,10911.0,3446.0,4962.0,5041.0,5434.0,4770.0,6607.0,5168.0,5328.0,5135.0,5097.0,5493.0,5704.0,5466.0,6666.0,4327.0,6228.0,7158.0,7412.0,5569.0,10550.0,10128.0,10587.0,10341.0,11209.0,11175.0,14536.0,9906.0,10768.0,11853.0
Techniczny koszt wytworzenia produkcji sprzedanej,9123.0,9949.0,8508.0,11306.0,9412.0,12921.0,10977.0,11284.0,9099.0,11476.0,7001.0,10977.0,4526.0,6291.0,3460.0,-4886.0,2027.0,5703.0,5191.0,6126.0,5651.0,5182.0,6911.0,5537.0,6501.0,7588.0,8972.0,6724.0,4295.0,6576.0,4859.0,2355.0,3806.0,4317.0,2988.0,4460.0,4279.0,4825.0,4411.0,4917.0,4913.0,5278.0,5835.0,5129.0,3034.0,3833.0,3468.0,4177.0,4112.0,3420.0,3613.0,3472.0,3287.0,3650.0,3675.0,3716.0,4330.0,2854.0,4233.0,4970.0,5099.0,3855.0,7071.0,7516.0,7569.0,6910.0,7259.0,7816.0,10104.0,6276.0,6537.0,7945.0
Koszty sprzedaży,2905.0,4213.0,4309.0,7368.0,3331.0,6763.0,5706.0,8019.0,4703.0,8422.0,5900.0,6448.0,1801.0,4331.0,3223.0,2500.0,1121.0,1765.0,1429.0,2331.0,1467.0,3108.0,2782.0,4485.0,2579.0,3751.0,4329.0,5607.0,2061.0,2203.0,2075.0,2606.0,2222.0,2065.0,1714.0,2112.0,2244.0,2821.0,2683.0,3737.0,2680.0,3510.0,3116.0,3566.0,2581.0,2414.0,2193.0,2443.0,2011.0,1954.0,2067.0,2254.0,2185.0,2233.0,2268.0,2641.0,2152.0,1465.0,1954.0,2150.0,1950.0,1892.0,2322.0,2879.0,2465.0,2671.0,2559.0,2687.0,2585.0,2651.0,2573.0,2828.0
Koszty ogólnego zarządu,4762.0,5096.0,4828.0,8295.0,5688.0,6044.0,5643.0,8173.0,6363.0,7039.0,5384.0,7930.0,4938.0,6539.0,3893.0,9111.0,2166.0,3185.0,2497.0,1851.0,2166.0,1999.0,2136.0,2598.0,2104.0,3297.0,3396.0,3399.0,1969.0,1881.0,1925.0,2059.0,1663.0,1820.0,1797.0,2368.0,931.0,1028.0,1030.0,1257.0,874.0,1193.0,965.0,1297.0,983.0,942.0,1265.0,2229.0,993.0,610.0,834.0,740.0,854.0,875.0,902.0,1166.0,948.0,729.0,877.0,1088.0,911.0,867.0,1002.0,1181.0,1013.0,1178.0,1205.0,1312.0,1332.0,1315.0,1261.0,1308.0
Zysk ze sprzedaży,996.0,4004.0,1782.0,-3977.0,2326.0,-672.0,663.0,-3176.0,4175.0,890.0,-1530.0,-10598.0,873.0,-6329.0,-6740.0,-21701.0,-1338.0,1876.0,15.0,705.0,710.0,-1046.0,100.0,-4976.0,-79.0,-687.0,-1196.0,-5473.0,-85.0,-138.0,-795.0,1808.0,1194.0,210.0,-912.0,2948.0,-218.0,-1773.0,654.0,-1861.0,18.0,-643.0,995.0,-6546.0,-1636.0,-2148.0,-1492.0,-4079.0,-509.0,-816.0,-1186.0,-1331.0,-1229.0,-1265.0,-1141.0,-2057.0,-764.0,-721.0,-836.0,-1050.0,-548.0,-1045.0,155.0,-1448.0,-460.0,-418.0,186.0,-640.0,515.0,-336.0,397.0,-228.0
Pozostałe przychody operacyjne,155.0,-20.0,-51.0,18102.0,128.0,1366.0,3370.0,1444.0,47.0,283.0,-324.0,2142.0,307.0,1514.0,-1821.0,2074.0,1217.0,12454.0,-4752.0,2509.0,2310.0,2595.0,1495.0,1084.0,187.0,3019.0,451.0,429.0,412.0,2052.0,971.0,-1923.0,35.0,1672.0,70.0,152.0,180.0,348.0,29.0,3099.0,112.0,191.0,23.0,1223.0,47.0,1548.0,421.0,259.0,355.0,74.0,106.0,285.0,41.0,188.0,15.0,222.0,162.0,384.0,218.0,29.0,46.0,31.0,11.0,102.0,59.0,741.0,138.0,187.0,131.0,70.0,45.0,30.0
Pozostałe koszty operacyjne,0.0,415.0,-415.0,0.0,0.0,0.0,0.0,2582.0,118.0,223.0,-341.0,3746.0,22.0,1551.0,-922.0,22787.0,81.0,6120.0,0.0,3331.0,279.0,483.0,38.0,17158.0,15.0,149.0,181.0,7934.0,200.0,1343.0,345.0,-449.0,61.0,780.0,94.0,1486.0,45.0,241.0,33.0,1439.0,120.0,79.0,69.0,4918.0,195.0,234.0,267.0,561.0,69.0,101.0,175.0,1353.0,33.0,191.0,49.0,209.0,209.0,97.0,54.0,79.0,36.0,27.0,40.0,14.0,83.0,34.0,10.0,196.0,91.0,49.0,24.0,77.0
Zysk operacyjny (EBIT),1151.0,3569.0,2146.0,14125.0,2454.0,694.0,4033.0,-4314.0,4104.0,950.0,-1513.0,-12202.0,1158.0,-6366.0,-7639.0,-42414.0,-202.0,8210.0,1464.0,-117.0,2741.0,1066.0,1557.0,-21050.0,93.0,2183.0,-926.0,-12978.0,127.0,571.0,-169.0,334.0,1168.0,1102.0,-936.0,1614.0,-83.0,-1666.0,650.0,-201.0,10.0,-531.0,949.0,-10241.0,-1784.0,-834.0,-1338.0,-4381.0,-223.0,-843.0,-1255.0,-2399.0,-1221.0,-1268.0,-1175.0,-2044.0,-811.0,-434.0,-672.0,-1100.0,-538.0,-1041.0,126.0,-1360.0,-484.0,289.0,314.0,-649.0,555.0,-315.0,418.0,-275.0
Przychody finansowe,1.0,55.0,73.0,275.0,113.0,136.0,127.0,10790.0,5.0,-5.0,155.0,1626.0,52.0,-52.0,708.0,-708.0,44.0,-44.0,0.0,0.0,1.0,-1.0,352.0,-352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
