,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Period,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,21293.0,22867.0,23289.0,22167.0,23518.0,23108.0,24137.0,24045.0,27152.0,27452.0,28103.0,26050.0,26638.0,21300.0,22975.0,20445.0,23618.0,33995.0,23220.0,24325.0,24645.0,28121.0,27723.0,34842.0,40651.0,38286.0,34802.0,32668.0,34725.0,37837.0,42770.0,41404.0,52257.0,54264.0,49940.0,47625.0,48180.0,54843.0,62577.0,60670.0,73556.0,82270.0,94708.0,90989.0,82709.0,92354.0,96197.0
Techniczny koszt wytworzenia produkcji sprzedanej,7940.0,10251.0,10043.0,7871.0,8735.0,13243.0,9990.0,9401.0,9886.0,11167.0,9941.0,9361.0,9764.0,13841.0,11870.0,9492.0,11850.0,21463.0,11639.0,12928.0,12016.0,15950.0,13714.0,17373.0,21923.0,25909.0,19939.0,19147.0,19103.0,19537.0,22167.0,18818.0,28959.0,38198.0,26400.0,25226.0,24425.0,32280.0,32318.0,31311.0,32256.0,40760.0,47133.0,42777.0,42444.0,3900.0,38430.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35233.0,10291.0
Zysk ze sprzedaży,13353.0,12616.0,13246.0,14296.0,14783.0,9865.0,14147.0,14644.0,17266.0,16285.0,18162.0,16689.0,16874.0,7459.0,11105.0,10953.0,11768.0,12532.0,11581.0,11397.0,12629.0,12171.0,14009.0,17469.0,18728.0,12377.0,14863.0,13521.0,15622.0,18300.0,20603.0,22586.0,23298.0,16066.0,23540.0,22399.0,23755.0,22563.0,30259.0,29359.0,41300.0,41510.0,47575.0,48212.0,40265.0,53221.0,47476.0
Pozostałe przychody operacyjne,-33309.0,33163.0,16465.0,87482.0,-24150.0,-12147.0,1227.0,27946.0,3246.0,15646.0,-35785.0,32876.0,3601.0,22660.0,337.0,28430.0,-18725.0,49538.0,-38572.0,36566.0,19395.0,-8529.0,1992.0,40430.0,-27134.0,75705.0,9183.0,56734.0,43397.0,12800.0,171889.0,-19647.0,30956.0,33094.0,13822.0,147060.0,56156.0,325745.0,28714.0,489778.0,131949.0,-191835.0,-9839.0,-213851.0,161107.0,-192957.0,-19578.0
Pozostałe koszty operacyjne,133.0,580.0,288.0,602.0,72.0,600.0,1000.0,97.0,211.0,2857.0,37.0,81.0,547.0,336.0,131.0,1531.0,385.0,1539.0,1108.0,1101.0,1333.0,-2060.0,2100.0,242.0,609.0,-465.0,1041.0,-66.0,153.0,3277.0,572.0,152.0,1781.0,-1499.0,712.0,609.0,1592.0,-127.0,571.0,367.0,361.0,9519.0,246.0,2748.0,-943.0,11349.0,1604.0
Zysk operacyjny (EBIT),-20089.0,45199.0,29423.0,101176.0,-9439.0,-2882.0,14374.0,42493.0,20301.0,29074.0,-17660.0,49484.0,19928.0,29783.0,11311.0,37852.0,-7342.0,60531.0,-28099.0,46862.0,30691.0,5702.0,13901.0,57657.0,-9015.0,88547.0,23005.0,70321.0,58866.0,27823.0,191920.0,2787.0,52473.0,50659.0,36650.0,168850.0,78319.0,348435.0,58402.0,518770.0,172888.0,-159844.0,37490.0,-168387.0,202315.0,-151085.0,26294.0
Przychody finansowe,10671.0,3090.0,268.0,1309.0,1882.0,-1203.0,738.0,1018.0,897.0,1751.0,17111.0,-6390.0,-4507.0,918.0,2407.0,-725.0,432.0,2712.0,12462.0,-919.0,-5768.0,10887.0,315.0,305.0,296.0,280.0,277.0,6417.0,-5822.0,9438.0,1492.0,163.0,74.0,79.0,270.0,18612.0,-17995.0,2233.0,140.0,188.0,183.0,244.0,4889.0,57402.0,-41215.0,79397.0,21383.0
Koszty finansowe,5659.0,7856.0,12966.0,59061.0,-5928.0,-3538.0,8256.0,5135.0,7431.0,14315.0,3504.0,7077.0,5925.0,22199.0,3658.0,9854.0,-2183.0,8750.0,3896.0,3148.0,4519.0,4028.0,7140.0,20664.0,-6460.0,9258.0,6341.0,6648.0,16550.0,-2431.0,55766.0,-9959.0,19330.0,24403.0,15371.0,4302.0,12329.0,3917.0,21067.0,17393.0,57358.0,-33939.0,16293.0,17608.0,23564.0,24167.0,24841.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-15077.0,40433.0,16725.0,43424.0,-1629.0,-547.0,6856.0,38376.0,13767.0,16510.0,-4053.0,36017.0,9496.0,8502.0,10060.0,27273.0,-4727.0,54493.0,-19533.0,42795.0,20404.0,12561.0,7076.0,37298.0,-2259.0,79569.0,16941.0,70090.0,36494.0,39692.0,137646.0,12909.0,33217.0,26335.0,21549.0,183160.0,47995.0,346751.0,37475.0,501565.0,115713.0,-125661.0,26086.0,-128593.0,137536.0,-95855.0,22836.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-15077.0,40433.0,16725.0,43424.0,-1629.0,-547.0,6856.0,38376.0,13767.0,16510.0,-4053.0,36017.0,9496.0,8502.0,10060.0,27273.0,-4727.0,54493.0,-19533.0,42795.0,20404.0,12561.0,7076.0,37298.0,-2259.0,79569.0,16941.0,70090.0,36494.0,39692.0,137646.0,12909.0,33217.0,26335.0,21549.0,183160.0,47995.0,346751.0,37475.0,501565.0,115713.0,-125661.0,26086.0,-128593.0,137536.0,-95855.0,22836.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
