,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Period,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,961.06,27.56,28.27,-9.14,-47.16,-25.51,25.93,42.6,30.55,41.13,33.48,22.38,57.43,73.86,109.05,9.1,29.91,67.3,-16.09,-3.8,-37.64,-47.62
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,1403.12,34.84,27.79,-13.45,-44.09,-23.69,12.92,20.66,17.03,20.93,61.13,40.9,67.63,96.39,129.24,11.56,16.21,72.83,-17.29,2.96,-40.97,-54.83
Koszty sprzedaży,,,,,27.27,-79.21,246.88,163.16,1135.71,672.97,316.22,924.0,255.49,39.86,182.9,142.97,156.42,354.25,51.8,75.16,76.98,5.01,11.44,-24.51,-36.26,19.08
Koszty ogólnego zarządu,,,,,187.07,336.93,64.5,28.48,25.43,39.64,55.86,39.09,20.22,53.5,-5.99,26.82,38.38,5.26,10.32,-13.63,-0.21,-25.87,3.6,40.74,11.64,44.95
Zysk ze sprzedaży,,,,,364.96,-67.75,-58.98,37.28,-183.06,-254.11,128.88,1022.53,106.37,172.91,-310.89,-88.13,-1653.24,-117.97,-63.41,-67.46,298.38,1789.93,-19.19,-2253.88,-71.7,-30.32
Pozostałe przychody operacyjne,,,,,38.29,-24.12,-14.78,-31.21,319.82,238.59,34.41,99.86,-75.45,-78.42,-4.81,86.23,120.86,359.69,150.31,20.36,19.98,61.4,50.16,-38.85,-69.41,-54.01
Pozostałe koszty operacyjne,,,,,15.73,-29.8,-42.17,-73.87,216.26,181.97,88.47,178.14,-74.61,-74.45,-29.26,55.88,229.41,297.68,355.64,217.07,145.25,67.57,11.2,-5.51,-88.0,-85.9
Zysk operacyjny (EBIT),,,,,291.42,-61.51,-13.24,109.97,-37.45,-84.37,25.3,372.66,-44.45,572.35,-121.58,-41.61,-204.29,6.59,-375.14,-90.17,160.25,305.76,108.11,-1709.0,156.9,-1.89
Przychody finansowe,,,,,-3866.67,-77.78,200.0,-78.1,111.5,-500.0,533.33,36.67,307.69,-28.12,261.4,-280.49,77.36,-39.02,-1.46,155.41,328.72,-445.61,-39.41,1343.9,-18.61,335.37
Koszty finansowe,,,,,37.5,-28.98,0.76,-38.76,11.57,63.8,-18.39,8.39,-31.6,-9.74,-13.58,-21.61,13.0,18.46,333.93,434.98,689.78,171.8,60.82,135.54,-8.01,-15.66
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,385.81,-65.42,-17.53,227.42,-40.81,-122.03,48.72,449.92,-44.83,514.57,-131.03,-44.0,-253.65,0.96,-528.01,-122.9,4.05,359.97,37.6,-936.79,92.31,19.63
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,385.81,-65.42,-17.53,227.42,-40.81,-122.03,48.72,449.92,-44.83,514.57,-131.03,-44.0,-253.65,0.96,-528.01,-122.9,4.05,359.97,37.6,-936.79,92.31,19.63
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,385.29,-65.09,-17.53,271.34,-40.04,-126.81,50.11,448.69,-46.14,418.33,-132.67,-45.01,-301.99,-69.52,-499.13,-127.46,49.18,1262.22,17.75,-731.71,88.92,24.67
Zysk netto akcjonariuszy jednostki dominującej,,,,,385.29,-65.09,-17.53,271.34,-40.04,-126.81,50.11,448.69,-46.14,418.33,-132.67,-45.01,-301.99,-69.52,-499.13,-127.46,49.18,1262.22,17.75,-731.71,88.92,24.67
Aktywa trwałe,,,,,,15.29,,26.59,37.54,30.64,33.39,26.87,19.61,26.46,23.94,43.87,42.59,34.17,29.35,6.73,1.03,3.42,1.22,24.57,41.24,68.93
Wartości niematerialne i prawne,,,,,,14.96,,10.89,9.22,9.88,9.19,34.15,34.41,51.47,60.66,19.04,22.07,7.92,5.85,7.34,27.54,43.42,53.95,72.38,59.42,47.82
Rzeczowe składniki majątku trwałego,,,,,,15.6,,27.51,38.78,31.63,34.92,26.37,18.68,24.65,21.87,45.74,44.16,36.19,31.1,6.74,-0.36,1.51,-1.56,22.16,40.56,70.45
Należności długoterminowe,,,,,,-65.09,,-37.46,81.31,-20.09,177.42,3.81,24.23,933.33,413.37,349.14,280.08,2.15,1.87,-2.89,-4.48,-15.9,-14.45,-10.37,-39.14,45.32
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,,,,386.5,339.59,227.35,-2.69,47.16,36.95,-92.33,-94.33,-95.97,-95.11,5.36,83.72,182.98,217.24,116.95,113.92,-35.34,-53.26,45.31
Aktywa obrotowe,,,,,,75.49,,18.21,0.71,3.82,14.26,-7.84,59.86,69.46,53.63,46.91,-2.67,19.83,5.87,7.14,7.19,22.84,11.37,72.56,32.09,-16.72
Zapasy,,,,,,37.03,,133.66,12.07,31.89,97.49,-11.04,36.81,297.98,79.34,91.49,183.76,50.8,77.44,116.97,19.98,15.21,3.48,0.39,3.08,-33.7
Należności krótkoterminowe,,,,,,48.26,,46.85,0.5,-0.58,4.44,-15.36,-16.27,33.71,33.59,33.05,20.32,-0.17,-0.38,-3.54,24.83,35.78,19.94,73.7,39.67,-0.59
Inwestycje krótkoterminowe,,,,,,517.01,,-53.55,-10.63,3.26,-13.57,30.95,528.28,35.71,87.93,51.94,-70.64,20.51,-83.1,-88.45,-81.78,9.34,10.81,1569.15,375.72,-23.44
Środki pieniężne i inne aktywa pieniężne,,,,,,516.84,,-53.54,-10.59,3.29,-13.53,30.95,528.28,35.71,87.93,51.94,-70.64,20.51,-83.1,-88.45,-81.78,9.34,10.81,1569.15,375.72,-23.44
Pozostałe aktywa obrotowe,,,,,,31.41,,44.9,27.57,7.68,5.41,-15.21,-20.15,-100.0,-100.0,-100.0,-100.0,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,32.38,,22.96,21.0,20.54,26.48,12.41,34.66,40.4,33.62,44.91,22.51,28.56,20.55,6.87,3.2,10.5,4.56,41.23,37.89,34.2
