,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Period,2006/Q1,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,94.7,,,,109.89,79.51,72.02,9.39,-5.92,-23.94,-34.01,-53.43,-48.99,-48.42,-1.72,17.84,2.68,9.72,-30.54,-6.18,-2.73,29.94,27.34,21.63,12.05,4.85,8.85,14.59,14.72,29.15,9.92,25.24,24.88,24.2,16.23,22.29,20.17,11.03,8.21,0.03,2.54,7.25,16.53,3.3,-10.23,-0.75,-6.09,10.46,20.35,5.91,23.6,12.15,-7.73,-39.08,-10.66,-37.68,-21.37,25.56,-0.12,39.44,30.6,48.67,17.87,10.85,22.24,1.84,9.83,1.89
Techniczny koszt wytworzenia produkcji sprzedanej,,75.11,,,,127.25,95.42,93.32,24.57,16.13,-17.53,-25.94,-45.68,-51.49,-49.99,-3.81,-1.79,-0.55,21.2,-33.62,-4.1,-12.67,25.42,25.82,21.94,12.0,-10.87,-3.28,8.09,-3.7,27.04,-3.12,18.54,34.08,44.16,42.49,34.6,24.78,9.66,13.1,-3.12,9.91,10.09,6.11,-4.51,-21.48,-9.31,-12.73,10.51,27.63,7.67,31.63,12.53,-7.26,-34.61,-6.33,-31.9,-10.05,15.15,-1.62,35.7,7.78,48.26,12.19,10.43,19.14,-10.0,3.5,-12.63
Koszty sprzedaży,,86.58,,,,118.69,62.26,36.28,15.25,29.52,11.6,6.55,-44.4,-57.78,-57.8,-37.5,-21.16,0.98,6.84,1.31,-0.6,-2.36,3.32,4.28,8.79,8.02,9.58,15.19,12.9,27.63,28.74,18.09,25.48,12.35,12.25,9.13,18.81,11.72,21.37,27.5,17.5,23.04,11.38,10.94,6.93,2.88,3.59,6.93,5.51,19.7,18.18,23.97,9.23,2.21,-21.94,-18.71,-34.19,-27.16,-15.81,-7.18,26.99,15.5,30.5,23.92,36.43,21.24,33.81,15.87,-1.43
Koszty ogólnego zarządu,,129.2,,,,22.17,72.87,33.81,-7.7,2.49,-37.13,29.69,-22.79,-53.84,-46.31,-38.11,-34.7,10.15,38.12,43.82,28.36,9.67,-5.82,6.09,-4.28,16.39,1.45,4.32,17.22,-51.06,-32.3,-43.62,-38.48,38.39,-62.88,83.3,42.72,43.29,174.74,-31.09,2.54,-27.29,28.58,-4.34,-47.42,13.0,16.25,38.25,69.13,-4.9,43.64,-16.35,166.5,33.46,-8.3,38.38,-47.66,19.43,11.59,21.07,90.52,9.6,61.8,30.1,-18.75,57.36,-10.03,-7.06,5.66
Zysk ze sprzedaży,,1091.53,,,,76.15,134.12,147.08,-44.08,-711.35,-234.18,-177.96,-184.8,77.14,94.7,142.45,261.65,18.09,-387.82,-209.88,-32.85,58.88,270.11,100.78,73.19,28.66,66.09,6066.67,33.35,405.2,69.37,185.64,56.31,48.25,30.43,-84.97,5.25,27.44,-17.41,-621.76,-18.89,-132.51,-18.39,128.75,23.91,-34.77,10.84,-303.36,14.49,-73.63,-60.67,-76.77,-1.83,-124.91,-319.17,26.28,-52.62,-9.95,183.06,80.32,63.92,96.12,118.11,-122.99,-26.15,-61.17,-42.42,68.14,64.67
Pozostałe przychody operacyjne,,905.26,,,,21.73,-80.55,-54.01,-32.45,-54.84,665.49,817.46,125.64,176.19,-29.94,-71.89,-33.18,-85.86,91.42,99.69,82.77,0.0,-2.07,-52.7,-40.17,576.83,-56.25,125.08,101.13,145.59,-84.1,-72.36,-57.25,-75.28,2256.96,-67.54,-44.55,7.42,-91.46,662.9,-33.69,-42.27,15.09,-31.71,200.0,313.88,331.15,43.96,-0.43,65.55,6.08,-4.52,-0.65,-58.03,478.73,-102.7,78.27,295.34,-99.26,47441.67,605.6,-84.68,17169.44,100.67,-50.69,102.2,-82.42,-71.88,-109.68
Pozostałe koszty operacyjne,,129.82,,,,93.89,-23.16,32.89,807.02,212.2,24164.38,790.1,104.67,-76.04,-97.32,203.89,-85.84,34.74,138.29,-54.9,-7.5,42.19,-30.81,-49.59,-71.39,25.0,-49.01,-67.15,61.71,-79.12,28.48,-177.94,-49.96,-38.95,-81.45,173.58,31.2,-8.62,218.42,-40.17,72.79,173.58,-83.31,248.57,90.37,-11.03,138.61,-63.11,75.42,337.98,85.06,341.11,-0.18,-61.42,2238.34,1588.41,164.08,-2.75,-98.91,-4.89,-40.57,-98.58,4826.32,-95.03,47.22,16066.67,-90.6,185.17,-35.51
Zysk operacyjny (EBIT),,1137.23,,,,59.89,92.23,132.5,-148.18,-680.24,-1029.34,-174.22,-443.7,81.11,98.38,100.6,121.48,-1.73,-300.76,-9990.91,-25.47,50.57,182.49,91.02,123.96,52.72,85.01,708.19,39.21,670.95,58.45,127.22,47.15,0.89,76.25,-87.63,1.7,26.07,-33.77,-598.6,-23.59,-128.68,-12.37,136.55,21.26,17.92,17.89,-244.69,3.47,-114.23,-58.37,-123.39,-2.23,-197.19,-467.76,-202.44,-106.97,17.1,142.75,87.35,1902.83,101.31,133.52,995.75,-67.17,-411.43,-40.55,-80.29,68.49
Przychody finansowe,,,,,,-100.0,-42.18,49.6,92.9,,143.77,-143.77,-44.43,,-28.94,37.43,-37.42,-23.14,-38.9,20.0,77.91,-260.22,-58.65,3.48,-132.34,334.23,147.88,-90.54,43.91,-29.23,-6.85,185.7,264.34,74.9,217.32,-90.62,-80.8,-72.22,5.79,1967.65,420.78,460.83,-134.64,-94.52,-76.56,-48.74,221.44,-554.55,173.4,-62.32,-31.97,114.29,-34.24,-37.69,-92.62,1344.0,56.21,-3.7,807.41,-98.48,-133.71,-79.49,162.45,8990.91,-814.61,7312.5,-114.15,9.1,347.42
Koszty finansowe,,-100.0,,,,,52.38,120.78,1888.09,54.98,357.81,830.21,-89.23,-100.0,-99.94,-100.22,-45.71,,45750.0,103300.0,-167.91,,-100.0,-100.0,100.0,,,,,,,,,,-22400.0,,2620.83,13.98,-66.82,-97.92,-72.13,-81.6,257.26,-165.62,702.2,-88.41,-99.66,261.9,-74.18,1562.5,8550.0,2170.59,-130.77,1393.98,-306.36,-48.45,1134.48,-60.24,117.93,-31.41,-18.5,-29.24,1114.06,-189.38,94.99,-71.2,-43.76,94.26,-78.66
Pozostałe przychody (koszty),,,,,,,-100.0,,100.0,,,,,,99.29,12909.41,52.55,,17.84,-74.43,-3190.51,,100.0,-100.0,112.81,,,,-100.0,-100.0,,,,,,,-100.0,,-100.0,,,,,,-46.84,,,,106.12,,,,-90.49,-35.71,30.08,74.47,-124.56,150.88,5030.11,100.0,-120.83,-155.17,853.83,,-193.08,218.75,-100.3,100.0,111.8
Zysk z działalności gospodarczej,,535.43,,,,-6.32,-48.75,139.12,-626.57,-899.54,-1805.07,-206.69,37.08,83.07,99.73,240.06,112.26,-3.0,-1650.53,-129.03,-63.4,42.58,170.71,75.47,617.01,177.52,89.47,227.0,32.15,233.98,52.37,410.04,61.96,-3.14,87.75,-120.3,-8.83,15.12,-28.25,-16.0,70.64,-115.55,-39.71,189.95,-20.78,-7.31,49.93,-268.64,45.93,-227.85,-60.37,-120.94,-45.06,-279.85,-451.97,-128.96,-113.9,28.34,185.61,83.87,831.63,91.88,465.89,902.66,-92.94,268.92,-88.63,-72.25,922.43
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,535.43,,,,-6.32,-48.75,139.12,-626.57,-899.54,-1805.07,-206.69,37.08,83.07,99.73,1207.74,119.37,-3.0,-1650.53,-103.67,-76.83,42.58,170.71,75.47,617.01,177.52,89.47,227.0,32.15,233.98,52.37,410.04,61.96,-3.14,87.75,-120.3,-8.83,15.12,-28.25,-16.0,70.64,-115.55,-39.71,189.95,-20.78,-7.31,49.93,-268.64,45.93,-227.85,-60.37,-120.94,-45.06,-279.85,-451.97,-128.96,-113.9,28.34,185.61,83.87,831.63,91.88,465.89,902.66,-92.94,268.92,-88.63,-72.25,922.43
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,550.29,,,,-2.6,-50.92,134.36,-795.64,-1029.67,-2304.19,-235.41,37.66,83.01,99.72,1207.74,119.37,-3.0,-250.53,-106.89,-22.22,42.58,453.11,86.92,114.56,177.52,89.47,227.0,31.6,460.87,45.5,322.65,31.28,-53.05,59.3,420.96,-9.2,17.13,-13.74,-102.73,91.88,-119.01,-48.72,215.99,-29.0,-44.43,34.8,-367.53,-18.92,-124.46,-58.33,-127.76,9.52,-267.99,-500.51,-91.38,-133.12,17.44,199.53,109.09,375.73,89.61,356.84,1477.31,-93.24,143.87,-89.76,-76.58,1044.75
Zysk netto akcjonariuszy jednostki dominującej,,550.29,,,,-2.6,-50.92,134.36,-795.64,-1029.67,-2304.19,-235.41,37.66,83.01,99.72,1207.74,119.37,-3.0,-250.53,-106.89,-22.22,42.58,453.11,86.92,114.56,177.52,89.47,227.0,31.6,460.87,45.5,322.65,31.28,-53.05,59.3,420.96,-9.2,17.13,-13.74,-102.73,91.88,-119.01,-48.72,215.99,-29.0,-44.43,34.8,-367.53,-18.92,-88.15,-53.42,-78.99,2.86,-333.04,-467.72,-146.34,-134.87,16.57,194.92,108.98,378.82,89.57,366.76,1477.31,-93.24,143.87,-89.76,-76.58,1044.75
Aktywa trwałe,,219.12,,,,132.23,111.77,99.22,62.85,30.4,-65.04,-69.23,-72.2,-73.58,-13.79,-11.98,-11.94,-11.8,-12.95,-12.35,-12.41,-6.0,-16.38,-17.19,-14.08,-18.53,-7.63,-6.72,-19.45,3.85,107.48,111.21,143.64,84.54,19.84,72.29,77.01,83.04,46.54,5.18,19.86,20.3,19.83,20.62,15.76,16.6,17.6,18.84,19.17,49.86,52.78,45.37,41.06,8.87,2.78,2.24,8.07,7.53,10.56,15.04,-21.16,-2.76,-22.01,-24.26,-1.76,-19.58,-2.47,-1.25,-4.54
Wartości niematerialne i prawne,,1384.72,,,,38.91,56.86,45.73,-57.8,-57.31,-62.76,-2.54,-3.8,-11.67,-16.12,-8.62,-10.98,-11.79,-12.5,-21.0,-7.13,-2.02,-0.85,1.58,-8.3,-13.02,-12.9,-15.52,-10.63,-8.55,-8.15,2.1,30.89,30.39,28.23,18.25,1.74,-1.0,-0.84,5.0,-5.7,-5.63,-8.25,-8.07,-5.44,13.22,17.05,13.51,1318.76,1070.81,1133.66,1137.1,-14.62,-8.33,-50.73,-91.77,-92.03,-92.58,-84.23,-5.26,-20.31,-25.06,-31.83,39.3,87.53,120.19,75.9,-22.45,-29.84
Rzeczowe składniki majątku trwałego,,180.3,,,,148.06,155.08,137.46,79.34,38.37,-68.64,-71.24,-76.04,-77.68,-17.68,-15.36,-15.64,-15.59,-18.58,-17.16,-17.63,-11.01,-22.68,-24.87,-25.58,-21.63,-5.42,-2.65,6.34,12.75,169.17,174.67,168.58,121.97,-3.44,0.01,2.07,6.19,4.89,2.4,1.11,1.45,-0.39,-1.99,-3.9,-6.14,-6.34,-4.92,2.89,88.88,93.15,137.22,117.79,13.79,7.63,-17.69,-13.87,-14.51,-8.0,8.93,-11.27,-14.19,-11.85,-23.76,0.86,8.33,-0.06,2.42,-2.13
Należności długoterminowe,,,,,,,-100.0,-100.0,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,629.55,,,,44.22,-16.38,37.01,0.0,9.99,-34.06,-63.81,-45.04,-40.05,0.0,0.0,0.0,0.0,0.0,-5.08,-3.94,2.29,-3.18,2.79,18.82,-4.99,0.53,-0.25,-54.31,-51.25,-51.32,-51.32,24.47,37.01,378.66,378.66,258.25,269.04,11.03,15.16,111.45,106.83,107.22,117.95,57.76,64.19,61.92,59.23,55.03,54.99,57.36,17.24,3.62,0.1,-3.35,25.32,36.33,35.56,30.18,25.57,-30.23,2.6,-29.07,-28.59,-4.34,-35.01,-4.21,-2.69,-3.37
