,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Period,2006/Q1,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,13921.0,27104.0,30590.0,31317.0,62618.0,56888.0,54913.0,53873.0,68498.0,53521.0,41769.0,35551.0,31897.0,27302.0,21545.0,34939.0,37586.0,28033.0,23640.0,24269.0,35263.0,27269.0,30718.0,30904.0,42892.0,30556.0,32208.0,33640.0,49148.0,35055.0,41597.0,36978.0,61555.0,43778.0,51662.0,42979.0,75277.0,52610.0,57359.0,46508.0,75296.0,53948.0,61518.0,54194.0,77781.0,48428.0,61056.0,50895.0,85916.0,58282.0,64663.0,62904.0,96352.0,53776.0,39391.0,56198.0,60043.0,42284.0,49459.0,56131.0,83726.0,55223.0,73531.0,66162.0,92814.0,67506.0,74887.0,72669.0,94566.0
Techniczny koszt wytworzenia produkcji sprzedanej,7269.0,12729.0,10895.0,13895.0,24550.0,28927.0,21291.0,26862.0,30581.0,33594.0,17559.0,19894.0,16612.0,16297.0,8782.0,19137.0,16315.0,16207.0,10644.0,12704.0,15646.0,14153.0,13350.0,15984.0,19078.0,15852.0,11899.0,15459.0,20622.0,15266.0,15117.0,14977.0,24445.0,20468.0,21793.0,21340.0,32904.0,25540.0,23899.0,24135.0,31876.0,28072.0,26311.0,25609.0,30438.0,22041.0,23862.0,22350.0,33638.0,28132.0,25693.0,29420.0,37852.0,26091.0,16800.0,27558.0,25776.0,23470.0,19346.0,27112.0,34979.0,25295.0,28682.0,30417.0,38628.0,30137.0,25813.0,31483.0,33749.0
Koszty sprzedaży,5424.0,10120.0,14814.0,12885.0,25487.0,22131.0,24037.0,17560.0,29374.0,28664.0,26825.0,18710.0,16331.0,12102.0,11320.0,11694.0,12876.0,12221.0,12094.0,11847.0,12799.0,11932.0,12496.0,12354.0,13924.0,12889.0,13693.0,14231.0,15720.0,16450.0,17629.0,16805.0,19726.0,18481.0,19788.0,18339.0,23436.0,20647.0,24016.0,23383.0,27537.0,25404.0,26749.0,25942.0,29446.0,26136.0,27708.0,27740.0,31069.0,31284.0,32746.0,34390.0,33936.0,31974.0,25560.0,27955.0,22334.0,23289.0,21519.0,25949.0,28361.0,26898.0,28083.0,32155.0,38693.0,32612.0,37579.0,37257.0,38138.0
Koszty ogólnego zarządu,1346.0,3085.0,3008.0,1553.0,4145.0,3769.0,5200.0,2078.0,3826.0,3863.0,3269.0,2695.0,2954.0,1783.0,1755.0,1668.0,1929.0,1964.0,2424.0,2399.0,2476.0,2154.0,2283.0,2545.0,2370.0,2507.0,2316.0,2655.0,2778.0,1227.0,1568.0,1497.0,1709.0,1698.0,582.0,2744.0,2439.0,2433.0,1599.0,1891.0,2501.0,1769.0,2056.0,1809.0,1315.0,1999.0,2390.0,2501.0,2224.0,1901.0,3433.0,2092.0,5927.0,2537.0,3148.0,2895.0,3102.0,3030.0,3513.0,3505.0,5910.0,3321.0,5684.0,4560.0,4802.0,5226.0,5114.0,4238.0,5074.0
Zysk ze sprzedaży,-118.0,1170.0,1873.0,2984.0,8436.0,2061.0,4385.0,7373.0,4717.0,-12600.0,-5884.0,-5748.0,-4000.0,-2880.0,-312.0,2440.0,6466.0,-2359.0,-1522.0,-2681.0,4342.0,-970.0,2589.0,21.0,7520.0,-692.0,4300.0,1295.0,10028.0,2112.0,7283.0,3699.0,15675.0,3131.0,9499.0,556.0,16498.0,3990.0,7845.0,-2901.0,13382.0,-1297.0,6402.0,834.0,16582.0,-1748.0,7096.0,-1696.0,18985.0,-3035.0,2791.0,-2998.0,18637.0,-6826.0,-6117.0,-2210.0,8831.0,-7505.0,5081.0,-435.0,14476.0,-291.0,11082.0,-970.0,10691.0,-469.0,6381.0,-309.0,17605.0
Pozostałe przychody operacyjne,38.0,382.0,581.0,274.0,872.0,465.0,113.0,126.0,589.0,210.0,865.0,1156.0,1329.0,580.0,606.0,325.0,888.0,82.0,1160.0,649.0,1623.0,82.0,1136.0,307.0,971.0,555.0,497.0,691.0,1953.0,1363.0,79.0,191.0,835.0,337.0,1862.0,62.0,463.0,362.0,159.0,473.0,307.0,209.0,183.0,323.0,921.0,865.0,789.0,465.0,917.0,1432.0,837.0,444.0,911.0,601.0,4844.0,-12.0,1624.0,2376.0,36.0,5681.0,11459.0,364.0,6217.0,11400.0,5651.0,736.0,1093.0,3206.0,-547.0
Pozostałe koszty operacyjne,57.0,131.0,190.0,76.0,1025.0,254.0,146.0,101.0,9297.0,793.0,35426.0,899.0,19028.0,190.0,948.0,2732.0,2694.0,256.0,2259.0,1232.0,2492.0,364.0,1563.0,621.0,713.0,455.0,797.0,204.0,1153.0,95.0,1024.0,-159.0,577.0,58.0,190.0,117.0,757.0,53.0,605.0,70.0,1308.0,145.0,101.0,244.0,2490.0,129.0,241.0,90.0,4368.0,565.0,446.0,397.0,4360.0,218.0,10429.0,6703.0,11514.0,212.0,114.0,6375.0,6843.0,3.0,5616.0,317.0,10074.0,485.0,528.0,904.0,6497.0
Zysk operacyjny (EBIT),-137.0,1421.0,2264.0,3182.0,8283.0,2272.0,4352.0,7398.0,-3991.0,-13183.0,-40445.0,-5491.0,-21699.0,-2490.0,-654.0,33.0,4660.0,-2533.0,-2621.0,-3264.0,3473.0,-1252.0,2162.0,-293.0,7778.0,-592.0,4000.0,1782.0,10828.0,3380.0,6338.0,4049.0,15933.0,3410.0,11171.0,501.0,16204.0,4299.0,7399.0,-2498.0,12381.0,-1233.0,6484.0,913.0,15013.0,-1012.0,7644.0,-1321.0,15534.0,-2168.0,3182.0,-2951.0,15188.0,-6443.0,-11702.0,-8925.0,-1059.0,-5341.0,5003.0,-1129.0,19092.0,70.0,11683.0,10113.0,6268.0,-218.0,6946.0,1993.0,10561.0
Przychody finansowe,0.0,447.0,652.0,-748.0,1127.0,0.0,377.0,-377.0,2174.0,0.0,919.0,-919.0,1208.0,121.0,653.0,-575.0,756.0,93.0,399.0,-460.0,1345.0,-149.0,165.0,-444.0,-435.0,349.0,409.0,-846.0,-244.0,247.0,381.0,725.0,401.0,432.0,1209.0,68.0,77.0,120.0,1279.0,1406.0,401.0,673.0,-443.0,77.0,94.0,345.0,538.0,-350.0,257.0,130.0,366.0,50.0,169.0,81.0,27.0,722.0,264.0,78.0,245.0,11.0,-89.0,16.0,643.0,1000.0,-814.0,1186.0,-91.0,1091.0,2014.0
Koszty finansowe,292.0,0.0,462.0,-462.0,1898.0,522.0,704.0,96.0,37734.0,809.0,3223.0,893.0,4063.0,0.0,2.0,-2.0,2206.0,0.0,917.0,2064.0,-1498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,329.0,-223.0,1538.0,653.0,375.0,-372.0,32.0,182.0,69.0,585.0,-21.0,1460.0,8.0,2.0,34.0,377.0,133.0,173.0,772.0,-116.0,1987.0,-357.0,398.0,1200.0,790.0,64.0,273.0,978.0,559.0,777.0,-244.0,1907.0,161.0,437.0,-14.0,407.0
Pozostałe przychody (koszty),0.0,0.0,5399.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-25880.0,-85.0,-333.0,0.0,-185.0,10888.0,-158.0,0.0,-152.0,2784.0,-5199.0,0.0,0.0,0.0,666.0,1329.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,14068.0,0.0,0.0,0.0,7479.0,0.0,0.0,0.0,15416.0,-42.0,-133.0,-94.0,1466.0,-57.0,-93.0,-24.0,-360.0,29.0,4585.0,0.0,-795.0,-16.0,43733.0,-192.0,-2330.0,19.0,-130.0,0.0,275.0
Zysk z działalności gospodarczej,-429.0,1868.0,7853.0,2896.0,7511.0,1750.0,4025.0,6925.0,-39551.0,-13992.0,-68629.0,-7388.0,-24887.0,-2369.0,-188.0,10348.0,3052.0,-2440.0,-3291.0,-3004.0,1117.0,-1401.0,2327.0,-737.0,8009.0,1086.0,4409.0,936.0,10584.0,3627.0,6718.0,4774.0,17142.0,3513.0,12613.0,-969.0,15628.0,4044.0,9050.0,-1124.0,26668.0,-629.0,5456.0,1011.0,21126.0,-675.0,8180.0,-1705.0,30830.0,-2213.0,3242.0,-3767.0,16939.0,-8406.0,-11411.0,-8625.0,-2355.0,-6024.0,9769.0,-1391.0,17230.0,-489.0,55282.0,11165.0,1217.0,826.0,6288.0,3098.0,12443.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71492.0,1768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-429.0,1868.0,7853.0,2896.0,7511.0,1750.0,4025.0,6925.0,-39551.0,-13992.0,-68629.0,-7388.0,-24887.0,-2369.0,-188.0,81840.0,4820.0,-2440.0,-3291.0,-3004.0,1117.0,-1401.0,2327.0,-737.0,8009.0,1086.0,4409.0,936.0,10584.0,3627.0,6718.0,4774.0,17142.0,3513.0,12613.0,-969.0,15628.0,4044.0,9050.0,-1124.0,26668.0,-629.0,5456.0,1011.0,21126.0,-675.0,8180.0,-1705.0,30830.0,-2213.0,3242.0,-3767.0,16939.0,-8406.0,-11411.0,-8625.0,-2355.0,-6024.0,9769.0,-1391.0,17230.0,-489.0,55282.0,11165.0,1217.0,826.0,6288.0,3098.0,12443.0
