,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Period,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,53.38,141.22,-15.21,6.31,-9.68,-40.88,479.89,-39.0,245.75,205.37,-51.38,468.86,118.48,-28.91,-32.38,-69.29,-78.77,-14.55,-88.36,18.42,-8.87
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,28.96,32.23,8.49,-0.13,-8.5,-25.36,51.14,128.05,129.29,245.83,114.12,67.31,213.83,23.71,-3.86,-36.18,-68.82,-0.14,-62.5,218.67,26.97
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,75.47,503.42,-48.55,25.48,-23.08,-70.97,1751.69,-434.77,2156.25,3.65,-91.44,179.23,-100.81,-904.23,-205.2,-182.13,-8775.0,-22.33,-54.83,-548.73,-103.24
Pozostałe przychody operacyjne,,,,,,,,,-97.06,,,,1100.0,,,,-100.0,0.0,,,,-100.0,,2200.0,-65.53
Pozostałe koszty operacyjne,,,,,,-100.0,,100.0,8500.0,,600.0,3300.0,783.72,,-92.86,-99.26,-68.03,0.0,-100.0,-500.0,-21.4,4625.0,,-3925.0,665.45
Zysk operacyjny (EBIT),,,,,96.23,500.0,-48.94,24.9,-2116.67,-70.97,1760.38,-481.31,279.7,1.46,-91.44,170.34,-205.02,-923.74,-205.45,-181.88,-153.78,-38.52,-103.82,-525.67,-341.76
Przychody finansowe,,,,,900.0,300.0,-50.0,600.0,-20.0,200.0,700.0,24340.0,71550.0,65783.33,837.5,462.68,-130.64,-94.08,-54.67,-103.21,133.94,-93.38,5094.12,298.19,-365.44
Koszty finansowe,,,,,633.33,50.0,200.0,1033.33,-50.0,-33.33,1066.67,842.86,1045.45,-75.0,-64.76,-110.61,-96.03,27100.0,8143.24,910.71,23580.0,-15.44,-98.36,-19.82,254.31
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,109.23,-93.61,52083.33,24192.0,-15766.67,-1072.97,-104.1,-73.8,79.04,16.11
Zysk z działalności gospodarczej,,,,,88.82,488.43,-50.39,15.06,-655.56,-69.15,1780.54,-211.07,4823.53,5439.31,-91.0,2447.73,-130.74,-34.15,488.97,-126.93,19.75,-138.59,-6.83,-107.93,-461.07
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,88.82,488.43,-50.39,15.06,-655.56,-69.15,1780.54,-211.07,4823.53,5439.31,-91.0,2447.73,-130.74,-34.15,488.97,-126.93,19.75,-138.59,-6.83,-107.93,-461.07
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,55.9,473.55,-56.37,26.6,-38.03,-71.02,1624.34,-434.63,5907.14,4819.08,-95.92,820.7,-128.62,-34.59,1035.22,-144.35,31.06,-145.41,-2.27,-54.71,-580.14
Zysk netto akcjonariuszy jednostki dominującej,,,,,55.9,473.55,-56.37,26.6,-38.03,-71.02,1624.34,-419.46,5998.98,4930.53,-90.86,890.13,-119.03,-31.58,483.99,-138.82,10.73,-135.97,-6.16,22.68,-651.93
Aktywa trwałe,,,,,714.29,766.67,896.49,117.46,-2.81,-3.85,30.63,-6.93,92.78,1424.0,1130.59,2598.04,170.97,172.32,231.94,121.34,981.38,38.86,12.54,16.68,-3.29
