,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,7.7,13.64,17.58,-42.36,-35.16,62.91,72.28,93.62,69.88,23.21,179.39,89.57,33.71,44.8,-13.0,-9.51,-12.33,-17.99,123.43,127.6,138.37,99.89,-36.36,-30.57,-40.11,-37.99,10.28,-13.42,-4.32,-0.62,3.63,5.01,0.49,18.5,7.3,14.39,17.73,60.31,32.02,19.64,27.93,-34.8,-28.55,-6.86,5.72,9.04,43.32,52.03,54.81,137.03,134.43,79.76,68.19,47.91,22.87,18.41,2.7,-19.95,-8.34,23.45
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,3.03,-2.54,55.79,-44.47,-41.42,52.75,60.44,87.96,61.73,34.86,247.19,116.17,56.94,58.28,-6.16,-5.51,-20.3,-21.46,123.16,127.67,174.61,104.29,-38.81,-32.35,-43.25,-39.7,10.94,-14.13,-6.03,1.15,-3.98,8.38,-3.17,16.08,13.36,9.81,24.28,64.72,35.01,18.41,28.27,-35.91,-29.57,-11.08,8.2,9.15,39.8,51.27,51.1,136.88,138.34,88.57,77.03,50.57,23.57,18.31,2.54,-20.92,-8.16,17.4
Koszty sprzedaży,,,,,,,,-77.48,-19.1,-57.14,-35.71,2958.33,1469.44,2307.58,2637.04,-45.93,-27.88,-34.3,-29.84,-22.97,-6.5,-22.51,-19.96,-18.41,-15.35,22.62,-3.98,10.31,6.98,-15.12,41.03,7.89,11.88,35.27,-16.46,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,257.13,-125.75,-0.05,-2.01,-47.21,1029.75,48.91,148.13,92.93,49.06,21.68,2.99,20.93,2.79,-1.94,9.07,-1.61,16.86,29.75,8.78,15.83,9.21,35.41,5.75,1.5,6.04,37.11,19.21,57.12,51.34,-12.66,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,0.0,1616.45,-44.19,-32.28,56.4,82.77,139.49,75.07,88.09,-43.11,-6.47,-39.11,-53.62,-68.95,-95.15,-131.69,89.98,122.19,1056.44,291.07,-12.88,95.81,14.38,72.82,-8.49,-24.56,-32.16,-22.55,-24.69,-64.87,329.88,624.49,197.0,488.68,-1.7,-47.63,-12.98,19.75,2.33,35.91,25.64,-20.7,-15.16,41.83,-11.24,7.95,81.54,57.52,85.82,138.56,101.73,18.58,8.29,20.51,15.98,19.51,4.46,-7.48,-10.17,89.61
Pozostałe przychody operacyjne,,,,,26.24,-96.9,-73.02,329.23,462.92,109.22,164.19,21.82,-31.84,68.21,1.47,236.97,671.89,1417.79,1375.21,121.12,-50.57,-34.17,-103.87,13.98,60.32,-62.47,189.24,4.53,-62.76,36.59,643.03,-9.23,116.13,-8.08,7.22,111.57,68.75,55.48,48.75,-77.65,3.59,-21.53,-22.12,500.51,-30.69,6.72,95.21,-55.71,35.14,84.0,-42.86,85.76,307.88,-94.41,63.65,-95.34,-84.75,1007.0,-23.67,564.62,87.01,28.68,-9.36,21.59
Pozostałe koszty operacyjne,,,,,202.67,-33.37,-58.57,-57.91,34.58,1025.73,3.36,48.82,39.93,-77.3,146.09,143.27,461.29,209.26,405.28,72.08,12.27,-49.05,-70.22,20.03,0.11,-43.7,-3.11,61.12,-67.96,125.79,-35.49,-24.46,55.61,-27.1,186.28,458.97,576.79,575.97,246.66,-82.89,-13.89,-1.6,-1.45,366.71,-1.26,7.25,-2.06,-24.82,-9.56,28.38,19.67,40.16,70.94,-9.5,21.38,-47.42,-16.11,43.24,18.96,73.4,20.44,19.48,37.83,15.19
Zysk operacyjny (EBIT),,,,,-5.81,77.39,-45.3,-6.54,75.42,23.06,158.52,69.21,76.13,-18.83,-13.83,-28.37,-49.48,3.9,-60.92,-70.71,35.46,23.73,-13.29,279.6,0.33,25.85,50.91,-19.4,1.77,-26.76,18.49,7.48,-16.09,-55.77,215.02,0.72,11.6,138.96,-45.32,119.41,-0.33,28.08,-3.06,2.33,36.03,-40.59,4.9,20.9,2.51,10.37,79.93,108.76,203.57,247.7,160.73,16.58,-32.53,21.75,9.82,6.51,2.94,-20.15,-30.19,140.66
Przychody finansowe,,,,,66.67,500.0,,-99.82,0.0,1338.89,268.75,1600.0,2620.0,-83.4,2759.26,1441.18,278.68,4106.98,14.9,-181.3,-49.13,-72.14,46.79,454.46,-43.51,37.5,-79.49,-50.6,15.54,216.02,29.21,-188.47,98.25,-70.78,141.45,100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,1205.16,-77.52,311.0,-99.1,-43.81,-252.34,-97.4,160.0
Koszty finansowe,,,,,34.8,1.92,-8.5,-28.51,-13.26,61.71,5.25,59.27,71.78,33.28,71.69,-8.47,39.52,18.51,18.89,102.62,-2.07,20.98,-30.01,-21.97,-15.02,8.53,25.43,7.82,1.38,1.27,-12.18,91.21,14.88,-8.77,45.52,-78.3,3.52,-28.76,-9.83,232.52,-16.69,106.36,-20.01,-14.09,3.75,-35.82,38.31,-24.65,16.09,-12.43,-25.97,-0.78,27.08,105.38,-59.06,145.42,75.56,-8.98,537.17,50.92,35.88,61.4,31.74,56.7
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-21.36,106.07,-54.42,-5.69,133.72,18.95,234.93,73.6,79.28,-33.81,-20.33,-32.5,-66.26,25.56,-80.73,-164.02,60.03,2.27,50.97,250.68,7.49,36.44,10.83,-46.73,2.27,-23.59,52.11,-160.71,-27.47,-87.95,313.49,324.36,9.52,742.94,-55.46,172.27,11.06,-1.92,4.36,12.58,52.88,-44.43,-6.31,42.61,-2.3,31.6,132.38,136.34,280.8,380.87,180.3,14.9,-38.14,20.6,14.97,-14.48,-17.83,-40.48,-44.75,174.12
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
