,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-57.02,-13.55,61.58,42.33,196.9,28.33,2.48,7.95,-14.3,28.64,104.6,78.97,27.69,-5.09,-43.17,-4.33,24.98,6.9,-7.92,-52.85,-43.61,-29.83,-40.96,3.36,3.71,50.07,126.52,31.6,-13.21,-56.07,-51.99,-57.05,-32.1,108.58,55.17,134.28,50.58,-41.33,-12.99,-37.72,3.42,19.42,-8.59,56.25,-1.64,32.88,-4.65,-37.9,-32.66,-53.48,20.73,86.22,75.7,35.63,7.33,-16.33,-30.23,3.24,-23.57,-7.06,54.61,126.91,57.41,91.25,194.95,-43.71,-45.02,-68.92,-76.63,4.42,70.02,51.47
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-57.6,-16.72,42.29,40.22,177.24,18.62,-1.07,-4.21,-23.42,29.56,114.2,86.54,41.76,-13.77,-43.97,-1.46,24.24,24.14,-6.14,-53.91,-34.27,-6.97,-13.78,29.44,-3.13,20.23,66.44,12.94,-12.35,-43.66,-39.94,-44.27,-34.86,54.37,29.4,82.64,58.2,-38.62,-12.13,-36.78,3.46,29.34,-11.14,64.34,-8.71,19.46,0.22,-14.67,-0.95,-41.82,8.62,14.3,16.49,-0.45,6.01,-11.29,-29.5,3.97,-26.32,-11.16,54.88,113.6,45.79,84.73,218.13,-35.76,-32.39,-69.18,-76.51,5.77,66.11,158.23
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,-16.92,4.02,6.27,0.31,3.97,7.81,1.27,-2.55,69.35,8.49,15.97,16.35,11.71,7.29,7.73,65.64,-30.68,11.89,-14.8,-17.33,-44.99,-28.5,-16.63,-49.98,32.23,-5.9,10.55,3.61,2.67,-4.85,-18.6,-6.42,-10.98,-5.97,1.08,37.69,-43.29,-2.05,1.56,-27.79,173.11,27.07,41.65,10.39,-18.04,19.43,-15.72,35.09,0.43,14.38,6.11,2.45,16.98,13.78,36.29,-6.69,-17.76,-22.39,-28.35,-5.25,24.2,-8.52,10.24,2.83,20.98,-10.06,46.31,-50.45,-13.38,33.79,-22.7,108.21
Zysk ze sprzedaży,,,,,-39.3,282.76,769.36,166.92,487.77,330.12,30.19,1012.14,49.07,29.86,75.5,53.27,-47.04,56.64,-47.65,-49.59,104.56,-66.39,-18.64,-71.88,-133.64,-384.2,-289.99,-525.48,106.77,111.86,134.67,128.06,-456.04,-772.21,-302.51,-535.47,136.11,149.71,104.08,106.12,11.11,-93.9,-256.14,-215.04,-813.08,-1364.97,70.79,-424.18,207.44,160.32,-1287.18,-516.33,-748.9,-460.85,265.8,140.64,127.97,131.81,5.41,-62.47,-51.22,31.93,21.36,71.22,95.58,390.9,187.45,213.01,6.78,-86.69,-121.75,-71.22,-151.3,-59.16,119.23,-653.65
Pozostałe przychody operacyjne,,,,,23.3,-51.35,-80.0,-77.9,129.92,-5.56,297.3,32.62,-69.86,426.47,-73.47,-52.41,34.09,-41.9,271.79,-85.39,-8.47,-51.92,-17.93,3138.46,3781.48,310.0,-86.55,179.33,-98.88,153.66,775.0,-81.12,17.02,-11.15,-35.71,14.41,98.18,-110.61,-54.44,233.86,47.71,63.27,714.63,-64.62,-49.69,-83.33,-79.94,-71.0,44.44,-24.24,-64.18,477.01,-23.08,1278.05,2933.33,-104.78,434.44,-88.61,-83.79,808.33,-38.25,-160.0,-89.83,158.24,146.8,-1139.39,891.67,-110.02,152.52,-260.88,1226.89,-2811.36,-97.41,150.34,-94.3,101.64
Pozostałe koszty operacyjne,,,,,-6.67,-47.99,-27.27,188.52,757.14,48.79,216.67,6.82,-93.75,89.61,-94.74,-3.72,-40.0,-81.34,1450.0,194.75,-5.56,1231.19,-100.0,-101.41,388.24,-84.08,,1093.33,-75.9,39.83,3200.0,148.32,-60.0,37.15,-97.7,-50.54,62.5,30.25,-146.67,142.08,884.62,-79.55,-400.0,-103.39,-56.25,-66.1,974.29,213.33,-46.43,1955.0,-110.78,-1000.0,26.67,-48.66,178.79,371.9,-23.68,73.7,1446.15,31.49,237.93,18.96,-103.23,170.57,-56.12,3.56,14076.92,0.95,95.35,-99.0,-96.09,-78.58,-75.0,911.11,-73.24,-89.69
Zysk operacyjny (EBIT),,,,,-36.63,600.83,1080.66,13600.0,503.17,406.27,31.85,2610.37,63.87,28.26,73.41,53.73,-45.19,72.63,-46.78,-65.88,99.03,-86.99,-17.34,-33.72,-32.33,-837.56,-281.93,-298.9,-95.73,114.83,126.28,133.6,-334.75,-633.3,-364.0,-602.94,176.9,137.75,105.31,115.7,-23.47,-98.92,-53.42,-98.66,-653.37,-9904.76,-410.78,-17144.44,220.07,116.27,-223.34,-501.76,-691.97,-1372.24,343.51,138.76,135.25,116.35,-35.62,-68.39,-52.17,30.42,44.37,36.25,123.4,735.31,111.16,324.66,49.44,-103.95,-98.51,-88.92,-125.44,478.67,375.34,-1877.93
Przychody finansowe,,,,,-80.38,-46.25,-30.62,-60.28,-39.83,-48.9,9.46,140.7,252.82,148.2,-7.0,6.28,159.48,675.07,333.63,-82.27,-95.23,-80.7,-86.53,192.31,3432.26,-68.99,54.55,-13.16,-91.37,-43.12,-9.8,-34.34,-34.39,17.58,-54.89,-31.54,104.84,-72.9,163.86,-111.24,-43.31,165.52,-6.39,440.0,-50.69,-93.51,-97.56,-23.53,-94.37,660.0,-80.0,-100.0,-100.0,-26.32,6200.0,,,-100.0,-96.83,186.21,33.33,,100.0,-28.0,50.0,-52.94,550.0,1172.22,5183.33,987.5,-476.92,-0.44,-13.88,-1.92,221.43,-77.63
