,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,25436.0,27196.0,18112.0,20467.0,10933.0,23510.0,29266.0,29131.0,32460.0,30170.0,29993.0,31448.0,27817.0,38811.0,61367.0,56284.0,35519.0,36835.0,34874.0,53847.0,44391.0,39378.0,32112.0,25387.0,25031.0,27631.0,18958.0,26240.0,25960.0,41466.0,42943.0,34533.0,22531.0,18216.0,20617.0,14833.0,15298.0,37995.0,31992.0,34751.0,23035.0,22290.0,27835.0,21644.0,23823.0,26618.0,25443.0,33819.0,23433.0,35369.0,24261.0,21001.0,15780.0,16454.0,29291.0,39109.0,27726.0,22317.0,31439.0,32722.0,19345.0,23041.0,24030.0,30413.0,29909.0,52283.0,37826.0,58164.0,88216.0,29429.0,20797.0,18076.0,20615.0,30729.0,35360.0,27379.0
Techniczny koszt wytworzenia produkcji sprzedanej,24440.0,25775.0,17414.0,19382.0,10363.0,21466.0,24778.0,27178.0,28730.0,25462.0,24513.0,26034.0,22002.0,32989.0,52506.0,48564.0,31190.0,28447.0,29419.0,47856.0,38749.0,35314.0,27613.0,22056.0,25469.0,32853.0,23807.0,28549.0,24671.0,39499.0,39624.0,32242.0,21625.0,22253.0,23798.0,17969.0,14086.0,34351.0,30795.0,32819.0,22284.0,21084.0,27060.0,20747.0,23054.0,27271.0,24045.0,34095.0,21047.0,32579.0,24099.0,29093.0,20847.0,18956.0,26177.0,33253.0,24285.0,18870.0,27749.0,29499.0,17120.0,19619.0,20446.0,26206.0,26516.0,41907.0,29808.0,48411.0,84356.0,26921.0,20153.0,14922.0,19812.0,28475.0,33477.0,38533.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,1454.0,1218.0,1181.0,1602.0,1208.0,1267.0,1255.0,1607.0,1256.0,1366.0,1271.0,1566.0,2127.0,1482.0,1474.0,1822.0,2376.0,1590.0,1588.0,3018.0,1647.0,1779.0,1353.0,2495.0,906.0,1272.0,1128.0,1248.0,1198.0,1197.0,1247.0,1293.0,1230.0,1139.0,1015.0,1210.0,1095.0,1071.0,1026.0,1666.0,621.0,1049.0,1042.0,1203.0,1696.0,1333.0,1476.0,1328.0,1390.0,1592.0,1244.0,1794.0,1396.0,1821.0,1320.0,1838.0,1633.0,2072.0,1799.0,1715.0,1343.0,1608.0,1289.0,1625.0,1668.0,1471.0,1421.0,1671.0,2018.0,1323.0,2079.0,828.0,1748.0,1770.0,1607.0,1724.0
Zysk ze sprzedaży,-458.0,203.0,-483.0,-517.0,-638.0,777.0,3233.0,346.0,2474.0,3342.0,4209.0,3848.0,3688.0,4340.0,7387.0,5898.0,1953.0,6798.0,3867.0,2973.0,3995.0,2285.0,3146.0,836.0,-1344.0,-6494.0,-5977.0,-3557.0,91.0,770.0,2072.0,998.0,-324.0,-5176.0,-4196.0,-4346.0,117.0,2573.0,171.0,266.0,130.0,157.0,-267.0,-306.0,-927.0,-1986.0,-78.0,-1604.0,996.0,1198.0,-1082.0,-9886.0,-6463.0,-4323.0,1794.0,4018.0,1808.0,1375.0,1891.0,1508.0,882.0,1814.0,2295.0,2582.0,1725.0,8905.0,6597.0,8082.0,1842.0,1185.0,-1435.0,2326.0,-945.0,484.0,276.0,-12878.0
Pozostałe przychody operacyjne,103.0,74.0,185.0,638.0,127.0,36.0,37.0,141.0,292.0,34.0,147.0,187.0,88.0,179.0,39.0,89.0,118.0,104.0,145.0,13.0,108.0,50.0,119.0,421.0,4192.0,205.0,16.0,1176.0,47.0,520.0,140.0,222.0,55.0,462.0,90.0,254.0,109.0,-49.0,41.0,848.0,161.0,-18.0,334.0,300.0,81.0,-33.0,67.0,87.0,117.0,-41.0,24.0,502.0,90.0,483.0,728.0,-24.0,481.0,55.0,118.0,170.0,297.0,-33.0,12.0,439.0,733.0,-409.0,119.0,-44.0,1851.0,-1476.0,1579.0,-1281.0,48.0,743.0,90.0,21.0
Pozostałe koszty operacyjne,60.0,398.0,33.0,122.0,56.0,207.0,24.0,352.0,480.0,308.0,76.0,376.0,30.0,584.0,4.0,362.0,18.0,109.0,62.0,1067.0,17.0,1451.0,0.0,-15.0,83.0,231.0,-21.0,149.0,20.0,323.0,651.0,370.0,8.0,443.0,15.0,183.0,13.0,577.0,-7.0,443.0,128.0,118.0,-35.0,-15.0,56.0,40.0,306.0,17.0,30.0,822.0,-33.0,-153.0,38.0,422.0,26.0,416.0,29.0,733.0,402.0,547.0,98.0,872.0,-13.0,1480.0,43.0,903.0,1817.0,1494.0,84.0,9.0,71.0,320.0,21.0,91.0,19.0,33.0
Zysk operacyjny (EBIT),-415.0,-121.0,-331.0,-1.0,-567.0,606.0,3246.0,135.0,2286.0,3068.0,4280.0,3659.0,3746.0,3935.0,7422.0,5625.0,2053.0,6793.0,3950.0,1919.0,4086.0,884.0,3265.0,1272.0,2765.0,-6520.0,-5940.0,-2530.0,118.0,967.0,1561.0,850.0,-277.0,-5157.0,-4121.0,-4275.0,213.0,1947.0,219.0,671.0,163.0,21.0,102.0,9.0,-902.0,-2059.0,-317.0,-1534.0,1083.0,335.0,-1025.0,-9231.0,-6411.0,-4262.0,2496.0,3578.0,2260.0,697.0,1607.0,1131.0,1081.0,909.0,2320.0,1541.0,2415.0,7593.0,4899.0,6544.0,3609.0,-300.0,73.0,725.0,-918.0,1136.0,347.0,-12890.0
Przychody finansowe,1203.0,506.0,320.0,433.0,236.0,272.0,222.0,172.0,142.0,139.0,243.0,414.0,501.0,345.0,226.0,440.0,1300.0,2674.0,980.0,78.0,62.0,516.0,132.0,228.0,2190.0,160.0,204.0,198.0,189.0,91.0,184.0,130.0,124.0,107.0,83.0,89.0,254.0,29.0,219.0,-10.0,144.0,77.0,205.0,34.0,71.0,5.0,5.0,26.0,4.0,38.0,1.0,0.0,0.0,28.0,63.0,-29.0,3.0,0.0,2.0,25.0,4.0,51.0,4.0,18.0,6.0,24.0,26.0,229.0,317.0,261.0,-98.0,228.0,273.0,256.0,119.0,51.0
