,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,127444.0,226524.0,217011.0,265458.0,178341.0,284683.0,334664.0,390444.0,355685.0,453412.0,559086.0,560239.0,417653.0,520658.0,577782.0,695189.0,570760.0,626084.0,747283.0,768014.0,528169.0,611060.0,749394.0,681746.0,549339.0,876163.0,941252.0,1024980.0,712216.0,950350.0,879843.0,646602.0,456621.0,480481.0,544455.0,151806.0,313092.0,388661.0,392502.0,415269.0,239233.0,336987.0,359907.0,339304.0,350574.0,382425.0,336048.0,334055.0,277763.0,292332.0,249659.0,279876.0,194094.0,224228.0,264848.0,330162.0,271383.0,323555.0,331075.0,343521.0,313027.0,358648.0,349512.0,344294.0,210241.0,346028.0,325474.0,423287.0,300935.0,415388.0,454241.0,443773.0,316963.0,458358.0,448290.0,451729.0
Techniczny koszt wytworzenia produkcji sprzedanej,120832.0,217366.0,200229.0,249310.0,160638.0,270025.0,306137.0,386313.0,349751.0,430558.0,517466.0,524450.0,393399.0,477493.0,511387.0,611723.0,496343.0,543976.0,703309.0,656293.0,482509.0,564213.0,714416.0,652655.0,537526.0,840194.0,949472.0,1134894.0,701508.0,922537.0,880289.0,724605.0,454820.0,502073.0,563491.0,267552.0,292843.0,364788.0,369460.0,378506.0,225990.0,305865.0,328685.0,304617.0,317505.0,345165.0,308198.0,311307.0,244073.0,261167.0,226336.0,250611.0,178528.0,223811.0,251100.0,319298.0,250082.0,313830.0,323951.0,329761.0,285953.0,339772.0,321196.0,316651.0,190634.0,309452.0,301231.0,385645.0,279316.0,398038.0,411752.0,412540.0,298422.0,434392.0,425781.0,424784.0
Koszty sprzedaży,297.0,408.0,355.0,467.0,112.0,147.0,237.0,277.0,311.0,151.0,101.0,198.0,178.0,304.0,251.0,399.0,224.0,313.0,439.0,1258.0,71.0,439.0,476.0,108.0,312.0,265.0,489.0,648.0,371.0,457.0,419.0,907.0,358.0,596.0,556.0,-1510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,12053.0,13709.0,11970.0,12802.0,12521.0,12112.0,13746.0,16140.0,13107.0,14101.0,13299.0,18733.0,15803.0,16907.0,16211.0,25839.0,20907.0,23039.0,21271.0,24651.0,22130.0,23388.0,19333.0,21929.0,18396.0,18078.0,16271.0,20503.0,19006.0,20684.0,18874.0,18232.0,17654.0,16274.0,14928.0,11733.0,12900.0,14394.0,10732.0,13826.0,11476.0,11408.0,11489.0,13750.0,12959.0,12472.0,15022.0,13187.0,14966.0,15706.0,14744.0,18108.0,15273.0,17308.0,15030.0,16388.0,15171.0,15437.0,15788.0,17035.0,17042.0,15458.0,14014.0,15676.0,16568.0,15595.0,14287.0,16276.0,15979.0,17690.0,16292.0,16732.0,17463.0,16690.0,16893.0,18700.0
Zysk ze sprzedaży,-5738.0,-4959.0,4457.0,2879.0,5070.0,2399.0,14544.0,-12286.0,-7484.0,8602.0,28220.0,16858.0,8273.0,25954.0,49933.0,57228.0,53286.0,58756.0,22264.0,85812.0,23459.0,23020.0,15169.0,7054.0,-6895.0,17626.0,-24980.0,-131065.0,-8669.0,6672.0,-19739.0,-97142.0,-16211.0,-38462.0,-34520.0,-125969.0,7349.0,9479.0,12310.0,22937.0,1767.0,19714.0,19733.0,20937.0,20110.0,24788.0,12828.0,9561.0,18724.0,15459.0,8579.0,11157.0,293.0,-16891.0,-1282.0,-5524.0,6130.0,-5712.0,-8664.0,-3275.0,10032.0,3418.0,14302.0,11967.0,3039.0,20981.0,9956.0,21366.0,5640.0,-340.0,26197.0,14501.0,1078.0,7276.0,5616.0,8245.0
Pozostałe przychody operacyjne,3149.0,7551.0,4202.0,9729.0,2043.0,19591.0,1022.0,13377.0,3836.0,21497.0,8723.0,3228.0,26634.0,2967.0,1462.0,6604.0,7741.0,6744.0,10784.0,13391.0,2192.0,8473.0,9634.0,10926.0,7886.0,11144.0,6695.0,1118.0,9168.0,-845.0,4888.0,18736.0,5462.0,6501.0,3787.0,-7481.0,3379.0,431.0,6630.0,-954.0,1550.0,2016.0,878.0,5136.0,1873.0,781.0,997.0,1205.0,1828.0,1157.0,507.0,993.0,1546.0,838.0,1589.0,4622.0,579.0,360.0,20161.0,8080.0,3413.0,981.0,692.0,3868.0,1165.0,2767.0,891.0,-2538.0,3598.0,19421.0,-459.0,5186.0,1339.0,1636.0,2639.0,3176.0
Pozostałe koszty operacyjne,1626.0,9380.0,3112.0,14321.0,3325.0,8370.0,3285.0,9598.0,2728.0,7006.0,7974.0,6891.0,16223.0,7691.0,6526.0,26757.0,26354.0,-6365.0,1.0,57558.0,2868.0,2999.0,3885.0,5842.0,1027.0,17606.0,9687.0,-2024.0,8684.0,4181.0,7592.0,9190.0,5024.0,5341.0,7015.0,13177.0,3679.0,107.0,9229.0,24615.0,1670.0,9172.0,3839.0,7988.0,5096.0,15046.0,1658.0,2924.0,9998.0,3406.0,12661.0,10921.0,949.0,1264.0,779.0,6825.0,367.0,3249.0,2610.0,1411.0,572.0,3298.0,5275.0,5616.0,603.0,7114.0,1938.0,8067.0,1461.0,18232.0,1720.0,15918.0,960.0,8562.0,-5407.0,2266.0
Zysk operacyjny (EBIT),-4215.0,-6788.0,5547.0,-1713.0,3788.0,13620.0,12281.0,-8507.0,-6376.0,23093.0,28969.0,13195.0,18684.0,21230.0,44869.0,37075.0,34673.0,71865.0,33047.0,41645.0,22783.0,28494.0,20918.0,12138.0,-36.0,11164.0,-27972.0,-127923.0,-8185.0,1646.0,-22443.0,-87596.0,-15773.0,-37302.0,-37748.0,-146627.0,7049.0,9803.0,9711.0,-2632.0,1647.0,12558.0,16772.0,18085.0,16887.0,10523.0,12167.0,7842.0,10554.0,13210.0,-3575.0,1229.0,890.0,-17317.0,-472.0,-7727.0,6342.0,-8601.0,8887.0,3394.0,12873.0,1101.0,9719.0,10219.0,3601.0,16634.0,8909.0,10761.0,7777.0,849.0,24018.0,3769.0,1457.0,350.0,13662.0,9155.0
Przychody finansowe,2220.0,2407.0,4159.0,-6471.0,986.0,3121.0,668.0,1476.0,2679.0,1602.0,2549.0,7068.0,10818.0,11373.0,1004.0,4524.0,9565.0,5824.0,9621.0,1906.0,9724.0,2915.0,2859.0,1719.0,6062.0,764.0,4305.0,2726.0,5555.0,-553.0,6911.0,1269.0,2054.0,2149.0,-332.0,-1112.0,5416.0,1286.0,905.0,1173.0,10408.0,-4229.0,-1725.0,596.0,1530.0,2120.0,841.0,6521.0,11086.0,993.0,-3595.0,7954.0,152.0,248.0,8.0,7401.0,201.0,4744.0,-3288.0,11930.0,1012.0,1640.0,522.0,2011.0,1921.0,7719.0,-3351.0,1455.0,1250.0,908.0,882.0,5442.0,3079.0,8915.0,-5033.0,12815.0
