,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,67494.0,88568.0,102600.0,88802.0,77643.0,107427.0,129555.0,171348.0,155634.0,178893.0,180215.0,167849.0,146591.0,214301.0,226783.0,249489.0,192981.0,264347.0,272741.0,253922.0,123776.0,217789.0,264762.0,284942.0,187491.0,245102.0,243508.0,253815.0,157219.0,175744.0,176275.0,151790.0,120034.0,119661.0,150714.0,184708.0,158182.0,215098.0,241011.0,248359.0,172063.0,174812.0,214307.0,198442.0,167155.0,217086.0,201324.0,206747.0,167039.0,189867.0,166392.0,127065.0,138860.0,137358.0,167050.0,169975.0,146802.0,152904.0,147940.0,153728.0,131754.0,146186.0,151228.0,187746.0,160005.0,206407.0,203398.0,200241.0,230909.0,275873.0,348977.0,316500.0,347624.0,407314.0,365935.0,230547.0
Techniczny koszt wytworzenia produkcji sprzedanej,61819.0,78766.0,90570.0,81973.0,71109.0,95877.0,114820.0,150485.0,138339.0,159640.0,160777.0,154184.0,128029.0,186259.0,201805.0,222671.0,164014.0,238533.0,243668.0,230521.0,114479.0,192726.0,248356.0,281418.0,169692.0,228630.0,222019.0,244575.0,149087.0,156119.0,161811.0,144412.0,110036.0,111516.0,138230.0,169610.0,143102.0,195866.0,219851.0,230040.0,158001.0,163711.0,199082.0,181252.0,155060.0,199928.0,185505.0,215668.0,156198.0,177636.0,156735.0,199215.0,120833.0,117977.0,150381.0,154421.0,129882.0,137528.0,130235.0,138909.0,113771.0,129455.0,132844.0,168721.0,141269.0,186711.0,183973.0,180751.0,208602.0,248463.0,322037.0,280691.0,317905.0,371905.0,328172.0,178297.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,169.0,150.0,85.0,84.0,93.0,102.0,128.0,124.0,159.0,155.0,117.0,127.0,242.0,201.0,208.0,191.0,168.0,163.0,103.0,110.0,63.0,103.0,76.0,7.0,7.0,6.0,7.0,6.0,6.0,8.0,4.0,5.0,6.0,3.0,4.0,2.0,0.0,625.0,-625.0,1.0,0.0,1708.0,1624.0,1899.0,1922.0,2610.0,2020.0,2146.0,2312.0,2228.0,2130.0,1983.0,1957.0,1979.0,2051.0,2085.0,1977.0,2056.0,2071.0,2467.0,3269.0
Koszty ogólnego zarządu,6648.0,7206.0,7557.0,7744.0,7168.0,7525.0,8003.0,9505.0,9285.0,9984.0,10558.0,10189.0,12083.0,12882.0,14196.0,15046.0,13002.0,13276.0,12705.0,12596.0,10537.0,11957.0,11239.0,12108.0,11901.0,13433.0,13069.0,12567.0,12827.0,11626.0,10887.0,10605.0,11017.0,10783.0,11293.0,11473.0,10899.0,11118.0,10724.0,11150.0,10574.0,11781.0,10841.0,11986.0,11685.0,11351.0,11374.0,12651.0,11685.0,12209.0,10102.0,11556.0,11347.0,13099.0,11465.0,12985.0,9177.0,9011.0,9115.0,11246.0,9830.0,8005.0,7950.0,9380.0,8979.0,8589.0,8537.0,12591.0,9321.0,10751.0,9341.0,14586.0,11505.0,11183.0,14679.0,16272.0
Zysk ze sprzedaży,-973.0,2596.0,4473.0,-915.0,-634.0,4025.0,6732.0,11358.0,8010.0,9269.0,8880.0,3476.0,6479.0,15160.0,10735.0,11603.0,15815.0,12453.0,16284.0,10712.0,-1342.0,12978.0,5043.0,-8743.0,5743.0,2922.0,8293.0,-3569.0,-4896.0,7791.0,3386.0,-3395.0,-1182.0,-2741.0,1081.0,3562.0,4078.0,8038.0,10429.0,7162.0,3482.0,-687.0,4378.0,5198.0,402.0,5803.0,4440.0,-21578.0,-847.0,18.0,-447.0,-83706.0,6055.0,6907.0,5203.0,2569.0,6035.0,4741.0,6691.0,1651.0,5543.0,6706.0,8288.0,7333.0,7529.0,8977.0,8905.0,4942.0,11007.0,14608.0,15514.0,19246.0,16158.0,22155.0,20617.0,32709.0
Pozostałe przychody operacyjne,2120.0,21594.0,838.0,7294.0,2010.0,20568.0,1189.0,4428.0,2485.0,7516.0,4660.0,5513.0,10783.0,6077.0,5439.0,13815.0,3246.0,4261.0,1572.0,5591.0,2902.0,1342.0,3372.0,16621.0,14624.0,9938.0,19320.0,6190.0,19985.0,-361.0,8815.0,13148.0,20248.0,8815.0,7502.0,10842.0,4758.0,3343.0,3344.0,4222.0,2390.0,25454.0,4142.0,-712.0,3756.0,9833.0,3288.0,9007.0,1541.0,8788.0,6946.0,6759.0,2135.0,3352.0,2136.0,8305.0,813.0,2285.0,1169.0,7019.0,1244.0,1447.0,3905.0,-238.0,339.0,1107.0,265.0,6575.0,654.0,470.0,448.0,5500.0,866.0,403.0,246.0,7676.0
Pozostałe koszty operacyjne,537.0,2178.0,1029.0,6130.0,667.0,15882.0,1626.0,6650.0,973.0,1292.0,771.0,5471.0,3097.0,3233.0,2404.0,15065.0,900.0,1771.0,1517.0,10853.0,846.0,4260.0,3106.0,9416.0,1210.0,5587.0,2281.0,16873.0,6770.0,302.0,6187.0,25878.0,17579.0,3311.0,2265.0,9945.0,1178.0,2224.0,3227.0,5975.0,773.0,11296.0,3663.0,19124.0,1094.0,18073.0,1581.0,13885.0,1133.0,657.0,3265.0,9607.0,1198.0,2862.0,3580.0,6124.0,1681.0,3559.0,451.0,4296.0,1087.0,1519.0,6399.0,-1143.0,762.0,1435.0,988.0,3366.0,1270.0,2355.0,981.0,4500.0,637.0,1579.0,612.0,4986.0
Zysk operacyjny (EBIT),610.0,22012.0,4282.0,249.0,709.0,8711.0,6295.0,9136.0,9522.0,15493.0,12769.0,3518.0,14165.0,18004.0,13770.0,10353.0,18161.0,14943.0,16339.0,5450.0,714.0,10060.0,5309.0,-1538.0,19157.0,7273.0,25332.0,-14252.0,8319.0,7128.0,6014.0,-16125.0,1487.0,2763.0,6318.0,4459.0,7658.0,9157.0,10546.0,5409.0,5099.0,13471.0,4857.0,-14638.0,3064.0,-2437.0,6147.0,-26456.0,-439.0,8149.0,3234.0,-86554.0,6992.0,7397.0,3759.0,4750.0,5167.0,3467.0,7409.0,4374.0,5700.0,6634.0,5794.0,8238.0,7106.0,8649.0,8182.0,8151.0,10391.0,12723.0,14981.0,20246.0,16387.0,20979.0,20251.0,35399.0
Przychody finansowe,178.0,509.0,1132.0,1317.0,3297.0,3104.0,78.0,54059.0,2525.0,4010.0,9798.0,5207.0,2759.0,2739.0,2727.0,14203.0,6664.0,2488.0,-1386.0,3175.0,746.0,2798.0,1033.0,658.0,1225.0,519.0,4518.0,706.0,615.0,575.0,424.0,384.0,2249.0,2334.0,-1480.0,-79.0,349.0,373.0,-41.0,1703.0,114.0,1045.0,-415.0,694.0,415.0,1697.0,541.0,1185.0,111.0,400.0,447.0,691.0,1047.0,200.0,-144.0,-448.0,246.0,1222.0,-446.0,875.0,674.0,-308.0,15.0,-36.0,113.0,-57.0,0.0,-32.0,992.0,1089.0,2420.0,441.0,2233.0,8638.0,3759.0,2515.0
