,0,1,2,3,4,5,6,7,8,9,10
Period,2012/Q3,2012/Q4,2013/Q3,2013/Q4,2018/Q3,2018/Q4,2020/Q4,2021/Q4,2022/Q4,2023/Q1,2023/Q4
Przychody ze sprzedaży,15847.0,115655.0,28110.0,57644.0,41580.0,593020.0,145812.0,360168.0,193737.0,434750.0,249052.0
Techniczny koszt wytworzenia produkcji sprzedanej,8603.0,67544.0,23710.0,36501.0,0.0,576272.0,112876.0,232732.0,133082.0,286323.0,175863.0
Koszty sprzedaży,2620.0,3702.0,2172.0,4148.0,0.0,17733.0,10322.0,10572.0,6430.0,10497.0,10061.0
Koszty ogólnego zarządu,3453.0,4264.0,4867.0,5695.0,0.0,56665.0,10330.0,24337.0,18109.0,14422.0,25001.0
Zysk ze sprzedaży,1171.0,40145.0,-2639.0,11300.0,0.0,64746.0,12284.0,92527.0,36116.0,123508.0,38127.0
Pozostałe przychody operacyjne,630.0,1143.0,461.0,825.0,0.0,42038.0,-2401.0,1232.0,-732.0,691.0,585.0
Pozostałe koszty operacyjne,736.0,1327.0,712.0,9623.0,0.0,5149.0,6061.0,614.0,4709.0,2427.0,1512.0
Zysk operacyjny (EBIT),1065.0,39961.0,-2890.0,2502.0,28350.0,33853.0,3822.0,93145.0,30675.0,121772.0,37200.0
Przychody finansowe,-2385.0,-1856.0,6974.0,33206.0,0.0,5890.0,1249.0,1579.0,2647.0,3922.0,2755.0
Koszty finansowe,0.0,0.0,0.0,0.0,0.0,4672.0,497.0,993.0,538.0,402.0,2166.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-1320.0,38105.0,4084.0,35708.0,0.0,102853.0,4574.0,93731.0,32784.0,125292.0,37789.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-1320.0,38105.0,4084.0,35708.0,0.0,102853.0,4574.0,93731.0,32784.0,125292.0,37789.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,-24483.0,-1.0,0.0,0.0,0.0,0.0
Zysk netto,-1311.0,40265.0,3810.0,40767.0,17554.0,11020.0,1707.0,72101.0,25213.0,100778.0,29244.0
