,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Period,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,15383.0,9817.0,34060.0,126464.0,20530.0,50295.0,108112.0,87192.0,53549.0,10418.0,55510.0,171307.0,40143.0,13189.0,115173.0,262880.0,50688.0,24600.0,188627.0,129820.0,121600.0,205104.0,85284.0,176597.0,70826.0,197227.0,86988.0,22470.0
Techniczny koszt wytworzenia produkcji sprzedanej,10776.0,10774.0,27994.0,98049.0,15426.0,37592.0,82051.0,69008.0,38296.0,7233.0,43086.0,135186.0,28007.0,9129.0,84184.0,204315.0,38028.0,17171.0,140140.0,86590.0,92098.0,163445.0,63973.0,126213.0,56831.0,133444.0,54650.0,14108.0
Koszty sprzedaży,0.0,3622.0,1753.0,2458.0,2009.0,2310.0,2238.0,2927.0,1676.0,2120.0,2173.0,2413.0,1731.0,1382.0,1555.0,1627.0,1421.0,1524.0,1373.0,1951.0,1109.0,1931.0,1925.0,2483.0,1649.0,2160.0,1790.0,2211.0
Koszty ogólnego zarządu,0.0,11212.0,4865.0,8454.0,4676.0,6100.0,7085.0,8603.0,6763.0,6659.0,8463.0,12745.0,11261.0,6359.0,9177.0,14025.0,6674.0,7468.0,8366.0,12358.0,8030.0,9854.0,7762.0,10702.0,5790.0,7675.0,8125.0,8882.0
Zysk ze sprzedaży,4607.0,-15791.0,-552.0,17503.0,-1581.0,4293.0,16738.0,6654.0,6814.0,-5594.0,1788.0,20963.0,-856.0,-3681.0,20257.0,42913.0,4565.0,-1563.0,38748.0,28921.0,20363.0,29874.0,11624.0,37199.0,6556.0,53948.0,22423.0,-2731.0
Pozostałe przychody operacyjne,3876.0,12902.0,2072.0,16782.0,5561.0,7762.0,4507.0,5267.0,6657.0,18880.0,27273.0,21566.0,6574.0,11732.0,11831.0,8793.0,5839.0,30591.0,2930.0,14327.0,14156.0,6142.0,15696.0,4869.0,1886.0,5185.0,1002.0,-195.0
Pozostałe koszty operacyjne,5798.0,-1813.0,553.0,442.0,989.0,729.0,582.0,1856.0,1358.0,845.0,1455.0,4165.0,1287.0,1138.0,1511.0,4055.0,2588.0,2124.0,1031.0,2138.0,1662.0,1579.0,9056.0,6002.0,1420.0,1588.0,1143.0,2871.0
Zysk operacyjny (EBIT),2685.0,-1076.0,967.0,33843.0,2991.0,11326.0,20663.0,10065.0,12113.0,12441.0,27606.0,38364.0,4431.0,6913.0,30577.0,47651.0,7816.0,26904.0,40647.0,41110.0,32857.0,34437.0,18264.0,36066.0,7022.0,57545.0,22282.0,-5797.0
Przychody finansowe,0.0,1696.0,1164.0,1110.0,3264.0,8563.0,-2034.0,2963.0,1594.0,1398.0,3172.0,-530.0,10668.0,-446.0,1781.0,3365.0,2381.0,-12.0,744.0,1000.0,2856.0,1835.0,9322.0,-4125.0,2673.0,2349.0,4599.0,3271.0
Koszty finansowe,4849.0,5610.0,-224.0,8245.0,476.0,454.0,487.0,477.0,1044.0,2600.0,-772.0,3634.0,2201.0,-313.0,657.0,2652.0,1717.0,3518.0,-942.0,2525.0,1171.0,8433.0,4911.0,6006.0,3201.0,10201.0,-3922.0,15905.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-2164.0,-4990.0,2355.0,26708.0,5779.0,19435.0,18142.0,12551.0,12663.0,11239.0,31550.0,34200.0,12898.0,6780.0,31701.0,48364.0,8480.0,23374.0,42333.0,39585.0,34542.0,27839.0,22675.0,25935.0,6494.0,49693.0,30803.0,-18431.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-2164.0,-4990.0,2355.0,26708.0,5779.0,19435.0,18142.0,12551.0,12663.0,11239.0,31550.0,34200.0,12898.0,6780.0,31701.0,48364.0,8480.0,23374.0,42333.0,39585.0,34542.0,27839.0,22675.0,25935.0,6494.0,49693.0,30803.0,-18431.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,3908.0,7979.0,2426.0,23897.0,5571.0,16328.0,15075.0,10335.0,7787.0,8873.0,28723.0,24504.0,11783.0,5569.0,25759.0,37334.0,8128.0,21017.0,35083.0,31745.0,29101.0,24900.0,18907.0,16995.0,5663.0,39609.0,24342.0,-14337.0
Zysk netto akcjonariuszy jednostki dominującej,3908.0,7979.0,2426.0,23897.0,5571.0,16328.0,15075.0,10335.0,7787.0,8873.0,28723.0,24504.0,11783.0,5569.0,25759.0,37334.0,8128.0,21017.0,35083.0,31445.0,29101.0,24900.0,18907.0,16995.0,5663.0,39609.0,24342.0,-14337.0
Aktywa trwałe,117282.0,154794.0,142092.0,178995.0,219949.0,204204.0,226108.0,228281.0,192357.0,206164.0,277437.0,262443.0,178175.0,196963.0,198660.0,215903.0,225422.0,235094.0,282797.0,264420.0,346850.0,399665.0,412032.0,399755.0,402482.0,367717.0,374486.0,338899.0
Wartości niematerialne i prawne,1055.0,345.0,265.0,982.0,894.0,819.0,811.0,760.0,725.0,832.0,812.0,821.0,783.0,795.0,753.0,137.0,157.0,138.0,114.0,89.0,63.0,50.0,287.0,249.0,243.0,203.0,210.0,161.0
