,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2004/Q1,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,4081.0,3146.0,4627.0,2570.0,7187.0,4039.0,4142.0,3896.0,8804.0,9033.0,8195.0,7845.0,16388.0,8793.0,9960.0,8435.0,19614.0,8189.0,6982.0,7760.0,19674.0,7312.0,6864.0,7800.0,18918.0,6745.0,7078.0,5179.0,9304.0,3224.0,7381.0,4016.0,9720.0,3935.0,5665.0,4167.0,14375.0,5336.0,4829.0,3931.0,12707.0,4659.0,7476.0,6317.0,11701.0,5442.0,6440.0,5894.0,14163.0,5513.0,7012.0,6679.0,10987.0,5184.0,8703.0,6573.0,9360.0,5466.0,5902.0,4960.0,10242.0,4625.0,6768.0,6394.0,10465.0,6694.0,8981.0,9551.0,10446.0,7093.0,9780.0,10734.0,12843.0,16401.0,23151.0,13743.0,15126.0
Techniczny koszt wytworzenia produkcji sprzedanej,2561.0,1705.0,2896.0,1663.0,4330.0,3117.0,2979.0,2735.0,6394.0,6785.0,6651.0,4267.0,10313.0,6128.0,5832.0,5064.0,8802.0,4289.0,4437.0,4758.0,13759.0,6845.0,4634.0,4432.0,9295.0,5050.0,4717.0,3161.0,5157.0,2418.0,4041.0,2875.0,1820.0,2769.0,3863.0,1849.0,7685.0,3011.0,2738.0,2800.0,6420.0,3302.0,4203.0,3650.0,6334.0,3811.0,4073.0,3960.0,7653.0,3787.0,4597.0,4438.0,6195.0,3764.0,4951.0,4105.0,5411.0,3579.0,3795.0,3505.0,4708.0,2446.0,3354.0,3595.0,5283.0,3739.0,4653.0,4885.0,5620.0,3861.0,4741.0,5526.0,6805.0,8537.0,11092.0,7008.0,7792.0
Koszty sprzedaży,224.0,187.0,255.0,143.0,181.0,193.0,247.0,537.0,1483.0,1266.0,1289.0,1058.0,2512.0,1353.0,1828.0,1440.0,3533.0,1383.0,1985.0,1945.0,3928.0,1429.0,1866.0,1397.0,2769.0,1337.0,1691.0,1206.0,1238.0,426.0,1307.0,526.0,1552.0,933.0,664.0,657.0,3045.0,1337.0,1643.0,1134.0,3252.0,1069.0,1542.0,1168.0,3499.0,1110.0,1357.0,1166.0,3041.0,1473.0,1759.0,1415.0,2788.0,1150.0,2355.0,1349.0,2476.0,1307.0,1823.0,1375.0,2253.0,1383.0,1717.0,1575.0,2786.0,1793.0,1978.0,2201.0,2312.0,1950.0,2436.0,2225.0,2786.0,2995.0,3667.0,2212.0,3141.0
Koszty ogólnego zarządu,1127.0,1180.0,1237.0,1307.0,3049.0,2085.0,1966.0,1284.0,2149.0,2116.0,2077.0,2016.0,2526.0,2105.0,2215.0,2416.0,2443.0,2201.0,2737.0,340.0,4016.0,2027.0,2599.0,1303.0,2145.0,1704.0,1985.0,1494.0,1574.0,1501.0,1468.0,1433.0,3421.0,1652.0,1678.0,2874.0,-137.0,901.0,1032.0,793.0,913.0,923.0,934.0,994.0,985.0,832.0,827.0,814.0,1426.0,882.0,847.0,758.0,1303.0,807.0,943.0,821.0,944.0,847.0,957.0,862.0,1026.0,1020.0,784.0,769.0,1508.0,1172.0,2468.0,1597.0,1314.0,1315.0,1468.0,1406.0,2112.0,1630.0,1660.0,1733.0,1855.0
Zysk ze sprzedaży,169.0,74.0,239.0,-543.0,-373.0,-1356.0,-1050.0,-660.0,-1222.0,-1134.0,-1822.0,504.0,1037.0,-793.0,85.0,-485.0,4836.0,316.0,-2177.0,717.0,-2029.0,-2989.0,-2235.0,668.0,4709.0,-1346.0,-1315.0,-682.0,1335.0,-1121.0,565.0,-818.0,2927.0,-1419.0,-540.0,-1213.0,3782.0,87.0,-584.0,-796.0,2122.0,-635.0,797.0,505.0,883.0,-311.0,183.0,-46.0,2043.0,-629.0,-191.0,68.0,701.0,-537.0,454.0,298.0,529.0,-267.0,-673.0,-782.0,2255.0,-224.0,913.0,455.0,888.0,-10.0,-118.0,868.0,1200.0,-33.0,1135.0,1577.0,1140.0,3239.0,6732.0,2790.0,2338.0
Pozostałe przychody operacyjne,113.0,64.0,159.0,70.0,2018.0,961.0,1091.0,384.0,2896.0,4533.0,808.0,366.0,770.0,1143.0,590.0,397.0,451.0,467.0,565.0,842.0,3034.0,1254.0,1671.0,483.0,734.0,1178.0,352.0,368.0,328.0,405.0,366.0,420.0,707.0,408.0,385.0,343.0,379.0,334.0,340.0,487.0,1281.0,105.0,383.0,101.0,292.0,131.0,64.0,112.0,203.0,334.0,77.0,54.0,406.0,93.0,44.0,50.0,308.0,149.0,-29.0,141.0,1590.0,44.0,704.0,134.0,251.0,272.0,1246.0,145.0,879.0,20.0,56.0,103.0,1555.0,33.0,62.0,70.0,1746.0
Pozostałe koszty operacyjne,249.0,104.0,23.0,47.0,1148.0,546.0,403.0,121.0,5404.0,1002.0,746.0,454.0,464.0,210.0,62.0,72.0,1288.0,447.0,273.0,2129.0,-1003.0,213.0,42.0,927.0,1358.0,615.0,298.0,1154.0,320.0,338.0,310.0,329.0,1732.0,342.0,360.0,402.0,515.0,417.0,629.0,481.0,72.0,204.0,218.0,231.0,296.0,165.0,154.0,94.0,555.0,241.0,120.0,-1.0,193.0,490.0,180.0,115.0,1129.0,76.0,24.0,155.0,1378.0,344.0,309.0,143.0,1744.0,147.0,209.0,-105.0,158.0,176.0,239.0,172.0,156.0,132.0,156.0,126.0,400.0
Zysk operacyjny (EBIT),33.0,34.0,375.0,-520.0,497.0,-941.0,-362.0,-397.0,-3730.0,2397.0,-1760.0,416.0,1343.0,140.0,613.0,-160.0,3999.0,336.0,-1885.0,-570.0,2008.0,-1948.0,-606.0,224.0,4085.0,-783.0,-1261.0,-1468.0,1343.0,-1054.0,621.0,-727.0,1902.0,-1353.0,-515.0,-1272.0,3646.0,4.0,-873.0,-790.0,3331.0,-734.0,962.0,375.0,879.0,-345.0,93.0,-28.0,1691.0,-536.0,-234.0,123.0,914.0,-934.0,318.0,233.0,-292.0,-194.0,-726.0,-796.0,2467.0,-524.0,1308.0,446.0,-605.0,115.0,919.0,1118.0,1921.0,-189.0,952.0,1508.0,2539.0,3140.0,6638.0,2734.0,3684.0
Przychody finansowe,10923.0,28.0,40.0,62.0,17.0,-90.0,1016.0,28.0,1902.0,57.0,74.0,85.0,191.0,194.0,68.0,-60.0,-140.0,1.0,171.0,-166.0,76.0,79.0,-79.0,70.0,9.0,19.0,35.0,-35.0,1.0,138.0,-62.0,57.0,11.0,3.0,15.0,6.0,16.0,6.0,3.0,6.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,167.0,42.0,4.0,-5.0,26.0,5.0,10.0,31.0,-6.0,15.0,17.0,19.0,22.0,11.0,42.0,18.0,-26.0,27.0,77.0,250.0,34.0,1.0,8.0,11.0,37.0,50.0,51.0,58.0,213.0
