,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,1304.0,662.0,-299.0,555.0,57.0,51.0,113.0,-168.0,55.0,58.0,67.0,79.0,86.0,93.0,98.0,85.0,213.0,354.0,437.0,8856.0,4817.0,-1342.0,18302.0,-9482.0,7847.0,1273.0,2214.0,1465.0,969.0,-514.0,2563.0,526.0,320.0,1599.0,610.0,918.0,1350.0,2459.0,709.0,507.0,179.0,844.0,181.0,4535.0,284.0,1320.0,1377.0,86.0,2123.0,1195.0,707.0,905.0,495.0,130.0,437.0,515.0,129.0,511.0,610.0,-850.0,10.0,0.0,0.0,8515.0,2415.0,4164.0,1634.0,1981.0,743.0,335.0,92.0,8278.0,4865.0,2612.0,1663.0,1440.0
Techniczny koszt wytworzenia produkcji sprzedanej,2680.0,2012.0,1766.0,2097.0,425.0,263.0,12.0,-521.0,181.0,251.0,222.0,265.0,198.0,280.0,175.0,114.0,28610.0,211.0,282.0,-26993.0,1800.0,2018.0,3771.0,3635.0,5737.0,5197.0,4937.0,3098.0,3817.0,-558.0,9999.0,271.0,2166.0,2201.0,4956.0,-2124.0,1461.0,2003.0,826.0,833.0,862.0,813.0,1021.0,7169.0,673.0,994.0,1502.0,1152.0,689.0,1139.0,1437.0,1003.0,743.0,1595.0,304.0,1008.0,821.0,880.0,740.0,-1688.0,185.0,196.0,257.0,6105.0,2279.0,4571.0,2070.0,1600.0,1042.0,1295.0,678.0,1207.0,1032.0,868.0,1079.0,1188.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-1376.0,-1350.0,-2065.0,-1542.0,-368.0,-212.0,101.0,353.0,-126.0,-193.0,-155.0,-186.0,-112.0,-187.0,-77.0,-29.0,-28397.0,143.0,155.0,34717.0,3017.0,-3360.0,14531.0,-13117.0,2110.0,-3924.0,-2723.0,-1633.0,-2848.0,44.0,-7436.0,255.0,-1846.0,-602.0,-4346.0,3042.0,-111.0,456.0,-117.0,-326.0,-683.0,31.0,-840.0,-2634.0,-389.0,326.0,-125.0,-1066.0,1434.0,56.0,-730.0,-98.0,-248.0,-1465.0,133.0,-493.0,-692.0,-369.0,-130.0,838.0,-175.0,-196.0,-257.0,2410.0,136.0,-407.0,-436.0,381.0,-299.0,-960.0,-586.0,7071.0,3833.0,1744.0,584.0,252.0
Pozostałe przychody operacyjne,12478.0,704.0,7986.0,15819.0,1452.0,9825.0,527.0,-11804.0,0.0,61.0,0.0,-122.0,0.0,0.0,0.0,3.0,-12.0,-172.0,2732.0,-2494.0,11.0,25.0,39.0,1.0,2.0,10.0,-12.0,12.0,30.0,0.0,6.0,6.0,617.0,40.0,175.0,-519.0,17.0,15.0,17.0,332.0,2.0,214.0,9.0,281.0,402.0,886.0,635.0,-1653.0,60.0,14.0,9.0,94.0,10.0,67.0,111.0,1448.0,22.0,68.0,75.0,-104.0,2896.0,15.0,63.0,-2139.0,0.0,1636.0,0.0,2259.0,0.0,37.0,7.0,0.0,0.0,0.0,24.0,19.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,16.0,240.0,-195.0,1102.0,76.0,275.0,-351.0,1241.0,161.0,2094.0,846.0,3532.0,347.0,101.0,129.0,348.0,46.0,36.0,64.0,4804.0,61.0,1114.0,94.0,5620.0,462.0,1335.0,152.0,-664.0,404.0,95.0,62.0,172.0,60.0,4625.0,60.0,5857.0,69.0,1172.0,212.0,-66.0,7.0,6.0,5.0,2170.0,0.0,3209.0,0.0,2177.0,0.0,307.0,61.0,257.0,0.0,0.0,0.0,0.0
Zysk operacyjny (EBIT),11102.0,-646.0,5921.0,14277.0,1084.0,9613.0,628.0,-11451.0,-126.0,-132.0,-155.0,-308.0,-112.0,-187.0,-77.0,-26.0,-28409.0,-29.0,2887.0,31947.0,3012.0,-3575.0,14765.0,-14218.0,2036.0,-4189.0,-2384.0,-2862.0,-2979.0,-2050.0,-8276.0,-3271.0,-1576.0,-663.0,-4300.0,2175.0,-140.0,435.0,-164.0,-4798.0,-742.0,-869.0,-925.0,-7973.0,-449.0,-123.0,358.0,-2055.0,1090.0,-25.0,-783.0,-176.0,-298.0,-6023.0,184.0,-4902.0,-739.0,-1473.0,-267.0,800.0,2714.0,-187.0,-199.0,-1899.0,136.0,-1980.0,-436.0,463.0,-299.0,-1230.0,-640.0,6814.0,3833.0,1744.0,608.0,271.0
Przychody finansowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.0,721.0,1257.0,-1636.0,1468.0,369.0,3911.0,-1235.0,418.0,893.0,1371.0,991.0,844.0,889.0,554.0,645.0,469.0,417.0,436.0,461.0,377.0,285.0,1270.0,705.0,-1065.0,1107.0,-435.0,342.0,300.0,107.0,109.0,1091.0,75.0,305.0,1421.0,86.0,-1511.0,76.0,26.0,23.0,-100.0,8.0,15.0,17.0,-29.0,3.0,285.0,14.0,196.0,21.0,19.0,22.0,99.0,55.0,31.0,62.0,59.0
