,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,246.12,216.04,141.81,8.92,-22.04,-3.13,-13.62,-5.65,2.07,-8.16,14.86,-10.32
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,235.48,207.14,144.72,4.09,-17.52,3.15,-10.07,0.21,4.38,-12.61,10.87,-15.94
Koszty sprzedaży,,,,,59.62,80.53,91.77,-7.95,63.83,80.34,29.91,173.49,78.93,30.48,37.74,11.53
Koszty ogólnego zarządu,,,,,81.15,1004.55,432.71,244.87,24.06,-62.01,-20.06,-36.98,1.2,-22.21,-2.79,48.83
Zysk ze sprzedaży,,,,,1382.08,-1.1,41.06,9.97,-92.66,-3.83,-75.87,-52.53,-308.03,235.78,339.93,61.96
Pozostałe przychody operacyjne,,,,,-5.71,-2.37,-70.65,-819.63,-93.94,93.64,-87.52,318.8,6125.0,-1681.82,12.5,-269.39
Pozostałe koszty operacyjne,,,,,-22.22,53.04,-86.16,165.29,780.95,190.61,53.57,333.86,72.43,-155.9,611.63,-93.87
Zysk operacyjny (EBIT),,,,,1365.53,-3.12,31.89,1.55,-94.61,-2.41,-76.86,-45.76,-421.14,279.94,325.67,17.41
Przychody finansowe,,,,,-92.97,18.39,-221.15,126.68,1770.37,286.58,128.74,-15.06,-95.25,-65.0,147.22,-3.44
Koszty finansowe,,,,,-1.05,120.3,87.41,81.55,638.3,779.86,236.69,526.24,102.67,-50.17,-58.86,-32.86
Pozostałe przychody (koszty),,,,,,,,,,,,-134.62,-28.7,-49.75,-163.44,-19.4
Zysk z działalności gospodarczej,,,,,1162.82,-6.41,27.62,5.51,-99.9,-50.84,-91.26,-65.47,-32747.37,576.73,1048.32,46.44
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,1162.82,-6.41,27.62,5.51,-99.9,-50.84,-91.26,-65.47,-32747.37,576.73,1048.32,46.44
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,,,,1344.39,-68.6,19.21,6.08,-99.89,-20.21,-91.26,-72.81,-30887.5,1344.27,941.07,107.29
Zysk netto akcjonariuszy jednostki dominującej,,,,,1344.39,-68.6,19.21,6.08,-99.89,-20.21,-91.26,-72.81,-30887.5,1344.27,941.07,107.29
Aktywa trwałe,,,,,,,,52.59,125.02,35.57,18.0,36.49,44.75,-1.11,-4.17,9.41
Wartości niematerialne i prawne,,,,,,,,-0.88,,11.98,131.0,131.36,131.9,100.74,-3.46,-4.28
Rzeczowe składniki majątku trwałego,,,,,,,,-2.02,5.22,-3.77,-7.88,41.11,188.7,11.38,12.06,-16.36
Należności długoterminowe,,,,,,,,175.16,122.68,-38.1,-67.74,-21.99,-21.99,21.39,130.39,29.97
Inwestycje długoterminowe,,,,,,,,598.65,908.8,83.42,42.78,54.66,-3.62,-3.65,1.76,4.94
Pozostałe aktywa trwałe,,,,,,,,-36.92,1.44,-5.63,-5.18,-41.66,-38.19,-30.39,-68.51,199.64
Aktywa obrotowe,,,,,,,,54.43,93.12,33.81,13.1,3.65,-3.26,-9.13,8.8,6.53
Zapasy,,,,,,,,236.12,1515.33,602.5,356.67,140.68,-21.47,-43.33,-16.14,-14.79
Należności krótkoterminowe,,,,,,,,87.28,44.29,-1.97,-4.54,30.62,17.15,8.65,16.68,-1.57
Inwestycje krótkoterminowe,,,,,,,,3.0,-11.68,-47.99,-68.47,-83.43,-24.41,14.52,54.39,216.77
Środki pieniężne i inne aktywa pieniężne,,,,,,,,-6.52,-15.04,230.78,-50.77,-89.37,-41.45,39.19,43.79,487.01
Pozostałe aktywa obrotowe,,,,,,,,2373.62,813.54,156.8,131.77,-74.78,-71.0,4.28,13.03,-11.38
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,,,54.17,97.87,34.06,13.82,8.18,4.88,-7.98,6.84,7.03
Kapitał własny akcjonariuszy jednostki dominującej,,,,,-5.41,24.96,365.74,293.38,382.18,212.59,-3.06,-6.84,-8.32,6.15,9.19,10.74
Kapitał (fundusz) podstawowy,,,,,,,,20.46,20.46,17.63,0.0,0.0,0.0,0.0,-0.91,-0.91
Udziały (akcje) własne,,,,,,,,,,,,,,0.0,100.0,100.0
Kapitał (fundusz) zapasowy,,,,,,,,637.78,621.4,670.63,967.54,6.75,6.75,6.86,6.86,6.86
Udziały niekontrolujące,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,,,35.99,32.54,49.06,51.84,48.86,160.3,-6.44,-3.55,-12.06
Z tytułu dostaw i usług,,,,,,,,-17.54,15.61,-33.45,-28.79,22.22,-34.8,3.09,70.47,-29.34
Kredyty i pożyczki,,,,,,,,180.23,318.97,50.06,1689.85,465.09,166.56,-67.41,-45.78,-73.04
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,,,,,76.39,62.0,75.54,91.4,33.6,29.75,-3.66,-4.81,14.13
Zobowiązania krótkoterminowe,,,,,,,,-21.99,20.13,-10.38,30.45,25.97,0.76,-20.14,6.09,6.35
