,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,66348.0,113069.0,140920.0,265978.0,229642.0,357344.0,340754.0,289705.0,179029.0,346161.0,294333.0,273329.0,182736.0,317903.0,338058.0,245122.0
Techniczny koszt wytworzenia produkcji sprzedanej,60237.0,102820.0,125925.0,240575.0,202081.0,315799.0,308166.0,250417.0,166673.0,325745.0,277129.0,250939.0,173970.0,284679.0,307248.0,210936.0
Koszty sprzedaży,265.0,262.0,401.0,541.0,423.0,473.0,769.0,498.0,693.0,853.0,999.0,1362.0,1240.0,1113.0,1376.0,1519.0
Koszty ogólnego zarządu,4574.0,3102.0,2868.0,4874.0,8286.0,34263.0,15278.0,16809.0,10280.0,13015.0,12213.0,10593.0,10403.0,10124.0,11872.0,15766.0
Zysk ze sprzedaży,1272.0,6885.0,11726.0,19988.0,18852.0,6809.0,16541.0,21981.0,1383.0,6548.0,3992.0,10435.0,-2877.0,21987.0,17562.0,16901.0
Pozostałe przychody operacyjne,70.0,-676.0,1748.0,-107.0,66.0,-692.0,513.0,-984.0,4.0,-44.0,64.0,2153.0,249.0,-784.0,72.0,-3647.0
Pozostałe koszty operacyjne,54.0,181.0,607.0,-484.0,42.0,277.0,84.0,316.0,370.0,805.0,129.0,1371.0,638.0,-450.0,918.0,84.0
Zysk operacyjny (EBIT),1288.0,6028.0,12867.0,20365.0,18876.0,5840.0,16970.0,20681.0,1017.0,5699.0,3927.0,11217.0,-3266.0,21653.0,16716.0,13170.0
Przychody finansowe,384.0,560.0,-156.0,1087.0,27.0,663.0,-501.0,2464.0,505.0,2563.0,144.0,2093.0,24.0,897.0,356.0,2021.0
Koszty finansowe,190.0,266.0,413.0,466.0,188.0,586.0,774.0,846.0,1388.0,5156.0,2606.0,5298.0,2813.0,2569.0,1072.0,3557.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,-156.0,-115.0,-197.0,-93.0,-366.0,-148.0,-295.0,-245.0,-437.0
Zysk z działalności gospodarczej,1482.0,6322.0,12298.0,20986.0,18715.0,5917.0,15695.0,22143.0,19.0,2909.0,1372.0,7646.0,-6203.0,19686.0,15755.0,11197.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,1482.0,6322.0,12298.0,20986.0,18715.0,5917.0,15695.0,22143.0,19.0,2909.0,1372.0,7646.0,-6203.0,19686.0,15755.0,11197.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1025.0,4806.0,9881.0,17069.0,14805.0,1509.0,11779.0,18107.0,16.0,1204.0,1030.0,4924.0,-4926.0,17389.0,10723.0,10207.0
Zysk netto akcjonariuszy jednostki dominującej,1025.0,4806.0,9881.0,17069.0,14805.0,1509.0,11779.0,18107.0,16.0,1204.0,1030.0,4924.0,-4926.0,17389.0,10723.0,10207.0
Aktywa trwałe,0.0,0.0,0.0,51680.0,48703.0,74766.0,87252.0,78861.0,109593.0,101359.0,102959.0,107634.0,158636.0,100233.0,98665.0,117757.0
Wartości niematerialne i prawne,0.0,0.0,0.0,682.0,0.0,726.0,700.0,676.0,652.0,813.0,1617.0,1564.0,1512.0,1632.0,1561.0,1497.0
Rzeczowe składniki majątku trwałego,0.0,0.0,0.0,27184.0,28205.0,29196.0,29774.0,26634.0,29678.0,28095.0,27428.0,37584.0,85681.0,31293.0,30735.0,31434.0
