,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,37496.0,34778.0,36729.0,47664.0,49289.0,43598.0,51604.0,84265.0,81198.0,74363.0,75033.0,84783.0,73015.0,59430.0,77614.0,70062.0,74520.0,63729.0,68988.0,72526.0,62624.0,56140.0,62233.0,60937.0,59212.0,57404.0,63417.0,43328.0,60499.0,52789.0,51990.0,61049.0,52597.0,50809.0,57171.0,62722.0,57623.0,51492.0,50702.0,52953.0,54654.0,52624.0,57896.0,65596.0,65647.0,52810.0,60560.0,69601.0,64307.0,54622.0,64092.0,69208.0,77784.0,60585.0,64869.0,81472.0
Techniczny koszt wytworzenia produkcji sprzedanej,27313.0,25997.0,27651.0,39061.0,39260.0,35505.0,41411.0,56240.0,59508.0,61503.0,57131.0,63612.0,57206.0,48096.0,61125.0,56706.0,57695.0,49976.0,52406.0,56562.0,49118.0,44648.0,49658.0,48971.0,47661.0,45797.0,53178.0,37397.0,49392.0,43579.0,44014.0,53233.0,42011.0,41628.0,45092.0,52932.0,47105.0,42806.0,42406.0,43192.0,44434.0,43837.0,48184.0,50846.0,51560.0,42368.0,48519.0,57354.0,56623.0,47928.0,52500.0,58312.0,63416.0,48198.0,52542.0,61259.0
Koszty sprzedaży,4280.0,3724.0,3957.0,4314.0,4445.0,4255.0,4904.0,11634.0,12609.0,6288.0,9032.0,9225.0,9844.0,6935.0,8029.0,8708.0,7325.0,9036.0,9063.0,9249.0,7766.0,7058.0,6082.0,6625.0,6902.0,7660.0,6317.0,5058.0,7162.0,5988.0,6845.0,5148.0,6997.0,6828.0,8727.0,8940.0,8672.0,8785.0,8634.0,9216.0,8389.0,7310.0,8023.0,7622.0,8920.0,8623.0,9292.0,9937.0,7457.0,6351.0,6162.0,6185.0,6454.0,6341.0,5895.0,6712.0
Koszty ogólnego zarządu,2217.0,1660.0,1256.0,2036.0,2666.0,2986.0,2654.0,5942.0,4941.0,5981.0,5466.0,6189.0,3177.0,3661.0,3073.0,4888.0,3952.0,3828.0,4026.0,4123.0,3954.0,3845.0,3713.0,3711.0,3684.0,4764.0,2621.0,3616.0,3123.0,3079.0,2879.0,3129.0,2733.0,2911.0,2785.0,2950.0,2673.0,2717.0,2790.0,3167.0,2691.0,2619.0,3050.0,3231.0,3294.0,3804.0,3531.0,4188.0,3817.0,2959.0,3491.0,3384.0,3789.0,3469.0,3422.0,3900.0
Zysk ze sprzedaży,3686.0,3397.0,3865.0,2253.0,2918.0,852.0,2635.0,10449.0,4140.0,591.0,3404.0,5757.0,2788.0,738.0,5387.0,-240.0,5548.0,889.0,3493.0,2592.0,1786.0,589.0,2780.0,1630.0,965.0,-817.0,1301.0,-2743.0,822.0,143.0,-1748.0,-461.0,856.0,-558.0,567.0,-2100.0,-827.0,-2816.0,-3128.0,-2622.0,-860.0,-1142.0,-1361.0,3897.0,1873.0,-1985.0,-782.0,-1878.0,-3590.0,-2616.0,1939.0,1327.0,4125.0,2577.0,3010.0,9601.0
Pozostałe przychody operacyjne,6.0,87.0,531.0,460.0,52.0,181.0,244.0,1843.0,893.0,1023.0,4293.0,-3453.0,426.0,467.0,359.0,509.0,476.0,2293.0,350.0,1001.0,428.0,540.0,691.0,1422.0,261.0,452.0,93.0,447.0,1287.0,1018.0,908.0,-245.0,293.0,593.0,174.0,334.0,427.0,1196.0,710.0,244.0,1001.0,491.0,855.0,-635.0,645.0,3093.0,136.0,360.0,351.0,21.0,541.0,861.0,1426.0,1688.0,185.0,736.0
Pozostałe koszty operacyjne,54.0,70.0,57.0,411.0,120.0,139.0,208.0,4454.0,364.0,1135.0,4067.0,-2501.0,577.0,778.0,674.0,2473.0,738.0,975.0,860.0,1325.0,582.0,434.0,1193.0,1216.0,469.0,37637.0,1593.0,-2084.0,741.0,862.0,1138.0,1070.0,409.0,3815.0,518.0,5695.0,283.0,377.0,1169.0,7857.0,1071.0,855.0,675.0,161.0,602.0,2339.0,1503.0,944.0,465.0,49.0,478.0,2377.0,660.0,51.0,554.0,1679.0
Zysk operacyjny (EBIT),3638.0,3414.0,4339.0,2302.0,2850.0,894.0,2671.0,7838.0,4669.0,479.0,3630.0,4805.0,2637.0,427.0,5072.0,-2204.0,5286.0,2207.0,2983.0,2268.0,1632.0,695.0,2278.0,1836.0,757.0,-38002.0,-199.0,-212.0,1368.0,299.0,-1978.0,-1776.0,740.0,-3780.0,223.0,-7461.0,-683.0,-1997.0,-3587.0,-10235.0,-930.0,-1506.0,-1181.0,3101.0,1916.0,-1231.0,-2149.0,-2462.0,-3704.0,-2644.0,2002.0,-189.0,4891.0,4214.0,2641.0,8658.0
Przychody finansowe,77.0,-76.0,329.0,151.0,368.0,1616.0,-1039.0,-230.0,186.0,-52.0,262.0,-66.0,42.0,19.0,-8.0,-7.0,6.0,-3.0,22.0,17.0,84.0,104.0,110.0,46.0,118.0,494.0,210.0,98.0,130.0,45.0,10106.0,-9979.0,14.0,222.0,-82.0,77.0,19.0,-4.0,81.0,-83.0,64.0,74.0,10.0,-67.0,59.0,71.0,-39.0,146.0,138.0,-40.0,145.0,-210.0,19.0,209.0,38.0,-22.0
Koszty finansowe,352.0,324.0,653.0,44.0,513.0,299.0,1368.0,437.0,1290.0,1228.0,1511.0,1183.0,1076.0,856.0,669.0,863.0,775.0,566.0,561.0,540.0,513.0,461.0,482.0,401.0,572.0,514.0,369.0,-980.0,421.0,606.0,10559.0,-9516.0,509.0,449.0,411.0,434.0,299.0,465.0,443.0,138.0,276.0,667.0,351.0,315.0,368.0,667.0,117.0,760.0,758.0,1027.0,1272.0,1387.0,1195.0,1579.0,1272.0,1317.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
