,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Period,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,65522.0,78189.0,74517.0,110005.0,97077.0,82858.0,84387.0,86358.0,91471.0,118878.0,138562.0,156531.0,138733.0,143105.0,162432.0,179064.0,163991.0,227596.0,254469.0,240288.0,180807.0,169065.0,178871.0,243304.0,248042.0,230429.0,206252.0,267604.0,246164.0,393383.0,412652.0,452663.0,412452.0,425502.0,417581.0,422410.0,387100.0,385190.0,410922.0,383025.0
Techniczny koszt wytworzenia produkcji sprzedanej,53279.0,62608.0,61320.0,98834.0,79687.0,67961.0,71222.0,70273.0,76251.0,98983.0,117222.0,131157.0,115440.0,116062.0,134361.0,141778.0,129484.0,180362.0,203930.0,208369.0,151829.0,138947.0,149558.0,212405.0,211906.0,185835.0,165303.0,222330.0,199629.0,343654.0,367106.0,400344.0,353173.0,356666.0,346436.0,340494.0,314293.0,318455.0,345311.0,324638.0
Koszty sprzedaży,2826.0,5446.0,4211.0,5345.0,4888.0,6000.0,4263.0,5779.0,3927.0,9658.0,9827.0,11010.0,12184.0,13382.0,12555.0,16771.0,13405.0,16038.0,16119.0,13229.0,12713.0,10565.0,10610.0,12650.0,12918.0,16318.0,14317.0,17068.0,16726.0,23687.0,20365.0,23945.0,25063.0,29524.0,25695.0,31641.0,22759.0,21321.0,26376.0,17754.0
Koszty ogólnego zarządu,3457.0,4207.0,3939.0,2671.0,3682.0,4961.0,3890.0,5951.0,5632.0,5185.0,5738.0,6121.0,5597.0,7617.0,5082.0,8199.0,7569.0,8239.0,8679.0,8050.0,8203.0,8100.0,7099.0,8850.0,9074.0,9342.0,9580.0,9921.0,11429.0,13287.0,14641.0,13300.0,14331.0,14971.0,16851.0,21647.0,14755.0,15452.0,16930.0,16073.0
Zysk ze sprzedaży,5960.0,5928.0,5047.0,3155.0,8820.0,3936.0,5012.0,4355.0,5661.0,5052.0,5775.0,8243.0,5512.0,6044.0,10434.0,12316.0,13533.0,22957.0,25741.0,10640.0,8062.0,11453.0,11604.0,9399.0,14144.0,18934.0,17052.0,18285.0,18380.0,12755.0,10540.0,15074.0,19885.0,24341.0,28599.0,28628.0,35293.0,29962.0,22305.0,24560.0
Pozostałe przychody operacyjne,1079.0,1334.0,-748.0,839.0,630.0,6945.0,485.0,1133.0,10369.0,2629.0,155.0,10757.0,317.0,2226.0,-452.0,3134.0,774.0,1327.0,-1016.0,1605.0,1051.0,2212.0,1283.0,2603.0,1805.0,7157.0,1092.0,-455.0,893.0,273.0,963.0,2759.0,464.0,997.0,1436.0,2385.0,1787.0,5252.0,1548.0,-73.0
Pozostałe koszty operacyjne,1145.0,929.0,243.0,526.0,411.0,47.0,378.0,919.0,261.0,1453.0,64.0,6012.0,221.0,319.0,647.0,3372.0,810.0,5473.0,3738.0,-1933.0,589.0,5397.0,3490.0,-1206.0,400.0,6298.0,1078.0,784.0,191.0,646.0,109.0,2924.0,289.0,3162.0,2548.0,723.0,1267.0,797.0,4230.0,3955.0
Zysk operacyjny (EBIT),5895.0,6332.0,4056.0,3468.0,9039.0,10834.0,5119.0,4569.0,15769.0,6228.0,5866.0,12988.0,5608.0,7951.0,9335.0,12078.0,13497.0,18811.0,20987.0,14178.0,8524.0,8268.0,9397.0,13208.0,15549.0,19793.0,17066.0,17046.0,19082.0,12382.0,11394.0,14909.0,20060.0,22176.0,27487.0,30290.0,35813.0,34417.0,19623.0,20532.0
Przychody finansowe,79.0,189.0,53.0,372.0,165.0,112.0,95.0,365.0,65.0,256.0,49.0,2483.0,344.0,0.0,-236.0,575.0,16.0,943.0,198.0,-278.0,940.0,-347.0,1219.0,-443.0,1997.0,1742.0,1987.0,1913.0,234.0,411.0,49.0,-164.0,75.0,1190.0,4109.0,-1893.0,305.0,529.0,3959.0,1801.0
Koszty finansowe,312.0,225.0,138.0,100.0,610.0,174.0,221.0,472.0,686.0,1100.0,899.0,1172.0,830.0,897.0,425.0,1193.0,729.0,3524.0,-1412.0,1438.0,676.0,841.0,350.0,897.0,1177.0,980.0,1213.0,2245.0,1962.0,3030.0,296.0,3732.0,3508.0,4844.0,5855.0,5132.0,4328.0,7634.0,363.0,14458.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1982.0,0.0,-2097.0,-2284.0,-4014.0
Zysk z działalności gospodarczej,5663.0,6295.0,3971.0,3740.0,8594.0,10772.0,4993.0,4462.0,15148.0,5384.0,5016.0,14299.0,5122.0,7054.0,8674.0,11460.0,12784.0,16230.0,22597.0,12462.0,8788.0,7080.0,10266.0,11868.0,16369.0,20555.0,17840.0,16714.0,17354.0,9763.0,11147.0,11013.0,16627.0,18522.0,25741.0,21283.0,31790.0,25215.0,20935.0,3861.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,5663.0,6295.0,3971.0,3740.0,8594.0,10772.0,4993.0,4462.0,15148.0,5384.0,5016.0,14299.0,5122.0,7054.0,8674.0,11460.0,12784.0,16230.0,22597.0,12462.0,8788.0,7080.0,10266.0,11868.0,16369.0,20555.0,17840.0,16714.0,17354.0,9763.0,11147.0,11013.0,16627.0,18522.0,25741.0,21283.0,31790.0,25215.0,20935.0,3861.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,4482.0,4729.0,3100.0,3539.0,6755.0,8708.0,4910.0,2820.0,12112.0,6393.0,4303.0,11501.0,4132.0,5241.0,7244.0,9219.0,9944.0,12889.0,18000.0,10376.0,6841.0,5447.0,8208.0,10000.0,13122.0,17110.0,13798.0,13870.0,14150.0,8005.0,8558.0,9928.0,12628.0,15375.0,20646.0,18606.0,25269.0,20813.0,14924.0,7701.0
Zysk netto akcjonariuszy jednostki dominującej,4482.0,4729.0,3100.0,3539.0,6755.0,8669.0,4892.0,2877.0,12112.0,6393.0,4303.0,11501.0,4132.0,5241.0,7244.0,9219.0,9944.0,12889.0,18000.0,10376.0,6841.0,5447.0,8208.0,10000.0,13122.0,17110.0,13798.0,13870.0,14585.0,7587.0,8353.0,9766.0,12667.0,14952.0,20226.0,18275.0,24701.0,20929.0,15071.0,8371.0
Aktywa trwałe,81976.0,83437.0,96449.0,110869.0,112447.0,162378.0,169134.0,175021.0,236213.0,238150.0,238526.0,246140.0,244786.0,245404.0,244564.0,244181.0,245219.0,245711.0,251814.0,259590.0,260289.0,274690.0,299859.0,338184.0,343804.0,343808.0,350611.0,420445.0,426308.0,430272.0,430707.0,452810.0,455571.0,456582.0,458615.0,460718.0,463453.0,486432.0,505245.0,506300.0
Wartości niematerialne i prawne,162.0,210.0,184.0,12437.0,12893.0,12890.0,12963.0,12932.0,13417.0,13402.0,13460.0,13429.0,13356.0,13285.0,13324.0,13466.0,13543.0,14057.0,14558.0,15070.0,14927.0,15000.0,14773.0,14459.0,14582.0,14225.0,14034.0,19991.0,19689.0,19867.0,20270.0,28306.0,27887.0,27829.0,28197.0,30802.0,30847.0,31072.0,30946.0,33978.0
Rzeczowe składniki majątku trwałego,42667.0,41854.0,41854.0,92795.0,92715.0,142762.0,149853.0,154938.0,216091.0,217626.0,218833.0,225914.0,224704.0,224365.0,222556.0,224346.0,224864.0,225544.0,231080.0,236731.0,236764.0,257802.0,283202.0,322106.0,324271.0,319624.0,326248.0,389659.0,392037.0,397625.0,399792.0,392129.0,391614.0,391069.0,391321.0,391875.0,396511.0,399901.0,403351.0,401745.0
Należności długoterminowe,3719.0,5979.0,2058.0,1108.0,2247.0,1799.0,1130.0,1518.0,1615.0,2010.0,1084.0,2136.0,2151.0,3198.0,3046.0,1731.0,2188.0,1228.0,1206.0,2699.0,3487.0,1130.0,922.0,563.0,674.0,620.0,683.0,908.0,2756.0,2660.0,0.0,1636.0,895.0,751.0,2151.0,1514.0,690.0,19050.0,37481.0,35456.0
Inwestycje długoterminowe,35210.0,35233.0,52206.0,4331.0,4321.0,4473.0,4666.0,4455.0,4370.0,4451.0,4452.0,4167.0,4158.0,4149.0,5144.0,4154.0,4145.0,4436.0,4425.0,4474.0,4464.0,155.0,155.0,240.0,3415.0,8203.0,8221.0,8222.0,8586.0,8212.0,8496.0,28082.0,32487.0,34286.0,34476.0,33964.0,32801.0,31804.0,30710.0,32567.0
Pozostałe aktywa trwałe,218.0,161.0,147.0,198.0,271.0,454.0,522.0,1178.0,720.0,661.0,697.0,494.0,417.0,407.0,494.0,484.0,479.0,446.0,545.0,616.0,647.0,603.0,807.0,816.0,862.0,1136.0,1425.0,1665.0,3240.0,1908.0,2149.0,2657.0,2688.0,2647.0,2470.0,2563.0,2604.0,4605.0,2757.0,2554.0
Aktywa obrotowe,104342.0,109598.0,110226.0,144572.0,144424.0,136480.0,153015.0,138707.0,162364.0,181906.0,201618.0,196072.0,196451.0,209714.0,223388.0,235539.0,261550.0,346769.0,372780.0,383491.0,375858.0,341599.0,323558.0,415709.0,424520.0,423028.0,455804.0,484918.0,545545.0,632586.0,712361.0,767529.0,899857.0,914335.0,881902.0,864192.0,863913.0,972616.0,991458.0,1014640.0
Zapasy,14189.0,11828.0,12269.0,20099.0,15106.0,19381.0,17201.0,17660.0,27250.0,29305.0,25522.0,30050.0,33570.0,35015.0,42036.0,44525.0,47021.0,53796.0,61015.0,63622.0,61224.0,62432.0,54020.0,61986.0,65202.0,83180.0,97289.0,122329.0,171907.0,170703.0,180558.0,176146.0,182084.0,224410.0,248886.0,265907.0,255896.0,280327.0,285982.0,338896.0
Należności krótkoterminowe,72256.0,83256.0,79530.0,84588.0,99299.0,81508.0,91457.0,75490.0,120913.0,128237.0,166008.0,142125.0,148647.0,156919.0,171433.0,172813.0,201712.0,256404.0,245583.0,223054.0,223747.0,183622.0,167792.0,242489.0,280263.0,251228.0,215915.0,255528.0,278643.0,362000.0,455549.0,473937.0,633075.0,541325.0,479756.0,470502.0,475844.0,515314.0,570891.0,444520.0
Inwestycje krótkoterminowe,15271.0,12768.0,17031.0,38338.0,26941.0,31672.0,42197.0,44262.0,9627.0,21154.0,7887.0,22423.0,9148.0,15595.0,7820.0,15719.0,8295.0,32897.0,64669.0,95234.0,85741.0,93283.0,99288.0,108895.0,76143.0,86442.0,140585.0,105187.0,91183.0,96554.0,73503.0,114648.0,78513.0,144110.0,149559.0,120288.0,123137.0,168582.0,127678.0,222333.0
Środki pieniężne i inne aktywa pieniężne,13484.0,11481.0,15744.0,36445.0,25654.0,30725.0,41248.0,44007.0,9360.0,20885.0,7887.0,22423.0,9148.0,15595.0,7820.0,15719.0,8295.0,32897.0,63710.0,95234.0,85551.0,92899.0,99288.0,106572.0,76143.0,86442.0,140585.0,104797.0,89227.0,95866.0,72054.0,114648.0,78513.0,144110.0,149559.0,119496.0,121957.0,164470.0,127397.0,207715.0
Pozostałe aktywa obrotowe,2626.0,1746.0,1396.0,1547.0,3078.0,3919.0,2160.0,1295.0,4574.0,3210.0,2201.0,1474.0,5086.0,2185.0,2099.0,2482.0,4522.0,3672.0,1513.0,1581.0,5146.0,2262.0,2458.0,2339.0,2912.0,2178.0,2015.0,1874.0,3812.0,3329.0,2751.0,2798.0,6185.0,4490.0,3701.0,7495.0,9036.0,8393.0,6907.0,8891.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,186318.0,193035.0,206675.0,255441.0,256871.0,298858.0,322149.0,313728.0,398577.0,420056.0,440144.0,442212.0,441237.0,455118.0,467952.0,479720.0,506769.0,592480.0,624594.0,643081.0,636147.0,616289.0,623417.0,753893.0,768324.0,766836.0,806415.0,905363.0,971853.0,1062858.0,1143068.0,1220339.0,1355428.0,1370917.0,1340517.0,1324910.0,1327366.0,1459048.0,1496703.0,1520940.0
Kapitał własny akcjonariuszy jednostki dominującej,101244.0,104470.0,124576.0,128137.0,134850.0,141549.0,173677.0,178005.0,190119.0,195582.0,199866.0,212222.0,216314.0,220315.0,227924.0,237570.0,246644.0,255879.0,274521.0,285359.0,292384.0,290083.0,296205.0,309270.0,318637.0,334689.0,344513.0,344841.0,361095.0,377744.0,366894.0,380542.0,395667.0,413271.0,435347.0,452724.0,475461.0,483661.0,494611.0,499463.0
Kapitał (fundusz) podstawowy,21065.0,21065.0,21213.0,21213.0,21213.0,21213.0,24213.0,24213.0,24213.0,24213.0,24213.0,24213.0,24213.0,24213.0,24213.0,24213.0,24213.0,24213.0,24369.0,24369.0,24369.0,24369.0,24369.0,24580.0,24580.0,24580.0,24580.0,24827.0,24827.0,24827.0,24827.0,24827.0,24827.0,24827.0,24827.0,24827.0,24827.0,24827.0,24826.0,24826.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,25699.0,39385.0,56250.0,56267.0,56241.0,67441.0,92699.0,93106.0,93115.0,108970.0,108977.0,109818.0,109827.0,142292.0,142649.0,143090.0,144103.0,160141.0,160632.0,161093.0,161274.0,193055.0,190752.0,193823.0,215256.0,214226.0,213084.0,208465.0,209220.0,244196.0,239901.0,25245.0,25245.0,25245.0,25245.0,25245.0,25245.0,25245.0,25245.0,25245.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,665.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3825.0,3920.0,16880.0,16451.0,16960.0,24938.0,25080.0,31094.0,31425.0,27849.0,29771.0,25856.0,25742.0,23010.0,22465.0
Zobowiązania długoterminowe,17060.0,16564.0,15090.0,15839.0,15729.0,48280.0,52930.0,54560.0,86875.0,79258.0,77786.0,79335.0,77326.0,88738.0,84035.0,77753.0,75067.0,89676.0,89384.0,83155.0,83933.0,97565.0,104374.0,135216.0,146198.0,145594.0,144383.0,198319.0,188952.0,203359.0,214028.0,210018.0,207872.0,205372.0,205824.0,200604.0,211118.0,189597.0,195826.0,191468.0
Z tytułu dostaw i usług,46786.0,53534.0,49200.0,92693.0,75527.0,85831.0,73430.0,65147.0,86477.0,102042.0,112008.0,121107.0,113643.0,120001.0,125192.0,131569.0,104869.0,193120.0,202908.0,168547.0,185723.0,170662.0,159798.0,208099.0,231138.0,197869.0,181382.0,252509.0,297893.0,292051.0,330531.0,448767.0,471198.0,507233.0,457906.0,470452.0,407566.0,483800.0,464927.0,431808.0
Kredyty i pożyczki,4621.0,4383.0,4145.0,5591.0,16091.0,6048.0,5505.0,3958.0,13916.0,24781.0,28850.0,7240.0,9949.0,5438.0,5481.0,7746.0,20822.0,10777.0,15246.0,20246.0,20246.0,21266.0,18316.0,15993.0,18088.0,32009.0,39024.0,26401.0,41935.0,75313.0,102250.0,72051.0,138659.0,118652.0,114147.0,55989.0,75697.0,126117.0,173138.0,248996.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,1418.0,1324.0,1365.0,1244.0,1289.0,1723.0,2381.0,2924.0,3073.0,2966.0,3521.0,3749.0,3837.0,3939.0,3856.0,4183.0,4169.0,4327.0,4111.0,4705.0,4507.0,5176.0,5394.0,5837.0,6332.0,6288.0,6642.0,8684.0,8740.0,9143.0,12869.0,9010.0,9135.0,9123.0,9755.0,10429.0,11618.0,13587.0,13156.0,12820.0
Inne zobowiązania długoterminowe,11505.0,12235.0,11681.0,13457.0,14079.0,28545.0,28840.0,30260.0,32482.0,30507.0,28052.0,29836.0,29122.0,30454.0,29359.0,27432.0,24921.0,22290.0,22735.0,17768.0,19327.0,21062.0,20349.0,21820.0,22720.0,24482.0,25212.0,48166.0,50654.0,47718.0,50219.0,55645.0,52791.0,55625.0,58909.0,59618.0,74742.0,48631.0,66055.0,52913.0
Zobowiązania krótkoterminowe,68014.0,72001.0,67009.0,111465.0,106292.0,108364.0,94859.0,81163.0,121583.0,145216.0,162492.0,150655.0,147597.0,146065.0,155993.0,164397.0,185058.0,246925.0,260689.0,274567.0,259830.0,228641.0,222838.0,309407.0,303489.0,282728.0,313599.0,345323.0,405355.0,464795.0,537208.0,604699.0,720795.0,720849.0,671497.0,641811.0,614931.0,760048.0,783256.0,807544.0
Inne zobowiązania krótkoterminowe,15189.0,12760.0,12299.0,11937.0,13385.0,14762.0,13543.0,9134.0,18117.0,15427.0,18113.0,18559.0,20168.0,16687.0,21464.0,20899.0,55198.0,38701.0,38424.0,81069.0,49354.0,31537.0,39330.0,79478.0,47931.0,46562.0,86551.0,57729.0,56787.0,88288.0,91558.0,74871.0,101803.0,85841.0,89689.0,104941.0,120050.0,136544.0,132035.0,113920.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,186318.0,193035.0,206675.0,255441.0,256871.0,298858.0,322149.0,313728.0,398577.0,420056.0,440144.0,442212.0,441237.0,455118.0,467952.0,479720.0,506769.0,592480.0,624594.0,643081.0,636147.0,616289.0,623417.0,753893.0,768324.0,766836.0,806415.0,905363.0,971853.0,1062858.0,1143068.0,1220339.0,1355428.0,1370917.0,1340517.0,1324910.0,1327366.0,1459048.0,1496703.0,1520940.0
Przepływy pieniężne z działalności operacyjnej,-15611.0,-621.0,6291.0,24501.0,-19366.0,22747.0,-1953.0,9008.0,-25449.0,15926.0,-11607.0,39460.0,-12379.0,4297.0,2058.0,14337.0,-15954.0,22731.0,37965.0,54103.0,-4131.0,17864.0,41347.0,38868.0,-30596.0,1689.0,51166.0,59116.0,-111.0,-21043.0,-38383.0,111270.0,-98435.0,100836.0,24383.0,54211.0,4079.0,23863.0,-30721.0,24912.0
Amortyzacja,923.0,1063.0,976.0,1125.0,1392.0,1682.0,1749.0,1973.0,2423.0,2698.0,2773.0,2734.0,3108.0,3159.0,3429.0,2847.0,3365.0,3262.0,4005.0,3147.0,3897.0,4003.0,4011.0,4141.0,4655.0,5100.0,5079.0,5165.0,6730.0,6478.0,6654.0,6863.0,6713.0,6903.0,6877.0,7177.0,7025.0,7206.0,7426.0,7387.0
Przepływy pieniężne z działalności inwestycyjnej,29.0,317.0,-17330.0,-201.0,-480.0,-22785.0,-15313.0,-3735.0,-47959.0,-8323.0,-853.0,-488.0,-1116.0,-2048.0,-2725.0,-1196.0,-2016.0,-3156.0,-9029.0,-18439.0,-3837.0,-20405.0,-28213.0,-39138.0,-7733.0,-4168.0,-8269.0,-50390.0,-5662.0,-2084.0,-11589.0,-25879.0,-6101.0,-2933.0,-2421.0,-8804.0,-9152.0,-2292.0,-4380.0,-13219.0
CAPEX (niematerialne i rzeczowe),578.0,208.0,195.0,714.0,983.0,4978.0,8569.0,4582.0,48345.0,8498.0,1098.0,3671.0,1264.0,1981.0,1720.0,2353.0,2211.0,3157.0,9029.0,18294.0,3953.0,20411.0,28287.0,39757.0,7670.0,4328.0,8290.0,7662.0,5370.0,6198.0,7559.0,25912.0,4337.0,3743.0,2433.0,8966.0,9323.0,2321.0,4519.0,8929.0
Przepływy pieniężne z działalności finansowej,1503.0,1799.0,8698.0,-3599.0,9051.0,-8048.0,40951.0,-2515.0,38762.0,3921.0,-538.0,-24436.0,220.0,4199.0,-7109.0,-5244.0,10545.0,5028.0,1877.0,-4139.0,-1716.0,9890.0,-6746.0,7555.0,7899.0,1171.0,-3600.0,-23991.0,-8879.0,30553.0,26191.0,-44533.0,68401.0,-32306.0,-16514.0,-75475.0,7534.0,20788.0,-1968.0,68775.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
