,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,410845.0,439241.0,381131.0,436619.0,400338.0,451119.0,369410.0,450496.0,461394.0,424391.0,457800.0,480644.0,707049.0,779201.0,698833.0,218538.0,518034.0,355351.0,207791.0,405432.0,419808.0,502541.0,526788.0,573499.0,614511.0,675131.0,591881.0,884038.0,726310.0,923367.0,759640.0,571899.0,725439.0,728379.0,510401.0,500140.0,631533.0,617158.0,504967.0,658785.0,746138.0,693687.0,600091.0,701773.0,686530.0,605060.0,548540.0,576854.0,699292.0,650626.0,531266.0,718393.0,614956.0,630366.0,552078.0,623947.0,726661.0,576186.0,546502.0,582969.0,648224.0,566959.0,549041.0,663742.0,718146.0,686634.0,812703.0,1002433.0,1048531.0,1614472.0,1379103.0,1307573.0,712466.0,783999.0,768142.0,704901.0
Techniczny koszt wytworzenia produkcji sprzedanej,355767.0,378220.0,360112.0,393658.0,375064.0,427841.0,363101.0,426715.0,394841.0,355581.0,379263.0,396712.0,513443.0,595404.0,536898.0,403192.0,545234.0,398874.0,321159.0,431631.0,394976.0,485793.0,483729.0,481541.0,507024.0,576744.0,503856.0,743376.0,621980.0,843235.0,688388.0,553647.0,635344.0,647288.0,452901.0,490253.0,556973.0,526986.0,435575.0,558889.0,608686.0,561526.0,512467.0,570356.0,531523.0,496442.0,464708.0,504652.0,570580.0,510796.0,448926.0,597666.0,508737.0,558878.0,510115.0,553712.0,597911.0,507944.0,490483.0,505763.0,563548.0,483919.0,475640.0,576689.0,628241.0,586667.0,711048.0,847726.0,961671.0,1272610.0,1300529.0,1392318.0,768999.0,781878.0,786149.0,625415.0
Koszty sprzedaży,10567.0,12082.0,9131.0,11830.0,11787.0,12292.0,9693.0,14135.0,14107.0,15166.0,11447.0,15613.0,19264.0,20686.0,12649.0,13821.0,17780.0,11202.0,5902.0,9725.0,13203.0,9672.0,12141.0,18288.0,11733.0,12688.0,9129.0,13857.0,12927.0,12002.0,12382.0,16585.0,16354.0,16446.0,16285.0,18381.0,18784.0,19174.0,26501.0,25795.0,25238.0,21894.0,22258.0,28274.0,23906.0,42431.0,20998.0,28757.0,27939.0,23037.0,25907.0,36093.0,27001.0,26716.0,27513.0,31307.0,29215.0,26097.0,23050.0,29055.0,30583.0,29185.0,26531.0,31014.0,31749.0,26678.0,27921.0,31383.0,27592.0,32804.0,34687.0,37160.0,23757.0,18433.0,23261.0,27101.0
Koszty ogólnego zarządu,16695.0,20199.0,18230.0,20621.0,17235.0,19877.0,18336.0,18065.0,18863.0,21262.0,20925.0,30979.0,24475.0,26576.0,25868.0,30976.0,24751.0,28238.0,22461.0,20972.0,21889.0,22784.0,22255.0,25334.0,20918.0,23332.0,22154.0,39752.0,29681.0,31453.0,28698.0,41687.0,34011.0,37013.0,35327.0,54731.0,35743.0,43243.0,37180.0,52835.0,43683.0,45776.0,47016.0,48193.0,47085.0,46069.0,41056.0,46477.0,41955.0,40549.0,37412.0,47848.0,38508.0,40927.0,39267.0,42199.0,39956.0,39578.0,42111.0,53944.0,45110.0,43280.0,43313.0,42894.0,38215.0,39044.0,36846.0,46254.0,45487.0,48114.0,46347.0,59678.0,50892.0,52601.0,39157.0,55980.0
Zysk ze sprzedaży,27816.0,28740.0,-6342.0,10510.0,-3748.0,-8891.0,-21720.0,-8419.0,33583.0,32382.0,46165.0,37340.0,149867.0,136535.0,123418.0,-229451.0,-69731.0,-82963.0,-141731.0,-56896.0,-10260.0,-15708.0,8663.0,48336.0,74836.0,62367.0,56742.0,87053.0,61722.0,36677.0,30172.0,-40020.0,39730.0,27632.0,5888.0,-63225.0,20033.0,27755.0,5711.0,21266.0,68531.0,64491.0,18350.0,54950.0,84016.0,20118.0,21778.0,-3032.0,58818.0,76244.0,19021.0,36786.0,40710.0,3845.0,-24817.0,-3271.0,59579.0,2567.0,-9142.0,-5793.0,8983.0,10575.0,3557.0,13145.0,19941.0,34245.0,36888.0,77070.0,13781.0,260944.0,-2460.0,-181583.0,-131182.0,-68913.0,-80425.0,-3595.0
Pozostałe przychody operacyjne,5343.0,9515.0,4189.0,21604.0,8824.0,9695.0,8286.0,30854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2269.0,2067.0,3119.0,5908.0,1321.0,4427.0,1367.0,64572.0,1025.0,7717.0,2356.0,47849.0,1336.0,4916.0,1997.0,8046.0,2861.0,964.0,2183.0,6002.0,1341.0,1256.0,1728.0,10452.0,1447.0,7097.0,2483.0,2403.0,2546.0,2817.0,1221.0,3650.0,11134.0,-6280.0,2841.0,9178.0,1622.0,12863.0,1769.0,20186.0,7961.0,1681.0,2030.0,7667.0,3121.0,5330.0,2404.0,6514.0,71714.0,10114.0,3775.0,5993.0
Pozostałe koszty operacyjne,2530.0,8955.0,164.0,42578.0,6044.0,5664.0,10100.0,253298.0,-7096.0,6351.0,4684.0,-42044.0,-293.0,-1825.0,11755.0,6713.0,17001.0,38995.0,-3262.0,5348.0,-2484.0,7410.0,-2911.0,23585.0,969.0,5346.0,7265.0,23070.0,1197.0,3248.0,1628.0,26317.0,1170.0,3474.0,2750.0,5312.0,1256.0,928.0,621.0,7459.0,666.0,534.0,2428.0,5542.0,860.0,13705.0,24949.0,-1157.0,481.0,15942.0,1993.0,57512.0,3149.0,9833.0,-1021.0,6502.0,11177.0,740.0,5011.0,-1098.0,1442.0,1030.0,2971.0,8140.0,850.0,2002.0,3428.0,19909.0,2513.0,3420.0,5022.0,238619.0,2471.0,1039.0,1487.0,154689.0
Zysk operacyjny (EBIT),30629.0,29300.0,-2317.0,-10464.0,-968.0,-4860.0,-23534.0,-230863.0,40679.0,26031.0,41481.0,79384.0,150160.0,138360.0,111663.0,-236164.0,-86732.0,-121958.0,-138469.0,-62244.0,-7776.0,-23118.0,11574.0,24751.0,76136.0,59088.0,52596.0,69891.0,61846.0,37856.0,29911.0,-1765.0,39585.0,31875.0,5494.0,-20688.0,20113.0,31743.0,7087.0,21853.0,70726.0,64921.0,18105.0,55410.0,84497.0,7669.0,-1443.0,8577.0,59784.0,67399.0,19511.0,-18323.0,40107.0,-3171.0,-22575.0,-6123.0,59536.0,-4453.0,-11312.0,4483.0,9163.0,22408.0,2355.0,25191.0,27052.0,33924.0,35490.0,64828.0,14389.0,262854.0,-5078.0,-413688.0,-61939.0,-59838.0,-78137.0,-152291.0
Przychody finansowe,8620.0,4833.0,13885.0,9045.0,6540.0,4389.0,6041.0,12482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.0,2573.0,2403.0,2054.0,272.0,304.0,835.0,438.0,2277.0,492.0,-1068.0,5580.0,301.0,1937.0,195.0,1802.0,237.0,470.0,519.0,574.0,662.0,672.0,665.0,731.0,832.0,885.0,3878.0,-2250.0,2328.0,1764.0,3469.0,1036.0,2428.0,3246.0,914.0,3962.0,35488.0,-21437.0,16527.0,59663.0,22056.0,6444.0,5930.0,12268.0,33982.0,27699.0,23264.0,8425.0,19885.0,20059.0,21157.0,25233.0
