,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,25930.0,26695.0,26694.0,24450.0,30871.0,46452.0,54474.0,48496.0,50354.0,40238.0,40329.0,40564.0,34917.0,33749.0,42583.0,38875.0
Techniczny koszt wytworzenia produkcji sprzedanej,14121.0,15687.0,19278.0,17182.0,20268.0,23629.0,24244.0,22129.0,24273.0,20022.0,19717.0,21190.0,22193.0,21502.0,26832.0,27478.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,4165.0,6082.0,3654.0,5701.0,8120.0,7182.0,8631.0,12440.0,12878.0,12231.0,14102.0,16227.0,14325.0,16815.0,17331.0,19170.0
Zysk ze sprzedaży,7644.0,4926.0,3762.0,1567.0,2483.0,15641.0,21599.0,13927.0,13203.0,7985.0,6510.0,3147.0,-1601.0,-4568.0,-1580.0,-7773.0
Pozostałe przychody operacyjne,926.0,5264.0,1096.0,1212.0,4637.0,1331.0,1544.0,1822.0,122.0,827.0,158.0,34.0,203.0,178.0,457.0,264.0
Pozostałe koszty operacyjne,184.0,384.0,45.0,195.0,313.0,213.0,302.0,501.0,81.0,685.0,167.0,-25.0,103.0,2996.0,113.0,68820.0
Zysk operacyjny (EBIT),8386.0,9806.0,4813.0,2584.0,6807.0,16759.0,22841.0,15248.0,13244.0,8127.0,6501.0,3206.0,-1501.0,-7386.0,-1236.0,-76329.0
Przychody finansowe,1138.0,-119.0,-25.0,486.0,1969.0,-1421.0,3077.0,429.0,2702.0,4715.0,10617.0,-16263.0,0.0,0.0,2132.0,116.0
Koszty finansowe,43.0,111.0,142.0,115.0,288.0,914.0,-374.0,440.0,580.0,433.0,177.0,1224.0,1730.0,744.0,93.0,4465.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,9481.0,9576.0,4646.0,2955.0,8488.0,14424.0,26292.0,15237.0,15366.0,12409.0,16941.0,-14281.0,-3231.0,-8130.0,803.0,-80678.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,9481.0,9576.0,4646.0,2955.0,8488.0,14424.0,26292.0,15237.0,15366.0,12409.0,16941.0,-14281.0,-3231.0,-8130.0,803.0,-80678.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,8683.0,8589.0,4556.0,2751.0,7818.0,13902.0,24690.0,14916.0,13931.0,11549.0,16653.0,-20149.0,-4294.0,-8776.0,-378.0,-62127.0
Zysk netto akcjonariuszy jednostki dominującej,8683.0,8589.0,4556.0,2751.0,7818.0,13902.0,24690.0,14957.0,13721.0,9431.0,15528.0,-20008.0,-4558.0,-8877.0,-1917.0,-61365.0
Aktywa trwałe,0.0,18780.0,0.0,20006.0,19109.0,77372.0,83602.0,125342.0,143210.0,186247.0,224729.0,227900.0,255189.0,281999.0,309102.0,282964.0
Wartości niematerialne i prawne,0.0,3997.0,0.0,5020.0,5182.0,42588.0,49479.0,85342.0,102932.0,138207.0,174551.0,185526.0,211460.0,237561.0,265737.0,219649.0
Rzeczowe składniki majątku trwałego,0.0,14601.0,0.0,14903.0,13807.0,34606.0,34019.0,39051.0,39576.0,45824.0,45052.0,41875.0,43363.0,44084.0,43066.0,40902.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
Inwestycje długoterminowe,0.0,182.0,0.0,0.0,0.0,0.0,0.0,293.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,83.0,120.0,178.0,104.0,656.0,409.0,2216.0,5126.0,499.0,366.0,354.0,299.0,22296.0
Aktywa obrotowe,0.0,72161.0,0.0,75691.0,186613.0,195380.0,209185.0,191350.0,201444.0,185953.0,160208.0,122904.0,96760.0,199858.0,270825.0,230497.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,0.0,47106.0,0.0,32819.0,37918.0,43502.0,58437.0,53323.0,64919.0,50137.0,43960.0,53899.0,35000.0,33205.0,49419.0,68461.0
Inwestycje krótkoterminowe,0.0,24968.0,0.0,41473.0,147727.0,150518.0,149963.0,137103.0,135777.0,134584.0,114562.0,67983.0,60866.0,165351.0,219196.0,159413.0
Środki pieniężne i inne aktywa pieniężne,0.0,24968.0,0.0,41302.0,147546.0,150345.0,149781.0,137102.0,135777.0,134582.0,114562.0,67983.0,60866.0,165351.0,173804.0,124016.0
Pozostałe aktywa obrotowe,0.0,87.0,0.0,1399.0,968.0,1360.0,785.0,924.0,748.0,1232.0,1686.0,1022.0,894.0,1302.0,2210.0,2623.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,90941.0,0.0,95697.0,205722.0,272752.0,292787.0,316692.0,344654.0,372200.0,384937.0,350804.0,351949.0,481857.0,579927.0,513461.0
Kapitał własny akcjonariuszy jednostki dominującej,60414.0,69168.0,73559.0,76519.0,181952.0,190113.0,241589.0,257461.0,273704.0,278736.0,298216.0,272306.0,267305.0,389845.0,490213.0,422756.0
Kapitał (fundusz) podstawowy,550.0,550.0,0.0,550.0,591.0,591.0,599.0,599.0,599.0,599.0,599.0,599.0,602.0,669.0,719.0,719.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
