,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Period,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,-13.86,122.38,38.43,24.26,18.97,13.17,1.87,-14.49,-8.86,-11.41,9.36,11.06,-3.66,-7.77,-3.32,-1.53,10.93,8.23,-4.5,8.48,7.84,21.64,17.69,17.68,19.33,10.28,21.57,12.88,6.0,-2.36,2.5,-5.31,-2.53,-5.95,-12.18,16.81,32.31,69.77,58.54,41.03,40.77,27.68,48.09,53.08,11.85,-21.46,-36.19,-42.36,-36.93
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-14.5,114.54,37.04,26.91,15.53,12.26,-1.94,-15.53,-6.53,-11.49,8.94,5.61,-4.06,-10.38,-9.45,-5.89,-0.73,-4.21,-6.42,-1.26,6.53,22.64,18.35,19.16,10.58,12.27,7.79,17.39,9.71,6.69,12.59,4.61,14.39,-8.24,-8.48,5.75,8.72,46.63,43.53,34.05,38.59,30.25,36.95,27.85,12.17,-8.18,-21.99,-17.75,-24.99
Koszty sprzedaży,,,,,-20.59,108.7,39.35,5.67,24.45,22.97,52.09,12.23,9.44,-4.09,-8.85,8.29,-10.36,-9.9,3.68,-14.62,19.99,15.38,-9.52,0.84,117.64,104.96,118.68,124.21,16.22,14.62,39.02,-9.47,12.61,7.18,-6.42,14.38,1.94,-8.09,0.71,32.59,25.99,41.08,36.52,6.1,20.01,34.08,66.2,12.95,10.08,-16.0,-37.57,-23.06,-24.6
Koszty ogólnego zarządu,,,,,-6.48,134.91,4.12,-12.82,33.42,5.97,14.37,-7.95,-25.94,-3.47,10.07,70.64,35.77,22.25,11.7,-0.01,16.05,43.64,21.55,25.05,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,-3.22,366.91,172.08,35.12,47.47,19.97,5.46,-25.95,-33.71,-22.22,51.67,43.19,-18.02,12.23,65.22,39.78,182.31,117.35,2.03,54.08,8.12,30.26,13.08,13.02,71.68,-2.78,102.77,11.88,-12.16,-61.4,-29.95,-49.71,-82.96,34.62,-50.29,78.61,781.89,362.52,284.77,100.65,65.41,15.57,82.09,143.29,11.84,-74.05,-81.86,-83.37,-81.37
Pozostałe przychody operacyjne,,,,,110.25,-68.22,-17.91,-87.2,82.04,-10.83,-79.71,370.16,-53.73,496.61,519.25,-147.53,-36.13,-67.7,-60.95,195.45,35.51,75.56,220.23,1153.44,-71.83,-105.74,-68.62,-86.31,384.82,1261.54,-249.14,-86.48,-69.58,12.14,597.72,-609.02,2089.82,-142.09,69.38,336.36,-80.47,-656.31,-64.94,255.46,124.96,155.0,239.39,-76.83,103.65,-341.13,-44.5,241.58,-124.09
Pozostałe koszty operacyjne,,,,,227.78,10326.67,42.68,2302.91,167.55,-9.72,5.48,329.35,-69.37,211.54,119.34,-149.24,430.13,-66.67,-68.31,117.49,-67.85,15.01,6.63,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk operacyjny (EBIT),,,,,1.97,128.63,78.59,-27.63,47.32,20.69,-17.7,-23.61,-34.57,-12.48,72.9,38.65,-37.81,4.55,60.26,53.76,244.61,121.21,14.62,183.24,7.11,24.14,3.67,-37.44,76.15,2.21,85.36,1.72,-14.42,-58.09,-7.36,-57.38,-52.62,13.33,-24.7,146.58,225.27,349.38,116.56,124.96,67.72,28.42,94.34,88.69,16.61,-82.67,-76.78,-73.47,-85.25
Przychody finansowe,,,,,5.88,105462.0,-83.51,375.57,96.57,-98.87,-250.75,-129.78,-72.07,-97.03,229.18,862.62,126.65,836.62,-75.1,-75.91,-32.04,129.77,939.32,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty finansowe,,,,,-37.87,2378.64,-68.04,136.56,-43.08,-20.65,-19.92,-41.28,-37.9,-28.66,-40.99,9.3,93.8,-6.55,-5.82,6.27,19.89,58.07,75.88,-169.89,-52.05,10.54,48.11,175.68,13.82,2.74,2.28,295.83,76.0,53.94,41.75,20.14,28.11,4.71,-28.86,-5.08,-17.38,-6.91,-11.8,-42.34,-36.39,-24.36,36.73,39.88,115.22,52.87,22.09,-6.65,-1.77
Pozostałe przychody (koszty),,,,,-0.8,100.0,-48.36,-102.38,-41.3,,-61.9,1640.0,171.72,250.0,1466.67,46.75,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,75.2,-184.26,-671.56,-416.38,-10.63,33.43,36.0,99.67,125.62,157.68,117.49,18920.0,4695.83,116.61,-111.88,-68.92,3.1,13.31,-2089.77,-143.08,-64.61,-76.58,99.33,674.21
