,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,19031.0,14519.0,12705.0,14842.0,18137.0,13990.0,13564.0,17024.0,26670.0,17453.0,30256.0,18460.0,26781.0,18397.0,26642.0,24324.0,36523.0,20564.0,23333.0,25721.0,33389.0,45680.0,25120.0,71777.0,37327.0,33695.0,33855.0,42583.0,36683.0,23858.0,28463.0,42764.0,38494.0,31086.0,28726.0,41168.0,42200.0,32270.0,215066.0,644977.0,677789.0,677557.0,676975.0,740115.0,722505.0,643989.0,789760.0,840515.0,709942.0,632571.0,668410.0,751455.0,746813.0,826943.0,987006.0,887950.0,714665.0,589564.0,643398.0,648950.0,458977.0,363021.0,507484.0,481864.0,636915.0,575349.0,720256.0,2066533.0,2475539.0,1337371.0,1330190.0,1946131.0,1466924.0,1371126.0,1241441.0,1535921.0,1191204.0
Techniczny koszt wytworzenia produkcji sprzedanej,9475.0,9294.0,6982.0,9292.0,9159.0,7173.0,6033.0,9436.0,10660.0,9447.0,11647.0,11857.0,11204.0,9970.0,12789.0,12714.0,14004.0,10468.0,10604.0,16496.0,15251.0,17534.0,12579.0,27964.0,16398.0,20101.0,20505.0,24988.0,20242.0,19090.0,26442.0,31631.0,29616.0,26215.0,24657.0,28124.0,29171.0,28031.0,198479.0,601026.0,625622.0,648163.0,640028.0,685310.0,653608.0,634866.0,776318.0,792973.0,684402.0,613618.0,632071.0,716973.0,723299.0,823036.0,939154.0,834018.0,651442.0,558420.0,590216.0,584370.0,381812.0,323124.0,466530.0,432386.0,573497.0,474246.0,621264.0,1987948.0,2266436.0,1277973.0,1265091.0,1801646.0,1246611.0,1237610.0,1104166.0,1350183.0,933847.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,295.0,0.0,481.0,81.0,243.0,284.0,127.0,127.0,232.0,238.0,154.0,113.0,-53.0,160.0,125.0,222.0,216.0,244.0,98.0,59.0,149.0,159.0,112.0,80.0,192.0,193.0,77.0,74.0,194.0,29379.0,25244.0,30645.0,30647.0,25807.0,23719.0,23696.0,21896.0,22049.0
Koszty ogólnego zarządu,3285.0,3558.0,2877.0,3432.0,3359.0,3640.0,2944.0,4108.0,3381.0,3808.0,3313.0,3591.0,3265.0,4000.0,3488.0,3945.0,3159.0,3833.0,3451.0,3942.0,4124.0,5416.0,4509.0,4997.0,4641.0,4974.0,6281.0,2826.0,3776.0,4501.0,8574.0,4729.0,2841.0,3309.0,2756.0,3123.0,3119.0,2167.0,5515.0,8699.0,8045.0,6897.0,8767.0,10767.0,8689.0,7745.0,6731.0,6843.0,8002.0,8130.0,7685.0,12136.0,9007.0,11820.0,9200.0,11585.0,9204.0,9589.0,7665.0,11976.0,9959.0,11596.0,11723.0,15147.0,11564.0,13110.0,27730.0,24871.0,25453.0,28096.0,31597.0,40366.0,35688.0,38768.0,40137.0,57826.0,42405.0
Zysk ze sprzedaży,6271.0,1667.0,2846.0,2118.0,5619.0,3177.0,4587.0,3480.0,12629.0,4198.0,15296.0,3012.0,12312.0,4427.0,10365.0,7665.0,19360.0,6263.0,9278.0,5283.0,14014.0,22730.0,8032.0,38816.0,16288.0,8620.0,7069.0,14769.0,12665.0,267.0,-6553.0,6404.0,6037.0,1562.0,1313.0,9921.0,9910.0,2072.0,11005.0,34957.0,44122.0,22016.0,28099.0,43795.0,59924.0,1251.0,6584.0,40467.0,17300.0,10669.0,28541.0,22399.0,14347.0,-8038.0,38430.0,42131.0,53775.0,21457.0,45458.0,52455.0,67047.0,28189.0,29151.0,34139.0,51661.0,87916.0,71188.0,53520.0,154271.0,6058.0,2857.0,73472.0,158818.0,71029.0,73442.0,106016.0,192903.0
Pozostałe przychody operacyjne,8.0,595.0,314.0,439.0,62.0,1029.0,36.0,254.0,247.0,275.0,278.0,313.0,1077.0,1131.0,908.0,2532.0,225.0,842.0,-135.0,176.0,234.0,142.0,165.0,750.0,1620.0,2899.0,246.0,6.0,763.0,2083.0,1413.0,1273.0,1042.0,1538.0,1178.0,1133.0,1360.0,1077.0,1813.0,1622.0,1204.0,2150.0,3534.0,1466.0,1722.0,3298.0,1873.0,3782.0,1732.0,4911.0,2799.0,1313.0,1297.0,3368.0,3553.0,71702.0,1761.0,1864.0,3008.0,2019.0,2246.0,1189.0,1088.0,7349.0,1350.0,948.0,1109.0,1139.0,1566.0,1337.0,1461.0,4909.0,5522.0,1397.0,-2722.0,-8448.0,2891.0
Pozostałe koszty operacyjne,17.0,450.0,154.0,461.0,10.0,16707.0,11.0,1222.0,20.0,12.0,128.0,233.0,3.0,863.0,797.0,-311.0,11.0,1132.0,-631.0,343.0,37.0,221.0,200.0,5454.0,73.0,550.0,59.0,1464.0,313.0,183.0,196.0,484.0,463.0,1645.0,210.0,5610.0,903.0,204.0,866.0,6419.0,1381.0,750.0,654.0,10954.0,578.0,55292.0,49023.0,75185.0,360.0,545.0,98999.0,2680.0,360.0,17604.0,802.0,64220.0,1271.0,1488.0,1320.0,17275.0,644.0,457.0,516.0,3291.0,292.0,322.0,13639.0,20670.0,1819.0,1495.0,990.0,4020.0,1046.0,4123.0,1367.0,17285.0,4422.0
Zysk operacyjny (EBIT),6262.0,1812.0,3006.0,2096.0,5671.0,-12501.0,4612.0,2512.0,12856.0,4461.0,15446.0,3092.0,13386.0,4695.0,10476.0,10508.0,19574.0,5973.0,9774.0,5116.0,14211.0,22651.0,7997.0,34112.0,17835.0,10969.0,7256.0,13311.0,13115.0,2167.0,-5336.0,7193.0,6616.0,1455.0,2281.0,5444.0,10367.0,2945.0,11952.0,30160.0,43945.0,23416.0,30979.0,34307.0,61068.0,-50743.0,-40566.0,-30936.0,18672.0,15035.0,-67659.0,21032.0,15284.0,-22274.0,41181.0,49613.0,54265.0,21833.0,47146.0,37199.0,68649.0,28921.0,29723.0,38197.0,52719.0,88542.0,58658.0,33989.0,154018.0,5900.0,3328.0,74361.0,163294.0,68303.0,69353.0,80283.0,191372.0
Przychody finansowe,3493.0,3184.0,2705.0,2577.0,3824.0,4309.0,2823.0,2839.0,5338.0,5063.0,8710.0,8046.0,5620.0,7238.0,6568.0,8462.0,24620.0,395.0,6310.0,3123.0,9226.0,907.0,8224.0,5667.0,5870.0,5870.0,11074.0,-18468.0,8420.0,2365.0,8666.0,8241.0,6661.0,4821.0,2227.0,1692.0,1017.0,1209.0,1579.0,3807.0,4212.0,744.0,872.0,1604.0,1177.0,4492.0,1317.0,1049.0,3381.0,1619.0,1115.0,283.0,1289.0,1830.0,1664.0,917.0,1823.0,1473.0,1202.0,1269.0,3302.0,260.0,915.0,638.0,764.0,226394.0,373.0,2743.0,1529.0,15119.0,13549.0,8137.0,10482.0,12506.0,9473.0,17666.0,14028.0
