,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,5347535.0,5221120.0,4914175.0,6140520.0,5321245.0,4789679.0,4873607.0,5491934.0,7268792.0,6646540.0,6945617.0,7250405.0,7908227.0,7042706.0,6896658.0,8633485.0,7817740.0,7283092.0,7480748.0,7563420.0,6929000.0,7279000.0,6649000.0,7280000.0,7553000.0,6691000.0,6914000.0,7384000.0,7133000.0,6533000.0,6897000.0,7529000.0,5741000.0,4879000.0,6073000.0,6407000.0,7137000.0,5734000.0,6091000.0,6984000.0,9561000.0,8675000.0,9696000.0,9695000.0,12591000.0,10185000.0,10320000.0,12670000.0,11900000.0,10008000.0,10942000.0,19880000.0,16897000.0,15728000.0,19355000.0,21455000.0,27208000.0,22352000.0,21515000.0,24889000.0
Techniczny koszt wytworzenia produkcji sprzedanej,3135444.0,3357335.0,3291496.0,3943194.0,3363733.0,3336764.0,3399540.0,3971503.0,5174543.0,4904825.0,5070421.0,5470998.0,5510555.0,5366304.0,4845255.0,6040098.0,5855354.0,5385476.0,5472641.0,6646529.0,5446000.0,5036000.0,5123000.0,5941000.0,5507000.0,13950000.0,5123000.0,5486000.0,5605000.0,6217000.0,5517000.0,5835000.0,4149000.0,3723000.0,3759000.0,5984000.0,5229000.0,4625000.0,5068000.0,6165000.0,8105000.0,7743000.0,8661000.0,15625000.0,11282000.0,9611000.0,9269000.0,11449000.0,10158000.0,8634000.0,11489000.0,18840000.0,14675000.0,14182000.0,17237000.0,21600000.0,21638000.0,18570000.0,18014000.0,29339000.0
Koszty sprzedaży,0.0,0.0,0.0,1368079.0,0.0,0.0,0.0,1527718.0,425782.0,379608.0,407775.0,424903.0,448126.0,387955.0,366582.0,292849.0,236873.0,254323.0,460180.0,292624.0,363000.0,381000.0,383000.0,413000.0,395000.0,337000.0,322000.0,354000.0,379000.0,348000.0,350000.0,352000.0,304000.0,296000.0,282000.0,338000.0,363000.0,348000.0,280000.0,415000.0,291000.0,291000.0,383000.0,396000.0,348000.0,390000.0,334000.0,420000.0,417000.0,342000.0,367000.0,389000.0,438000.0,367000.0,405000.0,802000.0,2687000.0,1731000.0,1438000.0,2295000.0
Koszty ogólnego zarządu,0.0,0.0,0.0,914109.0,0.0,0.0,0.0,950702.0,183638.0,179380.0,192856.0,263434.0,178719.0,180568.0,168986.0,236630.0,175349.0,190424.0,182500.0,246727.0,183000.0,183000.0,192000.0,273000.0,218000.0,184000.0,181000.0,242000.0,183000.0,216000.0,163000.0,415000.0,176000.0,169000.0,156000.0,292000.0,256000.0,255000.0,225000.0,248000.0,252000.0,256000.0,253000.0,338000.0,272000.0,263000.0,329000.0,325000.0,260000.0,241000.0,223000.0,304000.0,264000.0,392000.0,208000.0,518000.0,322000.0,513000.0,488000.0,530000.0
Zysk ze sprzedaży,2212091.0,1863785.0,1622679.0,-84862.0,1957512.0,1452915.0,1474067.0,-957989.0,1484829.0,1182727.0,1274565.0,1091070.0,1770827.0,1107879.0,1515835.0,2063908.0,1550164.0,1452869.0,1365427.0,377540.0,937000.0,1679000.0,951000.0,653000.0,1433000.0,-7780000.0,1288000.0,1302000.0,966000.0,-248000.0,867000.0,927000.0,1112000.0,691000.0,1876000.0,-207000.0,1289000.0,506000.0,518000.0,156000.0,913000.0,385000.0,399000.0,-6664000.0,689000.0,-79000.0,388000.0,476000.0,1065000.0,791000.0,-1137000.0,347000.0,1520000.0,787000.0,1505000.0,-1465000.0,2561000.0,1538000.0,1575000.0,-7275000.0
Pozostałe przychody operacyjne,83085.0,172594.0,140406.0,26483.0,140019.0,229462.0,125948.0,170974.0,50159.0,67998.0,65188.0,440639.0,255053.0,117187.0,221646.0,188835.0,113086.0,253779.0,205193.0,229942.0,98000.0,1191000.0,85000.0,187000.0,82000.0,252000.0,73000.0,24000.0,204000.0,121000.0,64000.0,782000.0,132000.0,70000.0,57000.0,144000.0,88000.0,119000.0,64000.0,-269000.0,37000.0,1111000.0,222000.0,-578000.0,84000.0,-423000.0,81000.0,192000.0,99000.0,1203000.0,2109000.0,646000.0,30000.0,1917000.0,-700000.0,705000.0,-218000.0,-332000.0,-369000.0,-911000.0
Pozostałe koszty operacyjne,653605.0,635471.0,575419.0,-1172963.0,725610.0,661213.0,726519.0,-1705767.0,58320.0,66638.0,110194.0,1277543.0,66761.0,80473.0,75138.0,2641039.0,115311.0,87246.0,62997.0,435446.0,60000.0,720000.0,106000.0,-201000.0,99000.0,62000.0,49000.0,53000.0,47000.0,44000.0,36000.0,44000.0,43000.0,30000.0,50000.0,132000.0,62000.0,109000.0,50000.0,-221000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk operacyjny (EBIT),1641571.0,1400908.0,1187666.0,1114584.0,1371921.0,1021164.0,873496.0,918752.0,1476668.0,1184087.0,1229559.0,254166.0,1959119.0,1144593.0,1662343.0,-388296.0,1547939.0,1619402.0,1507623.0,172036.0,975000.0,2150000.0,930000.0,1041000.0,1416000.0,-7590000.0,1312000.0,1273000.0,1123000.0,-171000.0,895000.0,1665000.0,1201000.0,731000.0,1883000.0,-195000.0,1315000.0,516000.0,532000.0,108000.0,950000.0,1496000.0,621000.0,-7242000.0,773000.0,-502000.0,469000.0,668000.0,1164000.0,1994000.0,972000.0,993000.0,1550000.0,2704000.0,805000.0,-760000.0,2343000.0,1206000.0,1206000.0,-8186000.0
Przychody finansowe,0.0,0.0,0.0,372265.0,0.0,0.0,0.0,422115.0,74523.0,46648.0,96888.0,2086338.0,228585.0,73166.0,212585.0,98657.0,78322.0,101875.0,56995.0,76808.0,80000.0,102000.0,106000.0,97000.0,51000.0,59000.0,24000.0,22000.0,26000.0,23000.0,14000.0,128000.0,114000.0,30000.0,1000.0,46000.0,15000.0,82000.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
