,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2012/Q3,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3
Przychody ze sprzedaży,83852.0,28871.0,33001.0,-48941.0,26667.0,25673.0,25061.0,186944.0,22530.0,164953.0,19298.0,20021.0,60423.0,111394.0,-75219.0
Techniczny koszt wytworzenia produkcji sprzedanej,88204.0,284285.0,99437.0,330785.0,10741.0,11051.0,10865.0,206645.0,9086.0,189985.0,7019.0,7726.0,48707.0,177401.0,-162623.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,13263.0,24881.0,14576.0,-970.0,8960.0,8380.0,5963.0,7860.0,7401.0,8947.0,5629.0,7364.0,6582.0,2615.0,10142.0
Zysk ze sprzedaży,-17615.0,-280295.0,-81012.0,-378755.0,6966.0,6241.0,8234.0,-27560.0,6044.0,-33979.0,6650.0,4931.0,5135.0,-68622.0,77262.0
Pozostałe przychody operacyjne,288.0,9526.0,-59.0,452.0,-446.0,10165.0,3520.0,-2962.0,6428.0,-9345.0,-1153.0,-32029.0,3876.0,16370.0,22832.0
Pozostałe koszty operacyjne,695.0,1149.0,10009.0,17928.0,2582.0,317414.0,5946.0,49733.0,2384.0,-1963.0,2683.0,4700.0,777.0,-75.0,9400.0
Zysk operacyjny (EBIT),-18023.0,-271918.0,-91081.0,-396232.0,3938.0,-301008.0,5808.0,-80255.0,10088.0,-41361.0,2814.0,-31799.0,8234.0,-52177.0,90694.0
Przychody finansowe,5994.0,25437.0,-18741.0,-3890.0,25.0,853.0,681.0,3789.0,5794.0,9970.0,70484.0,-26127.0,15332.0,-5377.0,4666.0
Koszty finansowe,20939.0,41037.0,77846.0,27094.0,53363.0,61136.0,12915.0,26682.0,87251.0,45308.0,32976.0,22479.0,55062.0,-9285.0,58669.0
Pozostałe przychody (koszty),5159.0,-1582.0,-216359.0,231360.0,0.0,470.0,1065.0,13119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-27809.0,-289101.0,-404027.0,-195856.0,-49401.0,-360821.0,-5361.0,-90028.0,-71369.0,-76699.0,40322.0,-80406.0,-31497.0,-48269.0,36691.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-27809.0,-289101.0,-404027.0,-195856.0,-49401.0,-360821.0,-5361.0,-90028.0,-71369.0,-76699.0,40322.0,-80406.0,-31497.0,-48269.0,36691.0
Zysk (strata) netto z działalności zaniechanej,-3373.0,3115.0,2020.0,166.0,275.0,-29.0,79.0,-332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-26699.0,-284657.0,-378459.0,-196034.0,-50715.0,-359265.0,-5282.0,-84909.0,-72285.0,-76820.0,39902.0,-83257.0,-32598.0,-47255.0,34802.0
Zysk netto akcjonariuszy jednostki dominującej,-26699.0,-285622.0,-378459.0,-196034.0,-50715.0,-359265.0,-5282.0,-84909.0,-72285.0,-76820.0,39902.0,-83257.0,-32598.0,-47255.0,34802.0
Aktywa trwałe,0.0,755434.0,209276.0,2082205.0,2040070.0,1980880.0,1828109.0,1781492.0,1582001.0,1578328.0,1600635.0,1569843.0,1534678.0,1501900.0,1471910.0
Wartości niematerialne i prawne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rzeczowe składniki majątku trwałego,0.0,30175.0,28114.0,27040.0,23793.0,20338.0,20013.0,17173.0,16356.0,15117.0,10592.0,10569.0,10445.0,10710.0,0.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11618.0,11601.0,12052.0,12156.0,33054.0,12457.0
