,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Period,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,37717.0,39383.0,44273.0,60303.0,55446.0,66244.0,105169.0,89303.0,91017.0,91662.0,105674.0,90557.0,109638.0,121939.0,127988.0,119015.0,132118.0,130052.0,144516.0,144011.0,155268.0,176777.0,167472.0,164688.0,143622.0,131655.0,167676.0,172749.0,126026.0,110898.0,120852.0,100116.0,86043.0,93921.0,142012.0,57988.0,106563.0,92931.0,108254.0,108341.0,101437.0,103591.0,122349.0,126180.0,119837.0,101199.0,127490.0,141003.0,128115.0,115704.0,126933.0,142511.0,134587.0,123945.0,144386.0,153339.0,200945.0,154336.0,168561.0,162507.0,189773.0,176820.0,198358.0,213445.0,260904.0,296496.0,291344.0,266622.0,259038.0,255041.0,230356.0,247699.0
Techniczny koszt wytworzenia produkcji sprzedanej,27329.0,27952.0,32432.0,44847.0,40984.0,51916.0,80700.0,68054.0,70681.0,73896.0,84035.0,77386.0,86334.0,103677.0,105594.0,103486.0,109181.0,103651.0,114765.0,119701.0,129445.0,150105.0,136722.0,142085.0,118729.0,108174.0,140168.0,146152.0,104821.0,90487.0,98178.0,82372.0,67804.0,74482.0,120633.0,33466.0,83143.0,74787.0,83911.0,83591.0,78797.0,80134.0,96314.0,100751.0,97385.0,84001.0,101484.0,111080.0,104122.0,95423.0,100894.0,113195.0,109675.0,102715.0,116195.0,122010.0,160537.0,123414.0,133784.0,124719.0,150592.0,144239.0,160184.0,168412.0,208518.0,225811.0,230400.0,212119.0,209924.0,205941.0,192137.0,194290.0
Koszty sprzedaży,2867.0,3443.0,3782.0,5366.0,3940.0,4195.0,9516.0,10471.0,9859.0,10016.0,12966.0,13632.0,11238.0,11783.0,13029.0,12505.0,12832.0,13442.0,14903.0,16682.0,14432.0,16935.0,15794.0,16576.0,14563.0,14737.0,16120.0,18244.0,11417.0,11304.0,12003.0,12565.0,10958.0,13020.0,9567.0,16103.0,12536.0,13012.0,12558.0,13116.0,13034.0,13743.0,14278.0,12722.0,11723.0,11563.0,12905.0,13398.0,12541.0,12744.0,13106.0,13427.0,12778.0,13526.0,15268.0,16547.0,18145.0,15464.0,16234.0,19242.0,19695.0,19788.0,21202.0,25622.0,24074.0,28777.0,28901.0,26277.0,25423.0,26451.0,23460.0,25184.0
Koszty ogólnego zarządu,3300.0,3454.0,3622.0,4163.0,4089.0,6231.0,9761.0,9832.0,8631.0,8309.0,8282.0,11463.0,8827.0,8577.0,8419.0,6135.0,8050.0,7936.0,8193.0,9072.0,8355.0,8803.0,8810.0,9791.0,8401.0,8509.0,9410.0,10488.0,8907.0,9927.0,10278.0,9019.0,7967.0,8286.0,9933.0,4628.0,8247.0,7562.0,8333.0,8823.0,7988.0,8316.0,8601.0,9409.0,8709.0,8204.0,9041.0,10912.0,9387.0,9712.0,9955.0,10689.0,10790.0,10322.0,11700.0,12373.0,12350.0,9927.0,14007.0,14440.0,11208.0,9514.0,12091.0,13366.0,13601.0,15665.0,16484.0,17222.0,16823.0,15964.0,14901.0,17042.0
Zysk ze sprzedaży,4221.0,4534.0,4437.0,5927.0,6433.0,3902.0,5192.0,946.0,1846.0,-559.0,391.0,-11924.0,3239.0,-2098.0,946.0,-3111.0,2055.0,5023.0,6655.0,-1444.0,3036.0,934.0,6146.0,-3764.0,1929.0,235.0,1978.0,-2135.0,881.0,-820.0,393.0,-3840.0,-686.0,-1867.0,1879.0,3791.0,2637.0,-2430.0,3452.0,2811.0,1618.0,1398.0,3156.0,3298.0,2020.0,-2569.0,4060.0,5613.0,2065.0,-2175.0,2978.0,5200.0,1344.0,-2618.0,1223.0,2409.0,9913.0,5531.0,4536.0,4106.0,8278.0,3279.0,4881.0,6045.0,14711.0,26243.0,15559.0,11004.0,6868.0,6685.0,-142.0,11183.0
Pozostałe przychody operacyjne,481.0,531.0,642.0,3074.0,1189.0,1748.0,4198.0,11786.0,1542.0,3870.0,3271.0,9415.0,2814.0,3904.0,2730.0,6489.0,2230.0,2652.0,2092.0,5672.0,2664.0,4875.0,1949.0,7572.0,2783.0,5549.0,2276.0,1698.0,1537.0,7230.0,1459.0,2343.0,1936.0,2386.0,-5295.0,12631.0,1334.0,3116.0,2434.0,3502.0,1711.0,2214.0,1456.0,1855.0,959.0,1671.0,1048.0,2365.0,1931.0,2015.0,1231.0,2521.0,945.0,1822.0,4126.0,605.0,766.0,3165.0,3701.0,2711.0,1684.0,2645.0,2625.0,3485.0,1773.0,4299.0,676.0,4751.0,2868.0,4813.0,6428.0,-390.0
Pozostałe koszty operacyjne,700.0,1156.0,889.0,1439.0,629.0,2151.0,1256.0,8894.0,500.0,5083.0,868.0,17668.0,1456.0,668.0,1215.0,1640.0,1191.0,3836.0,3046.0,2767.0,770.0,2521.0,1995.0,5812.0,1453.0,2106.0,1055.0,5392.0,1275.0,7348.0,11606.0,6605.0,1557.0,2061.0,2543.0,1477.0,1377.0,3577.0,1595.0,2802.0,1155.0,1734.0,1546.0,2430.0,1807.0,4118.0,2156.0,3288.0,2229.0,3179.0,1853.0,2753.0,1442.0,2352.0,5089.0,655.0,6485.0,4807.0,3155.0,1153.0,3429.0,1534.0,2876.0,2465.0,3232.0,2247.0,4217.0,6573.0,2118.0,3227.0,1809.0,3618.0
Zysk operacyjny (EBIT),4002.0,3909.0,4190.0,7562.0,6993.0,3499.0,8134.0,3838.0,2888.0,-1772.0,2794.0,-20177.0,4597.0,1138.0,2461.0,1738.0,3094.0,3839.0,5701.0,1461.0,4930.0,3288.0,6100.0,-2004.0,3259.0,3678.0,3199.0,-5829.0,1143.0,-938.0,-9754.0,-8102.0,-307.0,-1542.0,-5959.0,14945.0,2594.0,-2891.0,4291.0,3511.0,2174.0,1878.0,3066.0,2723.0,1172.0,-5016.0,2952.0,4690.0,1767.0,-3339.0,2356.0,4968.0,847.0,-3148.0,260.0,2359.0,4194.0,3889.0,5082.0,5664.0,6533.0,4390.0,4630.0,7065.0,13252.0,28295.0,12018.0,9182.0,7618.0,8271.0,4477.0,7175.0
Przychody finansowe,25.0,167.0,544.0,1105.0,3603.0,6797.0,506.0,1614.0,484.0,527.0,922.0,1271.0,422.0,1314.0,1654.0,99.0,406.0,455.0,638.0,1697.0,146.0,456.0,70.0,1959.0,747.0,-51.0,926.0,1446.0,389.0,301.0,680.0,902.0,383.0,172.0,813.0,226.0,428.0,294.0,165.0,256.0,260.0,171.0,106.0,86.0,367.0,127.0,148.0,1632.0,87.0,238.0,95.0,323.0,187.0,220.0,457.0,-498.0,364.0,245.0,-490.0,562.0,77.0,1679.0,-448.0,-98.0,625.0,-152.0,6.0,384.0,445.0,95.0,7715.0,-7332.0
