,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,34062.0,51022.0,47748.0,43759.0,39609.0,51585.0,47758.0,49394.0,41481.0,27659.0,21514.0,27256.0,24814.0,25704.0,19895.0,22156.0,24940.0,24094.0,19740.0,19513.0,18617.0,22949.0,22008.0,30336.0,21312.0,26070.0,21449.0,32686.0,29161.0,29831.0,30706.0,38414.0,26722.0,32042.0,27513.0,33272.0,25524.0,29574.0,27603.0,33795.0,30448.0,39379.0,36426.0,35300.0,37313.0,49182.0,43427.0,55753.0,56926.0,59085.0,47732.0,60530.0,56130.0,60627.0,57539.0,65645.0,63572.0,63515.0,53296.0,51598.0,56917.0,57548.0,49191.0,40423.0,46369.0,56134.0,55690.0,62633.0,64315.0,62091.0,63199.0,65347.0,61387.0,60136.0,54365.0,46330.0
Techniczny koszt wytworzenia produkcji sprzedanej,25569.0,36474.0,33472.0,32039.0,29181.0,38671.0,34578.0,32663.0,28992.0,23317.0,18038.0,20051.0,20101.0,21935.0,18046.0,18858.0,21259.0,21311.0,17602.0,16255.0,15547.0,18927.0,17601.0,19764.0,14426.0,19277.0,14309.0,23438.0,21734.0,24802.0,24674.0,28804.0,20717.0,26300.0,23105.0,24135.0,19838.0,25367.0,21505.0,23642.0,22181.0,33748.0,28605.0,25141.0,27378.0,39187.0,31655.0,36927.0,40090.0,45384.0,34983.0,39800.0,39923.0,46789.0,41721.0,39097.0,39639.0,43449.0,35728.0,34115.0,41306.0,44699.0,37405.0,28529.0,38593.0,47539.0,46336.0,46814.0,45619.0,44689.0,45442.0,42364.0,40585.0,43492.0,41245.0,36406.0
Koszty sprzedaży,3001.0,5232.0,5927.0,6439.0,3901.0,5457.0,7987.0,5874.0,4095.0,1795.0,735.0,1300.0,876.0,913.0,951.0,1269.0,1045.0,974.0,1023.0,1039.0,912.0,1015.0,921.0,1104.0,615.0,604.0,727.0,1286.0,1247.0,1186.0,1218.0,1623.0,1107.0,1343.0,1259.0,1528.0,1046.0,1006.0,1339.0,1882.0,1525.0,1396.0,2167.0,1993.0,1711.0,1749.0,2199.0,3261.0,2994.0,2456.0,2561.0,3464.0,2389.0,2400.0,3117.0,2840.0,2301.0,2663.0,2850.0,2647.0,2444.0,2749.0,2946.0,3302.0,2763.0,3580.0,4641.0,4596.0,3702.0,3975.0,4029.0,3628.0,2864.0,2426.0,2784.0,2822.0
Koszty ogólnego zarządu,3786.0,5168.0,4583.0,4602.0,4593.0,4881.0,4719.0,5423.0,5317.0,6981.0,3107.0,4390.0,3372.0,3580.0,3299.0,4237.0,3026.0,3396.0,3742.0,3933.0,3515.0,5356.0,3201.0,3766.0,4137.0,3997.0,4279.0,5091.0,4504.0,4876.0,4351.0,5397.0,4371.0,4691.0,4414.0,4736.0,4108.0,3641.0,3844.0,4581.0,4210.0,3964.0,3920.0,4609.0,4388.0,4897.0,4279.0,5920.0,5672.0,6954.0,6048.0,8188.0,6380.0,8048.0,7563.0,9360.0,7831.0,7684.0,8707.0,8877.0,7847.0,8494.0,8782.0,7115.0,7874.0,8749.0,7557.0,9639.0,8575.0,8758.0,8798.0,10702.0,8981.0,9017.0,8668.0,11083.0
Zysk ze sprzedaży,1706.0,4148.0,3766.0,679.0,1934.0,2576.0,474.0,5434.0,3077.0,-4434.0,-366.0,1515.0,465.0,-724.0,-2401.0,-2208.0,-390.0,-1587.0,-2627.0,-1714.0,-1357.0,-2349.0,285.0,5702.0,2134.0,2192.0,2134.0,2871.0,1676.0,-1033.0,463.0,2590.0,527.0,-292.0,-1265.0,2873.0,532.0,-440.0,915.0,3690.0,2532.0,271.0,1734.0,3557.0,3836.0,3349.0,5294.0,9645.0,8170.0,4291.0,4140.0,9078.0,7438.0,3390.0,5138.0,14348.0,13801.0,9719.0,6011.0,5959.0,5320.0,1606.0,58.0,1477.0,-2861.0,-3734.0,-2844.0,1584.0,6419.0,4669.0,4930.0,8653.0,8957.0,5201.0,1668.0,-3981.0
Pozostałe przychody operacyjne,243.0,1680.0,265.0,-367.0,235.0,684.0,286.0,610.0,352.0,707.0,874.0,658.0,165.0,139.0,429.0,399.0,303.0,250.0,171.0,614.0,168.0,222.0,135.0,464.0,543.0,2518.0,597.0,-101.0,364.0,1328.0,248.0,202.0,163.0,600.0,225.0,76.0,282.0,508.0,125.0,49.0,380.0,574.0,-86.0,123.0,98.0,143.0,1088.0,567.0,157.0,330.0,358.0,220.0,253.0,337.0,301.0,485.0,75.0,504.0,201.0,361.0,200.0,712.0,1451.0,729.0,168.0,2251.0,-206.0,523.0,146.0,246.0,118.0,324.0,22.0,172.0,131.0,1213.0
Pozostałe koszty operacyjne,43.0,230.0,213.0,661.0,135.0,382.0,243.0,392.0,131.0,603.0,266.0,114.0,35.0,41.0,81.0,370.0,89.0,228.0,136.0,798.0,8.0,355.0,4.0,485.0,242.0,75.0,166.0,572.0,138.0,251.0,163.0,402.0,50.0,117.0,57.0,255.0,78.0,48.0,113.0,186.0,105.0,81.0,-121.0,413.0,84.0,130.0,54.0,168.0,86.0,186.0,95.0,4524.0,305.0,233.0,141.0,1089.0,192.0,344.0,146.0,694.0,185.0,378.0,285.0,27.0,244.0,165.0,-86.0,250.0,273.0,827.0,-371.0,1223.0,80.0,652.0,104.0,377.0
Zysk operacyjny (EBIT),1906.0,5598.0,3818.0,-349.0,2034.0,2878.0,517.0,5652.0,3298.0,-4330.0,242.0,2059.0,595.0,-626.0,-2053.0,-2179.0,-176.0,-1565.0,-2592.0,-1898.0,-1197.0,-2482.0,416.0,5681.0,2435.0,4635.0,2565.0,2198.0,1902.0,44.0,548.0,2390.0,640.0,191.0,-1097.0,2694.0,736.0,20.0,927.0,3553.0,2807.0,764.0,1769.0,3267.0,3850.0,3362.0,6328.0,10044.0,8241.0,4435.0,4403.0,4774.0,7386.0,3494.0,5298.0,13744.0,13684.0,9879.0,6066.0,5626.0,5335.0,1940.0,1224.0,2179.0,-2937.0,-1648.0,-2964.0,1857.0,6292.0,4088.0,5419.0,7754.0,8899.0,4721.0,1695.0,-3145.0
Przychody finansowe,370.0,290.0,-170.0,231.0,104.0,254.0,-123.0,27.0,151.0,596.0,1674.0,1202.0,422.0,336.0,217.0,2978.0,935.0,-738.0,44.0,20.0,72.0,1953.0,-1568.0,116.0,125.0,85.0,167.0,294.0,124.0,45.0,62.0,134.0,224.0,146.0,102.0,125.0,356.0,65.0,98.0,171.0,100.0,352.0,84.0,210.0,226.0,271.0,-82.0,191.0,93.0,57.0,34.0,3387.0,71.0,456.0,55.0,2989.0,296.0,-38.0,595.0,128.0,790.0,-369.0,215.0,2972.0,5279.0,-5259.0,97.0,5347.0,86.0,1570.0,742.0,-1076.0,1226.0,-65.0,481.0,2413.0
Koszty finansowe,823.0,959.0,882.0,713.0,571.0,403.0,397.0,878.0,708.0,522.0,269.0,798.0,625.0,993.0,-348.0,473.0,502.0,1134.0,1642.0,542.0,633.0,178.0,527.0,297.0,537.0,348.0,25.0,610.0,780.0,354.0,524.0,603.0,495.0,266.0,265.0,588.0,394.0,256.0,123.0,418.0,417.0,437.0,174.0,383.0,526.0,276.0,295.0,418.0,1301.0,846.0,555.0,-2333.0,1052.0,471.0,647.0,904.0,855.0,1049.0,585.0,1211.0,1158.0,845.0,694.0,1393.0,4800.0,-2962.0,400.0,1261.0,1603.0,1651.0,1529.0,2820.0,2981.0,1984.0,1444.0,2189.0
