,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,5.31,173.52,28.88,-7.0,20.93,30.2,336.24,258.54,498.55,145.55,61.34,-21.45,14.1,7.5,-13.95,49.93,-5.07,-5.85,-9.22,-12.57,-9.45,3.11,4.53,8.88,-2.69,-62.77,-32.0,-53.57,-31.67,82.98,9.48,10.49,5.19,-7.34,-6.01,-7.18,-2.23,9.85,-8.39,10.19,1.37,1.64,17.68,-1.85,7.1,-3.32,2.71,11.77,-3.15,3.11,-17.8,-9.33,-6.54,-12.7,2.65,0.84,-3.69,-36.17,-1.46,5.2,3.09,42.78,3.49,-20.92,8.43,13.41,-4.51,12.94,1.28,-2.6,-4.44,3.73
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,10.95,110.02,21.66,-7.49,1.78,-8.99,264.94,290.5,465.73,268.84,75.67,-32.02,18.88,16.21,-13.13,57.12,-11.36,-6.95,-15.5,-9.15,-11.24,-5.08,-2.29,0.9,-3.54,-77.66,-34.33,-63.71,-37.53,169.07,3.17,16.31,3.76,-10.75,-6.13,-2.87,-5.59,9.57,-9.2,5.94,3.07,6.46,33.56,9.21,15.85,-0.93,-2.14,12.63,-2.09,-2.83,-17.13,-14.97,-12.55,-10.36,-0.75,-4.25,-13.72,-25.2,-1.7,5.49,11.87,11.29,3.19,7.16,13.35,32.36,-5.63,-10.69,3.48,-5.19,0.97,27.06
Koszty sprzedaży,,,,,124.36,27.4,7.98,-11.0,-16.0,1437.1,2067.61,496.77,3596.6,-53.83,10.72,226.58,-21.81,337.5,3.81,31.94,-31.51,5.63,5.27,1.3,-4.74,-57.18,-32.28,17.98,7.11,-17.19,-17.15,-54.48,-19.47,12.58,8.26,-0.58,-8.2,-2.18,-12.55,-12.79,-9.7,9.74,11.87,7.27,6.0,-14.27,-1.2,-2.48,8.61,4.51,8.78,24.83,-10.74,-9.95,-22.66,-18.81,1.03,8.11,-0.79,29.39,-1.17,-16.36,-9.06,-11.63,14.7,31.04,28.2,158.57,89.88,60.1,51.31,-38.16,-2.57,-1.7,-19.45,-11.37
Koszty ogólnego zarządu,,,,,16.67,-28.94,19.05,10.03,-20.29,129.43,73.88,302.54,167.14,35.44,50.27,-20.63,12.66,-18.81,4.01,114.8,160.58,-100.33,18.05,-50.25,-9.98,97833.33,139.42,66.59,1.91,-20.43,-27.02,3.51,-20.94,11.51,3.92,-23.67,2.84,0.19,-4.54,15.58,-6.74,-0.61,-2.12,14.7,4.23,10.04,20.7,-9.62,-0.59,-1.7,-0.61,-2.34,13.21,22.81,4.27,49.02,3.23,-8.65,11.33,-11.54,4.74,-17.39,-8.27,16.32,-5.78,17.58,1.96,-114.76,-21.63,-29.25,-33.33,427.13,-7.32,-12.61,-5.87,11.4
Zysk ze sprzedaży,,,,,-175.0,483.77,100.0,-11.86,178.32,28.06,,-5.69,469.46,93.84,34.17,50.11,34.46,-82.13,-47.3,-94.37,-27.52,107.75,22.48,248.21,4.21,14.31,-1.03,158.21,-12.69,-42.11,-38.39,20.06,-15.17,43.6,90.12,118.2,32.6,-4.42,-1.94,-59.06,27.1,35.19,-29.06,53.24,-10.64,-24.76,-71.59,-76.92,-22.06,-32.7,158.16,66.49,-31.36,19.32,-90.84,-220.13,14.28,-71.59,89.47,124.35,44.36,-651.48,223.96,-97.85,-25.62,130.78,-36.23,-70000.0,-34.11,-96.52,71.09,97.42,11.52,2621.88,-22.69,-4361.11
Pozostałe przychody operacyjne,,,,,208.62,-3.42,-62.18,-56.69,-73.46,165.49,61.26,5486.58,293.68,-48.0,100.0,-97.47,74.87,273.72,16.56,919.91,-37.77,91.94,617.41,175.0,-6.14,-75.07,-93.44,-35.38,13.87,144.8,-46.45,-83.11,-38.16,-9.08,302.76,-132.51,-22.3,-33.66,-43.62,525.71,80.86,-30.58,-10.95,-58.39,-1.06,52.8,-64.75,82.26,-48.13,-5.95,191.47,32.45,384.54,-171.29,-47.07,38.08,-84.47,349.83,25.13,34.44,83.56,44.4,149.8,-40.07,9.7,-75.02,-65.11,-88.79,12.59,-44.32,-17.05,639.29,-25.68,105.44,0.0,-44.44
Pozostałe koszty operacyjne,,,,,190.91,-83.42,-40.4,76.07,-4.83,2980.33,1040.68,738.83,243.88,-45.56,171.62,-44.5,119.79,3.23,-54.7,-195.2,-86.69,37.78,451.69,423.33,-15.43,-42.82,-96.08,60.77,-21.05,-74.64,31.84,-71.53,-38.22,22.75,52.97,21.61,36.69,-81.85,-31.3,-76.75,-41.05,385.11,18.15,-13.35,166.07,23.68,-49.15,125.08,-64.77,-50.71,-38.93,15.03,371.43,302.16,-61.54,73.63,-36.57,-4.47,317.14,32.93,151.59,-40.26,-29.45,-80.59,-84.43,-77.74,58.25,159.64,-8.13,63.38,-67.48,-12.54,-2.65,452.59,211.32,370.07
Zysk operacyjny (EBIT),,,,,-167.55,390.59,109.52,-25.97,145.13,-29.84,2078.03,487.61,653.44,203.86,9.04,-84.33,-0.04,-87.37,-30.43,156.0,31.87,192.29,55.39,5.63,4.97,6.75,-13.37,-97.47,-8.93,-8.92,-43.6,492.94,-16.75,29.07,118.66,55.75,26.53,-3.74,-7.4,102.8,34.66,19.07,-30.33,6.53,-14.39,-21.3,-73.33,-81.43,-21.25,-26.08,212.2,114.92,-18.14,-43.56,-83.75,-249.48,-14.17,-29.92,23.73,87.65,30.67,-404.19,271.36,595.2,-4.65,149.44,-55.3,-694.67,-29.96,-94.34,76.43,96.85,5.5,744.44,-29.96,-5806.03
Przychody finansowe,,,,,-36.21,-195.65,15.15,256.86,429.73,121.21,-255.26,285.71,-100.0,3857.14,794.92,23.93,,-76.53,-21.22,-41.84,-62.21,-14.62,-29.1,-43.28,-20.27,80.18,-50.22,41.46,-43.05,-94.0,4493.86,-1366.26,103.57,541.67,-98.99,92.74,-62.28,-94.81,390.57,95.44,-99.22,225.0,-103.08,2017.65,5300.0,815.38,4050.0,204.91,774.07,491.6,-121.84,-100.2,16.53,-177.7,98.55,4000.0,-62.73,103.66,11200.0,-287.18,-62.44,-345.0,-57.66,145.21,-62.34,602.04,287.23,678.79,1213.79,-232.11,132.42,-49.42,-33.07,299.08,-256.26,207.69
