,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,4018.0,6044.0,4318.0,5351.0,2847.0,3232.0,3218.0,7386.0,2862.0,2895.0,2986.0,3752.0,2479.0,2864.0,3143.0,3004.0,5837.0,1901.0,2895.0,5195.0,8972.0,5175.0,3656.0,4108.0,7587.0,3625.0,2951.0,3544.0,82.0,6.0,25.0,84.0,61.0,-1.0,169.0,100.0,21.0,198.0,22.0,266.0,23.0,176.0,151.0,288.0,63.0,-24.0,16.0,229.0,317.0,234.0,112.0,7.0,8.0,3.0,3.0,2.0,0.0,13705.0,2187.0,6565.0
Techniczny koszt wytworzenia produkcji sprzedanej,2685.0,3939.0,4298.0,-919.0,1137.0,1174.0,1510.0,202.0,979.0,1965.0,946.0,2889.0,1771.0,1428.0,2165.0,1542.0,3657.0,1186.0,1640.0,4809.0,5891.0,4213.0,2914.0,3212.0,5358.0,2639.0,2238.0,2791.0,19.0,19.0,19.0,20.0,29.0,21.0,20.0,21.0,21.0,20.0,23.0,19.0,21.0,20.0,24.0,10.0,3.0,1.0,1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,8386.0,2732.0,3219.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2431.0,2146.0,659.0,686.0,604.0,1110.0,1643.0,833.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,1672.0,2209.0,307.0,7941.0,1322.0,2133.0,1776.0,5933.0,1386.0,1988.0,1134.0,1847.0,1176.0,2958.0,1876.0,15.0,2768.0,963.0,1793.0,-1745.0,1422.0,801.0,911.0,1060.0,857.0,1115.0,791.0,878.0,617.0,660.0,590.0,606.0,478.0,603.0,485.0,601.0,492.0,701.0,476.0,839.0,542.0,677.0,508.0,538.0,521.0,535.0,431.0,-430.0,168.0,147.0,334.0,154.0,161.0,211.0,172.0,161.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-339.0,-104.0,-287.0,-1671.0,388.0,-75.0,-68.0,1251.0,497.0,-1058.0,906.0,-984.0,-468.0,-1522.0,-898.0,1447.0,-588.0,-248.0,-538.0,-300.0,-487.0,-498.0,-855.0,-768.0,262.0,-1772.0,-911.0,-779.0,-554.0,-673.0,-584.0,-542.0,-446.0,-625.0,-336.0,-522.0,-492.0,-523.0,-477.0,-592.0,-540.0,-521.0,-381.0,-260.0,-461.0,-560.0,-416.0,663.0,149.0,87.0,-222.0,-147.0,-153.0,-208.0,-169.0,-159.0,-398.0,5319.0,-545.0,3346.0
Pozostałe przychody operacyjne,262.0,257.0,2283.0,-1056.0,409.0,641.0,6391.0,3016.0,2184.0,2367.0,2957.0,1009.0,2684.0,1728.0,2133.0,2604.0,2604.0,7816.0,979.0,5860.0,3607.0,22.0,649.0,633.0,31.0,52.0,135.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,0.0,326.0,3.0,0.0,0.0,51.0,-1.0,0.0,22.0,522.0,1145.0,1.0,2.0,0.0,-1.0,0.0,0.0,0.0,329.0,5.0,10.0,183.0,-2834.0
Pozostałe koszty operacyjne,215.0,303.0,2905.0,-2946.0,393.0,479.0,576.0,1259.0,599.0,647.0,586.0,723.0,626.0,-533.0,2.0,2335.0,0.0,1191.0,267.0,514.0,62.0,12.0,7.0,629.0,842.0,-821.0,610.0,349.0,0.0,1.0,0.0,7.0,0.0,22.0,0.0,0.0,0.0,0.0,973.0,29.0,0.0,0.0,987.0,0.0,0.0,100.0,0.0,55.0,0.0,0.0,27.0,1535.0,0.0,141.0,0.0,1793.0,125.0,-74.0,127.0,-110.0
Zysk operacyjny (EBIT),-292.0,-150.0,-909.0,219.0,404.0,87.0,5747.0,3008.0,2082.0,662.0,3277.0,-698.0,1590.0,739.0,1233.0,1716.0,2016.0,6377.0,174.0,5046.0,3058.0,-488.0,-213.0,-764.0,-549.0,-899.0,-1386.0,-1064.0,-554.0,-674.0,-584.0,-549.0,-446.0,-646.0,-332.0,-513.0,-492.0,-523.0,-1124.0,-618.0,-540.0,-521.0,-1317.0,-261.0,-461.0,-638.0,106.0,1753.0,150.0,89.0,-249.0,-1683.0,-153.0,-349.0,-169.0,-1623.0,-518.0,5403.0,-489.0,622.0
Przychody finansowe,17.0,20.0,1.0,359.0,362.0,97.0,160.0,-7.0,2586.0,512.0,3772.0,-2710.0,293.0,66.0,110.0,26.0,29.0,179.0,86.0,58.0,51.0,120.0,309.0,37.0,25.0,952.0,1548.0,368.0,84.0,-42.0,482.0,2165.0,-30.0,226.0,3.0,-22.0,1130.0,1103.0,3835.0,1068.0,727.0,776.0,0.0,1444.0,210.0,576.0,361.0,492.0,185.0,29.0,537.0,91.0,284.0,-32.0,25.0,80.0,9.0,-1.0,7.0,83.0
