,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-39.62,23.1,57.77,-6.74,238.79,30.39,13.08,1.31,9.76,-22.26,-26.31,0.22,-73.96,-56.66,-59.69,-57.1,59.87,102.53,151.78,24.98,14.96,-49.22,-30.46,-8.25,-61.82,-83.74,-99.34,-99.59,-98.74,-95.86,61.84,240.48,38.0,151.06,-46.34,-41.26,43.48,-10.17,18.18,-20.24,-44.44,-51.89,-41.03,-31.34,-25.45,-1.96,6.52,36.96,0.0,-14.0,791.84,-79.35,,,,,-99.42,-62.12
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-40.93,12.84,48.28,-12.14,249.79,33.43,13.41,12.35,1.76,-21.21,-28.78,-16.77,-68.76,-52.86,-61.99,-52.47,40.23,79.17,176.88,36.94,23.15,-24.44,-22.14,-7.66,-64.29,-83.6,-98.94,-90.89,-98.01,-94.07,-67.46,-94.91,-57.89,-85.87,-26.83,1567.35,21.88,123.08,73.33,-70.62,-30.77,24.14,-15.38,-70.42,114.81,-191.67,-6.82,-28.17,-17.24,224.24,-26.83,-98.82,,,,,-99.49,-58.29
Koszty sprzedaży,,,,,,,,,,,,,,,,-65.7,-13.33,-41.57,34.34,96.84,81.54,276.92,58.65,-380.75,-100.0,-100.0,-100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,25.0,-5.4,21.25,27.81,11.06,14.71,-0.73,13.47,-5.11,-50.43,7.0,-37.66,-11.68,57.37,-35.59,-103.11,-32.64,-29.68,-24.68,1993.55,-11.81,-29.04,-43.89,-29.3,-70.78,-55.69,-56.98,-60.24,-5.36,-22.07,-3.9,-10.91,-20.75,-33.53,-15.54,-2.04,4.76,15.65,18.4,2.08,-12.88,-15.79,-22.3,36.05,33.04,28.57,11.3,-49.47,,,,,,
Zysk ze sprzedaży,,,,,-290.11,207.69,136.47,7.07,-22.12,28.12,-22.39,-669.54,214.0,-364.39,2.24,159.36,-323.77,-64.76,-240.75,-152.55,58.65,102.46,115.14,123.29,-31.46,-14590.91,-1763.24,-722.7,54.99,71.2,63.93,-31.53,52.68,70.92,82.35,94.68,37.11,74.53,-55.56,-1139.44,45.9,44.12,11.61,63.98,-57.58,-210.53,-47.47,45.74,-26.92,75.42,26.71,-9.3,-21.21,-389.66,360.75,52.85,,,,,-98.57,-182.58
Pozostałe przychody operacyjne,,,,,,,,4.83,,,,-30.48,-11.7,224.78,-79.81,19.3,160.24,42.96,-16.87,-30.68,-18.06,-57.81,63.77,-81.13,81.36,-78.61,-92.48,-77.63,-43.93,80.28,2182.35,5.88,35.0,155.86,-95.36,-75.0,-92.59,-97.56,122.22,805.56,-94.44,375.0,85.0,-78.53,600.0,115.79,-75.68,2677.14,4257.14,-90.24,22.22,-128.19,-95.41,25.0,16009.09,116.22,,,,,-99.22,751.43
Pozostałe koszty operacyjne,,,,,,,,20.01,,,,-37.79,5489.83,40.67,-88.98,27.38,-51.61,-67.46,281.48,-70.87,-87.28,142.23,375.73,-41.17,-45.81,-73.15,-95.71,28.05,-18.18,2068.66,1609.52,-95.62,-48.89,-89.33,-91.36,3347.06,-6.52,-95.48,61.29,-79.52,-95.35,0.0,106.0,25.83,1400.0,2128.57,-79.61,-79.47,-40.0,-93.91,28.57,-96.77,11.11,31.58,6407.41,43813.32,,,,,-99.16,-2875.16
Zysk operacyjny (EBIT),,,,,-135.95,-17.11,24.83,-36.46,-257.47,-83.96,-16.99,-240.89,-296.46,-178.72,-48.48,212.11,-23.93,741.89,-190.39,-79.03,76.47,-60.63,52.66,-58.59,2.64,-1800.53,-479.08,-914.02,54.29,-12.2,66.61,4.12,100.94,102.19,77.57,50.08,-5000.0,-184.62,-43.53,-30.99,54.42,136.36,-4.92,48.27,-89.55,-1208.33,-16.41,277.6,222.05,87.97,24.83,-160.21,-207.1,-359.38,1944.64,-4.39,,,,,-98.1,2375.53
Przychody finansowe,,,,,700.0,7600.0,-104.76,190.09,84.38,-50.65,955.56,297.25,62.71,642.11,431.17,-107.05,287.5,-48.94,-103.42,156.25,-81.18,123.61,-421.43,39.68,94.29,-89.75,165.75,55.68,-79.41,381.82,-72.92,-76.64,835.71,598.74,123.08,4375.0,1127.1,245.9,-4913.79,-362.78,-83.11,-113.61,209.24,100.82,-90.42,101.91,-100.0,2854.84,-51.92,280.0,,-63.65,232.0,155.26,809.09,-72.3,,,,,-99.97,511.25
