,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,14.3,14.0,53.44,143.16,48.58,95.04,50.91,-44.56,45.7,-15.12,-7.5,91.41,-18.8,-5.25,-20.2,-15.12,13.35,14.52,30.58,18.67,-16.63,-13.61,10.11,9.34,60.75,58.72,-10.21,-21.99,-42.8,-53.6,-35.6,4.0,10.13,49.46,72.15,36.73,38.39,40.55,3.27,42.49,19.34,-2.14,54.0,19.92,31.54,6.37,-7.82,-28.99,-32.24,-24.52,-43.28,-15.05,4.96,-36.71,15.24,10.78,-5.28,-4.22,1.0,-3.49,-48.13,-48.74,-55.11,-64.43,-6.84,3.98,-14.21,-82.04,-26.48,-34.96,-29.78,203.32
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,14.3,13.22,56.37,152.21,49.35,101.27,58.34,-41.14,51.7,-19.76,-5.67,57.25,-27.64,-2.86,-30.74,-3.05,20.15,13.49,32.25,13.47,-11.54,-17.81,8.65,8.53,52.61,59.63,1.83,-11.87,-42.16,-51.92,-23.57,-9.45,10.66,37.32,39.59,51.8,41.2,58.43,2.38,38.27,19.86,-2.15,56.65,24.68,26.92,5.95,-11.23,-28.29,-33.87,-24.25,-41.47,-19.57,12.63,20.48,30.48,61.17,-2.57,12.27,-5.61,-27.51,-48.89,-61.03,-54.06,-74.26,-40.73,-34.98,-18.04,-15.94,-3.02,-51.59,-13.92,-4.29
Koszty sprzedaży,,,,,47.36,19.33,30.34,-19.48,-16.28,35.7,-2.67,-102.11,-16.68,-32.39,7.86,5294.57,70.64,70.41,77.2,11.61,-27.9,42.59,171.76,156.67,-210.77,53.54,-44.24,142.08,275.39,-75.45,-27.52,-80.3,-4.8,116.67,-40.15,214.06,0.24,128.24,-14.79,-84.28,-19.59,-54.6,60.87,158.65,4.1,12.81,7.17,10.24,7.55,56.93,4.28,15.35,-8.82,-51.75,-30.48,-44.9,-20.37,15.52,-18.05,0.05,-24.2,-38.45,-42.39,-45.12,-36.04,-54.43,-19.3,-27.12,4.77,68.2,26.76,28.7,13.7,-11.1,9.78,7.98
Koszty ogólnego zarządu,,,,,3.73,-7.05,-2.09,-10.99,15.82,-9.66,-1.97,-98.45,-15.87,11.79,15.85,7885.86,52.67,46.25,24.7,9.7,5.73,-8.46,5.02,-12.68,17.79,-0.28,4.71,33.8,74.04,80.11,2.88,54.85,-48.19,-16.73,1.63,-4.37,34.1,30.23,47.37,-58.64,-10.4,-3.38,-1.26,155.77,28.59,6.92,-3.1,8.24,19.32,-4.28,22.11,-6.47,-8.88,-13.2,-19.49,-18.49,7.62,31.69,5.18,25.58,-8.93,0.89,-43.71,4.14,-30.71,-51.84,15.13,-41.29,-18.33,4.04,22.38,-11.19,20.5,21.18,-33.73,6.72
Zysk ze sprzedaży,,,,,-5.95,91.92,62.7,1012.76,177.43,64.74,-27.43,-67.89,8.75,141.48,-103.77,1043.23,130.33,-58.36,7491.94,-82.48,-25.1,46.32,-31.87,109.0,-42.81,26.12,126.56,-90.74,29.6,136.12,-107.84,-1113.58,-77.32,-95.41,-1389.73,129.1,-58.79,1065.42,128.46,118.48,469.38,-65.05,7.89,81.38,1.64,-33.15,81.79,-87.07,287.57,-7.99,45.53,-517.73,-28.15,-12.49,-83.89,240.53,-91.96,-4669.42,-675.04,-1210.28,-418.21,-27.94,101.88,88.07,34.2,70.61,-1824.71,246.35,1566.72,84.82,27.56,-363.07,-79.4,146.8,-251.59,75.74
Pozostałe przychody operacyjne,,,,,-82.35,-37.27,-51.68,125.38,550.92,255.44,780.26,-125.78,-69.51,-75.19,53.27,313.65,3.76,-38.39,-87.54,-92.22,-66.88,220.37,-31.01,511.53,121.39,111.13,13.9,135.36,291.7,-19.18,931.25,-106.62,-63.01,-76.24,-58.58,-500.25,-15.27,28.1,-60.88,138.5,-21.87,-30.71,-71.42,81.2,-65.9,-12.52,100.2,-6.66,65.21,39.73,-32.58,411.31,94.57,704.34,386.52,-83.0,47.45,-102.7,-61.2,91.64,247.83,2118.89,1188.92,685.21,-10.51,18.85,463.33,-68.09,-68.7,-58.44,-85.85,74.73,58.2,839.28,-96.24,112.24
Pozostałe koszty operacyjne,,,,,11.26,10.67,53.87,328.34,146.09,278.3,122.9,-153.7,-73.88,-18.7,-64.29,427.48,-15.25,-95.46,310.66,-122.33,-80.75,-35.84,-92.41,112.58,-32.56,-4.01,-41.33,962.52,237.93,11892.68,69.78,-90.79,20.82,-98.73,3.05,55.59,-75.34,1413.99,-2.96,243.14,4.45,-89.4,-10.32,95.97,85.25,132.43,121.16,50.79,166.73,-0.31,-48.69,6.69,117.85,38.47,-84.54,-10.27,-28.27,-9.75,2489.38,614.68,93.25,1219.49,123.87,-9.3,-73.57,-95.6,10.36,-53.56,218.95,375.94,-60.26,8.68,6200.94,21.21,-59.76,32.41
Zysk operacyjny (EBIT),,,,,-98.13,105.89,31.14,299.85,5220.21,-91.14,-26.29,-24.66,81.28,4272.57,41.12,295.34,147.02,-26.57,16.34,-57.89,-23.1,61.54,69.53,44.15,-37.05,37.46,131.71,-93.14,57.8,-58.33,-77.51,-1402.87,-78.37,-74.82,-565.75,108.56,-29.69,626.46,133.42,454.85,197.77,-52.63,-2.71,75.91,-13.33,-46.89,79.29,-135.34,282.61,-3.96,51.42,-134.16,-33.11,123.01,-73.23,157.95,-92.21,-2294.91,-487.59,-3248.42,-240.21,-38.9,124.1,74.75,224.84,74.48,877.81,114.43,1828.44,78.3,-96.76,-1232.13,-606.53,205.06,-1127.04,65.08
Przychody finansowe,,,,,102.07,434.3,-388.33,-143.59,0.21,195.89,563.02,253.36,11.93,-82.51,-5.07,1165.77,354.02,-115.83,-259.59,-58.13,-73.23,641.2,128.55,-62.79,12.56,-50.71,508.36,182.75,84.36,-42.59,-76.88,52.74,-14.26,983.08,69.43,-71.42,-22.78,-127.22,-103.17,69.76,-78.64,609.86,1850.0,121.24,-10.25,-74.66,-67.76,-78.06,-26.52,-68.96,-38.13,-69.45,77.67,730.64,54.48,310.44,95.45,-33.44,-78.97,78.85,36.25,-123.53,1141.73,-32.31,-13.41,7.48,502.47,195.28,135.19,495.27,-100.17,224.32,-83.73,-58.93,7675.0,-50.47
