,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,105258.0,151711.0,127365.0,118657.0,120305.0,172953.0,195432.0,288524.0,178752.0,337320.0,294928.0,159955.0,260440.0,286313.0,272817.0,306165.0,211468.0,271284.0,217713.0,259880.0,239709.0,310672.0,284294.0,308406.0,199852.0,268389.0,313041.0,337217.0,321271.0,425976.0,281065.0,263079.0,183769.0,197636.0,181002.0,273608.0,202392.0,295388.0,311594.0,374098.0,280092.0,415180.0,321784.0,533034.0,334262.0,406302.0,495548.0,639200.0,439703.0,432166.0,456798.0,453927.0,297930.0,326201.0,259085.0,385602.0,312702.0,206467.0,298575.0,427160.0,296201.0,197761.0,301558.0,412246.0,153632.0,101364.0,135384.0,146637.0,143130.0,105396.0,116152.0,26329.0,105232.0,68552.0,81564.0,79860.0
Techniczny koszt wytworzenia produkcji sprzedanej,93508.0,139591.0,112322.0,104885.0,106878.0,158038.0,175637.0,264532.0,159624.0,318087.0,278095.0,155692.0,242150.0,255239.0,262320.0,244824.0,175216.0,247949.0,181683.0,237348.0,210515.0,281391.0,240281.0,269325.0,186217.0,231273.0,261065.0,292291.0,284189.0,369191.0,265845.0,257582.0,164383.0,177525.0,203193.0,233229.0,181913.0,243771.0,283642.0,354037.0,256865.0,386217.0,290394.0,489539.0,307871.0,377907.0,454888.0,610333.0,390745.0,400400.0,403796.0,437667.0,258411.0,303311.0,236356.0,352025.0,291037.0,365416.0,308396.0,567354.0,283565.0,410270.0,291093.0,411287.0,144931.0,159901.0,133722.0,105879.0,85902.0,103972.0,109596.0,89003.0,83306.0,50331.0,94341.0,85184.0
Koszty sprzedaży,3611.0,3068.0,3368.0,5412.0,5321.0,3661.0,4390.0,4358.0,4455.0,4968.0,4273.0,-92.0,3712.0,3359.0,4609.0,4779.0,6334.0,5724.0,8167.0,5334.0,4567.0,8162.0,22195.0,13691.0,-5059.0,12532.0,12377.0,33143.0,8873.0,3077.0,8971.0,6530.0,8447.0,6667.0,5369.0,20508.0,8467.0,15217.0,4575.0,3224.0,6808.0,6909.0,7360.0,8339.0,7087.0,7794.0,7888.0,9193.0,7622.0,12231.0,8226.0,10604.0,6950.0,5901.0,5719.0,5843.0,5534.0,6817.0,4687.0,5846.0,4195.0,4196.0,2700.0,3208.0,2683.0,1912.0,2179.0,2338.0,2811.0,3216.0,2762.0,3009.0,3196.0,2859.0,3032.0,3249.0
Koszty ogólnego zarządu,4662.0,6182.0,5541.0,7169.0,4836.0,5746.0,5425.0,6381.0,5601.0,5191.0,5318.0,99.0,4712.0,5803.0,6161.0,7906.0,7194.0,8487.0,7683.0,8673.0,7606.0,7769.0,8069.0,7573.0,8959.0,7747.0,8449.0,10133.0,15592.0,13953.0,8692.0,15691.0,8078.0,11619.0,8834.0,15005.0,10833.0,15131.0,13019.0,6206.0,9706.0,14620.0,12855.0,15873.0,12481.0,15631.0,12457.0,17181.0,14892.0,14962.0,15211.0,16070.0,13570.0,12987.0,12247.0,13099.0,14604.0,17102.0,12881.0,16450.0,13300.0,17254.0,7251.0,17131.0,9215.0,8310.0,8348.0,10057.0,7526.0,8646.0,10216.0,8932.0,9069.0,10477.0,6770.0,9532.0
Zysk ze sprzedaży,3477.0,2870.0,6134.0,1191.0,3270.0,5508.0,9980.0,13253.0,9072.0,9074.0,7242.0,4256.0,9866.0,21912.0,-273.0,48656.0,22724.0,9124.0,20180.0,8525.0,17021.0,13350.0,13749.0,17817.0,9735.0,16837.0,31150.0,1650.0,12617.0,39755.0,-2443.0,-16724.0,2861.0,1825.0,-36394.0,4866.0,1179.0,21269.0,10358.0,10631.0,6713.0,7434.0,11175.0,19283.0,6823.0,4970.0,20315.0,2493.0,26444.0,4573.0,29565.0,-10414.0,18999.0,4002.0,4763.0,14635.0,1527.0,-182868.0,-27389.0,-162490.0,-4859.0,-233959.0,514.0,-19380.0,-3197.0,-68759.0,-8865.0,28363.0,46891.0,-10438.0,-6422.0,-74615.0,9661.0,4885.0,-22579.0,-18105.0
Pozostałe przychody operacyjne,5242.0,1728.0,1604.0,4401.0,925.0,1084.0,775.0,9919.0,6021.0,3853.0,6822.0,-2557.0,1836.0,956.0,10456.0,5463.0,1905.0,589.0,1303.0,425.0,631.0,1887.0,899.0,2599.0,1397.0,3984.0,1024.0,6117.0,5472.0,3220.0,10560.0,-405.0,2024.0,765.0,4374.0,-2431.0,1715.0,980.0,1711.0,936.0,1340.0,679.0,489.0,1696.0,457.0,594.0,979.0,1583.0,755.0,830.0,660.0,8094.0,1469.0,6676.0,3211.0,1376.0,2166.0,-180.0,1246.0,2637.0,7534.0,3634.0,16060.0,20706.0,6742.0,4319.0,90471.0,6608.0,2110.0,1795.0,12801.0,11546.0,3338.0,16860.0,481.0,24505.0
Pozostałe koszty operacyjne,3686.0,3019.0,2673.0,2851.0,4101.0,3341.0,4113.0,12212.0,10092.0,12639.0,9168.0,-6558.0,2636.0,10275.0,3274.0,21476.0,2234.0,466.0,13445.0,-4795.0,430.0,299.0,1021.0,603.0,290.0,287.0,599.0,6407.0,980.0,34419.0,1017.0,590.0,1184.0,436.0,1048.0,918.0,292.0,6601.0,1017.0,3150.0,305.0,700.0,912.0,6173.0,565.0,1627.0,2017.0,9308.0,1507.0,1622.0,1035.0,9931.0,3283.0,2246.0,160.0,8911.0,2355.0,2027.0,4143.0,63685.0,4551.0,26746.0,9275.0,57763.0,1203.0,1176.0,10236.0,26825.0,3837.0,5597.0,4068.0,29154.0,241767.0,6784.0,1637.0,38604.0
Zysk operacyjny (EBIT),5033.0,1579.0,5065.0,2741.0,94.0,3251.0,6642.0,10960.0,5001.0,288.0,4896.0,8257.0,9066.0,12593.0,6909.0,32643.0,22395.0,9247.0,8038.0,13745.0,17222.0,14938.0,13627.0,19813.0,10842.0,20534.0,31575.0,1360.0,17109.0,8556.0,7100.0,-17719.0,3701.0,2154.0,-33068.0,1517.0,2602.0,15648.0,11052.0,8417.0,7748.0,7413.0,10752.0,14806.0,6715.0,3937.0,19277.0,-5232.0,25692.0,3781.0,29190.0,-12251.0,17185.0,8432.0,7814.0,7100.0,1338.0,-185075.0,-30286.0,-223538.0,-1876.0,-257071.0,7299.0,-56437.0,2342.0,-65616.0,71370.0,8146.0,45164.0,-14240.0,2311.0,-92223.0,-228768.0,14961.0,-23735.0,-32204.0
Przychody finansowe,1159.0,688.0,257.0,1333.0,2342.0,3676.0,-741.0,-581.0,2347.0,10877.0,3431.0,891.0,2627.0,1902.0,3257.0,11278.0,11927.0,-301.0,-5198.0,4722.0,3193.0,1629.0,1484.0,1757.0,3594.0,803.0,9028.0,4968.0,6626.0,461.0,2087.0,7588.0,5681.0,4993.0,3536.0,2169.0,4387.0,-1359.0,-112.0,3682.0,937.0,6929.0,1960.0,8146.0,841.0,1756.0,632.0,1787.0,618.0,545.0,391.0,546.0,1098.0,4527.0,604.0,2241.0,2146.0,3013.0,127.0,4008.0,2924.0,-709.0,1577.0,2713.0,2532.0,-656.0,9501.0,8011.0,5955.0,2593.0,-16.0,25981.0,969.0,1065.0,1212.0,12868.0
