,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-22.4,39.75,58.88,-60.4,37.55,-13.07,-1.49,110.22,-4.5
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,24.56,62.99,64.99,48.05,159.62,172.51,89.93,-43.17,-27.67
Koszty sprzedaży,,,,,,,-100.0,,-100.0,,,,
Koszty ogólnego zarządu,,,,,927.78,71.53,63.4,36.0,31.62,62.75,48.9,15.2,56.26
Zysk ze sprzedaży,,,,,-30.75,30.41,57.03,-78.28,25.87,-81.38,-38.19,259.09,-5.25
Pozostałe przychody operacyjne,,,,,125.0,260.0,233.33,214.29,188.89,55.56,40.0,95.45,103.85
Pozostałe koszty operacyjne,,,,,-100.0,,,,,,-25.0,25.0,50.0
Zysk operacyjny (EBIT),,,,,-30.64,31.32,57.25,-77.9,26.12,-80.19,-37.39,256.26,-4.76
Przychody finansowe,,,,,-100.0,-100.0,100.0,100.0,,,,,-91.86
Koszty finansowe,,,,,1520.0,,800.0,-90.48,-57.75,-100.0,-77.78,-50.0,4796.67
Pozostałe przychody (koszty),,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-33.58,29.47,57.7,-77.8,31.71,-77.66,-39.39,263.72,-33.9
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-33.58,29.47,57.7,-77.8,31.71,-77.66,-39.39,263.72,-33.9
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,
Zysk netto,,,,,-53.04,14.75,42.34,-81.31,66.27,-77.73,-40.17,284.72,-18.1
Zysk netto akcjonariuszy jednostki dominującej,,,,,-53.04,14.75,42.34,-81.31,66.27,-77.73,-40.17,284.72,-18.1
Aktywa trwałe,,,,,,12756.16,43.8,47.71,35.7,30.64,21.0,23.23,6.86
Wartości niematerialne i prawne,,,,,,,33.77,,21.63,15.34,9.04,2.75,6.8
Rzeczowe składniki majątku trwałego,,,,,,256.16,82.38,-89.44,298.85,338.85,191.3,67.25,11.62
Należności długoterminowe,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,29850.0,29900.0,29850.0,29850.0,0.0,-0.5,-0.33
Pozostałe aktywa trwałe,,,,,,,,-100.0,,-100.0,,,
Aktywa obrotowe,,,,,141.11,124.37,953.52,16.17,18.08,22.95,27.2,35.68,38.45
Zapasy,,,,,,,,,6800.0,6200.0,1400.0,,-100.0
Należności krótkoterminowe,,,,,-7.79,-34.26,16.9,23.2,-47.31,144.49,16.6,32.14,467.64
Inwestycje krótkoterminowe,,,,,214.2,142.84,1673.74,15.68,26.43,18.19,27.13,35.42,14.08
Środki pieniężne i inne aktywa pieniężne,,,,,214.2,142.85,1673.74,15.68,26.43,17.54,25.85,33.56,14.08
Pozostałe aktywa obrotowe,,,,,160.0,271.43,-23.53,88.1,76.92,88.46,-53.85,-96.2,-95.65
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,
Aktywa razem,,,,,281.85,250.8,207.71,26.52,24.57,25.77,24.82,30.91,25.76
Kapitał własny akcjonariuszy jednostki dominującej,,,,,291.63,255.22,220.21,25.54,34.18,24.95,24.23,31.78,25.81
Kapitał (fundusz) podstawowy,,,,,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.94,0.94
Udziały (akcje) własne,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,,,52.99,57.59,34.34,35.03,35.03
Udziały niekontrolujące,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,,,,,,,,
Z tytułu dostaw i usług,,,,,75.24,44.55,-46.98,56.7,53.8,172.96,85.15,3.99,32.51
Kredyty i pożyczki,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,,,,,,,,,,
Zobowiązania krótkoterminowe,,,,,197.84,47.1,-43.73,112.4,-84.01,117.98,92.14,-14.2,21.15
Inne zobowiązania krótkoterminowe,,,,,219.66,53.33,3.85,805.56,-97.45,-8.7,144.44,-53.37,-45.83
Rozliczenia międzyokresowe,,,,,,,,,,,,,
Pasywa razem,,,,,281.85,250.8,207.71,26.52,24.57,25.77,24.82,30.91,25.76
Przepływy pieniężne z działalności operacyjnej,,,,,-43.34,-19.86,-55.69,-72.29,77.1,-45.41,110.66,103.53,-67.45
Amortyzacja,,,,,,,,33.33,6450.0,9633.33,9650.0,7200.0,54.45
Przepływy pieniężne z działalności inwestycyjnej,,,,,,91.78,89.18,-662.22,-15.46,-3400.0,76.69,55.39,-1.32
CAPEX (niematerialne i rzeczowe),,,,,,-93.15,-97.72,645.65,15.51,2100.0,-52.2,-83.67,12.56
Przepływy pieniężne z działalności finansowej,,,,,,,,-101.29,100.0,,,100.83,
Emisja akcji,,,,,,,,-100.0,100.0,,,,
Dywidenda,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,-97.88,-17.23,97.56,-95.53,1690.0,-57.95,929.41,238.87,-180.94
