,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,6452.0,1708.0,1695.0,4990.0,5007.0,2387.0,2693.0,1976.0,6887.0,2075.0,2653.0,4154.0,6577.0
Techniczny koszt wytworzenia produkcji sprzedanej,342.0,308.0,337.0,435.0,426.0,502.0,556.0,644.0,1106.0,1368.0,1056.0,366.0,800.0
Koszty sprzedaży,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,36.0,144.0,194.0,300.0,370.0,247.0,317.0,408.0,487.0,402.0,472.0,470.0,761.0
Zysk ze sprzedaży,6074.0,1256.0,1159.0,4255.0,4206.0,1638.0,1820.0,924.0,5294.0,305.0,1125.0,3318.0,5016.0
Pozostałe przychody operacyjne,4.0,5.0,6.0,7.0,9.0,18.0,20.0,22.0,26.0,28.0,28.0,43.0,53.0
Pozostałe koszty operacyjne,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,5.0,6.0,5.0,6.0
Zysk operacyjny (EBIT),6077.0,1261.0,1165.0,4262.0,4215.0,1656.0,1832.0,942.0,5316.0,328.0,1147.0,3356.0,5063.0
Przychody finansowe,157.0,15.0,-8.0,-7.0,0.0,0.0,0.0,0.0,172.0,41.0,-40.0,64.0,14.0
Koszty finansowe,-5.0,0.0,1.0,21.0,71.0,4.0,9.0,2.0,30.0,0.0,2.0,1.0,1469.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,6239.0,1276.0,1156.0,4234.0,4144.0,1652.0,1823.0,940.0,5458.0,369.0,1105.0,3419.0,3608.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,6239.0,1276.0,1156.0,4234.0,4144.0,1652.0,1823.0,940.0,5458.0,369.0,1105.0,3419.0,3608.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,5688.0,1166.0,1051.0,3852.0,2671.0,1338.0,1496.0,720.0,4441.0,298.0,895.0,2770.0,3637.0
Zysk netto akcjonariuszy jednostki dominującej,5688.0,1166.0,1051.0,3852.0,2671.0,1338.0,1496.0,720.0,4441.0,298.0,895.0,2770.0,3637.0
Aktywa trwałe,0.0,73.0,7048.0,7088.0,9385.0,9385.0,10135.0,10470.0,12735.0,12261.0,12263.0,12902.0,13608.0
Wartości niematerialne i prawne,0.0,0.0,6819.0,0.0,9122.0,9122.0,9122.0,9122.0,11095.0,10521.0,9947.0,9373.0,11849.0
Rzeczowe składniki majątku trwałego,0.0,73.0,227.0,7083.0,261.0,260.0,414.0,748.0,1041.0,1141.0,1206.0,1251.0,1162.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,2.0,2.0,2.0,2.0,599.0,600.0,599.0,599.0,599.0,597.0,597.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,511.0,1681.0,0.0
Aktywa obrotowe,6668.0,7221.0,1549.0,14522.0,16077.0,16202.0,16319.0,16870.0,18983.0,19921.0,20757.0,22890.0,26282.0
Zapasy,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,138.0,126.0,120.0,170.0,0.0
Należności krótkoterminowe,2194.0,759.0,639.0,543.0,2023.0,499.0,747.0,669.0,1066.0,1220.0,871.0,884.0,6051.0
Inwestycje krótkoterminowe,4464.0,6455.0,876.0,13937.0,14026.0,15675.0,15538.0,16122.0,17733.0,18526.0,19754.0,21833.0,20229.0
Środki pieniężne i inne aktywa pieniężne,4464.0,6455.0,876.0,13937.0,14026.0,15676.0,15538.0,16122.0,17733.0,18426.0,19554.0,21533.0,20229.0
Pozostałe aktywa obrotowe,10.0,7.0,34.0,42.0,26.0,26.0,26.0,79.0,46.0,49.0,12.0,3.0,2.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,6668.0,7294.0,8597.0,21610.0,25462.0,25587.0,26454.0,27340.0,31718.0,32182.0,33020.0,35792.0,39890.0
Kapitał własny akcjonariuszy jednostki dominującej,5973.0,7139.0,8190.0,21368.0,23392.0,25359.0,26225.0,26826.0,31387.0,31685.0,32580.0,35351.0,39489.0
Kapitał (fundusz) podstawowy,100.0,100.0,100.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,107.0,107.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,0.0,15142.0,15175.0,23285.0,23165.0,23165.0,23915.0,31280.0,31280.0,31280.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu dostaw i usług,105.0,110.0,381.0,224.0,184.0,159.0,202.0,351.0,283.0,434.0,374.0,365.0,375.0
