,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,13073.0,11562.0,12527.0,15711.0,14537.0,18862.0,21472.0,113713.0,6641.0,13507.0,8896.0,7326.0,13962.0,8406.0,9821.0,17958.0,18898.0,15139.0,14687.0,14939.0,21226.0,15858.0,15386.0,21353.0,22448.0,16713.0,23224.0,17258.0,21397.0,16635.0,12890.0,34220.0,17833.0,32269.0,13199.0,25180.0,17589.0,12225.0,61293.0,12846.0,15717.0,9297.0,31601.0,63025.0,14514.0,10412.0,25145.0,11393.0,17868.0,13176.0,14485.0,15550.0,23476.0,19468.0,12707.0,15533.0
Techniczny koszt wytworzenia produkcji sprzedanej,7607.0,6539.0,9197.0,12604.0,9382.0,9572.0,22838.0,93821.0,16499.0,13993.0,8362.0,6080.0,13336.0,9234.0,9051.0,19783.0,15756.0,12421.0,10626.0,12136.0,17399.0,12286.0,11902.0,19051.0,18648.0,12959.0,10158.0,12188.0,16789.0,12995.0,9722.0,13120.0,14069.0,25996.0,9375.0,13429.0,13397.0,10141.0,44387.0,9664.0,13229.0,8671.0,19350.0,61879.0,13298.0,8786.0,23323.0,6014.0,12751.0,10382.0,11157.0,13205.0,12705.0,14558.0,10931.0,12876.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,5466.0,5023.0,3330.0,3107.0,5155.0,9290.0,-1366.0,19892.0,-9858.0,-486.0,534.0,1246.0,626.0,-828.0,770.0,-1825.0,3142.0,2718.0,4061.0,2803.0,3827.0,3572.0,3484.0,2302.0,3800.0,3754.0,13066.0,5070.0,4608.0,3640.0,3168.0,21100.0,3764.0,6273.0,3824.0,11751.0,4192.0,2084.0,16906.0,3182.0,2488.0,626.0,12251.0,1146.0,1216.0,1626.0,1822.0,5379.0,5117.0,2794.0,3328.0,2345.0,10771.0,4910.0,1776.0,2657.0
Pozostałe przychody operacyjne,-24507.0,98911.0,13654.0,350.0,39316.0,27405.0,49523.0,30592.0,-34714.0,6675.0,28456.0,20503.0,11513.0,4467.0,-10380.0,16024.0,-661.0,-26944.0,-2568.0,3341.0,-30409.0,19131.0,-4574.0,-4401.0,16465.0,20423.0,-15746.0,19880.0,-28084.0,5846.0,8682.0,-13039.0,5410.0,28269.0,-11589.0,3395.0,1146.0,-2959.0,17493.0,-15022.0,26693.0,-23073.0,9201.0,61178.0,2439.0,-9759.0,12426.0,-7348.0,12216.0,1999.0,20786.0,-2385.0,-1270.0,-21143.0,19324.0,-13393.0
Pozostałe koszty operacyjne,238.0,9042.0,1610.0,-734.0,678.0,3769.0,3162.0,15707.0,117.0,1307.0,312.0,3128.0,1859.0,1515.0,213.0,3423.0,209.0,2984.0,1782.0,3287.0,3015.0,6419.0,881.0,1508.0,215.0,829.0,84.0,1124.0,1078.0,1878.0,1237.0,1419.0,443.0,1095.0,519.0,4329.0,1268.0,1669.0,978.0,2423.0,567.0,1187.0,868.0,2711.0,1297.0,990.0,1844.0,3069.0,619.0,1421.0,649.0,8099.0,1092.0,-103.0,1406.0,410.0
Zysk operacyjny (EBIT),-19279.0,94892.0,15374.0,4191.0,43793.0,32926.0,44995.0,34777.0,-44689.0,4882.0,28678.0,18621.0,10280.0,2124.0,-9823.0,10776.0,2272.0,-27210.0,-289.0,2857.0,-29597.0,16284.0,-1971.0,-3607.0,20050.0,23348.0,-2764.0,23826.0,-24554.0,7608.0,10613.0,6642.0,8731.0,33447.0,-8284.0,10817.0,4070.0,-2544.0,33421.0,-14263.0,28614.0,-23634.0,20584.0,59613.0,2358.0,-9123.0,12404.0,-5038.0,16714.0,3372.0,23465.0,-8139.0,8409.0,-16130.0,19694.0,-11146.0
Przychody finansowe,15532.0,-15457.0,7976.0,1570.0,5075.0,-3119.0,825.0,-1770.0,17498.0,-5958.0,8945.0,2139.0,301.0,421.0,369.0,1169.0,747.0,653.0,606.0,1041.0,15639.0,-8326.0,-3411.0,-1609.0,331.0,4282.0,401.0,285.0,17137.0,256.0,-4245.0,9593.0,1310.0,2048.0,930.0,654.0,674.0,3887.0,-1229.0,5955.0,2149.0,5513.0,-813.0,2512.0,1493.0,6221.0,-5856.0,1318.0,1345.0,3197.0,2890.0,3379.0,3536.0,15433.0,-6508.0,23264.0
