,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,-8.23,-7.04,14.32,40.18,44.33,50.67,38.0,16.46,1.11,-1.66,-9.11,-16.35,-22.77,-39.56,-18.17,-29.17,-16.43,0.14,-27.31,-15.85,-11.79,-6.28,15.6,43.98,-0.78,-10.06,-12.5,-27.88,-3.0,-2.91,-15.62,-18.34,-7.14,-11.75,-5.59,16.99,3.04,21.69,0.8,5.75,3.51,-5.58,7.97,11.55,8.03,11.14,31.07,6.82,31.83,43.52,31.04,20.11,13.83,-13.13,-24.41,-13.42,-21.78,-5.76,-2.52,-3.94,0.4,21.36,23.36,42.79,61.61,16.05,68.75,22.52,23.88,0.5,-40.51,-26.83,-24.81
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-6.06,-7.6,15.02,37.12,36.92,43.55,34.93,19.08,-2.35,-0.19,-7.37,-8.71,-24.0,-31.83,-21.33,-23.71,-9.04,-6.8,-35.71,-25.78,-14.16,-9.1,39.71,27.58,-6.17,-14.27,-20.67,-27.29,-5.99,-8.09,-19.4,-19.71,-5.78,-10.07,-2.56,15.54,1.74,19.02,2.22,6.56,4.17,-3.29,6.13,12.69,8.28,12.77,28.37,2.32,23.83,30.25,26.99,21.69,12.82,-4.88,-18.87,-12.96,-13.35,-12.68,-6.44,-4.37,-12.15,18.51,11.45,31.51,71.73,21.49,85.4,35.83,29.85,12.16,-29.73,-22.72,-17.88
Koszty sprzedaży,,,,,10.03,148.43,10.47,40.91,26.01,117.96,-26.77,2.79,3.39,0.03,21.5,-7.73,-44.79,-17.7,119.02,-55.97,80.6,-15.6,10.39,145.9,-10.61,72.02,-68.75,-3.65,8.92,-44.98,54.87,-12.78,2.08,-14.89,-16.44,-29.56,-36.77,-12.43,-24.94,-7.74,10.68,37.56,6.39,23.32,6.4,-8.93,4.59,6.2,-5.2,4.27,52.3,5.09,32.24,33.05,17.17,5.73,8.29,-10.53,-22.92,-23.11,-41.97,-28.43,-47.76,6.69,61.85,64.85,104.59,21.58,26.93,-16.88,47.62,11.12,36.29,17.86,-58.38,-3.44,-10.35
Koszty ogólnego zarządu,,,,,-12.5,-23.35,2.01,57.57,61.88,46.34,11.42,-26.81,13.48,15.19,17.6,8.18,-13.69,-51.31,-29.7,-19.51,-21.34,30.77,0.08,-1.52,-14.35,-25.56,-18.88,-26.34,-17.99,-7.42,-15.52,-24.67,0.71,2.85,13.74,10.3,17.67,1.26,3.65,-17.55,-0.31,26.7,14.74,65.31,14.75,-4.78,2.31,-8.63,0.02,14.7,35.68,15.8,13.99,-9.43,-17.9,-14.25,1.81,15.7,11.22,37.98,31.68,9.14,6.86,12.08,7.56,14.95,22.9,30.11,13.85,32.92,32.24,12.62,8.83,9.12,33.03,32.12,42.16
Zysk ze sprzedaży,,,,,-97.2,-26.2,32.93,96.92,7891.43,156.29,400.34,10481.82,46.64,-39.2,-54.56,-455.56,0.61,-235.21,-74.37,-19.9,-116.24,78.29,105.77,32.21,130.52,-91.31,-31.92,197.21,766.99,230.99,204.82,-52.63,30.09,89.86,10.23,-0.82,-0.02,-31.15,-20.44,108.39,12.68,30.35,-29.91,-36.45,-12.37,-23.83,47.19,26.35,25.16,-3.59,37.47,50.78,119.28,294.87,130.94,39.66,26.03,-58.26,-67.6,-30.3,-70.05,71.8,92.94,-18.65,118.61,23.71,78.24,179.6,55.06,-2.58,22.53,-28.33,-11.08,-82.7,-136.03,-118.04,-135.19
Pozostałe przychody operacyjne,,,,,-86.78,87.61,7432.23,794.2,-52.83,172.45,4.21,-1548.78,0.0,580.28,-97.01,149.3,-3407.0,297.0,-79.58,-86.98,115.85,-100.76,365.52,-10.8,10.31,-924.14,58.89,-86.91,196.54,880.81,-67.6,1519.4,-54.9,-52.95,-140.29,199.26,241.27,-42.71,1076.79,-55.31,-39.16,255.36,151.19,-12.06,66.42,-61.55,17.83,92.87,-30.03,44.96,-54.54,-60.79,51.58,3.88,7.74,-5.08,39.29,-43.78,72.26,183.08,-32.74,356.02,121.74,-94.02,-50.87,-76.8,-58.8,7.74,333.13,644.44,-58.97,1077.84,310.73,-34.52,149.61,101.58,-88.39
Pozostałe koszty operacyjne,,,,,-93.89,105.74,480.19,-186.39,592.0,7363.64,63.74,-205.48,128.32,-102.5,-59.48,1000.67,-58.73,6992.68,-258.33,-89.64,351.53,-47.1,73.53,91.83,-60.19,-94.78,698.25,-87.34,609.56,3492.31,-150.24,876.24,-40.5,-44.86,178.99,-51.62,34.11,-29.71,237.44,379.04,30.92,88.49,-26.06,-50.72,-15.7,-18.08,-72.16,21.14,-5.95,-37.15,231.56,6.82,35.66,175.43,-104.39,-20.59,27.61,-58.84,4714.63,40.02,18.55,80.25,-25.0,-187.16,-4.27,-78.37,81.32,1166.22,279.81,264.59,-172.91,-87.09,-53.96,-66.98,204.0,-179.72,11.19
Zysk operacyjny (EBIT),,,,,-93.05,0.64,667.59,190.92,2048.25,118.64,68.47,-937.92,43.23,-4.1,-77.61,-24.51,-39.52,-189.98,-55.35,-23.9,-132.45,41.34,47.42,28.1,144.72,0.51,-67.05,192.68,358.36,195.6,498.45,-50.82,30.43,107.45,-13.3,84.29,34.76,-33.86,-30.9,-5.81,-17.19,51.81,1.26,-23.97,16.5,-41.26,73.64,48.25,8.4,26.77,-1.04,15.84,122.27,237.46,155.66,45.93,28.63,-56.78,-73.55,-19.31,-77.04,104.62,167.11,-9.39,114.56,14.56,33.86,-74.25,6.76,23.97,54.23,518.67,258.31,-68.39,-135.07,-72.42,-128.22
Przychody finansowe,,,,,28.12,-27.91,-81.85,-28.77,28.69,-26.35,35.37,5.62,19.96,73.17,-21.62,264.67,-12.83,-48.15,67.76,-65.12,16.31,130.78,-49.1,27.78,53.53,-10.64,161.18,120.15,-97.85,-87.76,-100.45,-99.65,2725.0,-278.88,7772.73,-2866.67,53.69,153.01,-1.3,56.63,106.33,-355.88,-145.38,-16.11,-98.08,123.81,347.62,194.26,937.1,-238.62,-115.28,72.08,-85.85,722.39,632.17,92.63,1320.88,-143.01,190.14,-83.31,114.93,187.17,-80.98,2232.11,-68.01,233.48,158.33,-91.11,350.39,-114.45,-133.27,132.74,-93.63,57.52,113.02,29.09,187.84
