,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,85943.0,84675.0,71680.0,72907.0,78869.0,78718.0,81942.0,102203.0,113830.0,118601.0,113083.0,119023.0,115092.0,116630.0,102786.0,99558.0,88891.0,70493.0,84105.0,70518.0,74289.0,70593.0,61138.0,59343.0,65533.0,66161.0,70673.0,85444.0,65023.0,59506.0,61837.0,61623.0,63071.0,57773.0,52179.0,50321.0,58566.0,50983.0,49263.0,58872.0,60349.0,62039.0,49655.0,62256.0,62469.0,58576.0,53612.0,69449.0,67488.0,65101.0,70269.0,74186.0,88967.0,93431.0,92082.0,89108.0,101270.0,81163.0,69606.0,77153.0,79218.0,76486.0,67853.0,74116.0,79535.0,92825.0,83702.0,105831.0,128533.0,107727.0,141248.0,129661.0,159227.0,108268.0,84022.0,94869.0,119718.0
Techniczny koszt wytworzenia produkcji sprzedanej,75421.0,74115.0,61904.0,63279.0,70848.0,68480.0,71203.0,86766.0,97002.0,98301.0,96073.0,103324.0,94721.0,98110.0,88989.0,94327.0,71985.0,66881.0,70004.0,71961.0,65476.0,62330.0,45006.0,53408.0,56206.0,56657.0,62876.0,68140.0,52737.0,48573.0,49881.0,49547.0,49577.0,44645.0,40202.0,39780.0,46712.0,40149.0,39171.0,45961.0,47523.0,47786.0,40041.0,48977.0,49505.0,46214.0,42497.0,55192.0,53605.0,52115.0,54553.0,56470.0,66381.0,67880.0,69279.0,68721.0,74892.0,64568.0,56203.0,59814.0,64895.0,56378.0,52583.0,57198.0,57013.0,66815.0,58602.0,75219.0,97909.0,81176.0,108646.0,102170.0,127133.0,91048.0,76344.0,78956.0,104397.0
Koszty sprzedaży,4148.0,1309.0,4231.0,5035.0,4564.0,3252.0,4674.0,7095.0,5751.0,7088.0,3423.0,7293.0,5946.0,7090.0,4159.0,6729.0,3283.0,5835.0,9109.0,2963.0,5929.0,4925.0,10055.0,7286.0,5300.0,8472.0,3142.0,7020.0,5773.0,4661.0,4866.0,6123.0,5893.0,3967.0,4066.0,4313.0,3726.0,3474.0,3052.0,3979.0,4124.0,4779.0,3247.0,4907.0,4388.0,4352.0,3396.0,5211.0,4160.0,4538.0,5172.0,5476.0,5501.0,6038.0,6060.0,5790.0,5957.0,5402.0,4671.0,4452.0,3457.0,3866.0,2440.0,4750.0,5595.0,6373.0,4992.0,5775.0,7102.0,5297.0,7369.0,6417.0,9679.0,6243.0,3067.0,6196.0,8677.0
Koszty ogólnego zarządu,3871.0,5568.0,4224.0,5308.0,3387.0,4268.0,4309.0,8364.0,5483.0,6246.0,4801.0,6122.0,6222.0,7195.0,5646.0,6623.0,5370.0,3503.0,3969.0,5331.0,4224.0,4581.0,3972.0,5250.0,3618.0,3410.0,3222.0,3867.0,2967.0,3157.0,2722.0,2913.0,2988.0,3247.0,3096.0,3213.0,3516.0,3288.0,3209.0,2649.0,3505.0,4166.0,3682.0,4379.0,4022.0,3967.0,3767.0,4001.0,4023.0,4550.0,5111.0,4633.0,4586.0,4121.0,4196.0,3973.0,4669.0,4768.0,4667.0,5482.0,6148.0,5204.0,4987.0,6144.0,6613.0,5982.0,6129.0,7994.0,7529.0,7951.0,8105.0,9003.0,8194.0,8676.0,10782.0,11895.0,11649.0
Zysk ze sprzedaży,2503.0,3683.0,1321.0,-715.0,70.0,2718.0,1756.0,-22.0,5594.0,6966.0,8786.0,2284.0,8203.0,4235.0,3992.0,-8121.0,8253.0,-5726.0,1023.0,-9737.0,-1340.0,-1243.0,2105.0,-6601.0,409.0,-2378.0,1433.0,6417.0,3546.0,3115.0,4368.0,3040.0,4613.0,5914.0,4815.0,3015.0,4612.0,4072.0,3831.0,6283.0,5197.0,5308.0,2685.0,3993.0,4554.0,4043.0,3952.0,5045.0,5700.0,3898.0,5433.0,7607.0,12499.0,15392.0,12547.0,10624.0,15752.0,6425.0,4065.0,7405.0,4718.0,11038.0,7843.0,6024.0,10314.0,13655.0,13979.0,16843.0,15993.0,13303.0,17128.0,12071.0,14221.0,2301.0,-6171.0,-2178.0,-5005.0
Pozostałe przychody operacyjne,1604.0,-1582.0,121.0,69.0,212.0,-196.0,9114.0,617.0,100.0,142.0,9498.0,-8939.0,100.0,966.0,284.0,4407.0,-3307.0,3835.0,58.0,574.0,524.0,-29.0,270.0,512.0,578.0,-297.0,429.0,67.0,1714.0,2319.0,139.0,1085.0,773.0,1091.0,-56.0,3247.0,2638.0,625.0,547.0,1451.0,1605.0,2221.0,1374.0,1276.0,2671.0,854.0,1619.0,2461.0,1869.0,1238.0,736.0,965.0,2833.0,1286.0,793.0,916.0,3946.0,723.0,1366.0,2593.0,2654.0,3297.0,3029.0,155.0,1304.0,765.0,1248.0,167.0,5648.0,5695.0,512.0,1967.0,23198.0,3729.0,1278.0,3965.0,2694.0
Pozostałe koszty operacyjne,409.0,-383.0,106.0,169.0,25.0,22.0,615.0,-146.0,173.0,1642.0,1007.0,-446.0,395.0,-41.0,408.0,4017.0,163.0,2826.0,-646.0,416.0,736.0,1495.0,-171.0,798.0,293.0,78.0,1023.0,101.0,2079.0,2802.0,-514.0,986.0,1237.0,1545.0,406.0,477.0,1659.0,1086.0,1370.0,2285.0,2172.0,2047.0,1013.0,1126.0,1831.0,1677.0,282.0,1364.0,1722.0,1054.0,935.0,1457.0,2336.0,2903.0,-41.0,1157.0,2981.0,1195.0,1892.0,1620.0,3534.0,2154.0,1419.0,-1412.0,3383.0,466.0,2573.0,15055.0,12849.0,1699.0,-1876.0,1943.0,5916.0,561.0,1951.0,-1549.0,6578.0
Zysk operacyjny (EBIT),3698.0,2484.0,1336.0,-815.0,257.0,2500.0,10255.0,741.0,5521.0,5466.0,17277.0,-6209.0,7908.0,5242.0,3868.0,-7731.0,4783.0,-4717.0,1727.0,-9579.0,-1552.0,-2767.0,2546.0,-6887.0,694.0,-2753.0,839.0,6383.0,3181.0,2632.0,5021.0,3139.0,4149.0,5460.0,4353.0,5785.0,5591.0,3611.0,3008.0,5449.0,4630.0,5482.0,3046.0,4143.0,5394.0,3220.0,5289.0,6142.0,5847.0,4082.0,5234.0,7115.0,12996.0,13775.0,13381.0,10383.0,16717.0,5953.0,3539.0,8378.0,3838.0,12181.0,9453.0,7591.0,8235.0,13954.0,12654.0,1955.0,8792.0,17299.0,19516.0,12095.0,31503.0,5469.0,-6844.0,3336.0,-8889.0
Przychody finansowe,544.0,2085.0,5687.0,1599.0,697.0,1503.0,1032.0,1139.0,897.0,1107.0,1397.0,1203.0,1076.0,1917.0,1095.0,4387.0,938.0,994.0,1837.0,1530.0,1091.0,2294.0,935.0,1955.0,1675.0,2050.0,2442.0,4304.0,36.0,251.0,-11.0,15.0,1017.0,-449.0,844.0,-415.0,1563.0,238.0,833.0,-180.0,3225.0,-609.0,-378.0,-209.0,62.0,145.0,936.0,197.0,643.0,-201.0,-143.0,339.0,91.0,1251.0,761.0,653.0,1293.0,-538.0,2208.0,109.0,2779.0,469.0,420.0,2542.0,889.0,1564.0,1085.0,226.0,4004.0,-226.0,-361.0,526.0,255.0,-96.0,47.0,679.0,734.0
Koszty finansowe,949.0,1433.0,3706.0,416.0,533.0,2251.0,-41.0,1565.0,479.0,1397.0,29133.0,-4008.0,1670.0,4896.0,2403.0,56291.0,16239.0,4726.0,-5270.0,-1215.0,-3031.0,6622.0,-915.0,1476.0,1406.0,2254.0,1471.0,2397.0,1758.0,631.0,1701.0,2409.0,986.0,1107.0,865.0,1378.0,1352.0,2024.0,1592.0,1543.0,1010.0,220.0,1003.0,791.0,1097.0,815.0,661.0,635.0,646.0,710.0,513.0,6405.0,1181.0,5863.0,626.0,1797.0,606.0,2085.0,177.0,356.0,614.0,2603.0,169.0,309.0,-279.0,756.0,-561.0,201.0,725.0,1055.0,1549.0,1570.0,3073.0,5666.0,-438.0,8998.0,2809.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,29.0,152.0,217.0,-398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,3293.0,3136.0,3317.0,368.0,450.0,1904.0,11545.0,-83.0,5939.0,5176.0,-10459.0,-998.0,7314.0,2263.0,2560.0,-59635.0,-10518.0,-8449.0,8834.0,-6834.0,2570.0,-7095.0,4396.0,-6408.0,963.0,-2957.0,1810.0,8290.0,1459.0,2252.0,3309.0,745.0,4180.0,3904.0,4332.0,3992.0,5802.0,1825.0,2249.0,3726.0,6845.0,4653.0,1665.0,3143.0,4359.0,2550.0,5564.0,5704.0,5844.0,3171.0,4578.0,1049.0,11906.0,9163.0,13516.0,9239.0,17404.0,3330.0,5570.0,8131.0,6003.0,10047.0,9704.0,9824.0,9403.0,14762.0,14300.0,1980.0,12071.0,16018.0,17606.0,11051.0,28685.0,-293.0,-6359.0,-4983.0,-10964.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,3293.0,3136.0,3317.0,368.0,450.0,1904.0,11545.0,-83.0,5939.0,5176.0,-10459.0,-998.0,7314.0,2263.0,2560.0,-59635.0,-10518.0,-8449.0,8834.0,-6834.0,2570.0,-7095.0,4396.0,-6408.0,963.0,-2957.0,1810.0,8290.0,1459.0,2252.0,3309.0,745.0,4180.0,3904.0,4332.0,3992.0,5802.0,1825.0,2249.0,3726.0,6845.0,4653.0,1665.0,3143.0,4359.0,2550.0,5564.0,5704.0,5844.0,3171.0,4578.0,1049.0,11906.0,9163.0,13516.0,9239.0,17404.0,3330.0,5570.0,8131.0,6003.0,10047.0,9704.0,9824.0,9403.0,14762.0,14300.0,1980.0,12071.0,16018.0,17606.0,11051.0,28685.0,-293.0,-6359.0,-4983.0,-10964.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1173.0,-1521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,949.0,4159.0,2806.0,-730.0,154.0,1696.0,9321.0,-1261.0,3347.0,2993.0,-9197.0,-1429.0,4448.0,3076.0,1400.0,-48284.0,-13127.0,-8932.0,9745.0,-8583.0,657.0,-8990.0,693.0,-7399.0,152.0,-3978.0,1002.0,7005.0,908.0,2450.0,2627.0,2779.0,3030.0,3145.0,3330.0,3261.0,4815.0,1134.0,1412.0,2736.0,5314.0,3857.0,1793.0,2187.0,3350.0,1889.0,4477.0,3782.0,4750.0,2382.0,3708.0,557.0,2499.0,6279.0,10584.0,7403.0,13746.0,2697.0,4439.0,6485.0,4502.0,7979.0,7914.0,7164.0,6846.0,12048.0,11005.0,1533.0,8964.0,12818.0,14237.0,8663.0,21907.0,-736.0,-5363.0,-104.0,-9373.0
