,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,82441.0,135605.0,162021.0,137894.0,93936.0,134485.0,164212.0,136997.0,102115.0,150060.0,227139.0,161302.0,132410.0,235246.0,284411.0,226609.0,170205.0,261964.0,325018.0,264880.0,186850.0,288858.0,329478.0,255697.0,184211.0,301292.0,346492.0,281917.0,200128.0,302724.0,337466.0,263069.0,185787.0,272667.0,300570.0,238843.0,178696.0,277338.0,301029.0,256756.0,220105.0,321043.0,350244.0,287314.0,248185.0,332278.0,347011.0,300497.0,271084.0,346073.0,391760.0,317569.0,282714.0,319465.0,433339.0,349217.0,349473.0,438196.0,493118.0,447563.0,421608.0,499177.0,569004.0,473516.0,412197.0,452540.0,491603.0,422065.0
Techniczny koszt wytworzenia produkcji sprzedanej,59876.0,102901.0,120864.0,90552.0,65533.0,88200.0,112893.0,102080.0,66950.0,95019.0,146851.0,115550.0,89863.0,156089.0,198244.0,170333.0,120389.0,189935.0,238278.0,196854.0,136080.0,207977.0,237670.0,186161.0,133628.0,212404.0,243627.0,198525.0,141023.0,213996.0,233819.0,185347.0,130773.0,187701.0,201679.0,160742.0,120922.0,182641.0,196975.0,180311.0,152782.0,225323.0,247499.0,210407.0,176502.0,236119.0,244225.0,213238.0,186340.0,235746.0,272108.0,234746.0,192141.0,207121.0,277485.0,239925.0,245368.0,313945.0,355281.0,334013.0,286444.0,357727.0,383942.0,344457.0,292897.0,313064.0,312411.0,309966.0
Koszty sprzedaży,10969.0,11721.0,12454.0,21213.0,13305.0,24840.0,22164.0,21715.0,20855.0,26469.0,35007.0,27497.0,31078.0,39876.0,40506.0,43498.0,37364.0,42715.0,44678.0,47549.0,39109.0,45303.0,42909.0,44043.0,35141.0,44462.0,44933.0,43631.0,39271.0,46256.0,44705.0,41178.0,38711.0,43059.0,44430.0,42525.0,38707.0,46306.0,47922.0,47451.0,44021.0,51823.0,49060.0,47919.0,44197.0,50239.0,51514.0,47696.0,49107.0,53568.0,56532.0,57645.0,52166.0,51562.0,60869.0,64155.0,58118.0,66665.0,71662.0,73798.0,68855.0,79353.0,81360.0,78610.0,78951.0,74056.0,73617.0,80260.0
Koszty ogólnego zarządu,8120.0,8579.0,9889.0,5858.0,10620.0,9556.0,13044.0,7297.0,11695.0,13801.0,16541.0,18363.0,14836.0,22237.0,18525.0,19991.0,18931.0,20816.0,19363.0,21546.0,18902.0,19357.0,18941.0,20203.0,19011.0,18980.0,19424.0,20041.0,21206.0,17909.0,18692.0,19040.0,20235.0,19741.0,17679.0,17106.0,19336.0,19179.0,21497.0,21964.0,22801.0,24847.0,24973.0,25535.0,24916.0,24757.0,21912.0,27774.0,24415.0,28151.0,26055.0,29386.0,27572.0,28719.0,28480.0,29288.0,27895.0,32102.0,32488.0,33613.0,34631.0,35150.0,36793.0,38142.0,38406.0,36911.0,35542.0,42397.0
Zysk ze sprzedaży,3476.0,12404.0,18814.0,20271.0,4478.0,11889.0,16111.0,5905.0,2615.0,14771.0,28740.0,-108.0,-3367.0,17044.0,27136.0,-7213.0,-6479.0,8498.0,22699.0,-1069.0,-7241.0,16221.0,29958.0,5290.0,-3569.0,25446.0,38508.0,19720.0,-1372.0,24563.0,40250.0,17504.0,-3932.0,22166.0,36782.0,18470.0,-269.0,29212.0,34635.0,7030.0,501.0,19050.0,28712.0,3453.0,2570.0,21163.0,29360.0,11789.0,11222.0,28608.0,37065.0,-4208.0,10835.0,32063.0,66505.0,15849.0,18092.0,25484.0,33687.0,6139.0,31678.0,26947.0,66909.0,12307.0,1943.0,28509.0,70033.0,-10558.0
Pozostałe przychody operacyjne,926.0,513.0,643.0,511.0,554.0,446.0,1095.0,539.0,1351.0,1066.0,12932.0,2601.0,3964.0,2520.0,592.0,2820.0,1103.0,1116.0,1267.0,2302.0,5917.0,2179.0,567.0,5166.0,1258.0,1770.0,2382.0,2331.0,1033.0,1879.0,3113.0,4172.0,1566.0,1778.0,2165.0,2469.0,1142.0,1859.0,1537.0,2039.0,1333.0,2853.0,833.0,3258.0,183.0,1408.0,7875.0,-12848.0,14.0,-161.0,-3625.0,2787.0,-955.0,4117.0,4289.0,3338.0,2891.0,3358.0,3461.0,2695.0,-4741.0,941.0,710.0,21307.0,-303.0,963.0,1405.0,22242.0
Pozostałe koszty operacyjne,2041.0,-927.0,1071.0,3373.0,793.0,1214.0,5554.0,25752.0,2959.0,6726.0,6577.0,18972.0,1993.0,6720.0,2203.0,3611.0,4726.0,6572.0,7066.0,5872.0,4980.0,6621.0,5714.0,13356.0,5859.0,10558.0,5459.0,15790.0,5071.0,6335.0,5258.0,8830.0,5468.0,5703.0,5363.0,6024.0,4852.0,10066.0,4937.0,21699.0,4022.0,2490.0,3770.0,6277.0,2014.0,4562.0,2026.0,603.0,1060.0,3981.0,3659.0,-560.0,736.0,1254.0,4623.0,2252.0,1223.0,399.0,632.0,841.0,1152.0,708.0,17.0,560.0,1224.0,729.0,903.0,3249.0
Zysk operacyjny (EBIT),2361.0,13844.0,18386.0,17409.0,4239.0,11121.0,11652.0,-19308.0,1007.0,9111.0,35095.0,-16479.0,-1396.0,12844.0,25525.0,-8004.0,-10102.0,3042.0,16900.0,-4639.0,-6304.0,11779.0,24811.0,-2900.0,-8170.0,16658.0,35431.0,6261.0,-5410.0,20107.0,38105.0,12846.0,-7834.0,18241.0,33584.0,14915.0,-3979.0,21005.0,31235.0,-12630.0,-2188.0,19413.0,25775.0,434.0,739.0,18009.0,35209.0,-1662.0,10176.0,24466.0,29781.0,-861.0,9144.0,34926.0,66171.0,16935.0,19760.0,28443.0,36516.0,7993.0,25785.0,27180.0,67602.0,33054.0,416.0,28743.0,70535.0,8435.0
Przychody finansowe,17.0,45.0,3071.0,-951.0,74.0,2315.0,2885.0,19250.0,15694.0,-7032.0,-5369.0,2175.0,6322.0,6542.0,-6645.0,1531.0,6384.0,2272.0,9809.0,1568.0,2547.0,507.0,211.0,277.0,4429.0,899.0,-4285.0,-521.0,1449.0,1003.0,2935.0,1228.0,8659.0,-593.0,-1326.0,4447.0,3724.0,13131.0,-3124.0,11901.0,5290.0,-1776.0,616.0,11349.0,731.0,5465.0,-4004.0,3608.0,3355.0,3.0,4923.0,-2656.0,5988.0,-3162.0,1345.0,3228.0,4981.0,2671.0,14.0,2430.0,6344.0,13886.0,8828.0,-15320.0,5944.0,1892.0,7791.0,2772.0
