,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,6.02,-16.38,-2.64,7.34,-22.36,10.39,-5.06,-23.83,3.31,21.31,15.27,20.79,31.77,10.72,30.82,-9.05,18.54,26.62,-0.44,39.38,10.63,2.92,-5.54,-9.43,-15.61,-28.18,7.7,-38.3,-52.7,-21.65,-45.7,-2.54,6.66,-15.11,-11.89,-4.98,7.62,1.22,14.6,-5.47,10.81,-1.84,-6.35,3.89,-12.58,-7.74,-8.63,-2.93,-11.58,-60.49,-14.42,-22.11,-8.99,112.11,16.28,11.95,7.33,22.5,35.4,42.55,28.77,7.06,-17.09,-19.71
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-0.54,-10.23,-3.07,29.61,-17.87,1.42,-4.85,-34.93,4.66,36.5,17.1,34.23,30.49,-14.51,-5.75,29.81,18.0,74.53,57.24,17.32,29.47,4.18,-17.13,-18.38,-19.25,-27.76,21.19,-55.05,-60.01,-33.74,-58.81,3.04,-17.89,-30.64,-20.91,-9.19,35.12,9.28,18.67,-11.99,-11.96,-14.28,-13.78,14.86,9.91,-1.27,4.92,-18.28,-36.77,-60.91,-36.83,-23.9,-6.4,103.52,41.55,51.38,12.12,67.55,42.07,-9.29,33.84,-30.52,-31.16,17.77
Koszty sprzedaży,,,,,56.66,-15.29,22.26,22.8,-10.91,31.1,-26.64,-39.59,-33.45,-26.43,-9.05,-12.95,23.74,12.5,7.66,12.3,14.87,46.82,14.87,54.01,35.46,10.65,28.51,11.84,-7.16,-15.35,37.31,-41.61,-42.29,-32.0,-54.73,-21.41,-9.45,-5.0,6.48,25.61,41.01,41.64,22.85,1.29,1.95,-6.07,0.89,5.19,1.06,-3.85,-1.87,-2.58,-0.39,-38.99,-22.93,-28.93,-20.99,23.74,6.51,8.91,6.5,37.26,44.56,45.4,24.07,-4.95,-22.54,-23.3
Koszty ogólnego zarządu,,,,,13.54,-0.66,-5.66,39.36,6.13,29.45,-3.8,-27.55,-32.5,-21.73,-23.95,-28.21,-22.82,-36.33,2.99,-8.36,8.71,83.25,-12.72,27.37,-5.92,-21.2,-7.0,0.54,-2.19,1.4,37.28,-15.31,3.16,-14.85,-28.3,-22.69,-31.53,-22.43,-19.88,4.66,12.44,7.19,-2.94,-17.32,-16.69,-14.97,-11.45,-5.17,4.8,10.11,8.12,6.23,8.74,-28.72,-13.13,-16.41,-19.25,12.71,-4.22,-2.41,7.39,24.98,31.42,43.46,25.2,-4.83,-10.73,-11.5
Zysk ze sprzedaży,,,,,-7.75,-34.65,-18.9,-128.86,-71.71,14.08,19.26,328.03,211.72,39.87,55.3,76.45,76.42,86.98,151.99,-171.88,24.34,-37.99,-61.17,99.71,-40.4,2.34,24.41,7114.07,-10.59,-43.86,-54.17,420.88,-53.39,34.68,53.84,18.93,160.11,14.37,-0.71,-23.33,-42.71,-24.4,8.49,11.56,100.87,26.81,3.2,-17.4,-52.64,-20.68,-35.71,38.4,41.66,-80.58,45.52,-14.18,1.03,394.61,-0.34,-42.56,1.92,-41.44,21.8,255.28,26.08,160.3,8.61,-59.85
Pozostałe przychody operacyjne,,,,,30.03,-93.44,-10.83,-23.82,257.68,36.96,-29.48,-140.67,-81.45,-48.36,-46.89,273.27,95.86,-57.99,-11.22,-21.67,16.66,145.85,-190.39,101.88,-12.17,-38.16,200.86,-113.88,4.07,-46.6,229.04,-0.65,-62.44,77.13,-61.56,123.94,-29.56,-26.23,5.64,196.17,-48.78,24.38,-7.47,-9.61,36.84,-38.27,-6.16,-6.88,14.33,17.86,3.83,-4.5,-5.39,-9.23,35.13,51.18,214.06,456.75,168.92,-458.98,-50.36,-65.31,-44.68,144.09,-36.35,-56.51,-42.89,-51.54
Pozostałe koszty operacyjne,,,,,102.76,-36.72,-13.68,501.21,106.17,245.71,58.41,-77.79,-59.18,-80.21,-91.8,-43.87,-14.38,-21.72,450.64,-53.36,5.19,-84.59,-31.53,31.74,-45.99,1101.93,64.85,-52.01,-20.68,-58.51,-47.89,124.07,-20.06,-2.84,-28.79,-37.45,4.39,0.89,-16.67,-6.26,5.92,-8.87,8.15,28.89,-29.45,-16.95,-29.03,-28.64,8.09,-2.1,9.26,-1.9,3.22,-35.91,-27.93,-30.98,-25.69,6.15,33.12,7.64,28.46,13.82,20.3,212.51,38.18,7.68,-8.66,-50.7
Zysk operacyjny (EBIT),,,,,-19.81,-62.35,-20.34,-358.57,-102.7,-37.42,-2.77,97.62,3346.13,176.81,154.45,1833.55,105.16,91.97,142.67,-175.24,26.35,-34.9,-63.42,120.84,-38.36,-8.46,23.37,-85.78,-8.58,-42.22,-51.97,2535.34,-56.82,38.53,57.21,50.2,169.5,14.24,0.44,-22.89,-45.62,-24.5,8.21,7.46,114.34,27.97,4.79,-14.6,-54.12,-20.99,-36.78,43.46,43.67,-81.58,49.91,-10.15,6.69,467.16,2.27,-68.83,-2.11,-45.21,18.11,507.91,23.64,159.23,7.94,-60.99
Przychody finansowe,,,,,-33.94,204.56,-32.41,-100.46,-56.32,198.59,-74.21,4858.96,163.75,-56.31,599.94,105.43,42.47,39.46,-21.16,-70.76,-21.89,-46.99,115.68,-555.94,36.5,24.72,-115.5,307.97,8.01,-118.46,299.23,-64.44,-39.0,402.42,284.08,196.41,-60.78,-56.34,-93.24,-99.38,1.9,35.3,-32.6,20151.11,-64.28,-67.62,-48.73,-99.42,8549.1,2574.8,2924.0,2276.84,-346.48,420.14,-994.84,61.05,109.85,-71.83,109.27,-26.41,-641.95,1346.92,-387.47,-2629.18,55.29,-116.78,0.6,105.61
