,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,91138.0,98841.0,96069.0,83633.0,96625.0,82654.0,93534.0,89769.0,75019.0,91238.0,88797.0,68381.0,77503.0,110676.0,102354.0,82600.0,102123.0,122544.0,133902.0,75125.0,121053.0,155167.0,133312.0,104707.0,133923.0,159696.0,125920.0,94838.0,113021.0,114695.0,135616.0,58517.0,53455.0,89865.0,73637.0,57032.0,57017.0,76282.0,64883.0,54194.0,61364.0,77210.0,74354.0,51231.0,67997.0,75787.0,69632.0,53225.0,59444.0,69920.0,63623.0,51664.0,52561.0,27622.0,54448.0,40241.0,47838.0,58590.0,63313.0,45051.0,51345.0,71772.0,85728.0,64219.0,66116.0,76839.0,71073.0,51559.0
Techniczny koszt wytworzenia produkcji sprzedanej,53612.0,53090.0,57441.0,44754.0,53324.0,47656.0,55675.0,58005.0,43793.0,48334.0,52977.0,37742.0,45833.0,65976.0,62034.0,50660.0,59809.0,56406.0,58466.0,65762.0,70577.0,98449.0,91931.0,77148.0,91372.0,102563.0,76180.0,62967.0,73786.0,74089.0,92320.0,28306.0,29510.0,49091.0,38029.0,29166.0,24232.0,34050.0,30076.0,26486.0,32741.0,37210.0,35692.0,23311.0,28824.0,31896.0,30775.0,26776.0,31679.0,31490.0,32290.0,21880.0,20030.0,12308.0,20398.0,16650.0,18748.0,25050.0,28872.0,25205.0,21020.0,41971.0,41018.0,22863.0,28132.0,29163.0,28235.0,26927.0
Koszty sprzedaży,9914.0,12005.0,12160.0,16853.0,15531.0,10170.0,14867.0,20695.0,13836.0,13333.0,10907.0,12501.0,9207.0,9809.0,9920.0,10883.0,11394.0,11035.0,10680.0,12221.0,13088.0,16201.0,12267.0,18822.0,17729.0,17927.0,15765.0,21051.0,16460.0,15175.0,21646.0,12292.0,9499.0,10318.0,9800.0,9661.0,8601.0,9802.0,10435.0,12135.0,12128.0,13884.0,12820.0,12292.0,12365.0,13041.0,12934.0,12930.0,12495.0,12539.0,12692.0,12597.0,12446.0,7650.0,9782.0,8953.0,9833.0,9467.0,10419.0,9751.0,10473.0,12993.0,15062.0,14178.0,12993.0,12350.0,11668.0,10874.0
Koszty ogólnego zarządu,10788.0,8168.0,11525.0,10359.0,12249.0,8114.0,10872.0,14437.0,12999.0,10504.0,10459.0,10459.0,8775.0,8221.0,7954.0,7509.0,6772.0,5234.0,8192.0,6881.0,7362.0,9592.0,7150.0,8765.0,6926.0,7559.0,6649.0,8813.0,6774.0,7664.0,9128.0,7463.0,6988.0,6526.0,6544.0,5770.0,4785.0,5063.0,5243.0,6039.0,5380.0,5427.0,5089.0,4993.0,4482.0,4615.0,4506.0,4734.0,4697.0,5081.0,4872.0,5029.0,5108.0,3622.0,4233.0,4204.0,4124.0,4082.0,4054.0,4103.0,4429.0,5102.0,5328.0,5886.0,5545.0,4855.0,4756.0,5209.0
Zysk ze sprzedaży,16825.0,25577.0,14944.0,11667.0,15521.0,16714.0,12120.0,-3367.0,4391.0,19067.0,14454.0,7678.0,13688.0,26670.0,22447.0,13548.0,24148.0,49868.0,56565.0,-9739.0,30026.0,30924.0,21964.0,-29.0,17896.0,31646.0,27326.0,2007.0,16001.0,17767.0,12522.0,10455.0,7458.0,23929.0,19264.0,12435.0,19400.0,27367.0,19128.0,9534.0,11115.0,20689.0,20753.0,10636.0,22326.0,26235.0,21417.0,8785.0,10573.0,20809.0,13768.0,12158.0,14977.0,4042.0,20036.0,10434.0,15132.0,19991.0,19968.0,5993.0,15423.0,11706.0,24320.0,21292.0,19445.0,30471.0,26414.0,8548.0
Pozostałe przychody operacyjne,743.0,18407.0,967.0,5104.0,966.0,1208.0,862.0,3889.0,3455.0,1654.0,608.0,-1582.0,641.0,854.0,323.0,2741.0,1256.0,359.0,287.0,2147.0,1465.0,882.0,-259.0,4333.0,1287.0,545.0,261.0,-601.0,1339.0,291.0,860.0,-605.0,503.0,516.0,331.0,145.0,354.0,381.0,349.0,429.0,181.0,473.0,323.0,388.0,248.0,292.0,303.0,361.0,284.0,344.0,315.0,345.0,269.0,313.0,426.0,521.0,844.0,1741.0,1144.0,-1872.0,419.0,604.0,633.0,825.0,267.0,263.0,362.0,400.0
Pozostałe koszty operacyjne,1958.0,5306.0,4620.0,5104.0,3970.0,3358.0,3988.0,30688.0,8185.0,11608.0,6317.0,6816.0,3341.0,2297.0,518.0,3826.0,2860.0,1798.0,2854.0,1784.0,3009.0,277.0,1954.0,2351.0,1625.0,3329.0,3221.0,1128.0,1289.0,1381.0,1679.0,2528.0,1030.0,1342.0,1195.0,1581.0,1076.0,1354.0,996.0,1482.0,1139.0,1234.0,1077.0,1910.0,804.0,1025.0,765.0,1363.0,869.0,1003.0,835.0,1337.0,897.0,643.0,602.0,923.0,666.0,683.0,801.0,993.0,856.0,777.0,964.0,3105.0,1183.0,837.0,881.0,1530.0
Zysk operacyjny (EBIT),15610.0,38679.0,11291.0,11667.0,12517.0,14564.0,8995.0,-30166.0,-338.0,9114.0,8745.0,-719.0,10988.0,25227.0,22251.0,12463.0,22543.0,48429.0,53997.0,-9377.0,28482.0,31529.0,19750.0,1954.0,17558.0,28863.0,24366.0,278.0,16051.0,16677.0,11704.0,7323.0,6931.0,23103.0,18400.0,10999.0,18679.0,26394.0,18481.0,8481.0,10157.0,19928.0,19999.0,9113.0,21771.0,25502.0,20955.0,7783.0,9988.0,20150.0,13248.0,11166.0,14349.0,3711.0,19859.0,10033.0,15309.0,21049.0,20311.0,3128.0,14986.0,11533.0,23989.0,19013.0,18529.0,29897.0,25894.0,7418.0
Przychody finansowe,929.0,-520.0,1114.0,2708.0,613.0,543.0,753.0,-13.0,268.0,1622.0,194.0,596.0,707.0,709.0,1360.0,1224.0,1007.0,989.0,1072.0,358.0,787.0,524.0,2312.0,-1631.0,1074.0,654.0,-358.0,3392.0,1160.0,-121.0,714.0,1206.0,707.0,365.0,2742.0,3575.0,277.0,159.0,185.0,22.0,283.0,216.0,125.0,4480.0,101.0,70.0,64.0,26.0,8736.0,1867.0,1938.0,613.0,-21532.0,9709.0,-17338.0,988.0,2120.0,2735.0,1608.0,727.0,-11492.0,39574.0,-4621.0,-18380.0,-5138.0,-6640.0,-4594.0,1030.0
