,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1
Przychody ze sprzedaży,,,,,19.46,-5.59,-5.26,15.94,45.92,121.15,36.0,-12.75,-21.6,-18.02,-23.78,-8.88,-32.76,-48.15,-29.76,-53.64,-25.78,-15.95,-3.66,9.48,7.49,-10.2,5.75,208.38,47.89,-9.24,-26.02,-76.48,-10.55,9.43,26.17,2.71,-2.76,-19.04,-13.91,-24.2,-2.97,22.01,-17.11,-3.15,-14.5,-38.15,-2.06,-41.97,-19.13,25.24,-9.19,-36.56,-32.25,-26.54,-25.62,54.49,-2.61,-0.45,-2.54,-2.36,-17.68,-14.61,-10.31,-0.53,3.6,1.49,8.85,0.97,13.8,2.02,-4.11,14.5,6.31
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,35.31,8.23,-0.82,10.63,70.68,158.52,58.17,-8.0,-21.06,-28.06,-33.24,-11.7,-39.11,-20.86,-16.32,-53.81,-19.69,-42.45,-14.19,17.01,-1.67,-9.42,-0.85,206.59,50.64,-15.06,-26.7,-76.86,-12.17,11.88,29.1,4.89,0.39,-16.39,-12.83,-19.67,-2.68,27.3,-21.45,-0.36,-11.86,54.39,10.47,-34.99,-23.07,-51.97,-7.92,-34.68,-40.06,-36.69,-40.09,-4.78,-6.29,-0.33,-9.04,7.29,-18.76,-18.73,-8.76,-3.48,8.97,8.59,11.38,5.37,-1.37,0.06,-5.92,2.65,8.5
Koszty sprzedaży,,,,,-9.39,-8.36,-15.61,84.1,51.79,4.81,35.0,-20.57,-23.56,23.02,-23.17,-19.09,-2.59,50.75,-40.89,-63.57,-44.15,-75.65,13.49,1.46,-9.41,17.95,-32.47,288.71,-17.54,-25.98,-16.73,-80.57,-22.3,-35.61,-6.88,-32.15,20.44,28.2,10.09,50.46,35.52,35.06,15.5,-18.06,-19.12,-7.08,-0.09,-20.36,-33.4,-48.39,-53.24,-33.16,-58.34,-14.07,-2.16,-78.56,49.36,-17.65,-16.99,257.65,-46.14,-0.47,-1.4,-45.49,26.07,-12.47,-17.32,41.91,-0.67,-13.44,6.37,-11.4,7.43
Koszty ogólnego zarządu,,,,,-6.2,19.77,9.1,110.59,24.17,41.94,95.13,-59.4,-5.17,-12.32,-56.48,3.35,0.26,-12.61,-66.72,-22.71,-27.9,-30.21,187.4,6.97,-37.29,-67.56,-7.37,158.88,-5.25,36.45,-31.49,-80.34,-4.36,13.59,11.46,-4.05,-0.01,-10.07,-19.79,-13.55,-26.13,-11.99,-9.28,-19.35,6.8,-9.66,-11.93,-11.1,-25.46,-6.86,-10.22,-8.17,-15.25,-15.64,-13.11,-27.68,-9.58,-7.68,-15.55,17.32,8.3,-8.74,-1.23,-11.64,-10.29,-2.61,41.19,69.62,39.71,22.25,5.31,-5.06,-7.63
Zysk ze sprzedaży,,,,,-38.69,-276.5,-104.9,-129.65,-546.37,-134.34,-11661.5,374.44,-9.01,84.62,103.51,35.23,18.44,-1757.56,-668.86,-85.95,6.81,86.77,-18.33,-244.77,105.63,105.01,113.93,-3.74,1042.46,437.12,52.87,192.24,6.6,15.07,82.86,18.04,-44.4,-151.41,-45.36,-200.06,7.57,-48.79,32.74,8.03,-80.31,-2980.37,-247.84,-162.63,362.03,102.09,47.68,9.29,54.05,266.42,373.53,217.8,10.45,12.58,59.14,-45.72,-21.34,-0.9,-23.25,36.12,-10.87,-23.27,-19.32,-57.12,71.46,-0.59,-8.84,171.98,8.48
Pozostałe przychody operacyjne,,,,,-69.4,25.33,603.42,94.93,262.79,20.76,-56.44,489.94,39.5,-4.57,413.71,-75.08,151.06,400.48,-57.73,-79.24,-74.81,-93.42,-33.26,83.68,7.81,-7.57,-91.52,51.55,-63.35,25.04,1157.02,-9.5,118.62,-67.51,-43.95,-77.6,-15.25,854.26,-75.6,-71.94,-54.34,18.64,-523.32,377.66,-52.99,-96.17,100.8,-104.57,446.24,1632.14,-1071.43,-88.37,-97.88,-6.24,189.71,-377.78,1210.0,-46.4,250.82,12.14,5355.73,-49.33,4.67,189.12,-97.86,-39.27,-76.12,50.83,1.63,-0.33,286.92,-20.79,19.61
Pozostałe koszty operacyjne,,,,,-47.84,85.16,14.88,-55.86,46.73,854.33,4366.4,-360.04,297.12,-109.63,-75.66,98.25,-57.62,179.72,-106.7,801.56,-49.3,21.06,421.67,7.07,27.19,-42.83,-35.23,50.75,240.46,-55.88,380.8,89.89,22.42,-59.38,-87.02,-36.93,-81.69,92.82,64.53,-83.09,-31.65,-89.1,-44.68,-64.22,7.87,5856.1,-6.1,7396.67,-35.41,-92.92,1236.0,-87.51,-37.21,339.31,-97.79,306.46,-54.5,-41.32,361.02,-97.71,-13.95,-72.87,-81.99,104.92,-1.35,-21.49,-244.9,-84.53,58.9,-82.11,140.85,-63.79,-67.24
Zysk operacyjny (EBIT),,,,,-41.85,-274.45,-53.27,-179.18,-552.82,-255.81,-1503.42,833.92,-17.61,98.02,116.55,-48.44,35.09,-8305.31,-151.17,-90.99,-8.24,83.97,-83.23,-261.89,107.83,101.26,116.1,0.82,568.03,2034.3,158.69,147.08,7.05,6.95,60.32,19.53,-28.4,-97.45,-59.03,-337.1,3.99,-175.0,-54.27,27.95,-84.16,-124373.33,-540.98,-611.9,535.3,103.93,-10.36,53.03,38.2,118.86,225.73,135.92,14.04,4.32,60.0,39.32,100.64,-2.71,-20.55,45.83,-64.58,-24.26,-21.06,-52.65,68.96,0.68,-5.41,155.63,9.37
Przychody finansowe,,,,,-61.22,-63.09,-85.35,-47.3,-8.35,-27.34,1054.38,-642.88,282.61,-280.08,-74.01,145.5,-70.56,33.18,101.38,-64.33,-16.54,241.3,-133.41,10.52,-81.72,-80.83,209.82,115.62,80.12,210.49,-69.23,-73.98,-24.08,-50.7,241.89,204.05,-9.69,-31.85,-92.09,-97.75,-56.59,-59.76,-20.0,1274.07,38.2,-176.47,293.75,-32.88,-91.87,180.77,400.0,-38.15,62530.0,-1326.19,-95.4,215.58,-76.88,-8.93,403.45,110.7,530.32,115.15,-13.7,-90.92,-99.53,1575.29,1047.62,123.66,1402.33,-50.42,-41.08,130.29,106.97
Koszty finansowe,,,,,8.36,-63.39,-84.52,-64.15,-37.21,104.58,669.03,48.47,12.34,-65.31,-32.29,88.17,-24.56,23.83,-29.49,-49.0,-13.62,58.41,-17.1,43.38,-4.91,-52.55,-42.51,167.25,-12.11,86.62,33.28,-85.23,-33.53,-38.89,-29.78,-7.5,-8.91,-17.96,-41.63,-5.89,-29.03,-5.56,-11.29,-3.81,-17.12,-31.78,32.16,-17.68,48.57,16.03,21.04,115.61,195.02,241.91,-25.97,341.11,-34.4,31.08,34.94,-78.12,25.34,-70.31,35.43,-52.45,-63.06,22.98,13.08,57.25,12.29,-41.49,-57.22,-55.05,-44.57
