,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1
Przychody ze sprzedaży,152762.0,159055.0,183873.0,362428.0,182493.0,150160.0,174203.0,420206.0,266302.0,332084.0,236910.0,366636.0,208782.0,272238.0,180574.0,334075.0,140376.0,141149.0,126840.0,154864.0,104188.0,118636.0,122198.0,169546.0,111987.0,106539.0,129224.0,522852.0,165612.0,96691.0,95601.0,122995.0,148138.0,105809.0,120617.0,126333.0,144054.0,85662.0,103834.0,95755.0,139774.0,104518.0,86064.0,92742.0,119504.0,64647.0,84293.0,53820.0,96637.0,80964.0,76550.0,34144.0,65467.0,59479.0,56935.0,52750.0,63760.0,59213.0,55488.0,51504.0,52489.0,50563.0,49767.0,51233.0,54378.0,51314.0,54173.0,51731.0,61881.0,52350.0,51949.0,59230.0,65786.0
Techniczny koszt wytworzenia produkcji sprzedanej,101643.0,108586.0,138257.0,290388.0,137535.0,117519.0,137123.0,321253.0,234740.0,303812.0,216891.0,295548.0,185306.0,218561.0,144792.0,260975.0,112835.0,172963.0,121168.0,120557.0,90616.0,99538.0,103976.0,141068.0,89101.0,90166.0,103097.0,432503.0,134221.0,76587.0,75566.0,100082.0,117882.0,85689.0,97557.0,104975.0,118339.0,71642.0,85036.0,84322.0,115172.0,91203.0,66799.0,84022.0,101510.0,140812.0,73790.0,54619.0,78088.0,67639.0,67949.0,35675.0,46804.0,42823.0,40708.0,33969.0,43862.0,42681.0,37030.0,36447.0,35635.0,34685.0,33788.0,35178.0,38833.0,37666.0,37632.0,37067.0,38301.0,37690.0,35405.0,38048.0,41556.0
Koszty sprzedaży,13413.0,14846.0,14925.0,16998.0,12154.0,13605.0,12595.0,31293.0,18448.0,14259.0,17003.0,24855.0,14102.0,17541.0,13064.0,20109.0,13737.0,26443.0,7722.0,7326.0,7672.0,6439.0,8764.0,7433.0,6950.0,7595.0,5918.0,28893.0,5731.0,5622.0,4928.0,5614.0,4453.0,3620.0,4589.0,3809.0,5363.0,4641.0,5052.0,5731.0,7268.0,6268.0,5835.0,4696.0,5878.0,5824.0,5830.0,3740.0,3915.0,3006.0,2726.0,2500.0,1631.0,2583.0,2667.0,536.0,2436.0,2127.0,2214.0,1917.0,1312.0,2117.0,2183.0,1045.0,1654.0,1853.0,1805.0,1483.0,1643.0,1604.0,1920.0,1314.0,1765.0
Koszty ogólnego zarządu,29810.0,27647.0,22797.0,34956.0,27963.0,33114.0,24872.0,73615.0,34723.0,47003.0,48533.0,29890.0,32929.0,41211.0,21122.0,30890.0,33016.0,36014.0,7029.0,23876.0,23804.0,25135.0,20201.0,25540.0,14928.0,8153.0,18713.0,66119.0,14144.0,11125.0,12820.0,12998.0,13527.0,12637.0,14289.0,12472.0,13526.0,11365.0,11461.0,10782.0,9991.0,10002.0,10397.0,8696.0,10670.0,9036.0,9157.0,7731.0,7953.0,8416.0,8221.0,7099.0,6740.0,7100.0,7143.0,5134.0,6094.0,6555.0,6032.0,6023.0,6600.0,5982.0,5958.0,5322.0,5921.0,5826.0,8412.0,9027.0,8272.0,7122.0,8859.0,8570.0,7641.0
Zysk ze sprzedaży,7896.0,7976.0,7894.0,20086.0,4841.0,-14078.0,-387.0,-5955.0,-21609.0,-32990.0,-45517.0,16343.0,-23555.0,-5075.0,1596.0,22101.0,-19212.0,-94271.0,-9079.0,3105.0,-17904.0,-12476.0,-10743.0,-4495.0,1008.0,625.0,1496.0,-4663.0,11516.0,3357.0,2287.0,4301.0,12276.0,3863.0,4182.0,5077.0,6826.0,-1986.0,2285.0,-5080.0,7343.0,-2955.0,3033.0,-4672.0,1446.0,-91025.0,-4484.0,-12270.0,6681.0,1903.0,-2346.0,-11130.0,10292.0,6973.0,6417.0,13111.0,11368.0,7850.0,10212.0,7117.0,8942.0,7779.0,7838.0,9688.0,7970.0,5969.0,6324.0,4154.0,13665.0,5934.0,5765.0,11298.0,14824.0
Pozostałe przychody operacyjne,1124.0,1445.0,643.0,2091.0,344.0,1811.0,4523.0,4076.0,1248.0,2187.0,1970.0,24046.0,1741.0,2087.0,10120.0,5993.0,4371.0,10445.0,4278.0,1244.0,1101.0,687.0,2855.0,2285.0,1187.0,635.0,242.0,3463.0,435.0,794.0,3042.0,3134.0,951.0,258.0,1705.0,702.0,806.0,2462.0,416.0,197.0,368.0,2921.0,-1761.0,941.0,173.0,112.0,14.0,-43.0,945.0,1940.0,-136.0,-81.0,20.0,1819.0,122.0,-387.0,262.0,975.0,428.0,-340.0,14294.0,494.0,448.0,303.0,306.0,300.0,107.0,457.0,311.0,299.0,414.0,362.0,372.0
Pozostałe koszty operacyjne,997.0,1159.0,215.0,12715.0,520.0,2146.0,247.0,5613.0,763.0,20480.0,11032.0,-14596.0,3030.0,-1972.0,2685.0,-256.0,1284.0,1572.0,-180.0,1796.0,651.0,1903.0,579.0,1923.0,828.0,1088.0,375.0,2899.0,2819.0,480.0,1803.0,5505.0,3451.0,195.0,234.0,3472.0,632.0,376.0,385.0,587.0,432.0,41.0,213.0,210.0,466.0,2442.0,200.0,15743.0,301.0,173.0,2672.0,1966.0,189.0,760.0,59.0,7991.0,86.0,446.0,272.0,183.0,74.0,121.0,49.0,375.0,73.0,95.0,-71.0,58.0,116.0,17.0,29.0,21.0,38.0
Zysk operacyjny (EBIT),8023.0,8262.0,8322.0,9462.0,4665.0,-14413.0,3889.0,-7492.0,-21124.0,-51283.0,-54579.0,54985.0,-24844.0,-1016.0,9031.0,28350.0,-16125.0,-85398.0,-4621.0,2553.0,-17454.0,-13692.0,-8467.0,-4133.0,1367.0,172.0,1363.0,-4099.0,9132.0,3671.0,3526.0,1930.0,9776.0,3926.0,5653.0,2307.0,7000.0,100.0,2316.0,-5470.0,7279.0,-75.0,1059.0,-3941.0,1153.0,-93355.0,-4670.0,-28056.0,7325.0,3670.0,-5154.0,-13177.0,10123.0,8032.0,6480.0,4733.0,11544.0,8379.0,10368.0,6594.0,23162.0,8152.0,8237.0,9616.0,8203.0,6174.0,6502.0,4553.0,13860.0,6216.0,6150.0,11639.0,15158.0
Przychody finansowe,2718.0,1853.0,1481.0,1372.0,1054.0,684.0,217.0,723.0,966.0,497.0,2505.0,-3925.0,3696.0,-895.0,651.0,1786.0,1088.0,-598.0,1311.0,637.0,908.0,845.0,-438.0,704.0,166.0,162.0,481.0,1518.0,299.0,503.0,148.0,395.0,227.0,248.0,506.0,1201.0,205.0,169.0,40.0,27.0,89.0,68.0,32.0,371.0,123.0,-52.0,126.0,249.0,10.0,42.0,630.0,154.0,6263.0,-515.0,29.0,486.0,1448.0,-561.0,146.0,1024.0,9127.0,85.0,126.0,93.0,43.0,1424.0,1446.0,208.0,646.0,706.0,852.0,479.0,1337.0
Koszty finansowe,5194.0,5007.0,4548.0,5208.0,5628.0,1833.0,704.0,1867.0,3534.0,3750.0,5414.0,2772.0,3970.0,1301.0,3666.0,5216.0,2995.0,1611.0,2585.0,2660.0,2587.0,2552.0,2143.0,3814.0,2460.0,1211.0,1232.0,10193.0,2162.0,2260.0,1642.0,1506.0,1437.0,1381.0,1153.0,1393.0,1309.0,1133.0,673.0,1311.0,929.0,1070.0,597.0,1261.0,770.0,730.0,789.0,1038.0,1144.0,847.0,955.0,2238.0,3375.0,2896.0,707.0,9872.0,2214.0,3796.0,954.0,2160.0,2775.0,1127.0,1292.0,1027.0,1025.0,1386.0,1461.0,1615.0,1151.0,811.0,625.0,726.0,638.0
Pozostałe przychody (koszty),-2.0,-6.0,4.0,0.0,-9.0,14.0,-13.0,34.0,-41.0,91.0,55.0,-105.0,0.0,15.0,2.0,179.0,37.0,-29.0,-83.0,38.0,-184.0,403.0,-642.0,9.0,-17.0,-177.0,-26.0,192.0,0.0,-40.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-518.0,-7.0,-7.0,-7.0,-145.0,-22.0,-589.0,-98.0,-437.0,-348.0,-195.0,30.0,0.0,-13.0,-20.0,-16.0,-15.0,-28.0,-40.0,-12.0,0.0,-2.0,-4.0,-2.0,-19.0,-19.0,-18.0,-8.0,-18.0,-13.0,-19.0,-57.0,-18.0,0.0,0.0,-23.0
Zysk z działalności gospodarczej,5545.0,5102.0,5259.0,5626.0,82.0,-15548.0,3389.0,-8602.0,-23733.0,-54445.0,-57433.0,48183.0,-25118.0,-3197.0,6018.0,25099.0,-17995.0,-87636.0,-5978.0,568.0,-19317.0,-14996.0,-11690.0,-7234.0,-944.0,-1054.0,586.0,-12582.0,7269.0,1874.0,2032.0,816.0,8566.0,2793.0,5006.0,2115.0,5896.0,-1382.0,1676.0,-6761.0,6432.0,-1222.0,472.0,-5420.0,408.0,-94574.0,-5681.0,-29040.0,6221.0,2865.0,-5492.0,-15281.0,12995.0,4606.0,5774.0,-4693.0,10766.0,4022.0,9558.0,5454.0,29512.0,7091.0,7052.0,8664.0,7213.0,6194.0,6474.0,3127.0,13298.0,6093.0,6377.0,11392.0,15834.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,5545.0,5102.0,5259.0,5626.0,82.0,-15548.0,3389.0,-8602.0,-23733.0,-54445.0,-57433.0,48183.0,-25118.0,-3197.0,6018.0,25099.0,-17995.0,-87636.0,-5978.0,568.0,-19317.0,-14996.0,-11690.0,-7234.0,-944.0,-1054.0,586.0,-12582.0,7269.0,1874.0,2032.0,816.0,8566.0,2793.0,5006.0,2115.0,5896.0,-1382.0,1676.0,-6761.0,6432.0,-1222.0,472.0,-5420.0,408.0,-94574.0,-5681.0,-29040.0,6221.0,2865.0,-5492.0,-15281.0,12995.0,4606.0,5774.0,-4693.0,10766.0,4022.0,9558.0,5454.0,29512.0,7091.0,7052.0,8664.0,7213.0,6194.0,6474.0,3127.0,13298.0,6093.0,6377.0,11392.0,15834.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-654.0,-2.0,-1939.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
