,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,71.02,51.22,72.93,84.69,66.55,63.84,56.96,37.17,33.44,26.56,19.23,18.55
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,72.32,75.07,127.84,95.75,96.42,83.25,62.81,43.3,40.24,28.75,14.25,18.1
Koszty sprzedaży,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,68.64,14.37,-12.34,59.55,10.94,17.93,33.33,20.07,11.03,18.54,43.81,20.04
Pozostałe przychody operacyjne,,,,,,5600.0,-200.0,-591.3,-620.0,-180.7,-4183.33,335.4,123.08,184.78,60.7,-62.41
Pozostałe koszty operacyjne,,,,,-66.67,-88.0,-81.25,58.23,26900.0,1516.67,566.67,185.6,-85.93,5.15,-35.0,-43.98
Zysk operacyjny (EBIT),,,,,69.38,16.74,-11.85,56.16,3.81,14.07,25.83,22.92,18.01,20.31,50.15,20.15
Przychody finansowe,,,,,382.05,-401.89,-100.0,407.69,-98.94,116.25,,-40.15,7100.0,3173.08,-581.82,1074.68
Koszty finansowe,,,,,-63.7,535.59,-22.15,2275.0,156.6,29.18,458.67,104.21,136.4,81.02,-58.87,161.34
Pozostałe przychody (koszty),,,,,16.67,146200.0,11.76,116.57,100.0,-100.0,100.0,-100.0,,,,
Zysk z działalności gospodarczej,,,,,87.11,226.65,-11.71,79.9,-2.16,-62.19,2.62,19.06,14.72,31.16,73.41,26.89
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,87.11,226.65,-11.71,79.9,-2.16,-62.19,2.62,19.06,14.72,31.16,73.41,26.89
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,,,,92.47,240.19,-12.54,72.08,-6.22,-63.94,0.69,14.71,18.62,49.07,82.94,42.79
Zysk netto akcjonariuszy jednostki dominującej,,,,,92.47,240.92,-11.27,72.8,-4.97,-63.51,1.16,14.58,18.21,48.28,81.65,42.9
Aktywa trwałe,,,,,,,,183.67,193.08,312.84,77.0,78.04,75.35,10.8,4.95,2.0
Wartości niematerialne i prawne,,,,,,,,178.52,177.03,268.53,96.45,96.8,96.6,5.69,3.63,3.23
Rzeczowe składniki majątku trwałego,,,,,,,,216.38,235.81,864.46,32.13,38.4,32.02,28.42,8.23,1.03
Należności długoterminowe,,,,,,,,9.79,147.13,30.99,42.4,42.98,39.18,34.6,23.92,-80.27
Inwestycje długoterminowe,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,,,,,,220.0,175.44,327.59,362.86,331.25,61.15,129.84
Aktywa obrotowe,,,,,,,,23.37,77.08,-21.14,-21.24,-31.49,-29.55,-1.08,73.23,43.91
Zapasy,,,,,,,,,,,-100.0,-100.0,,,,
Należności krótkoterminowe,,,,,,,,49.68,93.8,160.5,86.36,62.32,5.84,0.67,6.2,34.59
Inwestycje krótkoterminowe,,,,,,,,15.77,71.49,-41.21,-50.8,-51.33,-40.81,-3.29,131.98,45.93
Środki pieniężne i inne aktywa pieniężne,,,,,,,,15.77,71.49,-41.21,-50.8,-51.33,-40.81,-3.29,131.98,45.93
