,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,9243.0,11606.0,11567.0,14529.0,15807.0,17551.0,20003.0,26833.0,26327.0,28756.0,31396.0,36806.0,35132.0,36395.0,37434.0,43634.0
Techniczny koszt wytworzenia produkcji sprzedanej,5968.0,7047.0,7036.0,10089.0,10284.0,12337.0,16031.0,19749.0,20200.0,22607.0,26100.0,28300.0,28329.0,29106.0,29818.0,33423.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,3275.0,4559.0,4531.0,4440.0,5523.0,5214.0,3972.0,7084.0,6127.0,6149.0,5296.0,8506.0,6803.0,7289.0,7616.0,10211.0
Pozostałe przychody operacyjne,0.0,1.0,6.0,23.0,20.0,57.0,-6.0,-113.0,-104.0,-46.0,-257.0,266.0,24.0,39.0,-101.0,100.0
Pozostałe koszty operacyjne,3.0,50.0,48.0,79.0,1.0,6.0,9.0,125.0,270.0,97.0,60.0,357.0,38.0,102.0,39.0,200.0
Zysk operacyjny (EBIT),3272.0,4510.0,4489.0,4384.0,5542.0,5265.0,3957.0,6846.0,5753.0,6006.0,4979.0,8415.0,6789.0,7226.0,7476.0,10111.0
Przychody finansowe,39.0,53.0,27.0,26.0,188.0,-160.0,0.0,132.0,2.0,26.0,77.0,79.0,144.0,851.0,-371.0,928.0
Koszty finansowe,292.0,-59.0,289.0,4.0,106.0,257.0,225.0,95.0,272.0,332.0,1257.0,194.0,643.0,601.0,517.0,507.0
Pozostałe przychody (koszty),-24.0,-7.0,-34.0,-531.0,-20.0,10227.0,-30.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,2995.0,4615.0,4193.0,3875.0,5604.0,15075.0,3702.0,6971.0,5483.0,5700.0,3799.0,8300.0,6290.0,7476.0,6588.0,10532.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2995.0,4615.0,4193.0,3875.0,5604.0,15075.0,3702.0,6971.0,5483.0,5700.0,3799.0,8300.0,6290.0,7476.0,6588.0,10532.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2363.0,3600.0,3309.0,3220.0,4548.0,12247.0,2894.0,5541.0,4265.0,4416.0,2914.0,6356.0,5059.0,6583.0,5331.0,9076.0
Zysk netto akcjonariuszy jednostki dominującej,2363.0,3600.0,3309.0,3220.0,4548.0,12273.0,2936.0,5564.0,4322.0,4478.0,2970.0,6375.0,5109.0,6640.0,5395.0,9110.0
Aktywa trwałe,0.0,0.0,0.0,18833.0,18645.0,21141.0,51695.0,53424.0,54645.0,87279.0,91498.0,95116.0,95820.0,96707.0,96025.0,97023.0
Wartości niematerialne i prawne,0.0,0.0,0.0,12949.0,13139.0,18596.0,35826.0,36066.0,36399.0,68531.0,70379.0,70977.0,71560.0,72430.0,72932.0,73270.0
Rzeczowe składniki majątku trwałego,0.0,0.0,0.0,5261.0,5192.0,1846.0,15128.0,16645.0,17435.0,17804.0,19988.0,23037.0,23018.0,22864.0,21633.0,23275.0
Należności długoterminowe,0.0,0.0,0.0,623.0,314.0,684.0,684.0,684.0,776.0,896.0,974.0,978.0,1080.0,1206.0,1207.0,193.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,0.0,0.0,15.0,57.0,29.0,35.0,48.0,157.0,124.0,162.0,207.0,253.0,285.0
Aktywa obrotowe,0.0,0.0,0.0,24261.0,21367.0,30137.0,21488.0,29931.0,37837.0,23767.0,16925.0,20506.0,26657.0,23510.0,29319.0,29510.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,0.0,0.0,0.0,3138.0,3420.0,2509.0,3754.0,4697.0,6628.0,6536.0,6996.0,7624.0,7015.0,6580.0,7430.0,10261.0
Inwestycje krótkoterminowe,0.0,0.0,0.0,20969.0,17757.0,27006.0,17222.0,24275.0,30451.0,15878.0,8473.0,11814.0,18023.0,15355.0,19656.0,17240.0
Środki pieniężne i inne aktywa pieniężne,0.0,0.0,0.0,20969.0,17757.0,27006.0,17222.0,24275.0,30451.0,15878.0,8473.0,11814.0,18023.0,15355.0,19656.0,17240.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,154.0,190.0,622.0,507.0,946.0,758.0,1353.0,1456.0,1068.0,1619.0,1575.0,2233.0,2009.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,0.0,0.0,43094.0,40012.0,51278.0,73183.0,83355.0,92482.0,111046.0,108423.0,115622.0,122477.0,120217.0,125344.0,126533.0
Kapitał własny akcjonariuszy jednostki dominującej,18475.0,22075.0,20935.0,24125.0,16080.0,28354.0,31290.0,36854.0,41255.0,25653.0,30010.0,37764.0,44124.0,39108.0,45683.0,55974.0
