,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,423.77,371.68,137.78,253.68,63.77,30.61,-7.66,-37.49,17.96,-1.02,-74.29,-68.69,-53.14,55.24,698.16,256.4
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,366.38,425.0,42.71,145.98,-17.13,-8.98,96.43,-40.49,18.19,25.03,-87.65,346.62,-49.71,-43.91,-41.62,54.56
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,1300.0,168.67,648.11,605.77,475.24,325.11,-114.25,-34.06,17.8,-42.51,262.83,-495.73,-55.66,398.72,1490.22,-22.17
Pozostałe przychody operacyjne,,,,,-100.0,,,,,-100.0,,-100.0,,,,,,,,951.52
Pozostałe koszty operacyjne,,,,,,1300.0,,,-100.0,-100.0,,-100.0,,,,,,,,-20.34
Zysk operacyjny (EBIT),,,,,732.0,162.2,648.11,624.04,480.77,340.93,-114.25,-35.72,17.8,-42.51,262.83,-497.52,-59.38,30.83,2630.98,-16.42
Przychody finansowe,,,,,,,1100.0,6900.0,3100.0,-250.0,-54.17,-75.71,81.25,813.33,14463.64,-2952.94,-34.48,-71.03,-81.96,45.36
Koszty finansowe,,,,,,5800.0,,-2250.0,-33.33,91.53,-1362.5,181.4,3250.0,-156.64,100.0,128.57,-95.52,3062.5,,1322.5
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,724.0,104.94,649.07,662.7,500.97,393.98,-100.12,-39.54,14.22,-12.68,178700.0,-541.91,-56.65,-260.89,298.82,-28.18
