,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,244.0,399.0,675.0,1332.0,1278.0,1882.0,1605.0,4711.0,2093.0,2458.0,1482.0,2945.0,2469.0,2433.0,381.0,922.0,1157.0,3777.0,3041.0,3286.0
Techniczny koszt wytworzenia produkcji sprzedanej,229.0,316.0,569.0,1020.0,1068.0,1659.0,812.0,2509.0,885.0,1510.0,1595.0,1493.0,1046.0,1888.0,197.0,6668.0,526.0,1059.0,115.0,10306.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,15.0,83.0,106.0,312.0,210.0,223.0,793.0,2202.0,1208.0,948.0,-113.0,1452.0,1423.0,545.0,184.0,-5746.0,631.0,2718.0,2926.0,-7020.0
Pozostałe przychody operacyjne,10.0,0.0,0.0,0.0,0.0,6.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,69.0,-2.0,347.0
Pozostałe koszty operacyjne,0.0,1.0,0.0,0.0,2.0,14.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,53.0,2074.0,-2101.0,47.0
Zysk operacyjny (EBIT),25.0,82.0,106.0,312.0,208.0,215.0,793.0,2259.0,1208.0,948.0,-113.0,1452.0,1423.0,545.0,184.0,-5772.0,578.0,713.0,5025.0,-6720.0
Przychody finansowe,0.0,0.0,2.0,1.0,1.0,10.0,24.0,70.0,32.0,-15.0,11.0,17.0,58.0,107.0,1602.0,-485.0,38.0,31.0,289.0,-265.0
Koszty finansowe,0.0,1.0,0.0,2.0,3.0,59.0,8.0,-43.0,2.0,113.0,-101.0,35.0,67.0,-64.0,0.0,80.0,3.0,1896.0,-1809.0,1138.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,25.0,81.0,108.0,311.0,206.0,166.0,809.0,2372.0,1238.0,820.0,-1.0,1434.0,1414.0,716.0,1786.0,-6337.0,613.0,-1152.0,7123.0,-8123.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,25.0,81.0,108.0,311.0,206.0,166.0,809.0,2372.0,1238.0,820.0,-1.0,1434.0,1414.0,716.0,1786.0,-6337.0,613.0,-1152.0,7123.0,-8123.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,21.0,72.0,72.0,284.0,184.0,133.0,675.0,2430.0,1127.0,512.0,-190.0,1775.0,1399.0,577.0,1508.0,-6357.0,742.0,-1267.0,6636.0,-7655.0
Zysk netto akcjonariuszy jednostki dominującej,21.0,72.0,72.0,284.0,184.0,133.0,665.0,2440.0,1127.0,466.0,-152.0,1809.0,1599.0,308.0,1010.0,-6260.0,582.0,-2235.0,5019.0,-4652.0
Aktywa trwałe,2.0,1.0,1.0,20.0,18.0,31.0,40.0,404.0,543.0,241.0,88.0,4053.0,8308.0,9149.0,10083.0,11085.0,12312.0,13215.0,17038.0,12493.0
Wartości niematerialne i prawne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,192.0,0.0,3676.0,5511.0,5632.0,6908.0,7584.0,8920.0,9637.0,13481.0,9296.0
Rzeczowe składniki majątku trwałego,2.0,1.0,1.0,19.0,18.0,31.0,40.0,46.0,50.0,44.0,83.0,101.0,109.0,99.0,90.0,81.0,73.0,70.0,59.0,52.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,353.0,297.0,0.0,0.0,0.0,2676.0,3387.0,3073.0,3420.0,3319.0,3327.0,2679.0,2975.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,276.0,12.0,31.0,12.0,0.0,0.0,181.0,819.0,170.0
Aktywa obrotowe,2052.0,2264.0,2556.0,3401.0,3515.0,3935.0,6212.0,11642.0,15169.0,17284.0,17696.0,17015.0,18574.0,22869.0,23533.0,16778.0,15647.0,13715.0,14054.0,17210.0
