,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,62266.0,122257.0,132423.0,64460.0,71171.0,128173.0,139071.0,73231.0,96778.0,143423.0,156979.0,76816.0,104755.0,159824.0,171281.0,86970.0,106711.0,165178.0,175649.0,78686.0,105931.0,158776.0,176340.0,90652.0,104488.0,172208.0,179180.0,94764.0,107379.0,181823.0,197706.0,89613.0,109311.0,191417.0,180514.0,92661.0,111577.0,171756.0,171535.0,91104.0,112145.0,177136.0,169022.0,91828.0,124155.0,178928.0,178727.0,93826.0,134706.0,160735.0,180464.0,91093.0,118394.0,181893.0,184011.0,102479.0,128507.0,200973.0,246104.0,141498.0,167765.0,263330.0,251137.0,139098.0,182611.0,226903.0,240846.0,144503.0,189877.0,213499.0,247647.0,140663.0,201405.0,233140.0,270522.0,152706.0
Techniczny koszt wytworzenia produkcji sprzedanej,44426.0,87186.0,95576.0,44024.0,48516.0,89500.0,99400.0,51715.0,67118.0,98678.0,106155.0,54351.0,69788.0,107404.0,114489.0,57943.0,68747.0,110051.0,119202.0,53956.0,68629.0,102113.0,118553.0,62681.0,72420.0,116575.0,126501.0,66054.0,71729.0,119810.0,128884.0,59297.0,69790.0,121260.0,114419.0,55264.0,74661.0,105955.0,109270.0,53672.0,74133.0,106076.0,104510.0,55473.0,76836.0,107941.0,108060.0,59037.0,82569.0,95306.0,108923.0,54785.0,72374.0,102481.0,106041.0,60163.0,73884.0,112947.0,141986.0,84182.0,95991.0,150761.0,143880.0,85056.0,106344.0,135955.0,145334.0,91975.0,116901.0,127975.0,153081.0,89496.0,116456.0,132013.0,144214.0,80886.0
Koszty sprzedaży,8490.0,12068.0,9787.0,7736.0,10043.0,15439.0,10729.0,7972.0,13344.0,15936.0,18742.0,8991.0,15207.0,23528.0,20307.0,8260.0,15723.0,24602.0,12040.0,13193.0,13749.0,25583.0,13148.0,13830.0,12922.0,22567.0,19067.0,16746.0,13601.0,25559.0,25350.0,15320.0,13940.0,34206.0,27437.0,16308.0,14410.0,31649.0,22002.0,14721.0,12714.0,31953.0,22995.0,16468.0,16921.0,36272.0,27650.0,36277.0,20885.0,33757.0,30223.0,22958.0,18850.0,31864.0,29789.0,24425.0,21434.0,41144.0,40745.0,38850.0,32202.0,45967.0,44406.0,33731.0,31808.0,44855.0,43798.0,31433.0,31898.0,37664.0,41584.0,31459.0,33163.0,40788.0,41968.0,35506.0
Koszty ogólnego zarządu,6727.0,7815.0,6716.0,7528.0,8335.0,7720.0,8175.0,8201.0,8639.0,9288.0,9315.0,9910.0,9701.0,10956.0,8853.0,12058.0,11106.0,11277.0,12158.0,12415.0,12204.0,12216.0,12554.0,13612.0,13064.0,12446.0,13660.0,13316.0,13620.0,13846.0,13776.0,16640.0,15030.0,14476.0,14554.0,15541.0,14588.0,13969.0,13839.0,15457.0,14382.0,14451.0,13951.0,16626.0,14828.0,16098.0,15966.0,-6520.0,11138.0,12211.0,10476.0,10566.0,11929.0,16520.0,13420.0,15930.0,15434.0,20683.0,18732.0,22160.0,18895.0,22656.0,19559.0,23705.0,21368.0,22676.0,20955.0,23118.0,22144.0,26227.0,21741.0,22724.0,24716.0,28305.0,28922.0,30768.0
Zysk ze sprzedaży,2623.0,15188.0,20344.0,5172.0,4277.0,15514.0,20767.0,5343.0,7677.0,19521.0,22767.0,3564.0,10059.0,17936.0,27632.0,8709.0,11135.0,19248.0,32249.0,-878.0,11349.0,18864.0,32085.0,529.0,6082.0,20620.0,19952.0,-1352.0,8429.0,22608.0,29696.0,-1644.0,10551.0,21475.0,24104.0,5548.0,7918.0,20183.0,26424.0,7254.0,10916.0,24656.0,27566.0,3261.0,15570.0,18617.0,27051.0,5032.0,20114.0,19461.0,30842.0,2784.0,15241.0,31028.0,34761.0,1961.0,17755.0,26199.0,44641.0,-3694.0,20677.0,43946.0,43292.0,-3394.0,23091.0,23417.0,30759.0,-2023.0,18934.0,21633.0,31241.0,-3016.0,27070.0,32034.0,55418.0,5546.0
Pozostałe przychody operacyjne,220.0,157.0,256.0,294.0,419.0,207.0,136.0,376.0,108.0,820.0,633.0,342.0,256.0,382.0,872.0,357.0,242.0,2021.0,1089.0,1336.0,413.0,1563.0,2098.0,1136.0,1290.0,91.0,2082.0,-2157.0,705.0,203.0,217.0,-477.0,176.0,558.0,628.0,-252.0,1038.0,-654.0,154.0,1044.0,236.0,702.0,157.0,578.0,86.0,390.0,333.0,197.0,2165.0,767.0,239.0,397.0,201.0,2560.0,587.0,394.0,371.0,877.0,1622.0,-473.0,176.0,683.0,538.0,139.0,1438.0,107.0,504.0,219.0,1516.0,3432.0,687.0,621.0,1443.0,2393.0,2259.0,-310.0
Pozostałe koszty operacyjne,415.0,713.0,211.0,782.0,298.0,463.0,699.0,1766.0,887.0,571.0,795.0,1092.0,692.0,727.0,750.0,3672.0,571.0,3686.0,-916.0,1594.0,809.0,1568.0,1267.0,2167.0,1271.0,1039.0,1573.0,1889.0,1070.0,1458.0,1164.0,-494.0,408.0,3209.0,1148.0,-808.0,881.0,2594.0,2195.0,-834.0,296.0,2151.0,375.0,59.0,396.0,1714.0,543.0,-40.0,568.0,2248.0,418.0,-365.0,960.0,863.0,1256.0,4007.0,850.0,1478.0,2148.0,3852.0,785.0,581.0,840.0,1315.0,2506.0,-431.0,683.0,-701.0,2626.0,548.0,176.0,2277.0,973.0,1411.0,2368.0,97.0
Zysk operacyjny (EBIT),2428.0,14632.0,20389.0,4684.0,4398.0,15258.0,20204.0,3953.0,6898.0,19770.0,22605.0,2814.0,9623.0,17591.0,27754.0,5394.0,10806.0,17583.0,34254.0,-1136.0,10953.0,18859.0,32916.0,-502.0,6101.0,19672.0,20461.0,-5398.0,8064.0,21353.0,28749.0,-1627.0,10319.0,18824.0,23584.0,6104.0,8075.0,16935.0,24383.0,9132.0,10856.0,23207.0,27348.0,3780.0,15260.0,17293.0,26841.0,5269.0,21711.0,17980.0,30663.0,3546.0,14482.0,32725.0,34092.0,-1652.0,17276.0,25598.0,44115.0,-8019.0,20068.0,44048.0,42990.0,-4570.0,22023.0,23955.0,30580.0,-1103.0,17824.0,24517.0,31752.0,-4672.0,27540.0,33016.0,55309.0,5139.0
Przychody finansowe,1427.0,705.0,-457.0,18.0,265.0,309.0,599.0,-301.0,114.0,57.0,130.0,347.0,206.0,1290.0,101.0,-107.0,189.0,251.0,121.0,107.0,69.0,124.0,116.0,695.0,1389.0,-1022.0,129.0,501.0,2026.0,-1439.0,852.0,614.0,209.0,33.0,130.0,271.0,421.0,-193.0,142.0,683.0,119.0,171.0,85.0,151.0,73.0,711.0,-242.0,448.0,55.0,97.0,119.0,65.0,49.0,512.0,-384.0,406.0,332.0,668.0,547.0,859.0,-41.0,1240.0,1052.0,1160.0,94.0,1549.0,461.0,1007.0,57.0,290.0,2514.0,2507.0,368.0,1795.0,1547.0,841.0
