,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,17.68,12.57,4.4,15.01,17.98,1.03,10.13,0.47,-2.38,0.75,-10.31,-18.07,-18.4,-12.72,10.47,11.18,19.65,24.89,20.08,18.14,19.29,22.86,14.84,25.75,24.24,15.4,10.31,9.72,10.28,14.21,12.21,7.43,6.98,1.2,-3.45,24.81,26.46,25.35,21.21,-0.05,1.56,1.7,0.27,8.82,10.1,7.56,5.39,6.18,1.5,0.15,1.91,6.38,14.55,-1.35,4.1,-4.82,-7.46,-30.06,0.01,9.14,16.65,66.28,5.45,6.62,5.63,23.24,24.16,21.67,20.93,0.28,3.51,-6.63
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,19.0,7.05,3.68,16.62,20.76,6.28,11.24,-0.01,-0.03,7.88,-4.97,-20.56,-20.6,-13.58,4.46,17.36,28.79,19.22,20.56,21.78,16.72,22.83,16.21,21.55,26.7,18.34,14.22,11.51,8.22,12.52,5.49,4.8,1.74,-3.19,-7.05,22.75,27.19,24.42,24.17,-1.88,-1.0,-5.8,-1.58,7.74,9.88,16.82,8.13,10.82,4.28,3.65,5.43,9.74,20.63,6.01,12.94,1.32,-4.34,-32.25,-2.79,5.25,11.95,65.1,4.89,10.92,10.25,21.39,27.17,17.61,20.14,-0.83,0.77,-10.01
Koszty sprzedaży,,,,,3.47,15.88,25.07,18.21,16.06,-4.25,-33.07,-2.69,7.19,4.44,31.16,4.32,9.08,24.86,25.76,2.71,31.47,9.8,13.65,12.76,-4.07,4.69,10.12,19.63,-6.6,-1.68,-8.48,2.41,15.75,8.26,2.64,-5.21,-2.72,-5.85,4.08,29.04,29.73,24.77,8.21,-27.97,-33.13,-24.07,-16.78,5.61,14.35,8.78,27.97,22.34,13.1,3.27,-9.06,-12.36,-5.47,6.99,1.16,-7.91,-5.07,-28.09,-10.69,-9.26,17.25,48.44,26.93,27.68,15.21,18.59,16.11,14.96,9.31,-5.37,-7.93,-10.61
Koszty ogólnego zarządu,,,,,36.44,32.3,-18.15,35.03,-18.1,-13.51,30.46,0.64,-15.68,5.27,8.19,-21.43,2.5,4.02,3.38,1.28,1.41,7.21,-15.09,5.18,13.71,-12.1,22.54,18.83,1.71,12.54,15.4,41.67,29.89,1.89,-5.17,-18.06,-8.5,13.93,27.11,83.35,109.23,108.22,72.24,6.93,12.97,34.12,22.46,30.1,9.3,-6.68,14.0,5.0,6.95,21.65,22.12,-5.97,13.35,0.75,-7.62,23.78,-9.88,45.23,-10.49,-14.74,15.62,-27.52,37.5,26.42,9.5,-3.35,8.66,3.93,10.45,31.54,10.63,19.29
Zysk ze sprzedaży,,,,,0.2,36.86,10.04,-12.23,36.48,-16.54,14.67,7.54,-14.18,-49.53,-50.68,-7.59,-27.96,-50.87,62.28,-23.25,-56.01,237.35,35.84,-6.53,154.4,61.7,7.17,108.63,42.68,4.98,-6.56,-23.41,16.29,34.54,69.63,87.8,77.37,26.62,3.71,5.54,-11.33,5.55,-1.28,26.17,28.33,32.46,3.0,-0.15,11.16,-21.06,-16.79,-32.52,-23.45,-36.1,-31.67,-1.07,-29.45,-77.49,-61.43,-130.0,-50.59,-380.91,122.89,355.12,154.37,241.76,-39.58,-129.94,-62.63,90.33,15.45,439.1,111.27,-13.93,56.47,4.79
Pozostałe przychody operacyjne,,,,,13.39,-87.73,-76.02,227.59,58.27,-56.45,46.26,136.22,98.01,162.96,22.79,-75.29,16.83,647.65,529.55,688.89,-3.66,-78.18,-70.94,-37.68,-29.24,264.75,-25.47,-39.74,111.99,-73.77,128.06,1820.63,28.72,53.38,-26.43,-70.39,18.38,-41.96,-15.07,18.79,4.88,433.61,98.64,936.77,120.02,204.15,172.91,-84.76,-42.19,-66.98,-60.27,-35.67,72.4,-63.95,234.84,-135.58,-78.73,211.1,-108.65,1203.58,940.12,188.0,2333.13,-79.26,-10.71,-87.44,-71.83,4.3,-88.74,-29.91,-747.59,146.76,610.11,315.19,121.19,-49.6
Pozostałe koszty operacyjne,,,,,-95.86,-94.21,-97.86,-84.29,526.67,291.51,1529.27,236.19,64.68,59.76,44.01,89.57,-89.41,120.66,-53.33,-73.07,657.32,-34.45,0.45,10.0,-22.22,-47.13,-21.29,119.96,-15.94,-11.24,110.42,244.2,-39.66,40.22,-28.11,-42.03,269.8,142.0,-43.76,-23.91,1.32,-53.44,450.66,1046.98,15.14,613.36,125.68,-67.76,-79.47,-90.2,-101.23,24.03,153.0,-27.77,593.48,-92.25,65.03,120.06,95.15,125.96,-5.85,-81.14,149.21,73.64,200.47,1428.86,220.11,222.65,-62.82,-81.74,-88.0,-66.43,-78.8,435.34,228.54,-65.9
Zysk operacyjny (EBIT),,,,,27.34,25.59,21.26,8.08,32.35,-19.64,11.21,2.97,-15.52,-50.42,-53.25,-21.45,-20.85,-20.78,89.47,1.16,-60.7,111.9,25.95,-11.62,163.98,85.63,7.03,94.39,49.33,-5.07,-6.24,1.92,19.04,35.1,69.34,47.4,70.06,20.77,4.11,10.71,-11.11,17.19,-3.62,38.86,33.77,36.2,2.12,-22.15,10.04,-22.98,-11.33,-50.08,-20.35,-38.65,-23.22,38.65,-36.5,-65.84,-70.05,-82.23,-20.44,-145.62,228.77,349.86,79.58,626.19,-61.09,-181.45,-68.23,103.33,-109.64,252.79,175.77,-10.97,2430.27,-0.11
Przychody finansowe,,,,,73.11,-56.59,689.66,-67.94,670.58,225.19,429.82,638.81,-72.23,268.34,-50.44,-185.91,-90.88,-109.34,-216.04,158.13,-22.89,3068.21,-727.83,-84.9,-70.97,-97.32,101.58,-104.1,102.22,-55.0,30.88,2080.0,981.32,738.89,-557.3,755.56,133.84,-105.74,273.46,122.43,53.06,-3988.46,-131.3,11.09,-84.95,211.95,2333.94,-103.11,688.49,-14.79,-97.37,3433.85,-76.24,-7.1,255.38,-75.54,-43.4,-46.5,-38.1,-42.08,-47.86,-67.06,-73.43,117.59,346.42,619.28,996.05,232.63,13.61,-111.73,161.1,92.8,105.72,3637.14,-67.77,-1.96
