,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,73805.0,93389.0,103970.0,91954.0,86854.0,105130.0,108541.0,105754.0,102470.0,106208.0,119532.0,106254.0,100035.0,107003.0,107208.0,87052.0,81629.0,93395.0,118436.0,96781.0,97670.0,116641.0,142214.0,114336.0,116510.0,143300.0,163319.0,143783.0,144747.0,165367.0,180152.0,157765.0,159633.0,188866.0,202153.0,169485.0,170778.0,191131.0,195173.0,211528.0,215961.0,239587.0,236560.0,211419.0,219334.0,243658.0,237195.0,230063.0,241482.0,262071.0,249976.0,244276.0,245095.0,262464.0,254759.0,259864.0,280763.0,258913.0,265208.0,247345.0,259808.0,181079.0,265228.0,269955.0,303079.0,301091.0,279675.0,287835.0,320131.0,371052.0,347234.0,350204.0,387125.0,372086.0,359422.0,326968.0
Techniczny koszt wytworzenia produkcji sprzedanej,55187.0,71946.0,78468.0,70758.0,65674.0,77019.0,81359.0,82516.0,79305.0,81855.0,90507.0,82511.0,79282.0,88303.0,86010.0,65543.0,62950.0,76310.0,89843.0,76923.0,81072.0,90973.0,108314.0,93679.0,94625.0,111738.0,125877.0,113870.0,119889.0,132228.0,143773.0,126980.0,129740.0,148786.0,151659.0,133070.0,132002.0,144039.0,140967.0,163349.0,167899.0,179210.0,175041.0,160278.0,166214.0,168815.0,172275.0,172680.0,182628.0,197214.0,186284.0,191367.0,190452.0,204420.0,196391.0,210012.0,229748.0,216712.0,221808.0,212783.0,219788.0,146812.0,215626.0,223948.0,246049.0,242388.0,226163.0,248407.0,271272.0,294241.0,287619.0,292159.0,325919.0,291798.0,289822.0,262905.0
Koszty sprzedaży,3834.0,4628.0,4823.0,5470.0,3967.0,5363.0,6032.0,6466.0,4604.0,5135.0,4037.0,6292.0,4935.0,5363.0,5295.0,6564.0,5383.0,6696.0,6659.0,6742.0,7077.0,7352.0,7568.0,7602.0,6789.0,7697.0,8334.0,9094.0,6341.0,7568.0,7627.0,9313.0,7340.0,8193.0,7828.0,8828.0,7140.0,7714.0,8147.0,11392.0,9263.0,9625.0,8816.0,8206.0,6194.0,7308.0,7337.0,8666.0,7083.0,7950.0,9389.0,10602.0,8011.0,8210.0,8538.0,9292.0,7573.0,8784.0,8637.0,8557.0,7189.0,6317.0,7714.0,7765.0,8429.0,9377.0,9791.0,9914.0,9711.0,11120.0,11368.0,11397.0,10615.0,10523.0,10466.0,10188.0
Koszty ogólnego zarządu,6622.0,5802.0,5692.0,6284.0,9035.0,7676.0,4659.0,8485.0,7400.0,6639.0,6078.0,8539.0,6240.0,6989.0,6576.0,6709.0,6396.0,7270.0,6798.0,6795.0,6486.0,7794.0,5772.0,7147.0,7375.0,6851.0,7073.0,8493.0,7501.0,7710.0,8162.0,12032.0,9743.0,7856.0,7740.0,9859.0,8915.0,8950.0,9838.0,18076.0,18653.0,18636.0,16945.0,19328.0,21073.0,24995.0,20751.0,25145.0,23033.0,23325.0,23656.0,26401.0,24633.0,28374.0,28889.0,24824.0,27921.0,28587.0,26687.0,30726.0,25162.0,41518.0,23887.0,26198.0,29093.0,30092.0,32844.0,33120.0,31857.0,29083.0,35689.0,34420.0,35187.0,38257.0,39484.0,41061.0
Zysk ze sprzedaży,8162.0,11013.0,14987.0,9442.0,8178.0,15072.0,16491.0,8287.0,11161.0,12579.0,18910.0,8912.0,9578.0,6348.0,9327.0,8236.0,6900.0,3119.0,15136.0,6321.0,3035.0,10522.0,20560.0,5908.0,7721.0,17014.0,22035.0,12326.0,11016.0,17861.0,20590.0,9440.0,12810.0,24031.0,34926.0,17728.0,22721.0,30428.0,36221.0,18711.0,20146.0,32116.0,35758.0,23607.0,25853.0,42540.0,36832.0,23572.0,28738.0,33582.0,30647.0,15906.0,21999.0,21460.0,20941.0,15736.0,15521.0,4830.0,8076.0,-4721.0,7669.0,-13568.0,18001.0,12044.0,19508.0,19234.0,10877.0,-3606.0,7291.0,36608.0,12558.0,12228.0,15404.0,31508.0,19650.0,12814.0
Pozostałe przychody operacyjne,112.0,3032.0,613.0,-145.0,127.0,372.0,147.0,185.0,201.0,162.0,215.0,437.0,398.0,426.0,264.0,108.0,465.0,3185.0,1662.0,852.0,448.0,695.0,483.0,531.0,317.0,2535.0,360.0,320.0,672.0,665.0,821.0,6146.0,865.0,1020.0,604.0,1820.0,1024.0,592.0,513.0,2162.0,1074.0,3159.0,1019.0,22415.0,2363.0,9608.0,2781.0,3417.0,1366.0,3173.0,1105.0,2198.0,2355.0,1144.0,3700.0,-782.0,501.0,3559.0,-320.0,8630.0,5211.0,10250.0,7146.0,1790.0,4653.0,1287.0,2013.0,1867.0,524.0,902.0,-13036.0,4607.0,3721.0,3745.0,2762.0,2322.0
Pozostałe koszty operacyjne,1811.0,1832.0,1913.0,1706.0,75.0,106.0,41.0,268.0,470.0,415.0,668.0,901.0,774.0,663.0,962.0,1708.0,82.0,1463.0,449.0,460.0,621.0,959.0,451.0,506.0,483.0,507.0,355.0,1113.0,406.0,450.0,747.0,3831.0,245.0,631.0,537.0,2221.0,906.0,1527.0,302.0,1690.0,918.0,711.0,1663.0,19384.0,1057.0,5072.0,3753.0,6250.0,217.0,497.0,-46.0,7752.0,549.0,359.0,227.0,601.0,906.0,790.0,443.0,1358.0,853.0,149.0,1104.0,2358.0,2563.0,2278.0,3534.0,7608.0,953.0,416.0,424.0,2554.0,202.0,2227.0,1393.0,871.0
Zysk operacyjny (EBIT),6463.0,12213.0,13687.0,7591.0,8230.0,15338.0,16597.0,8204.0,10892.0,12326.0,18457.0,8448.0,9202.0,6111.0,8629.0,6636.0,7283.0,4841.0,16349.0,6713.0,2862.0,10258.0,20592.0,5933.0,7555.0,19042.0,22040.0,11533.0,11282.0,18076.0,20664.0,11755.0,13430.0,24420.0,34993.0,17327.0,22839.0,29493.0,36432.0,19183.0,20302.0,34564.0,35114.0,26638.0,27159.0,47076.0,35860.0,20739.0,29887.0,36258.0,31798.0,10352.0,23805.0,22245.0,24414.0,14353.0,15116.0,7599.0,7313.0,2551.0,12027.0,-3467.0,24043.0,11476.0,21598.0,18243.0,9356.0,-9347.0,6862.0,37094.0,-902.0,14281.0,18923.0,33026.0,21019.0,14265.0
Przychody finansowe,595.0,311.0,-29.0,683.0,1030.0,135.0,171.0,219.0,7937.0,439.0,906.0,1618.0,2204.0,1617.0,449.0,-1390.0,201.0,-151.0,-521.0,808.0,155.0,4482.0,-4313.0,122.0,45.0,120.0,68.0,-5.0,91.0,54.0,89.0,99.0,984.0,453.0,-407.0,847.0,2301.0,-26.0,706.0,1884.0,3522.0,-1063.0,-221.0,2093.0,530.0,1190.0,4937.0,-65.0,4179.0,1014.0,130.0,2167.0,993.0,942.0,462.0,530.0,562.0,504.0,286.0,307.0,293.0,166.0,76.0,668.0,1308.0,1194.0,833.0,2222.0,1486.0,-140.0,2175.0,4284.0,3057.0,4952.0,701.0,4200.0
