,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Period,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,81.32,74.36,73.77,52.18,42.56,40.64,49.18,68.25,55.04,69.08,104.17,103.84,85.58,73.93,25.98,15.57,5.28
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,108.06,64.97,75.16,38.98,12.25,52.48,60.97,90.65,43.37,55.97,90.73,86.1,145.48,79.32,34.81,26.11,-0.39
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,516.3,110.58,175.51
Koszty ogólnego zarządu,,,,,207.62,142.47,37.58,22.95,57.58,10.91,60.56,22.36,167.92,134.45,134.57,170.93,-14.16,88.79,37.67,22.46,76.35
Zysk ze sprzedaży,,,,,-39.2,52.54,122.75,341.72,282.46,31.98,-6.11,43.75,-9.1,57.58,137.42,114.97,90.33,23.9,-47.47,-40.11,-49.04
Pozostałe przychody operacyjne,,,,,-1500.0,186.67,1800.0,-80.95,1200.0,200.0,555.88,-12.5,-16.23,-56.59,28.7,825.0,-13.95,380.36,-55.75,-44.79,346.85
Pozostałe koszty operacyjne,,,,,3200.0,307.69,191.67,-61.17,517.42,-77.36,-11.43,-71.23,-55.83,675.0,1474.19,966.67,4.17,4.84,-15.57,-70.98,-86.67
Zysk operacyjny (EBIT),,,,,-43.5,50.74,124.23,346.51,277.04,36.84,-1.9,45.24,-3.92,51.99,122.81,115.28,92.89,26.82,-49.27,-39.7,-44.65
Przychody finansowe,,,,,-166.67,-35.71,285.19,-409.52,4191.67,2100.0,-892.0,306.15,-66.19,5.81,112.88,580.6,-740.96,-96.9,-60.78,-95.5,105.36
Koszty finansowe,,,,,131.25,25.62,10.87,83.33,-47.88,-43.42,431.37,641.82,102.22,175.58,204.8,32.84,206.96,462.03,81.72,292.62,317.06
Pozostałe przychody (koszty),,,,,,65.31,122.39,235.76,,-14.2,-23.49,-3.12,-51.12,79.86,113.16,26.27,-100.0,28.8,-0.41,10.58,
Zysk z działalności gospodarczej,,,,,-50.18,51.54,132.16,454.6,386.7,47.39,-16.66,40.64,-12.01,47.63,140.57,127.34,63.05,8.58,-59.49,-54.73,-64.87
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-50.18,51.54,132.16,454.6,386.7,47.39,-16.66,40.64,-12.01,47.63,140.57,127.34,63.05,8.58,-59.49,-54.73,-64.87
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-56.91,49.36,136.65,230.5,447.78,41.71,-20.23,44.14,-16.81,47.63,161.89,132.07,93.93,17.91,-58.55,-56.28,-30.23
Zysk netto akcjonariuszy jednostki dominującej,,,,,-57.6,58.78,245.71,105.73,520.6,42.41,-29.82,49.58,-14.97,24.93,144.03,109.92,73.44,15.41,-67.34,-59.24,20.05
