,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Period,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,96566.0,101924.0,99516.0,109705.0,120809.0,118252.0,108856.0,134297.0,127223.0,124025.0,124795.0,129112.0,144896.0,143148.0,144476.0,153861.0,166468.0,183354.0,172263.0,185913.0,186310.0,188357.0,180912.0,174731.0,199761.0,205014.0,200236.0,221852.0,254454.0,201240.0,246465.0,232998.0,267844.0,277630.0,277372.0,274172.0,311594.0,331318.0,339076.0,388050.0,445690.0,440964.0,423096.0,460280.0,508282.0,519446.0
Techniczny koszt wytworzenia produkcji sprzedanej,78766.0,80087.0,76491.0,88986.0,101422.0,95498.0,86569.0,109524.0,101800.0,90720.0,94315.0,98458.0,116524.0,111670.0,114666.0,123641.0,136740.0,149527.0,140842.0,153078.0,146877.0,144598.0,140429.0,135966.0,155848.0,154167.0,158074.0,186912.0,201509.0,149241.0,199506.0,183413.0,187932.0,188209.0,190515.0,212865.0,232140.0,242421.0,258844.0,290366.0,336541.0,336437.0,337080.0,370703.0,383941.0,288636.0
Koszty sprzedaży,11411.0,11723.0,14109.0,13755.0,12729.0,15799.0,13521.0,17130.0,14836.0,18381.0,21536.0,20505.0,14552.0,22544.0,20438.0,21179.0,19802.0,24105.0,22452.0,23129.0,19729.0,22787.0,23426.0,23806.0,25700.0,27061.0,22380.0,23489.0,24645.0,25984.0,24071.0,24502.0,28045.0,29500.0,30928.0,30336.0,32461.0,34333.0,37196.0,38825.0,41396.0,46492.0,53946.0,46780.0,57566.0,125559.0
Koszty ogólnego zarządu,2866.0,2516.0,3537.0,3612.0,3385.0,3772.0,4246.0,4686.0,3883.0,5000.0,3654.0,3625.0,3600.0,3997.0,4308.0,4449.0,4327.0,5180.0,5347.0,5325.0,6136.0,7145.0,7901.0,7423.0,6919.0,7187.0,7936.0,7925.0,8837.0,9152.0,8729.0,7933.0,7766.0,9314.0,11184.0,10303.0,10483.0,21574.0,16145.0,10901.0,16450.0,15027.0,22196.0,12939.0,20522.0,42001.0
Zysk ze sprzedaży,3523.0,7598.0,5379.0,3352.0,3273.0,3183.0,4520.0,2957.0,6704.0,9924.0,5290.0,6524.0,10220.0,4937.0,5064.0,4592.0,5599.0,4542.0,3622.0,4381.0,13568.0,13827.0,9156.0,7536.0,11294.0,16599.0,11846.0,3526.0,19463.0,16863.0,14159.0,17150.0,44101.0,50607.0,44745.0,20668.0,36510.0,32990.0,26891.0,47958.0,51303.0,43008.0,9874.0,29858.0,46253.0,63250.0
Pozostałe przychody operacyjne,625.0,1047.0,895.0,1081.0,800.0,714.0,441.0,581.0,539.0,448.0,3507.0,564.0,675.0,1378.0,537.0,599.0,717.0,705.0,1185.0,556.0,707.0,532.0,1385.0,841.0,9500.0,744.0,634.0,1479.0,678.0,1504.0,946.0,1147.0,3190.0,1822.0,1172.0,1254.0,1094.0,1792.0,2662.0,1437.0,1508.0,16707.0,6949.0,10591.0,3104.0,3818.0
Pozostałe koszty operacyjne,73.0,1261.0,586.0,548.0,608.0,-384.0,172.0,365.0,146.0,3821.0,145.0,315.0,367.0,58.0,117.0,214.0,125.0,2203.0,104.0,130.0,651.0,921.0,388.0,12009.0,329.0,-546.0,1072.0,493.0,1360.0,1357.0,1212.0,1733.0,795.0,1769.0,661.0,2091.0,968.0,3374.0,1042.0,1437.0,2418.0,54161.0,1458.0,1342.0,3967.0,1113.0
Zysk operacyjny (EBIT),4075.0,7384.0,5688.0,3885.0,3465.0,4281.0,4789.0,3173.0,7097.0,6551.0,8652.0,6773.0,10528.0,6257.0,5484.0,4977.0,6191.0,3044.0,4703.0,4807.0,13624.0,13438.0,10153.0,-3632.0,20465.0,17889.0,11408.0,4512.0,18781.0,17010.0,13893.0,16564.0,46496.0,50660.0,45256.0,19831.0,36636.0,31408.0,28511.0,47958.0,50393.0,5554.0,15365.0,39107.0,45390.0,65955.0
Przychody finansowe,-41.0,24.0,21.0,97.0,290.0,-108.0,118.0,105.0,118.0,102.0,167.0,247.0,82.0,40.0,272.0,93.0,18.0,122.0,147.0,228.0,189.0,207.0,84.0,112.0,72.0,633.0,113.0,315.0,561.0,500.0,248.0,527.0,463.0,829.0,348.0,442.0,631.0,445.0,594.0,829.0,1587.0,1086.0,925.0,2273.0,2836.0,21490.0
