,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,69.32,-53.8,-24.26,-22.14,-35.29,140.19,-6.81,115.55,60.65,-30.21,10.62,6.66,-11.81,-54.02,-44.52,-65.15,-12.0,80.04,28.76,138.18,24.13,18.61,225.16,-8.1,41.65,-39.47,-58.6,-28.07,3.95,49.62,12.11,27.72,-10.4,-32.8,49.9,-14.55,7.85,28.03,-22.99,39.34,10.96,-19.82,-12.94,-9.55,-15.04,32.33,4.68,-19.61,11.61,-23.68,8.43,-29.12,4.57,-2.07,-17.75,-7.57,-8.1,6.4,23.8,15.16,-11.47,-18.53,-28.36,-34.8,5.76,-1.22,5.2,34.82,-7.56,13.66,-7.99,6.07
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,69.72,-55.15,-23.69,-25.54,-38.78,144.72,-6.26,117.98,62.21,-31.85,13.03,3.92,-9.68,-57.3,-45.26,-64.61,-9.09,86.47,24.96,138.91,30.49,24.02,248.98,-2.76,40.43,-38.28,-60.03,-35.26,-4.91,38.87,1.43,33.27,-20.19,-37.8,49.32,-18.29,18.85,38.91,-21.99,42.47,8.52,-23.21,-12.88,-9.14,-21.67,40.67,2.93,-25.02,17.52,-30.52,5.23,-43.13,8.41,-5.18,-16.32,5.05,-9.2,12.44,29.56,9.4,-6.34,-19.16,-30.8,-26.22,2.48,7.82,12.51,25.6,-7.86,5.73,-7.12,-4.51
Koszty sprzedaży,,,,,51.93,-32.19,-11.82,-35.38,-42.14,76.27,26.07,100.0,65.95,-38.54,7.54,6.27,-7.2,-4.12,-0.72,-25.08,-34.48,12.05,14.75,67.69,23.35,64.51,-10.8,-34.05,-7.16,-42.63,18.57,-12.77,-8.88,-23.15,-30.87,47.19,-24.63,-4.47,-7.23,18.61,13.92,-3.08,-10.12,-25.47,-9.1,0.38,7.76,-1.08,-3.43,-6.2,-5.64,10.42,27.56,27.13,11.96,-1.98,-11.58,49.58,60.68,-6.2,80.1,-10.08,-10.82,-17.52,-3.22,-5.92,-3.01,-11.75,-18.57,-4.28,7.85,21.79,-1.33,-8.33,-21.61,-22.19
Koszty ogólnego zarządu,,,,,1.82,-8.0,-0.86,-1.54,0.6,2.09,5.23,8.97,0.44,14.43,16.49,22.7,30.19,21.3,16.57,16.22,7.24,17.56,6.71,8.18,4.91,0.05,12.18,2.85,3.42,-6.38,-1.22,9.27,-7.78,-1.75,-9.6,-7.05,-0.69,5.15,-0.63,4.91,19.85,15.98,26.42,-11.87,0.22,9.26,20.4,32.19,16.31,-3.43,-8.42,16.19,15.77,20.04,33.04,9.08,16.93,14.93,5.82,-1.25,5.73,7.1,8.25,11.35,-3.9,-7.04,-7.65,6.17,-4.72,-1.52,-4.54,-4.11,6.15,3.86,-5.58,-9.01
Zysk ze sprzedaży,,,,,1.5,-99.23,-70.98,39.16,41.25,22542.86,-163.47,150.87,15.01,-12.49,-224.88,28.3,-116.13,-103.17,-136.94,-95.3,-12.36,2215.91,28.71,1035.76,-42.27,-132.87,100.0,-64.11,17.59,-276.14,,133.53,100.05,272.63,202.06,-4.27,179400.0,-19.12,159.6,1.43,-99.33,-45.12,-57.53,83.15,7000.0,-32.65,-72.25,-28.77,42.84,6.57,182.78,1.43,-80.36,-3.79,7.09,36.0,-379.08,-82.27,-152.96,-50.12,-138.83,-649.07,-15.29,73.19,-70.43,-60.37,-42.86,-104.93,40.48,-124.92,-76.07,1189.32,-22.9,68.4,5.63,114.63
Pozostałe przychody operacyjne,,,,,0.0,60.71,-65.62,-35.94,202.86,204.44,-63.64,-34.15,-72.64,-94.89,600.0,111.11,31.03,314.29,296.43,75.44,-44.74,431.03,270.27,250.0,676.19,66.88,-3.41,190.86,47.85,23.74,7.56,-82.12,102.9,116.67,53.86,203.3,-36.4,-89.84,-89.95,-2.17,-60.77,107.14,192.42,-63.89,113.11,20.0,120.21,-40.0,-27.69,-6.9,-63.53,24.79,0.53,2.47,94.84,10.96,49.74,460.84,-30.46,-14.2,621.91,-87.76,102.86,203.6,-88.11,-22.81,-79.58,-83.41,2031.69,232.95,16.09,404.29,-97.9,30.03,650.5,-29.46
Pozostałe koszty operacyjne,,,,,-19.11,11.31,-24.08,77.27,2.51,-3.74,-9.68,36.41,-8.33,23.33,10.71,-60.34,-4.81,-10.81,-37.63,-28.91,-76.97,-69.19,-73.28,-45.33,-29.27,-67.21,25.81,67.07,296.55,5650.0,443.59,505.11,43.48,-22.43,-86.79,-40.65,-52.73,-95.18,357.14,-69.11,-53.85,58.14,-74.22,-26.97,63.89,148.53,148.48,-54.95,71.19,-72.78,-71.95,-30.0,-86.14,-54.35,-69.57,60.0,828.57,19.05,1142.86,-60.71,-73.85,92.0,-118.39,86.36,-44.12,-64.58,137.5,-12.2,-78.95,-76.47,-200.0,-33.33,-50.0,-150.0,400.0,-58.33
Zysk operacyjny (EBIT),,,,,4.12,-117.44,-83.56,29.82,41.15,1242.22,-349.32,171.09,7.1,-23.99,-123.31,38.24,-93.16,-118.17,-92.11,-95.92,-4.25,580.75,52.94,1334.29,-33.07,-106.74,148.05,-44.57,18.26,-2773.91,-419.27,12.04,116.92,189.96,276.29,22.98,524.0,-8.41,75.48,12.1,-95.17,-41.31,-52.26,64.92,974.49,-37.54,-54.56,-28.64,23.84,25.04,73.53,2.5,-68.25,0.67,18.63,34.92,-224.15,34.48,-135.28,-48.97,180.93,-151.97,38.6,79.44,-698.8,-66.98,-203.8,-103.9,242.91,-110.23,-79.5,1539.0,-152.78,84.16,39.89,98.4
Przychody finansowe,,,,,-8.57,-31.68,1.9,82.61,-17.71,155.07,16.77,-13.1,36.71,-10.23,18.09,72.6,41.67,137.97,40.09,-18.25,-37.58,-96.54,-71.7,-8.74,-7.33,1061.54,-109.09,315.96,-8.47,-69.54,1462.5,-87.47,-17.28,6.52,-60.55,38.78,-18.66,30.61,-20.93,-11.76,-46.79,-65.62,-64.71,-86.67,-46.55,45.45,375.0,362.5,16.13,-12.5,-57.89,335.14,30.56,35.71,-20.83,-87.58,-46.81,-97.37,31.58,2630.0,228.0,-1000.0,-52.0,-93.59,-71.95,-77.78,-91.67,-100.0,160.87,131.25,1600.0,,-95.0,-160.0,-64.71,61.54
Koszty finansowe,,,,,1192.86,-183.91,-48.57,-148.28,-88.95,127.4,40.28,139.29,695.0,650.0,110.89,12181.82,264.78,-104.0,-105.16,-99.63,-78.97,3000.0,909.09,-80.0,-68.85,-77.59,-35.96,4800.0,-7.89,-5.13,-40.35,-67.35,108.57,-110.81,-47.06,550.0,-36.99,1775.0,216.67,-65.38,-6.52,332.84,100.0,616.67,479.07,-44.83,62.28,-47.67,-13.65,-26.25,-55.14,89.63,-48.37,27.97,51.81,-23.05,3.6,3.97,1.59,-32.99,57.39,-95.54,-38.28,-48.48,-71.27,914.29,-62.03,30.88,23.08,29.58,396.67,95.51,62.5,79.35,38.93,16.09
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
