,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,8684.0,42697.0,26421.0,34901.0,14704.0,19725.0,20010.0,27175.0,9515.0,47378.0,18647.0,58577.0,15286.0,33064.0,20627.0,62476.0,13480.0,15204.0,11443.0,21776.0,11863.0,27373.0,14734.0,51866.0,14725.0,32467.0,47909.0,47665.0,20858.0,19652.0,19834.0,34287.0,21682.0,29403.0,22235.0,43790.0,19427.0,19760.0,33330.0,37419.0,20952.0,25298.0,25668.0,52139.0,23248.0,20283.0,22346.0,47160.0,19752.0,26840.0,23391.0,37914.0,22046.0,20483.0,25364.0,26873.0,23054.0,20059.0,20863.0,24838.0,21187.0,21342.0,25828.0,28604.0,18757.0,17388.0,18502.0,18651.0,19837.0,17176.0,19465.0,25146.0,18338.0,19523.0,17909.0,26673.0
Techniczny koszt wytworzenia produkcji sprzedanej,7817.0,38948.0,23220.0,31093.0,13267.0,17469.0,17719.0,23151.0,8122.0,42750.0,16610.0,50464.0,13175.0,29135.0,18774.0,52443.0,11900.0,12442.0,10277.0,18557.0,10818.0,23201.0,12842.0,44335.0,14116.0,28775.0,44816.0,43113.0,19823.0,17759.0,17913.0,27911.0,18850.0,24662.0,18170.0,37198.0,15044.0,15339.0,27131.0,30393.0,17880.0,21307.0,21166.0,43302.0,19404.0,16362.0,18439.0,39345.0,15199.0,23016.0,18979.0,29500.0,17862.0,15991.0,19971.0,16776.0,19364.0,15162.0,16712.0,17623.0,17583.0,17048.0,21652.0,19279.0,16468.0,13782.0,14983.0,14225.0,16877.0,14860.0,16857.0,17866.0,15551.0,15711.0,15657.0,17060.0
Koszty sprzedaży,1009.0,1485.0,931.0,1074.0,1533.0,1007.0,821.0,694.0,887.0,1775.0,1035.0,1388.0,1472.0,1091.0,1113.0,1475.0,1366.0,1046.0,1105.0,1105.0,895.0,1172.0,1268.0,1853.0,1104.0,1928.0,1131.0,1222.0,1025.0,1106.0,1341.0,1066.0,934.0,850.0,927.0,1569.0,704.0,812.0,860.0,1861.0,802.0,787.0,773.0,1387.0,729.0,790.0,833.0,1372.0,704.0,741.0,786.0,1515.0,898.0,942.0,880.0,1485.0,794.0,1409.0,1414.0,1393.0,1430.0,1267.0,1261.0,1149.0,1384.0,1192.0,1223.0,1014.0,1127.0,1141.0,1319.0,1235.0,1112.0,1046.0,1034.0,961.0
Koszty ogólnego zarządu,1320.0,1350.0,1157.0,1166.0,1344.0,1242.0,1147.0,1148.0,1352.0,1268.0,1207.0,1251.0,1358.0,1451.0,1406.0,1535.0,1768.0,1760.0,1639.0,1784.0,1896.0,2069.0,1749.0,1930.0,1989.0,2070.0,1962.0,1985.0,2057.0,1938.0,1938.0,2169.0,1897.0,1904.0,1752.0,2016.0,1884.0,2002.0,1741.0,2115.0,2258.0,2322.0,2201.0,1864.0,2263.0,2537.0,2650.0,2464.0,2632.0,2450.0,2427.0,2863.0,3047.0,2941.0,3229.0,3123.0,3563.0,3380.0,3417.0,3084.0,3767.0,3620.0,3699.0,3434.0,3620.0,3365.0,3416.0,3646.0,3449.0,3314.0,3261.0,3496.0,3661.0,3442.0,3079.0,3181.0
Zysk ze sprzedaży,-1462.0,914.0,1113.0,1568.0,-1440.0,7.0,323.0,2182.0,-846.0,1585.0,-205.0,5474.0,-719.0,1387.0,-666.0,7023.0,-1554.0,-44.0,-1578.0,330.0,-1746.0,931.0,-1125.0,3748.0,-2484.0,-306.0,0.0,1345.0,-2047.0,-1151.0,-1358.0,3141.0,1.0,1987.0,1386.0,3007.0,1795.0,1607.0,3598.0,3050.0,12.0,882.0,1528.0,5586.0,852.0,594.0,424.0,3979.0,1217.0,633.0,1199.0,4036.0,239.0,609.0,1284.0,5489.0,-667.0,108.0,-680.0,2738.0,-1593.0,-593.0,-784.0,4742.0,-2715.0,-951.0,-1120.0,-234.0,-1616.0,-2139.0,-1972.0,2549.0,-1986.0,-676.0,-1861.0,5471.0
Pozostałe przychody operacyjne,35.0,28.0,32.0,64.0,35.0,45.0,11.0,41.0,106.0,137.0,4.0,27.0,29.0,7.0,28.0,57.0,38.0,29.0,111.0,100.0,21.0,154.0,411.0,350.0,163.0,257.0,397.0,1018.0,241.0,318.0,427.0,182.0,489.0,689.0,657.0,552.0,311.0,70.0,66.0,540.0,122.0,145.0,193.0,195.0,260.0,174.0,425.0,117.0,188.0,162.0,155.0,146.0,189.0,166.0,302.0,162.0,283.0,931.0,210.0,139.0,2043.0,114.0,426.0,422.0,243.0,88.0,87.0,70.0,5180.0,293.0,101.0,353.0,109.0,381.0,758.0,249.0
Pozostałe koszty operacyjne,246.0,168.0,245.0,220.0,199.0,187.0,186.0,390.0,204.0,180.0,168.0,532.0,187.0,222.0,186.0,211.0,178.0,198.0,116.0,150.0,41.0,61.0,31.0,82.0,29.0,20.0,39.0,137.0,115.0,1150.0,212.0,829.0,165.0,892.0,28.0,492.0,78.0,43.0,128.0,152.0,36.0,68.0,33.0,111.0,59.0,169.0,82.0,50.0,101.0,46.0,23.0,35.0,14.0,21.0,7.0,56.0,130.0,25.0,87.0,22.0,34.0,48.0,-16.0,41.0,19.0,17.0,6.0,36.0,4.0,4.0,-6.0,24.0,2.0,-2.0,18.0,10.0
Zysk operacyjny (EBIT),-1673.0,774.0,900.0,1412.0,-1604.0,-135.0,148.0,1833.0,-944.0,1542.0,-369.0,4969.0,-877.0,1172.0,-824.0,6869.0,-1694.0,-213.0,-1583.0,280.0,-1766.0,1024.0,-745.0,4016.0,-2350.0,-69.0,358.0,2226.0,-1921.0,-1983.0,-1143.0,2494.0,325.0,1784.0,2015.0,3067.0,2028.0,1634.0,3536.0,3438.0,98.0,959.0,1688.0,5670.0,1053.0,599.0,767.0,4046.0,1304.0,749.0,1331.0,4147.0,414.0,754.0,1579.0,5595.0,-514.0,1014.0,-557.0,2855.0,416.0,-527.0,-342.0,5123.0,-2491.0,-880.0,-1039.0,-200.0,3560.0,-1850.0,-1865.0,2878.0,-1879.0,-293.0,-1121.0,5710.0
Przychody finansowe,210.0,101.0,158.0,46.0,192.0,69.0,161.0,84.0,158.0,176.0,188.0,73.0,216.0,158.0,222.0,126.0,306.0,376.0,311.0,103.0,191.0,13.0,88.0,94.0,177.0,151.0,-8.0,391.0,162.0,46.0,109.0,49.0,134.0,49.0,43.0,68.0,109.0,64.0,34.0,60.0,58.0,22.0,12.0,8.0,31.0,32.0,57.0,37.0,36.0,28.0,24.0,161.0,47.0,38.0,19.0,20.0,25.0,1.0,25.0,546.0,82.0,-9.0,12.0,35.0,23.0,-16.0,1.0,0.0,60.0,5.0,17.0,-13.0,3.0,-3.0,6.0,-5.0
