,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Period,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,90.84,104.35,117.03,7.16,-6.0,-34.12,-59.69,-30.94,-56.13,-21.62,4.88,35.7,229.82,124.4,151.66,49.9,24.39,20.23,-6.01,-2.68,-5.69,-15.16,-0.46,-24.9,-11.82,-20.18,-29.08,-14.1,-5.08,-6.48,-4.3,1.22,1.99,-15.6,-8.65,18.74
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,92.11,114.74,114.48,8.18,-5.59,-34.86,-58.46,-32.82,-55.01,-18.04,7.4,43.38,239.09,119.34,144.63,38.59,20.01,17.03,-5.49,2.19,-7.81,-15.95,-1.49,-29.13,-12.23,-23.61,-32.48,-24.82,-12.63,-21.93,-15.32,-11.76,7.69,-8.98,-1.26,47.31
Koszty sprzedaży,,,,,23.53,101.58,141.6,-1.42,-59.14,-74.61,-83.56,-63.67,-61.28,-51.74,11.54,-77.23,-39.81,-77.6,3.45,1939.13,1566.13,507.14,178.15,-30.49,-45.5,235.88,-56.32,-17.48,-14.39,-14.19,-3.66,-6.13,-40.04,-44.29,-40.19,-86.73,-100.0,-100.0,-100.0,-100.0
Koszty ogólnego zarządu,,,,,50.08,0.27,39.36,134.0,13.81,75.36,8.89,13.75,2.32,-4.77,15.77,-5.63,11.95,26.5,12.63,13.28,-0.82,10.21,-60.36,44.6,13.36,-18.3,149.23,-7.46,-3.08,17.26,27.88,8.25,6.05,22.42,-5.61,-11.57,17.35,8.36,21.39,24.97
Zysk ze sprzedaży,,,,,134.03,-38.22,203.87,-39.5,-34.02,-70.16,-90.91,16.09,-220.72,-621.42,-192.77,-115.1,-7.67,86.69,849.38,2604.19,221.66,1257.37,3.05,-72.16,83.49,13.34,-1.02,149.73,-8.91,53.53,23.4,116.25,172.32,197.88,136.94,62.93,-47.26,-44.07,-47.53,-51.58
Pozostałe przychody operacyjne,,,,,7.45,-34.61,-45.32,232.33,148.91,57.98,11.79,-225.08,-49.41,-29.12,-24.83,158.07,15.07,-83.61,37.56,168.61,-19.9,317.39,-14.14,24.71,329.25,-73.96,118.77,-2.28,-24.54,3004.0,32.4,156.99,260.39,-169.89,359.26,-58.21,-71.63,170.56,-46.75,221.81
Pozostałe koszty operacyjne,,,,,-41.67,-69.8,235.0,186.15,41.9,344.44,-48.83,-332.5,-54.36,-88.8,-55.0,132.57,-41.18,120.54,14.81,253.3,170.0,-22.67,356.45,-47.26,521.3,552.36,-105.48,405.57,5.37,-32.26,1861.29,170.71,345.83,-161.73,271.61,-59.86,-81.35,710.94,-54.9,-16.68
Zysk operacyjny (EBIT),,,,,133.71,-34.35,189.34,-39.69,-25.42,-80.54,-90.61,18.63,-195.54,-835.38,-185.75,-114.63,-5.99,83.17,900.95,2611.98,239.07,1069.69,-0.03,-71.18,89.49,0.71,4.65,131.32,-12.08,85.66,20.2,113.32,168.59,168.74,141.65,70.52,-46.53,-46.85,-47.16,-50.16
Przychody finansowe,,,,,202.76,-166.03,-53.15,-45.24,2.05,242.32,241.63,25.0,-4.1,138.48,-43.97,39.22,-45.8,92.3,-187.42,-173.88,-71.31,-108.58,138.29,122.98,261.5,375.56,-63.69,202.75,-95.57,-86.29,-43.86,-40.65,4740.62,8323.53,14709.38,2121.41,367.4,60.54,26.36,-34.15
Koszty finansowe,,,,,-59.78,-59.77,17.31,167.93,78.56,166.02,1.72,3.2,82.52,63.47,-38.44,-67.47,-54.4,-66.72,6.58,59.15,54.71,94.28,139.84,51.26,76.36,32.25,-45.62,-45.68,-53.51,-42.76,-41.91,114.58,20.83,33.91,229.63,146.49,74.09,90.12,21.93,-59.92
Pozostałe przychody (koszty),,,,,52.48,10.71,172.34,-47.46,82.64,34.0,-223.53,-33.09,-448.0,-31.31,-23.81,88.89,-56.2,27.69,-48.08,-115.59,741.59,-350.0,100.0,-679.25,-59.8,57.21,,26.63,-38.95,-1.66,111.96,382.18,413.95,1509.24,709.09,-116.14,-66.4,-118.59,-32.58,350.72
Zysk z działalności gospodarczej,,,,,429.8,-37.33,200.24,-53.64,-26.25,-112.47,-92.57,23.0,-193.9,-1794.79,-237.01,-112.3,-1.03,95.14,704.52,3500.53,243.87,2153.47,-4.16,-75.86,61.75,3.83,10.26,182.53,-11.65,112.48,26.24,115.77,213.31,219.11,163.22,76.12,-27.61,-45.9,-43.31,-47.94
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,429.8,-37.33,200.24,-53.64,-26.25,-112.47,-92.57,23.0,-193.9,-1794.79,-237.01,-112.3,-1.03,95.14,704.52,3500.53,243.87,2153.47,-4.16,-75.86,61.75,3.83,10.26,182.53,-11.65,112.48,26.24,115.77,213.31,219.11,163.22,76.12,-27.61,-45.9,-43.31,-47.94
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,-13.53,100.0,100.0,-100.0,100.0,,,,,,,,,,,,
