,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,3794333.0,3465956.0,3690586.0,4478004.0,5299075.0,5032069.0,4835697.0,5588381.0,6454853.0,5859133.0,5900257.0,6527014.0,5163034.0,4543490.0,4502907.0,4921691.0,4887264.0,4339051.0,4376786.0,4837662.0,4753816.0,4430475.0,4449950.0,4740983.0,4647035.0,4295822.0,4180888.0,4522744.0,4589537.0,4165829.0,4115954.0,4544709.0,4825532.0,4376839.0,4099431.0,4819946.0,5312809.0,5085045.0,4861792.0,4298646.0,5467766.0,4420251.0,4988811.0,5490572.0,6444513.0,5421868.0,5997216.0,7750403.0,9813000.0,8311000.0,8692000.0,9495000.0,15863000.0,11698000.0,11063000.0,12091000.0
Techniczny koszt wytworzenia produkcji sprzedanej,3106970.0,2889658.0,3141138.0,3951362.0,4583956.0,4396273.0,4255070.0,4939055.0,5601218.0,4883723.0,5042026.0,5755087.0,4078650.0,3849397.0,3695778.0,4366636.0,3972141.0,3593047.0,3648776.0,4298099.0,3927945.0,3612007.0,3708025.0,7892798.0,3923059.0,4363070.0,3537039.0,3894294.0,3554543.0,3459573.0,3502378.0,4028048.0,3880151.0,4046635.0,3436576.0,5073785.0,4377720.0,4572304.0,4271447.0,6043065.0,4746631.0,3835215.0,4239562.0,7876271.0,5001871.0,5647880.0,5461826.0,7520423.0,8114000.0,8255000.0,8484000.0,10001000.0,13861000.0,10115000.0,10101000.0,11550000.0
Koszty sprzedaży,52512.0,56702.0,56309.0,65729.0,49157.0,50554.0,26344.0,157327.0,116780.0,114194.0,110857.0,210460.0,135865.0,134308.0,127343.0,155986.0,123000.0,134189.0,144298.0,147677.0,107668.0,130164.0,122113.0,128914.0,110057.0,110340.0,112429.0,126365.0,110209.0,115318.0,118242.0,147860.0,112269.0,116053.0,124117.0,125355.0,106695.0,125006.0,133624.0,133846.0,128732.0,79845.0,129491.0,153515.0,117132.0,132211.0,145461.0,167196.0,138000.0,174000.0,130000.0,86000.0,189000.0,170000.0,202000.0,205000.0
Koszty ogólnego zarządu,144596.0,196024.0,149663.0,180025.0,146521.0,162051.0,174890.0,180508.0,176615.0,158552.0,176954.0,222633.0,169590.0,172464.0,165231.0,138121.0,167391.0,164808.0,159428.0,172560.0,156212.0,156612.0,153669.0,152476.0,167643.0,150336.0,154810.0,180038.0,153492.0,151071.0,150803.0,154999.0,122903.0,160702.0,202425.0,145457.0,154874.0,144229.0,165321.0,194240.0,157476.0,123430.0,141355.0,191024.0,149240.0,157208.0,157301.0,171251.0,170000.0,154000.0,194000.0,40000.0,160000.0,176000.0,167000.0,198000.0
Zysk ze sprzedaży,490255.0,323572.0,343476.0,280888.0,519441.0,423191.0,379393.0,311491.0,560240.0,702664.0,570420.0,338834.0,778929.0,387321.0,514555.0,260948.0,624732.0,447007.0,424284.0,219326.0,561991.0,531692.0,466143.0,-3433205.0,446276.0,-327924.0,376610.0,322047.0,771293.0,439867.0,344531.0,213802.0,710209.0,53449.0,336313.0,-524651.0,673520.0,243506.0,291400.0,-2072505.0,434927.0,381761.0,478403.0,-2730238.0,1176270.0,-515431.0,232628.0,-108467.0,1391000.0,-272000.0,-116000.0,-632000.0,1653000.0,1237000.0,593000.0,138000.0
Pozostałe przychody operacyjne,31761.0,20882.0,19742.0,32801.0,19346.0,25112.0,21453.0,33535.0,27423.0,21377.0,28360.0,41741.0,26739.0,36343.0,21047.0,43307.0,34668.0,45133.0,59201.0,94304.0,42808.0,30514.0,67797.0,11080.0,9706.0,5587.0,12686.0,-43466.0,2260.0,23774.0,-1985.0,-28128.0,165277.0,25949.0,14405.0,9778.0,54447.0,17250.0,38672.0,1049164.0,39124.0,283690.0,60970.0,36728.0,36221.0,33520.0,61651.0,-392.0,27000.0,20000.0,75000.0,576000.0,44000.0,251000.0,47000.0,-569000.0
Pozostałe koszty operacyjne,45970.0,37749.0,18041.0,42358.0,27792.0,21220.0,17984.0,20462.0,22386.0,33201.0,22321.0,59750.0,17336.0,22222.0,16273.0,79292.0,26966.0,42120.0,18998.0,30458.0,19228.0,103475.0,45982.0,3343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk operacyjny (EBIT),476046.0,306705.0,345177.0,271331.0,510995.0,427083.0,382862.0,324564.0,565277.0,690840.0,576459.0,320825.0,788332.0,401442.0,519329.0,224963.0,632434.0,450020.0,464487.0,283172.0,585571.0,458731.0,487958.0,-3425468.0,455982.0,-322337.0,389296.0,278581.0,773553.0,463641.0,342546.0,185674.0,875486.0,79398.0,350718.0,-514873.0,727967.0,260756.0,330072.0,-1023341.0,474051.0,665451.0,539373.0,-2693510.0,1212491.0,-481911.0,294279.0,-108859.0,1418000.0,-252000.0,-41000.0,-56000.0,1697000.0,1488000.0,640000.0,-431000.0
Przychody finansowe,26239.0,17544.0,21350.0,28731.0,22479.0,32342.0,28441.0,32505.0,31877.0,21460.0,43543.0,34426.0,27038.0,31625.0,17422.0,23172.0,13071.0,15890.0,12597.0,44640.0,59058.0,-16980.0,17628.0,13746.0,29193.0,26746.0,22399.0,-171475.0,37241.0,6804.0,-59330.0,102938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
